datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,AARDRU,13.0,13.56,13.0,13.33,105974,
2010-01-05 12:01:00,AARDRU,13.5,13.5,13.15,13.21,59361,
2010-01-06 12:01:00,AARDRU,13.33,13.68,12.95,13.4,138519,
2010-01-07 12:01:00,AARDRU,13.5,13.53,13.13,13.19,40133,
2010-01-08 12:01:00,AARDRU,13.31,14.0,13.31,13.58,481096,
2010-01-11 12:01:00,AARDRU,13.84,13.84,13.5,13.61,79903,
2010-01-12 12:01:00,AARDRU,13.63,14.36,13.54,13.73,233630,
2010-01-13 12:01:00,AARDRU,13.88,14.0,13.51,13.57,48920,
2010-01-14 12:01:00,AARDRU,13.88,14.24,13.68,13.86,150319,
2010-01-15 12:01:00,AARDRU,13.96,14.09,13.42,13.51,63986,
2010-01-18 12:01:00,AARDRU,13.56,13.88,13.39,13.46,38430,
2010-01-19 12:01:00,AARDRU,13.44,13.88,13.39,13.44,91100,
2010-01-20 12:01:00,AARDRU,13.51,13.99,13.38,13.81,169588,
2010-01-21 12:01:00,AARDRU,14.0,14.66,13.28,13.52,483082,
2010-01-22 12:01:00,AARDRU,13.31,13.37,12.9,13.03,89035,
2010-01-25 12:01:00,AARDRU,13.24,13.81,12.51,12.73,156495,
2010-01-27 12:01:00,AARDRU,12.76,12.94,12.27,12.5,66145,
2010-01-28 12:01:00,AARDRU,12.63,12.86,11.62,12.47,42828,
2010-01-29 12:01:00,AARDRU,11.81,12.36,11.75,12.29,43427,
2010-02-01 12:02:00,AARDRU,12.1,13.06,12.04,12.85,72305,
2010-02-02 12:02:00,AARDRU,13.0,13.18,12.5,12.59,24283,
2010-02-04 12:02:00,AARDRU,12.93,12.93,11.84,12.04,53599,
2010-02-05 12:02:00,AARDRU,11.78,11.94,11.31,11.54,31335,
2010-02-06 12:02:00,AARDRU,11.51,11.88,11.51,11.84,8135,
2010-02-08 12:02:00,AARDRU,11.81,12.0,11.66,11.83,14798,
2010-02-09 12:02:00,AARDRU,11.81,11.91,11.69,11.78,10675,
2010-02-10 12:02:00,AARDRU,11.88,12.49,11.64,11.73,59504,
2010-02-11 12:02:00,AARDRU,12.13,12.13,11.64,11.78,9732,
2010-02-15 12:02:00,AARDRU,11.88,12.0,11.64,11.74,10480,
2010-02-16 12:02:00,AARDRU,11.77,12.0,11.57,11.63,16949,
2010-02-17 12:02:00,AARDRU,11.73,11.88,11.38,11.71,29203,
2010-02-18 12:02:00,AARDRU,11.74,11.88,11.63,11.72,8181,
2010-02-19 12:02:00,AARDRU,11.63,11.75,11.41,11.48,11464,
2010-02-22 12:02:00,AARDRU,11.71,11.84,11.56,11.65,16963,
2010-02-23 12:02:00,AARDRU,11.44,11.68,11.43,11.46,16377,
2010-02-24 12:02:00,AARDRU,11.47,11.56,11.28,11.32,9408,
2010-02-25 12:02:00,AARDRU,11.31,11.5,11.0,11.1,9784,
2010-02-26 12:02:00,AARDRU,11.54,11.62,11.06,11.29,22312,
2010-03-02 12:03:00,AARDRU,11.41,11.86,11.41,11.63,35036,
2010-03-03 12:03:00,AARDRU,11.64,12.01,11.58,11.68,17165,
2010-03-04 12:03:00,AARDRU,11.77,12.75,11.64,12.31,179042,
2010-03-05 12:03:00,AARDRU,12.38,12.55,12.01,12.09,22433,
2010-03-08 12:03:00,AARDRU,12.36,12.44,12.09,12.24,17625,
2010-03-09 12:03:00,AARDRU,12.49,12.49,12.01,12.13,9143,
2010-03-10 12:03:00,AARDRU,12.19,12.59,12.19,12.39,51377,
2010-03-11 12:03:00,AARDRU,12.29,13.05,12.28,12.47,95127,
2010-03-12 12:03:00,AARDRU,12.33,12.86,12.18,12.38,28045,
2010-03-15 12:03:00,AARDRU,12.38,12.74,12.28,12.35,20992,
