datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,AARIND,12.44,12.6,12.29,12.44,92271,
2010-01-05 12:01:00,AARIND,12.53,12.73,12.34,12.44,110422,
2010-01-06 12:01:00,AARIND,12.58,12.64,12.33,12.41,111151,
2010-01-07 12:01:00,AARIND,12.43,12.56,12.26,12.33,84458,
2010-01-08 12:01:00,AARIND,12.6,12.63,12.3,12.38,145243,
2010-01-11 12:01:00,AARIND,12.5,13.0,12.35,12.65,219509,
2010-01-12 12:01:00,AARIND,12.75,12.91,12.26,12.35,135857,
2010-01-13 12:01:00,AARIND,12.14,12.43,12.11,12.24,70294,
2010-01-14 12:01:00,AARIND,12.15,12.64,12.15,12.39,101933,
2010-01-15 12:01:00,AARIND,12.46,13.09,12.46,12.64,274818,
2010-01-18 12:01:00,AARIND,12.63,12.86,12.63,12.73,109781,
2010-01-19 12:01:00,AARIND,12.88,12.88,12.65,12.68,97905,
2010-01-20 12:01:00,AARIND,12.64,12.88,12.55,12.7,106969,
2010-01-21 12:01:00,AARIND,12.55,13.48,12.48,12.56,560386,
2010-01-22 12:01:00,AARIND,12.4,12.48,11.89,12.26,131320,
2010-01-25 12:01:00,AARIND,12.25,12.93,12.05,12.56,175399,
2010-01-27 12:01:00,AARIND,12.45,12.5,11.75,11.85,122699,
2010-01-28 12:01:00,AARIND,12.13,12.26,11.63,11.8,140720,
2010-01-29 12:01:00,AARIND,11.88,12.08,11.41,11.75,181535,
2010-02-01 12:02:00,AARIND,11.98,12.44,11.88,12.38,147034,
2010-02-02 12:02:00,AARIND,12.61,12.69,12.18,12.25,137355,
2010-02-04 12:02:00,AARIND,12.0,12.0,11.5,11.55,45575,
2010-02-05 12:02:00,AARIND,11.13,11.24,10.75,11.05,87187,
2010-02-06 12:02:00,AARIND,11.09,11.33,11.09,11.24,9603,
2010-02-08 12:02:00,AARIND,11.35,11.46,10.98,11.21,42391,
2010-02-09 12:02:00,AARIND,11.4,11.4,11.13,11.19,30119,
2010-02-10 12:02:00,AARIND,11.26,11.6,11.14,11.23,39756,
2010-02-11 12:02:00,AARIND,11.46,11.46,11.24,11.33,31184,
2010-02-15 12:02:00,AARIND,11.5,11.5,11.01,11.33,32723,
2010-02-16 12:02:00,AARIND,11.35,11.39,11.23,11.3,20786,
2010-02-17 12:02:00,AARIND,11.38,11.6,11.31,11.36,34782,
2010-02-18 12:02:00,AARIND,11.38,11.4,11.16,11.25,28515,
2010-02-19 12:02:00,AARIND,11.23,11.25,11.01,11.14,29017,
2010-02-22 12:02:00,AARIND,11.38,11.41,11.19,11.2,48744,
2010-02-23 12:02:00,AARIND,11.13,11.26,11.03,11.08,26481,
2010-02-24 12:02:00,AARIND,11.31,11.31,11.01,11.1,33779,
2010-02-25 12:02:00,AARIND,11.15,11.16,10.96,11.03,20088,
2010-02-26 12:02:00,AARIND,11.21,11.25,10.88,11.13,35719,
2010-03-02 12:03:00,AARIND,11.46,11.46,11.06,11.29,37255,
2010-03-03 12:03:00,AARIND,11.45,11.46,11.23,11.34,66824,
2010-03-04 12:03:00,AARIND,11.29,11.79,11.29,11.44,66189,
2010-03-05 12:03:00,AARIND,11.55,11.63,11.5,11.56,36968,
2010-03-08 12:03:00,AARIND,11.53,11.71,11.5,11.54,34265,
2010-03-09 12:03:00,AARIND,11.69,11.69,11.5,11.55,33913,
2010-03-10 12:03:00,AARIND,11.63,11.8,11.5,11.68,61126,
2010-03-11 12:03:00,AARIND,11.6,13.2,11.55,12.06,1566765,
2010-03-12 12:03:00,AARIND,12.34,12.73,12.04,12.15,442773,
2010-03-15 12:03:00,AARIND,12.0,12.45,11.9,11.96,85450,
2010-03-16 12:03:00,AARIND,12.18,12.18,11.79,11.91,51011,
2010-03-17 12:03:00,AARIND,12.1,12.1,11.65,11.76,54342,
2010-03-18 12:03:00,AARIND,11.98,12.08,11.75,11.78,84679,
