datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,ADAENT,439.42,455.24,435.47,452.98,285126,
2010-01-05 12:01:00,ADAENT,454.29,464.6,454.29,462.81,349511,
2010-01-06 12:01:00,ADAENT,463.71,514.53,460.88,505.73,1122953,
2010-01-07 12:01:00,ADAENT,516.79,516.79,482.53,486.01,729468,
2010-01-08 12:01:00,ADAENT,488.93,506.06,481.78,491.8,509498,
2010-01-11 12:01:00,ADAENT,492.88,505.07,492.88,500.08,183421,
2010-01-12 12:01:00,ADAENT,502.76,509.82,462.44,469.02,578227,
2010-01-13 12:01:00,ADAENT,474.91,478.67,459.0,464.08,728048,
2010-01-14 12:01:00,ADAENT,470.01,486.29,467.56,482.06,482105,
2010-01-15 12:01:00,ADAENT,484.41,486.67,472.79,481.96,208602,
2010-01-18 12:01:00,ADAENT,476.08,481.96,474.25,476.55,563744,
2010-01-19 12:01:00,ADAENT,479.56,487.19,470.29,474.76,82478,
2010-01-20 12:01:00,ADAENT,479.71,482.29,471.28,477.96,113360,
2010-01-21 12:01:00,ADAENT,470.29,479.52,465.59,468.08,82925,
2010-01-22 12:01:00,ADAENT,463.71,472.18,446.76,464.22,94469,
2010-01-25 12:01:00,ADAENT,456.18,462.76,447.94,455.52,769461,
2010-01-27 12:01:00,ADAENT,457.12,459.8,435.09,446.86,481788,
2010-01-28 12:01:00,ADAENT,446.86,454.29,443.0,446.62,400075,
2010-01-29 12:01:00,ADAENT,439.24,447.71,432.74,445.12,120703,
2010-02-01 12:02:00,ADAENT,439.24,464.55,439.24,458.76,109156,
2010-02-02 12:02:00,ADAENT,462.76,479.61,455.33,467.33,467237,
2010-02-04 12:02:00,ADAENT,479.71,483.66,473.12,478.29,101076,
2010-02-05 12:02:00,ADAENT,460.88,472.18,443.94,467.38,175861,
2010-02-06 12:02:00,ADAENT,470.2,476.88,466.76,469.26,10801,
2010-02-08 12:02:00,ADAENT,460.88,479.71,460.88,472.22,600302,
2010-02-09 12:02:00,ADAENT,472.22,483.94,467.99,478.53,601822,
2010-02-10 12:02:00,ADAENT,470.29,485.26,470.29,480.74,57191,
2010-02-11 12:02:00,ADAENT,476.88,491.94,476.88,485.07,357663,
2010-02-15 12:02:00,ADAENT,489.12,494.76,485.35,488.41,168811,
2010-02-16 12:02:00,ADAENT,493.82,499.33,490.11,496.36,129018,
2010-02-17 12:02:00,ADAENT,508.04,522.91,500.79,516.08,748471,
2010-02-18 12:02:00,ADAENT,515.85,515.85,494.81,502.2,245760,
