datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,AJAPHA,8.87,8.89,8.63,8.69,22413,
2010-01-05 12:01:00,AJAPHA,8.74,8.87,8.46,8.6,29754,
2010-01-06 12:01:00,AJAPHA,8.74,8.74,8.48,8.53,23971,
2010-01-07 12:01:00,AJAPHA,8.67,8.99,8.53,8.74,59745,
2010-01-08 12:01:00,AJAPHA,8.81,8.87,8.54,8.61,17587,
2010-01-11 12:01:00,AJAPHA,8.67,8.81,8.6,8.67,12623,
2010-01-12 12:01:00,AJAPHA,8.79,8.96,8.5,8.54,36488,
2010-01-13 12:01:00,AJAPHA,8.59,8.7,8.38,8.55,14889,
2010-01-14 12:01:00,AJAPHA,8.81,8.81,8.46,8.53,24695,
2010-01-15 12:01:00,AJAPHA,8.66,8.67,8.53,8.59,15841,
2010-01-18 12:01:00,AJAPHA,8.3,8.73,8.22,8.59,32896,
2010-01-19 12:01:00,AJAPHA,8.59,9.07,8.59,8.76,70762,
2010-01-20 12:01:00,AJAPHA,8.81,10.51,8.81,10.14,1385934,
2010-01-21 12:01:00,AJAPHA,9.96,11.07,9.96,10.2,1023772,
2010-01-22 12:01:00,AJAPHA,9.93,10.81,9.48,10.67,422058,
2010-01-25 12:01:00,AJAPHA,10.52,10.94,10.3,10.41,198111,
2010-01-27 12:01:00,AJAPHA,10.44,10.7,9.85,9.96,77936,
2010-01-28 12:01:00,AJAPHA,10.03,10.28,9.63,10.17,56835,
2010-01-29 12:01:00,AJAPHA,10.04,10.22,9.83,10.1,46079,
2010-02-01 12:02:00,AJAPHA,10.14,11.11,10.07,10.57,77115,
2010-02-02 12:02:00,AJAPHA,10.59,10.87,10.3,10.36,34530,
2010-02-04 12:02:00,AJAPHA,10.44,10.72,10.37,10.43,20350,
2010-02-05 12:02:00,AJAPHA,10.08,10.26,9.86,10.15,20063,
2010-02-06 12:02:00,AJAPHA,10.37,10.89,9.85,10.24,3711,
2010-02-08 12:02:00,AJAPHA,10.67,10.67,10.15,10.37,22669,
2010-02-09 12:02:00,AJAPHA,10.4,10.73,10.3,10.6,21855,
2010-02-10 12:02:00,AJAPHA,10.62,12.55,10.62,11.62,1049787,
