datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-05 12:01:00,ALKAMI,11.2,11.99,11.2,11.78,613,
2010-01-06 12:01:00,ALKAMI,11.83,12.33,11.83,12.33,8370,
2010-01-07 12:01:00,ALKAMI,13.0,13.16,11.67,12.08,785,
2010-01-08 12:01:00,ALKAMI,12.0,12.75,12.0,12.59,2778,
2010-01-11 12:01:00,ALKAMI,12.67,14.47,12.67,13.33,1242,
2010-01-12 12:01:00,ALKAMI,13.05,14.0,13.05,13.21,1239,
2010-01-13 12:01:00,ALKAMI,13.73,13.75,13.25,13.51,970,
2010-01-14 12:01:00,ALKAMI,14.22,14.22,13.34,14.0,1623,
2010-01-15 12:01:00,ALKAMI,14.0,14.37,13.65,14.37,1200,
2010-01-19 12:01:00,ALKAMI,13.53,13.88,13.35,13.5,780,
2010-01-20 12:01:00,ALKAMI,13.83,14.0,13.04,13.2,971,
2010-01-21 12:01:00,ALKAMI,13.33,13.33,12.63,13.03,352,
2010-01-22 12:01:00,ALKAMI,14.08,14.08,12.25,13.2,5341,
2010-01-25 12:01:00,ALKAMI,12.5,15.47,10.67,13.74,25170,
2010-01-27 12:01:00,ALKAMI,13.21,13.67,13.13,13.19,3761,
2010-01-28 12:01:00,ALKAMI,12.83,12.83,12.0,12.05,1850,
2010-01-29 12:01:00,ALKAMI,12.0,12.49,11.5,11.89,1013,
2010-02-01 12:02:00,ALKAMI,11.53,13.0,11.53,12.25,446,
2010-02-02 12:02:00,ALKAMI,12.33,12.33,12.01,12.02,436,
2010-02-04 12:02:00,ALKAMI,12.17,12.83,12.0,12.1,262,
2010-02-05 12:02:00,ALKAMI,11.67,12.53,11.67,12.17,498,
2010-02-08 12:02:00,ALKAMI,11.25,12.83,11.21,11.92,1498,
2010-02-09 12:02:00,ALKAMI,11.55,12.13,11.55,11.67,240,
2010-02-10 12:02:00,ALKAMI,11.4,12.33,11.4,11.85,1070,
2010-02-11 12:02:00,ALKAMI,11.71,12.33,11.67,12.33,7007,
2010-02-15 12:02:00,ALKAMI,12.0,12.0,12.0,12.0,19,
2010-02-16 12:02:00,ALKAMI,12.47,12.47,12.47,12.47,9,
2010-02-17 12:02:00,ALKAMI,12.33,12.46,12.0,12.06,485,
2010-02-18 12:02:00,ALKAMI,11.83,11.88,11.8,11.88,245,
2010-02-19 12:02:00,ALKAMI,11.78,11.83,11.77,11.83,240,
2010-02-22 12:02:00,ALKAMI,11.04,12.33,11.04,11.94,2022,
2010-02-24 12:02:00,ALKAMI,12.26,12.27,11.35,11.71,640,
2010-02-25 12:02:00,ALKAMI,11.42,12.33,11.42,12.13,291,
2010-02-26 12:02:00,ALKAMI,12.17,12.17,12.17,12.17,50,
2010-03-02 12:03:00,ALKAMI,11.19,12.19,11.19,11.95,610,
2010-03-03 12:03:00,ALKAMI,11.85,11.92,11.85,11.92,20,
2010-03-04 12:03:00,ALKAMI,11.7,12.12,11.7,11.91,902,
2010-03-05 12:03:00,ALKAMI,11.68,12.67,11.68,11.99,1969,
2010-03-08 12:03:00,ALKAMI,12.63,12.63,11.72,12.21,2002,
2010-03-09 12:03:00,ALKAMI,11.81,12.32,11.79,11.93,745,
2010-03-10 12:03:00,ALKAMI,11.69,12.13,11.69,11.93,445,
2010-03-11 12:03:00,ALKAMI,12.2,12.33,12.2,12.33,75,
2010-03-12 12:03:00,ALKAMI,12.31,12.33,12.31,12.33,95,
2010-03-16 12:03:00,ALKAMI,11.75,12.32,11.75,12.17,360,
2010-03-17 12:03:00,ALKAMI,12.4,12.99,12.0,12.12,1831,
2010-03-18 12:03:00,ALKAMI,12.0,12.13,11.68,11.75,2303,
2010-03-19 12:03:00,ALKAMI,11.83,12.08,11.72,11.72,1594,
2010-03-22 12:03:00,ALKAMI,11.72,11.83,11.35,11.44,430,
2010-03-23 12:03:00,ALKAMI,11.35,11.55,11.17,11.41,1138,
2010-03-25 12:03:00,ALKAMI,11.17,11.67,11.17,11.67,570,
2010-03-26 12:03:00,ALKAMI,11.34,11.42,10.9,11.15,593,
2010-03-29 12:03:00,ALKAMI,11.18,11.49,11.18,11.25,27,
2010-03-30 12:03:00,ALKAMI,11.29,11.29,11.29,11.29,9,
2010-03-31 12:03:00,ALKAMI,11.01,11.01,11.01,11.01,50,
2010-04-01 12:04:00,ALKAMI,11.17,11.25,11.17,11.18,154,
2010-04-05 12:04:00,ALKAMI,11.21,11.62,11.17,11.6,445,
2010-04-06 12:04:00,ALKAMI,11.66,11.67,11.66,11.67,197,
2010-04-07 12:04:00,ALKAMI,12.16,12.92,11.54,12.14,503,
2010-04-08 12:04:00,ALKAMI,12.48,12.5,11.84,11.87,138,
