datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,ALLLOG,24.0,24.86,24.0,24.46,27561,
2010-01-05 12:01:00,ALLLOG,24.85,24.85,23.93,24.41,98267,
2010-01-06 12:01:00,ALLLOG,24.51,24.63,23.89,24.11,32460,
2010-01-07 12:01:00,ALLLOG,24.19,24.36,23.63,24.14,40196,
2010-01-08 12:01:00,ALLLOG,24.04,25.0,24.0,24.01,31963,
2010-01-11 12:01:00,ALLLOG,24.26,24.72,24.06,24.34,34173,
2010-01-12 12:01:00,ALLLOG,23.92,25.62,23.92,24.11,78568,
2010-01-13 12:01:00,ALLLOG,24.33,24.81,24.11,24.48,39872,
2010-01-14 12:01:00,ALLLOG,24.75,24.88,24.19,24.3,40083,
2010-01-15 12:01:00,ALLLOG,24.38,26.63,24.27,25.08,173112,
2010-01-18 12:01:00,ALLLOG,25.39,26.25,25.31,25.56,71185,
2010-01-19 12:01:00,ALLLOG,25.66,26.21,24.63,24.83,51985,
2010-01-20 12:01:00,ALLLOG,25.31,25.44,24.75,24.83,35505,
2010-01-21 12:01:00,ALLLOG,24.63,25.56,23.86,24.17,78903,
2010-01-22 12:01:00,ALLLOG,23.89,24.12,22.88,23.57,29804,
2010-01-25 12:01:00,ALLLOG,23.75,23.98,23.4,23.59,30572,
2010-01-27 12:01:00,ALLLOG,23.88,24.75,21.91,23.23,51289,
2010-01-28 12:01:00,ALLLOG,23.23,23.78,22.75,23.45,48992,
2010-01-29 12:01:00,ALLLOG,23.48,24.45,21.88,23.37,71442,
2010-02-01 12:02:00,ALLLOG,24.0,24.75,23.39,23.69,56185,
2010-02-02 12:02:00,ALLLOG,24.94,24.94,23.13,23.47,37304,
2010-02-04 12:02:00,ALLLOG,23.94,24.0,23.26,23.54,25448,
2010-02-05 12:02:00,ALLLOG,22.88,23.72,22.25,23.26,36776,
2010-02-06 12:02:00,ALLLOG,23.61,24.0,23.41,23.83,8369,
2010-02-08 12:02:00,ALLLOG,24.03,24.31,23.38,23.63,30372,
2010-02-09 12:02:00,ALLLOG,23.63,23.75,23.27,23.55,27761,
2010-02-10 12:02:00,ALLLOG,23.13,23.75,22.63,22.96,29121,
2010-02-11 12:02:00,ALLLOG,22.74,23.47,22.73,23.06,33440,
2010-02-15 12:02:00,ALLLOG,23.37,23.38,22.78,23.05,25258,
2010-02-16 12:02:00,ALLLOG,24.16,24.16,22.63,22.73,27034,
2010-02-17 12:02:00,ALLLOG,23.5,23.5,22.39,22.63,31042,
2010-02-18 12:02:00,ALLLOG,22.63,23.38,22.15,22.68,602914,
2010-02-19 12:02:00,ALLLOG,22.6,22.87,21.64,21.96,28303,
2010-02-22 12:02:00,ALLLOG,22.15,24.19,20.25,22.71,561942,
2010-02-23 12:02:00,ALLLOG,21.76,23.5,21.5,23.14,86838,
2010-02-24 12:02:00,ALLLOG,22.25,23.13,22.25,22.68,23264,
2010-02-25 12:02:00,ALLLOG,22.55,22.58,22.01,22.34,12120,
2010-02-26 12:02:00,ALLLOG,22.08,22.74,22.0,22.36,20851,
2010-03-02 12:03:00,ALLLOG,22.68,22.75,21.5,22.42,18195,
2010-03-03 12:03:00,ALLLOG,24.0,24.0,21.88,22.04,53139,
2010-03-04 12:03:00,ALLLOG,22.04,22.49,22.0,22.11,8355,
2010-03-05 12:03:00,ALLLOG,22.36,22.88,21.88,22.61,15495,
2010-03-08 12:03:00,ALLLOG,22.75,23.25,22.16,22.95,20108,
2010-03-09 12:03:00,ALLLOG,22.75,22.88,22.13,22.81,14200,
2010-03-10 12:03:00,ALLLOG,22.5,23.13,22.46,22.78,8829,
2010-03-11 12:03:00,ALLLOG,22.53,23.11,21.88,22.41,26528,
2010-03-12 12:03:00,ALLLOG,22.68,23.03,22.01,22.51,8328,
2010-03-15 12:03:00,ALLLOG,22.38,22.97,22.2,22.42,9836,
2010-03-16 12:03:00,ALLLOG,22.85,22.85,22.07,22.38,12029,
2010-03-17 12:03:00,ALLLOG,22.74,22.81,22.06,22.16,5093,
2010-03-18 12:03:00,ALLLOG,22.5,23.39,22.29,22.76,18594,
2010-03-19 12:03:00,ALLLOG,22.78,23.38,22.69,23.25,10590,
2010-03-22 12:03:00,ALLLOG,23.23,23.5,22.71,23.18,5271,
2010-03-23 12:03:00,ALLLOG,22.96,23.51,22.88,23.29,7616,
2010-03-25 12:03:00,ALLLOG,23.04,23.36,22.93,23.07,5438,
2010-03-26 12:03:00,ALLLOG,23.3,23.34,22.75,22.84,57881,
2010-03-29 12:03:00,ALLLOG,22.76,23.18,22.63,22.72,9084,
2010-03-30 12:03:00,ALLLOG,23.06,23.35,22.75,23.1,6493,
2010-03-31 12:03:00,ALLLOG,23.13,23.74,22.81,23.31,25161,
2010-04-01 12:04:00,ALLLOG,23.48,24.0,23.03,23.41,11500,
2010-04-05 12:04:00,ALLLOG,23.78,24.25,23.27,23.38,10054,
2010-04-06 12:04:00,ALLLOG,23.76,24.24,22.91,23.32,90949,
2010-04-07 12:04:00,ALLLOG,23.61,24.0,22.88,23.12,79670,
2010-04-08 12:04:00,ALLLOG,23.13,23.5,23.0,23.11,17540,
2010-04-09 12:04:00,ALLLOG,22.63,23.61,22.63,23.25,13838,
2010-04-12 12:04:00,ALLLOG,23.24,23.44,22.88,22.99,67835,
2010-04-13 12:04:00,ALLLOG,23.12,23.61,22.93,23.03,24178,
2010-04-16 12:04:00,ALLLOG,23.5,24.22,23.28,23.42,73221,
2010-04-19 12:04:00,ALLLOG,23.24,23.24,22.63,22.73,14237,
2010-04-20 12:04:00,ALLLOG,23.13,23.98,22.92,23.27,23932,
2010-04-21 12:04:00,ALLLOG,24.06,24.06,23.13,23.19,10611,
2010-04-22 12:04:00,ALLLOG,23.22,23.68,23.13,23.41,6453,
2010-04-23 12:04:00,ALLLOG,23.41,24.05,23.41,23.74,14232,
