datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,ALOIND,17.8,18.37,17.8,18.28,7950166,
2010-01-05 12:01:00,ALOIND,18.34,18.49,18.04,18.16,5251444,
2010-01-06 12:01:00,ALOIND,18.37,18.37,17.89,18.04,3526643,
2010-01-07 12:01:00,ALOIND,17.92,19.12,17.92,19.0,21192136,
2010-01-08 12:01:00,ALOIND,19.15,19.33,18.7,18.79,12622637,
2010-01-11 12:01:00,ALOIND,18.88,19.24,18.73,19.0,7925866,
2010-01-12 12:01:00,ALOIND,19.15,19.15,18.46,18.55,7307396,
2010-01-13 12:01:00,ALOIND,18.46,18.79,18.22,18.67,4068836,
2010-01-14 12:01:00,ALOIND,18.7,19.27,18.67,18.94,5135303,
2010-01-15 12:01:00,ALOIND,19.03,19.12,18.73,18.82,4416332,
2010-01-18 12:01:00,ALOIND,18.82,18.97,18.61,18.73,3258514,
2010-01-19 12:01:00,ALOIND,18.88,19.81,18.73,19.27,18311998,
2010-01-20 12:01:00,ALOIND,19.36,19.63,19.06,19.33,8316024,
2010-01-21 12:01:00,ALOIND,19.27,20.23,19.06,19.99,26136765,
2010-01-22 12:01:00,ALOIND,19.72,20.77,18.91,20.65,27121316,
2010-01-25 12:01:00,ALOIND,20.47,20.8,19.96,20.44,12007247,
2010-01-27 12:01:00,ALOIND,20.26,20.44,18.73,19.0,9850565,
2010-01-28 12:01:00,ALOIND,18.88,19.75,18.88,19.48,9198100,
2010-01-29 12:01:00,ALOIND,19.57,19.9,18.94,19.81,6778978,
2010-02-01 12:02:00,ALOIND,19.6,20.32,19.54,19.81,6908382,
2010-02-02 12:02:00,ALOIND,20.05,20.29,19.0,19.15,4763857,
2010-02-04 12:02:00,ALOIND,19.3,19.36,18.58,18.67,3688014,
2010-02-05 12:02:00,ALOIND,18.13,18.4,17.92,18.28,4516947,
2010-02-06 12:02:00,ALOIND,18.52,18.88,18.46,18.79,1039274,
2010-02-08 12:02:00,ALOIND,18.97,19.51,18.4,19.33,7723625,
2010-02-09 12:02:00,ALOIND,19.06,19.54,19.06,19.18,2248241,
2010-02-10 12:02:00,ALOIND,19.36,19.45,18.88,18.97,2716157,
2010-02-11 12:02:00,ALOIND,19.15,19.87,19.12,19.72,7341760,
2010-02-15 12:02:00,ALOIND,19.93,20.11,19.69,19.87,6613875,
2010-02-16 12:02:00,ALOIND,20.2,20.2,19.42,19.9,4011820,
2010-02-17 12:02:00,ALOIND,20.2,20.2,19.54,19.63,3751214,
2010-02-18 12:02:00,ALOIND,19.87,19.87,19.09,19.18,4371423,
2010-02-19 12:02:00,ALOIND,19.06,19.21,18.43,18.52,6469571,
2010-02-22 12:02:00,ALOIND,18.82,19.03,17.95,18.01,6448583,
2010-02-23 12:02:00,ALOIND,18.01,18.25,17.77,18.04,3976775,
2010-02-24 12:02:00,ALOIND,18.16,18.34,17.86,18.25,2416617,
2010-02-25 12:02:00,ALOIND,18.34,18.49,18.25,18.31,1820649,
2010-02-26 12:02:00,ALOIND,18.4,18.79,18.01,18.1,5116284,
2010-03-02 12:03:00,ALOIND,18.1,18.28,17.95,18.13,2616786,
2010-03-03 12:03:00,ALOIND,18.34,18.52,18.22,18.28,2303586,
2010-03-04 12:03:00,ALOIND,18.34,18.52,18.28,18.37,1743525,
2010-03-05 12:03:00,ALOIND,18.49,18.7,18.43,18.58,2069737,
2010-03-08 12:03:00,ALOIND,19.0,19.0,18.4,18.46,1537551,
2010-03-09 12:03:00,ALOIND,18.46,18.64,18.1,18.19,2352991,
2010-03-10 12:03:00,ALOIND,18.25,18.37,17.8,17.92,3481454,
2010-03-11 12:03:00,ALOIND,18.37,18.37,17.95,18.1,1843939,
2010-03-12 12:03:00,ALOIND,18.07,18.28,17.89,17.92,1572957,
2010-03-15 12:03:00,ALOIND,17.68,18.01,17.62,17.68,1462442,
2010-03-16 12:03:00,ALOIND,17.83,18.19,17.8,18.13,1893859,
2010-03-17 12:03:00,ALOIND,18.22,18.37,17.83,17.92,2446886,
2010-03-18 12:03:00,ALOIND,18.4,18.85,17.62,17.71,11041476,
2010-03-19 12:03:00,ALOIND,17.86,18.34,17.32,17.44,13202941,
2010-03-22 12:03:00,ALOIND,17.2,18.16,17.2,17.95,17362877,
2010-03-23 12:03:00,ALOIND,18.04,18.25,17.95,18.01,9705209,
2010-03-25 12:03:00,ALOIND,18.1,18.22,17.62,17.65,2778846,
2010-03-26 12:03:00,ALOIND,17.68,17.89,17.38,17.44,3130059,
2010-03-29 12:03:00,ALOIND,17.5,17.62,17.26,17.35,2324897,
2010-03-30 12:03:00,ALOIND,17.41,17.59,17.29,17.38,2255107,
2010-03-31 12:03:00,ALOIND,17.5,17.56,17.26,17.32,2004863,
2010-04-01 12:04:00,ALOIND,17.44,17.74,17.38,17.65,2019859,
2010-04-05 12:04:00,ALOIND,17.8,17.89,17.59,17.74,3792212,
2010-04-06 12:04:00,ALOIND,17.89,17.95,17.71,17.77,3088174,
2010-04-07 12:04:00,ALOIND,17.74,17.92,17.47,17.53,5050085,
2010-04-08 12:04:00,ALOIND,17.59,17.71,17.14,17.2,6309348,
2010-04-09 12:04:00,ALOIND,17.35,17.44,17.02,17.08,6503797,
2010-04-12 12:04:00,ALOIND,17.2,17.44,17.08,17.23,3568566,
2010-04-13 12:04:00,ALOIND,17.26,17.26,16.93,17.02,2774228,
2010-04-16 12:04:00,ALOIND,16.36,16.72,16.36,16.48,2360131,
2010-04-19 12:04:00,ALOIND,16.3,16.42,16.18,16.27,2151888,
2010-04-20 12:04:00,ALOIND,16.39,16.54,16.24,16.3,2853771,
2010-04-21 12:04:00,ALOIND,16.75,16.75,16.15,16.21,8495420,
2010-04-22 12:04:00,ALOIND,16.21,16.45,16.0,16.06,5790108,
2010-04-23 12:04:00,ALOIND,16.21,16.39,16.12,16.27,5164716,
2010-04-26 12:04:00,ALOIND,16.3,16.6,16.3,16.51,2543912,
2010-04-27 12:04:00,ALOIND,16.54,16.75,16.48,16.54,2823888,
2010-04-28 12:04:00,ALOIND,16.33,16.57,16.18,16.24,3207221,
2010-04-29 12:04:00,ALOIND,16.39,16.45,16.27,16.33,1461628,
2010-04-30 12:04:00,ALOIND,16.48,16.66,16.39,16.57,3018902,
2010-05-03 12:05:00,ALOIND,16.66,16.96,16.54,16.6,6474475,
2010-05-04 12:05:00,ALOIND,16.72,16.78,16.24,16.3,2781106,
2010-05-05 12:05:00,ALOIND,16.06,16.33,16.03,16.27,2225861,
2010-05-06 12:05:00,ALOIND,16.57,16.57,16.12,16.24,1830764,
2010-05-07 12:05:00,ALOIND,16.03,16.09,15.64,15.73,3099590,
2010-05-10 12:05:00,ALOIND,16.0,16.21,15.82,16.15,2111107,
2010-05-11 12:05:00,ALOIND,16.15,16.18,16.0,16.03,1519026,
2010-05-12 12:05:00,ALOIND,16.03,16.12,15.76,15.82,1710980,
2010-05-13 12:05:00,ALOIND,15.73,16.15,15.73,15.94,1918298,
2010-05-14 12:05:00,ALOIND,16.09,16.48,15.88,16.06,11003302,
2010-05-17 12:05:00,ALOIND,15.91,16.0,15.7,15.91,1584146,
2010-05-18 12:05:00,ALOIND,15.91,16.09,15.79,15.97,1662151,
2010-05-19 12:05:00,ALOIND,15.88,15.88,15.37,15.43,1786651,
2010-05-20 12:05:00,ALOIND,15.49,15.67,15.16,15.19,1827703,
2010-05-24 12:05:00,ALOIND,15.4,15.4,14.92,15.01,1650012,
2010-05-25 12:05:00,ALOIND,14.98,14.98,14.68,14.68,1107978,
2010-05-26 12:05:00,ALOIND,14.89,14.98,14.74,14.89,1373680,
2010-05-27 12:05:00,ALOIND,14.89,15.01,14.77,14.92,1704566,
2010-05-28 12:05:00,ALOIND,15.04,15.28,15.01,15.25,1440570,
2010-05-31 12:05:00,ALOIND,15.37,16.0,15.25,15.61,2027737,
2010-06-01 12:06:00,ALOIND,15.61,15.7,15.25,15.4,1493293,
2010-06-02 12:06:00,ALOIND,15.43,15.52,15.37,15.46,771545,
2010-06-03 12:06:00,ALOIND,15.52,15.64,15.4,15.46,697430,
2010-06-04 12:06:00,ALOIND,15.46,15.52,15.1,15.16,1764315,
2010-06-07 12:06:00,ALOIND,14.8,15.1,14.8,15.01,1167159,
2010-06-08 12:06:00,ALOIND,15.01,15.13,14.68,14.71,1327997,
2010-06-09 12:06:00,ALOIND,14.71,14.98,14.71,14.8,983932,
2010-06-10 12:06:00,ALOIND,14.92,14.95,14.68,14.8,2090543,
2010-06-11 12:06:00,ALOIND,14.92,14.95,14.77,14.86,1239245,
2010-06-14 12:06:00,ALOIND,14.86,16.0,14.86,15.67,7366606,
2010-06-15 12:06:00,ALOIND,15.4,15.91,15.4,15.82,2796460,
2010-06-16 12:06:00,ALOIND,15.55,15.91,15.52,15.55,1194355,
2010-06-17 12:06:00,ALOIND,15.73,15.73,15.46,15.58,868742,
2010-06-18 12:06:00,ALOIND,15.4,15.67,15.4,15.46,1181940,
2010-06-21 12:06:00,ALOIND,15.46,15.73,15.46,15.67,1187278,
2010-06-22 12:06:00,ALOIND,15.58,16.48,15.58,16.24,9309087,
2010-06-23 12:06:00,ALOIND,16.39,16.72,16.21,16.57,9686972,
2010-06-24 12:06:00,ALOIND,17.17,17.17,16.06,16.15,6036324,
2010-06-25 12:06:00,ALOIND,16.15,16.27,15.79,15.88,4497063,
2010-06-28 12:06:00,ALOIND,15.94,16.57,15.94,16.51,5199584,
2010-06-30 12:06:00,ALOIND,16.36,16.36,15.97,16.06,3337686,
2010-07-01 12:07:00,ALOIND,15.88,16.3,15.88,16.24,2074733,
2010-07-02 12:07:00,ALOIND,16.33,16.39,16.15,16.18,1738018,
2010-07-05 12:07:00,ALOIND,16.21,16.24,16.03,16.12,923611,
