datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,AMARAJ,82.45,84.0,82.03,82.33,96692,
2010-01-05 12:01:00,AMARAJ,82.63,85.9,82.63,83.23,467724,
2010-01-06 12:01:00,AMARAJ,83.98,87.65,83.5,85.28,592089,
2010-01-07 12:01:00,AMARAJ,85.98,89.0,84.55,85.75,469608,
2010-01-08 12:01:00,AMARAJ,86.2,87.6,85.05,85.3,120685,
2010-01-11 12:01:00,AMARAJ,85.68,86.68,85.08,85.93,125042,
2010-01-12 12:01:00,AMARAJ,86.2,87.13,82.3,83.5,287328,
2010-01-13 12:01:00,AMARAJ,83.5,85.7,82.03,84.4,142583,
2010-01-14 12:01:00,AMARAJ,85.03,89.95,85.03,87.38,765486,
2010-01-15 12:01:00,AMARAJ,87.6,88.35,86.25,87.45,209517,
2010-01-18 12:01:00,AMARAJ,86.5,88.75,84.25,86.73,139068,
2010-01-19 12:01:00,AMARAJ,87.45,89.78,86.03,87.03,363704,
2010-01-20 12:01:00,AMARAJ,87.75,88.98,86.9,87.43,213572,
2010-01-21 12:01:00,AMARAJ,87.75,88.23,83.28,84.58,511951,
2010-01-22 12:01:00,AMARAJ,82.5,82.5,79.0,81.0,407072,
2010-01-25 12:01:00,AMARAJ,80.5,82.2,77.03,79.73,354911,
2010-01-27 12:01:00,AMARAJ,78.5,80.0,72.05,73.9,413799,
2010-01-28 12:01:00,AMARAJ,74.25,77.4,73.75,76.88,394171,
2010-01-29 12:01:00,AMARAJ,76.73,79.2,73.9,78.28,147115,
2010-02-01 12:02:00,AMARAJ,79.48,79.95,77.1,78.75,174005,
2010-02-02 12:02:00,AMARAJ,79.55,80.95,77.0,77.25,70519,
2010-02-04 12:02:00,AMARAJ,80.5,80.5,78.0,78.25,53914,
2010-02-05 12:02:00,AMARAJ,75.05,77.0,73.33,75.58,94933,
2010-02-06 12:02:00,AMARAJ,76.5,76.98,76.0,76.38,9506,
2010-02-08 12:02:00,AMARAJ,78.5,78.5,75.0,75.43,69523,
2010-02-09 12:02:00,AMARAJ,75.53,77.5,75.53,77.08,160128,
2010-02-10 12:02:00,AMARAJ,77.85,78.0,76.0,76.1,30815,
2010-02-11 12:02:00,AMARAJ,76.98,77.4,75.53,76.13,33268,
2010-02-15 12:02:00,AMARAJ,77.38,77.63,75.53,75.75,148569,
2010-02-16 12:02:00,AMARAJ,76.45,77.0,75.05,75.63,454665,
2010-02-17 12:02:00,AMARAJ,76.38,77.85,75.6,77.08,83392,
2010-02-18 12:02:00,AMARAJ,77.0,77.45,75.5,76.18,27167,
2010-02-19 12:02:00,AMARAJ,75.95,76.5,74.65,74.98,40194,
2010-02-22 12:02:00,AMARAJ,75.75,76.9,75.28,76.08,40827,
2010-02-23 12:02:00,AMARAJ,75.6,76.45,75.5,76.33,27741,
2010-02-24 12:02:00,AMARAJ,76.48,76.48,74.28,75.08,24098,
2010-02-25 12:02:00,AMARAJ,75.55,76.0,74.15,75.58,52051,
2010-02-26 12:02:00,AMARAJ,76.0,76.15,74.88,75.13,49630,
2010-03-02 12:03:00,AMARAJ,76.0,77.0,75.13,76.45,74603,
2010-03-03 12:03:00,AMARAJ,77.0,79.95,76.58,77.18,107955,
2010-03-04 12:03:00,AMARAJ,77.25,78.5,76.7,78.05,81061,
2010-03-05 12:03:00,AMARAJ,79.5,80.0,78.03,78.38,56066,
2010-03-08 12:03:00,AMARAJ,79.5,79.98,77.55,78.3,51975,
2010-03-09 12:03:00,AMARAJ,79.0,79.0,77.5,77.75,78709,
2010-03-10 12:03:00,AMARAJ,76.08,79.38,76.08,78.58,56326,
2010-03-11 12:03:00,AMARAJ,78.0,84.23,77.68,82.28,411684,
2010-03-12 12:03:00,AMARAJ,83.1,86.2,82.5,82.8,383312,
2010-03-15 12:03:00,AMARAJ,83.0,84.23,80.63,80.95,95480,
2010-03-16 12:03:00,AMARAJ,81.73,82.35,80.55,81.63,104960,
2010-03-17 12:03:00,AMARAJ,82.5,87.5,81.53,84.88,633448,
2010-03-18 12:03:00,AMARAJ,86.0,86.3,83.8,84.23,138046,
2010-03-19 12:03:00,AMARAJ,84.7,85.15,81.83,83.15,122466,
2010-03-22 12:03:00,AMARAJ,82.0,84.9,81.88,83.03,73909,
2010-03-23 12:03:00,AMARAJ,83.6,84.2,82.88,83.25,46883,
2010-03-25 12:03:00,AMARAJ,83.25,84.0,80.05,81.1,89548,
2010-03-26 12:03:00,AMARAJ,81.7,84.2,81.0,82.33,137686,
2010-03-29 12:03:00,AMARAJ,83.23,83.23,80.15,81.13,111885,
2010-03-30 12:03:00,AMARAJ,72.5,82.45,72.5,82.05,117377,
2010-03-31 12:03:00,AMARAJ,82.05,82.75,81.5,82.1,77356,
2010-04-01 12:04:00,AMARAJ,83.0,85.58,82.5,84.43,189323,
2010-04-05 12:04:00,AMARAJ,85.98,86.38,85.0,85.75,137334,
2010-04-06 12:04:00,AMARAJ,85.85,87.63,84.3,86.75,238188,
2010-04-07 12:04:00,AMARAJ,87.5,87.5,85.0,85.83,106192,
2010-04-08 12:04:00,AMARAJ,86.0,86.38,84.0,84.85,53886,
2010-04-09 12:04:00,AMARAJ,85.05,88.75,85.05,88.18,718739,
2010-04-12 12:04:00,AMARAJ,86.0,92.48,86.0,90.38,1728736,
2010-04-13 12:04:00,AMARAJ,91.5,92.73,88.28,88.75,464903,
2010-04-16 12:04:00,AMARAJ,89.45,89.45,86.13,86.53,143135,
2010-04-19 12:04:00,AMARAJ,85.0,86.25,83.15,84.7,85326,
2010-04-20 12:04:00,AMARAJ,84.7,88.38,84.7,86.15,124935,
2010-04-21 12:04:00,AMARAJ,87.25,87.4,85.18,85.5,129287,
2010-04-22 12:04:00,AMARAJ,85.75,86.2,84.6,85.43,204430,
