datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,ANARAJ,134.0,135.0,133.1,134.65,187187,
2010-01-05 12:01:00,ANARAJ,135.15,136.0,132.3,132.95,252368,
2010-01-06 12:01:00,ANARAJ,134.0,144.6,132.8,143.15,1232231,
2010-01-07 12:01:00,ANARAJ,145.15,145.75,138.5,139.95,476221,
2010-01-08 12:01:00,ANARAJ,141.5,148.0,140.25,143.9,1083761,
2010-01-11 12:01:00,ANARAJ,145.1,151.95,144.1,147.85,1280004,
2010-01-12 12:01:00,ANARAJ,148.0,148.65,143.1,144.5,617864,
2010-01-13 12:01:00,ANARAJ,143.8,144.9,138.5,144.1,212787,
2010-01-14 12:01:00,ANARAJ,145.2,148.9,144.5,148.15,453556,
2010-01-15 12:01:00,ANARAJ,149.2,155.6,147.0,152.9,1279257,
2010-01-18 12:01:00,ANARAJ,151.4,158.25,151.4,153.75,836439,
2010-01-19 12:01:00,ANARAJ,151.0,155.0,148.6,150.1,472716,
2010-01-20 12:01:00,ANARAJ,151.0,156.5,150.1,153.7,785007,
2010-01-21 12:01:00,ANARAJ,151.0,154.8,141.5,146.2,753713,
2010-01-22 12:01:00,ANARAJ,140.0,148.4,138.75,144.25,416306,
2010-01-25 12:01:00,ANARAJ,142.0,145.85,137.0,139.9,554277,
2010-01-27 12:01:00,ANARAJ,141.4,141.4,131.4,133.05,290670,
2010-01-28 12:01:00,ANARAJ,134.1,139.4,130.3,131.9,280552,
2010-01-29 12:01:00,ANARAJ,133.0,137.1,128.4,135.2,444492,
2010-02-01 12:02:00,ANARAJ,134.9,138.4,133.5,135.75,568839,
2010-02-02 12:02:00,ANARAJ,137.4,138.0,126.75,128.7,414563,
2010-02-04 12:02:00,ANARAJ,133.1,133.6,128.0,129.2,159744,
2010-02-05 12:02:00,ANARAJ,128.0,128.0,121.3,123.2,223866,
2010-02-06 12:02:00,ANARAJ,125.4,131.45,125.4,129.3,81374,
2010-02-08 12:02:00,ANARAJ,131.0,133.8,128.05,131.9,419261,
2010-02-09 12:02:00,ANARAJ,133.4,133.4,129.9,130.5,271846,
2010-02-10 12:02:00,ANARAJ,133.7,134.15,129.6,130.4,214352,
2010-02-11 12:02:00,ANARAJ,132.5,132.5,128.6,129.5,196297,
2010-02-15 12:02:00,ANARAJ,130.05,132.0,122.4,123.55,292424,
2010-02-16 12:02:00,ANARAJ,127.0,130.4,123.65,129.4,432267,
2010-02-17 12:02:00,ANARAJ,131.4,134.0,130.25,132.75,393678,
2010-02-18 12:02:00,ANARAJ,133.0,136.8,132.05,134.0,261050,
2010-02-19 12:02:00,ANARAJ,133.1,134.5,128.05,128.85,174142,
2010-02-22 12:02:00,ANARAJ,131.0,131.7,125.2,126.1,105864,
2010-02-23 12:02:00,ANARAJ,126.7,129.0,124.2,125.3,147337,
2010-02-24 12:02:00,ANARAJ,125.0,126.8,123.2,124.5,95137,
