datetime,stock_code,open,high,low,close,volume,open_interest
2021-12-14 12:12:00,ANARAT,300.0,307.5,282.78,291.78,13930950,
2021-12-15 12:12:00,ANARAT,292.5,299.4,289.0,292.48,1337812,
2021-12-16 12:12:00,ANARAT,293.0,297.25,283.05,285.45,664868,
2021-12-17 12:12:00,ANARAT,285.4,289.48,282.48,284.38,664213,
2021-12-20 12:12:00,ANARAT,277.5,280.33,271.3,275.78,790254,
2021-12-21 12:12:00,ANARAT,276.0,289.2,276.0,287.33,571786,
2021-12-22 12:12:00,ANARAT,285.0,294.48,285.0,290.25,302623,
2021-12-23 12:12:00,ANARAT,290.25,293.5,285.03,288.05,205315,
2021-12-24 12:12:00,ANARAT,287.05,288.65,282.8,285.7,148467,
2021-12-27 12:12:00,ANARAT,281.55,286.48,281.55,285.73,218861,
2021-12-28 12:12:00,ANARAT,286.0,289.0,283.5,286.03,235878,
2021-12-29 12:12:00,ANARAT,285.05,301.03,284.1,291.58,373429,
2021-12-30 12:12:00,ANARAT,290.08,302.5,290.08,292.88,637277,
2021-12-31 12:12:00,ANARAT,293.98,303.0,292.5,294.25,383891,
2022-01-03 12:01:00,ANARAT,297.5,321.25,296.03,316.38,1123074,
2022-01-04 12:01:00,ANARAT,314.85,327.0,309.18,319.9,943975,
2022-01-05 12:01:00,ANARAT,317.95,324.25,315.7,318.55,345322,
2022-01-06 12:01:00,ANARAT,317.45,321.0,312.0,317.35,300674,
2022-01-07 12:01:00,ANARAT,323.0,324.5,304.0,309.73,949045,
2022-01-10 12:01:00,ANARAT,305.05,322.2,298.53,314.65,1185655,
2022-01-11 12:01:00,ANARAT,314.85,320.38,309.5,313.0,378459,
2022-01-12 12:01:00,ANARAT,315.35,317.45,305.05,309.23,161687,
2022-01-13 12:01:00,ANARAT,311.73,313.95,306.9,309.95,353212,
2022-01-14 12:01:00,ANARAT,311.95,314.5,308.28,311.48,166453,
2022-01-17 12:01:00,ANARAT,314.25,319.03,308.05,309.5,269120,
2022-01-18 12:01:00,ANARAT,313.0,315.03,305.0,306.75,154614,
2022-01-19 12:01:00,ANARAT,306.5,310.5,299.85,305.43,145045,
2022-01-20 12:01:00,ANARAT,302.55,313.2,301.38,302.53,309974,
2022-01-21 12:01:00,ANARAT,298.0,310.45,297.98,301.55,212651,
2022-01-24 12:01:00,ANARAT,302.45,304.15,285.5,290.03,317612,
2022-01-25 12:01:00,ANARAT,290.0,300.4,287.13,296.23,150277,
2022-01-27 12:01:00,ANARAT,295.0,299.5,291.4,296.85,49623,
2022-01-28 12:01:00,ANARAT,298.45,305.48,295.0,297.1,98971,
2022-01-31 12:01:00,ANARAT,299.83,302.0,290.5,292.25,200431,
2022-02-01 12:02:00,ANARAT,294.5,299.0,290.0,294.55,140359,
2022-02-02 12:02:00,ANARAT,295.55,300.5,294.55,296.73,67753,
2022-02-03 12:02:00,ANARAT,294.63,297.98,293.18,293.5,40506,
2022-02-04 12:02:00,ANARAT,294.0,295.03,287.0,293.75,66736,
2022-02-07 12:02:00,ANARAT,293.5,294.83,290.0,291.7,37641,
2022-02-08 12:02:00,ANARAT,291.5,295.0,285.08,291.58,102788,
2022-02-09 12:02:00,ANARAT,293.0,295.5,285.0,290.93,134125,
2022-02-10 12:02:00,ANARAT,291.5,303.88,291.08,302.85,193406,
2022-02-11 12:02:00,ANARAT,306.48,306.9,275.0,295.9,186326,
2022-02-14 12:02:00,ANARAT,287.7,292.98,277.25,284.35,231591,
2022-02-15 12:02:00,ANARAT,283.0,296.2,278.63,293.08,294912,
2022-02-16 12:02:00,ANARAT,292.5,295.75,285.05,285.88,63886,
2022-02-17 12:02:00,ANARAT,286.5,289.0,281.0,286.43,134045,
2022-02-18 12:02:00,ANARAT,283.55,286.65,280.1,283.1,110431,
2022-02-21 12:02:00,ANARAT,279.9,284.08,278.0,281.6,81389,
2022-02-22 12:02:00,ANARAT,275.05,282.0,273.05,280.23,141915,
2022-02-23 12:02:00,ANARAT,278.55,286.2,278.2,280.45,21214,
2022-02-24 12:02:00,ANARAT,275.43,278.33,271.03,275.7,159114,
2022-02-25 12:02:00,ANARAT,277.5,282.45,277.5,279.9,128129,
2022-02-28 12:02:00,ANARAT,279.9,280.73,277.03,279.5,27790,
2022-03-02 12:03:00,ANARAT,277.05,282.5,276.05,277.85,39794,
2022-03-03 12:03:00,ANARAT,277.5,283.45,277.5,281.15,37897,
2022-03-04 12:03:00,ANARAT,277.0,282.33,277.0,278.45,30004,
2022-03-07 12:03:00,ANARAT,277.5,280.6,276.0,279.58,35960,
2022-03-08 12:03:00,ANARAT,278.05,300.9,278.05,291.83,221988,
2022-03-09 12:03:00,ANARAT,295.25,295.25,286.2,292.25,108550,
2022-03-10 12:03:00,ANARAT,294.88,295.0,285.0,289.05,78707,
2022-03-11 12:03:00,ANARAT,290.0,292.0,285.38,286.43,137947,
