datetime,stock_code,open,high,low,close,volume,open_interest
2011-12-14 12:12:00,APLAPO,15.98,15.98,14.1,14.57,95534,
2011-12-15 12:12:00,APLAPO,14.01,14.5,14.01,14.2,5780,
2011-12-16 12:12:00,APLAPO,14.46,14.69,13.8,14.06,3776,
2011-12-19 12:12:00,APLAPO,13.21,14.35,13.21,13.71,1369,
2011-12-20 12:12:00,APLAPO,13.7,14.0,13.6,13.6,468,
2011-12-21 12:12:00,APLAPO,13.85,13.85,13.3,13.36,303,
2011-12-22 12:12:00,APLAPO,13.2,13.45,13.16,13.17,3870,
2011-12-23 12:12:00,APLAPO,13.45,13.95,13.31,13.32,4002,
2011-12-26 12:12:00,APLAPO,13.7,13.7,13.4,13.7,126,
2011-12-27 12:12:00,APLAPO,13.89,13.9,13.26,13.75,32889,
2011-12-28 12:12:00,APLAPO,13.98,13.98,13.44,13.48,9,
2011-12-29 12:12:00,APLAPO,13.71,14.0,13.25,13.65,145114,
2011-12-30 12:12:00,APLAPO,13.6,14.4,13.6,14.05,10885,
2012-01-02 12:01:00,APLAPO,13.98,13.98,13.95,13.95,625,
2012-01-03 12:01:00,APLAPO,13.95,13.98,13.56,13.75,7752,
2012-01-04 12:01:00,APLAPO,13.98,14.79,13.5,13.83,1018,
2012-01-05 12:01:00,APLAPO,13.99,13.99,13.64,13.9,520,
2012-01-06 12:01:00,APLAPO,13.27,13.95,13.27,13.9,194,
2012-01-09 12:01:00,APLAPO,13.5,13.8,13.49,13.54,540,
2012-01-10 12:01:00,APLAPO,13.9,14.48,13.65,14.03,27665,
2012-01-11 12:01:00,APLAPO,13.57,14.0,13.57,13.98,6077,
2012-01-12 12:01:00,APLAPO,11.59,13.9,11.59,13.22,9390,
2012-01-13 12:01:00,APLAPO,13.5,13.8,13.5,13.5,1310,
2012-01-16 12:01:00,APLAPO,13.85,13.85,13.4,13.4,101,
2012-01-18 12:01:00,APLAPO,13.5,13.5,13.5,13.5,100,
2012-01-19 12:01:00,APLAPO,13.21,13.58,13.21,13.56,165,
2012-01-20 12:01:00,APLAPO,13.25,13.85,13.25,13.85,14613,
2012-01-23 12:01:00,APLAPO,13.8,13.8,13.31,13.33,4,
2012-01-24 12:01:00,APLAPO,13.8,13.8,13.5,13.65,2302,
2012-01-25 12:01:00,APLAPO,12.67,15.84,12.65,14.98,34698,
2012-01-27 12:01:00,APLAPO,15.3,16.43,15.3,15.96,25241,
2012-01-30 12:01:00,APLAPO,15.5,15.7,14.64,15.69,4466,
2012-01-31 12:01:00,APLAPO,15.5,16.0,15.5,15.89,5201,
2012-02-01 12:02:00,APLAPO,15.5,15.71,14.82,15.6,556,
2012-02-02 12:02:00,APLAPO,15.3,15.4,15.11,15.2,188,
2012-02-03 12:02:00,APLAPO,15.05,15.29,15.01,15.29,1000,
2012-02-06 12:02:00,APLAPO,15.7,16.0,15.1,15.38,18726,
2012-02-07 12:02:00,APLAPO,15.4,16.0,14.78,15.62,1978,
2012-02-08 12:02:00,APLAPO,15.7,15.99,15.6,15.61,14021,
2012-02-09 12:02:00,APLAPO,15.3,15.33,15.16,15.16,1647,
2012-02-13 12:02:00,APLAPO,14.9,14.9,14.61,14.74,451,
2012-02-14 12:02:00,APLAPO,14.7,14.7,14.65,14.68,3625,
2012-02-15 12:02:00,APLAPO,14.55,14.88,14.55,14.62,2182,
2012-02-16 12:02:00,APLAPO,14.36,16.8,14.3,16.51,70265,
2012-02-17 12:02:00,APLAPO,16.51,16.6,15.7,16.46,18541,
2012-02-21 12:02:00,APLAPO,16.0,17.5,16.0,16.34,10324,
2012-02-22 12:02:00,APLAPO,16.98,17.16,16.55,16.87,30343,
2012-02-23 12:02:00,APLAPO,16.61,17.3,15.7,16.91,106653,
2012-02-27 12:02:00,APLAPO,17.5,17.5,16.6,17.0,11436,
2012-02-28 12:02:00,APLAPO,16.7,18.45,16.61,18.21,30806,
2012-02-29 12:02:00,APLAPO,18.0,19.0,18.0,18.48,27406,
2012-03-01 12:03:00,APLAPO,18.5,18.5,17.8,18.14,4294,
2012-03-02 12:03:00,APLAPO,17.91,17.91,17.3,17.55,504,
2012-03-03 12:03:00,APLAPO,18.3,18.3,18.3,18.3,1,
2012-03-05 12:03:00,APLAPO,18.0,18.3,17.4,17.99,8204,
2012-03-06 12:03:00,APLAPO,17.7,18.1,16.9,17.19,7776,
2012-03-07 12:03:00,APLAPO,17.5,17.89,17.0,17.75,4526,
2012-03-09 12:03:00,APLAPO,17.4,18.3,17.14,18.28,6908,
2012-03-12 12:03:00,APLAPO,18.98,19.0,17.8,18.22,13243,
2012-03-13 12:03:00,APLAPO,18.06,19.2,18.0,18.94,19045,
2012-03-14 12:03:00,APLAPO,19.97,20.09,19.0,19.74,27053,
2012-03-15 12:03:00,APLAPO,20.35,20.35,19.0,19.68,13111,
2012-03-16 12:03:00,APLAPO,19.7,19.99,19.3,19.79,13382,
2012-03-19 12:03:00,APLAPO,19.42,19.97,19.42,19.47,7888,
2012-03-20 12:03:00,APLAPO,19.03,19.5,18.94,19.48,2809,
2012-03-21 12:03:00,APLAPO,19.5,19.7,19.1,19.2,3438,
2012-03-22 12:03:00,APLAPO,19.0,19.9,18.93,19.42,5719,
2012-03-23 12:03:00,APLAPO,19.6,19.6,19.2,19.34,8380,
2012-03-26 12:03:00,APLAPO,19.8,19.8,18.6,19.04,4958,
2012-03-27 12:03:00,APLAPO,19.1,20.9,18.6,18.8,3756,
2012-03-28 12:03:00,APLAPO,18.8,19.5,18.5,18.77,3988,
2012-03-29 12:03:00,APLAPO,18.17,19.5,18.17,18.43,1645,
2012-03-30 12:03:00,APLAPO,18.15,18.86,17.66,18.1,20476,
2012-04-02 12:04:00,APLAPO,17.75,19.6,17.3,18.17,421,
2012-04-03 12:04:00,APLAPO,18.79,19.6,18.17,19.57,9504,
2012-04-04 12:04:00,APLAPO,18.66,19.74,18.66,19.66,5279,
2012-04-09 12:04:00,APLAPO,19.5,19.79,19.25,19.59,10172,
2012-04-10 12:04:00,APLAPO,19.6,19.6,19.5,19.5,2235,
2012-04-11 12:04:00,APLAPO,19.25,19.34,19.1,19.2,1215,
2012-04-12 12:04:00,APLAPO,19.3,19.3,19.0,19.21,3282,
2012-04-13 12:04:00,APLAPO,19.0,20.12,18.71,19.86,22549,
2012-04-16 12:04:00,APLAPO,19.8,19.8,19.28,19.5,12049,
2012-04-17 12:04:00,APLAPO,19.7,20.18,18.86,19.04,27135,
2012-04-18 12:04:00,APLAPO,19.4,19.4,18.61,18.68,2414,
2012-04-19 12:04:00,APLAPO,19.3,19.3,18.52,18.76,1775,
2012-04-20 12:04:00,APLAPO,18.6,19.05,18.35,18.49,15250,
2012-04-23 12:04:00,APLAPO,17.75,19.7,17.71,17.81,4795,
2012-04-24 12:04:00,APLAPO,17.55,17.91,17.0,17.2,19411,
2012-04-25 12:04:00,APLAPO,17.2,17.47,17.0,17.02,1358,
2012-04-26 12:04:00,APLAPO,16.81,17.0,16.51,16.59,4807,
2012-04-27 12:04:00,APLAPO,16.8,18.7,16.1,17.46,41982,
2012-04-28 12:04:00,APLAPO,17.4,17.98,17.07,17.71,2938,
2012-04-30 12:04:00,APLAPO,17.98,18.47,17.29,17.36,466,
2012-05-02 12:05:00,APLAPO,17.6,18.5,17.33,17.79,936,
2012-05-03 12:05:00,APLAPO,17.4,17.5,17.4,17.5,46,
2012-05-04 12:05:00,APLAPO,17.11,17.94,16.84,17.18,1693,
2012-05-07 12:05:00,APLAPO,16.98,17.63,16.72,17.36,1225,
2012-05-08 12:05:00,APLAPO,17.0,17.1,16.7,16.83,403,
2012-05-09 12:05:00,APLAPO,16.42,16.7,16.42,16.63,112,
2012-05-10 12:05:00,APLAPO,16.55,17.1,15.8,16.37,4105,
2012-05-11 12:05:00,APLAPO,16.68,16.75,16.05,16.71,1994,
2012-05-14 12:05:00,APLAPO,16.8,17.3,16.3,16.58,276,
2012-05-15 12:05:00,APLAPO,16.89,16.89,16.1,16.15,181,
2012-05-16 12:05:00,APLAPO,16.25,16.5,15.81,16.37,2990,
2012-05-17 12:05:00,APLAPO,16.3,16.45,15.68,16.2,3246,
2012-05-18 12:05:00,APLAPO,15.8,16.7,15.8,16.7,126,
2012-05-21 12:05:00,APLAPO,16.7,16.7,16.35,16.57,384,
2012-05-22 12:05:00,APLAPO,16.5,16.6,16.3,16.6,29,
2012-05-23 12:05:00,APLAPO,16.01,16.39,15.91,15.91,712,
2012-05-24 12:05:00,APLAPO,16.5,16.5,15.68,16.06,20,
2012-05-25 12:05:00,APLAPO,16.8,16.8,15.7,15.71,563,
2012-05-28 12:05:00,APLAPO,15.6,16.7,15.55,16.0,12630,
2012-05-29 12:05:00,APLAPO,15.71,15.96,15.03,15.58,3767,
2012-05-30 12:05:00,APLAPO,15.01,15.95,15.01,15.37,207,
2012-05-31 12:05:00,APLAPO,14.8,16.0,14.8,15.42,422,
2012-06-01 12:06:00,APLAPO,14.7,15.95,14.7,15.08,25956,
2012-06-04 12:06:00,APLAPO,14.5,15.59,14.47,15.06,5287,
2012-06-05 12:06:00,APLAPO,15.1,15.11,14.66,14.69,1129,
2012-06-06 12:06:00,APLAPO,15.05,15.15,14.9,15.0,356,
2012-06-07 12:06:00,APLAPO,15.6,15.6,14.75,14.78,2530,
2012-06-08 12:06:00,APLAPO,14.99,14.99,14.5,14.65,2121,
2012-06-11 12:06:00,APLAPO,14.98,15.6,14.98,15.18,612,
2012-06-12 12:06:00,APLAPO,14.71,15.19,14.71,14.86,203,
2012-06-13 12:06:00,APLAPO,14.41,15.19,14.41,15.0,140,
2012-06-14 12:06:00,APLAPO,14.95,15.2,14.95,15.06,180,
2012-06-15 12:06:00,APLAPO,15.0,15.49,14.71,15.4,5006,
2012-06-18 12:06:00,APLAPO,15.3,16.0,15.03,15.25,38267,
2012-06-19 12:06:00,APLAPO,15.51,15.51,14.8,15.11,16213,
2012-06-20 12:06:00,APLAPO,15.47,15.5,15.03,15.34,28724,
2012-06-21 12:06:00,APLAPO,15.38,15.38,15.38,15.38,12500,
2012-06-22 12:06:00,APLAPO,15.39,15.39,15.39,15.39,2,
2012-06-25 12:06:00,APLAPO,14.93,15.39,14.71,14.97,52,
2012-06-26 12:06:00,APLAPO,15.4,15.4,15.4,15.4,25,
2012-06-27 12:06:00,APLAPO,15.43,15.43,15.43,15.43,2,
2012-06-28 12:06:00,APLAPO,14.82,15.4,14.81,14.85,455,
2012-06-29 12:06:00,APLAPO,15.0,15.0,14.86,15.0,1260,
2012-07-02 12:07:00,APLAPO,14.83,15.0,14.83,15.0,252,
2012-07-03 12:07:00,APLAPO,15.05,15.35,15.05,15.35,12,
2012-07-04 12:07:00,APLAPO,15.4,15.4,14.82,15.0,3665,
2012-07-05 12:07:00,APLAPO,14.68,15.45,14.68,15.4,5883,
2012-07-06 12:07:00,APLAPO,15.0,15.53,14.7,15.52,22720,
2012-07-09 12:07:00,APLAPO,15.6,16.2,15.6,16.02,6407,
2012-07-10 12:07:00,APLAPO,16.2,17.1,16.2,16.53,15782,
2012-07-11 12:07:00,APLAPO,16.3,17.5,16.28,16.95,31274,
