datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,ASAIND,55.0,56.09,54.21,55.79,220623,
2010-01-05 12:01:00,ASAIND,56.28,58.82,55.1,58.22,858642,
2010-01-06 12:01:00,ASAIND,57.76,58.52,56.32,56.55,202500,
2010-01-07 12:01:00,ASAIND,56.25,58.52,56.15,58.13,189496,
2010-01-08 12:01:00,ASAIND,51.55,60.36,51.55,58.19,374142,
2010-01-11 12:01:00,ASAIND,58.78,60.1,58.29,59.28,207060,
2010-01-12 12:01:00,ASAIND,59.61,59.61,56.71,56.94,158749,
2010-01-13 12:01:00,ASAIND,56.32,58.09,56.05,57.43,92516,
2010-01-14 12:01:00,ASAIND,57.63,61.25,57.63,60.86,518586,
2010-01-15 12:01:00,ASAIND,61.74,61.74,59.08,59.57,216883,
2010-01-18 12:01:00,ASAIND,60.16,62.76,59.77,61.38,447274,
2010-01-19 12:01:00,ASAIND,61.38,62.07,58.39,59.34,149311,
2010-01-20 12:01:00,ASAIND,59.61,61.12,58.98,59.41,125307,
2010-01-21 12:01:00,ASAIND,59.87,61.51,58.45,58.78,342244,
2010-01-22 12:01:00,ASAIND,58.29,58.62,55.86,57.07,334637,
2010-01-25 12:01:00,ASAIND,57.7,57.7,54.9,55.33,183143,
2010-01-27 12:01:00,ASAIND,55.07,56.32,52.43,52.83,173673,
2010-01-28 12:01:00,ASAIND,53.59,53.95,52.17,52.4,74606,
2010-01-29 12:01:00,ASAIND,52.83,53.32,51.38,52.96,93415,
2010-02-01 12:02:00,ASAIND,53.06,54.01,52.6,53.52,52308,
2010-02-02 12:02:00,ASAIND,54.34,54.9,53.16,53.36,59548,
2010-02-04 12:02:00,ASAIND,53.03,53.59,51.78,51.91,50697,
2010-02-05 12:02:00,ASAIND,50.92,51.68,50.43,51.02,54442,
2010-02-06 12:02:00,ASAIND,50.99,51.68,50.99,51.41,6418,
2010-02-08 12:02:00,ASAIND,52.04,53.03,51.15,51.78,67010,
2010-02-09 12:02:00,ASAIND,51.78,52.76,51.78,52.34,32167,
2010-02-10 12:02:00,ASAIND,52.53,54.47,52.01,52.96,117030,
2010-02-11 12:02:00,ASAIND,53.03,53.68,52.37,52.6,27759,
2010-02-15 12:02:00,ASAIND,52.7,53.36,52.04,52.7,91195,
2010-02-16 12:02:00,ASAIND,51.84,53.29,51.81,52.34,24933,
2010-02-17 12:02:00,ASAIND,52.96,54.67,52.43,53.52,380093,
2010-02-18 12:02:00,ASAIND,53.52,53.98,52.47,52.83,77809,
2010-02-19 12:02:00,ASAIND,52.4,52.7,51.45,51.84,37684,
2010-02-22 12:02:00,ASAIND,52.37,52.7,51.09,51.35,20051,
2010-02-23 12:02:00,ASAIND,51.12,51.64,50.1,50.46,33128,
2010-02-24 12:02:00,ASAIND,50.23,51.05,49.77,50.36,26491,
2010-02-25 12:02:00,ASAIND,50.82,51.18,50.26,50.82,9793,
2010-02-26 12:02:00,ASAIND,50.43,51.97,48.45,51.22,34107,
2010-03-02 12:03:00,ASAIND,51.51,52.34,51.12,51.45,46970,
2010-03-03 12:03:00,ASAIND,51.84,52.27,51.25,51.48,49258,
2010-03-04 12:03:00,ASAIND,52.01,52.17,51.51,51.88,31322,
2010-03-05 12:03:00,ASAIND,51.78,52.86,51.61,51.74,42450,
2010-03-08 12:03:00,ASAIND,52.34,52.37,51.71,51.97,56216,
2010-03-09 12:03:00,ASAIND,51.45,53.88,51.25,52.5,981172,
2010-03-10 12:03:00,ASAIND,52.7,53.65,52.37,52.53,958492,
2010-03-11 12:03:00,ASAIND,52.63,52.7,51.88,52.04,39097,
2010-03-12 12:03:00,ASAIND,52.04,52.24,51.41,51.64,42797,
2010-03-15 12:03:00,ASAIND,51.91,51.91,50.07,50.3,40228,
2010-03-16 12:03:00,ASAIND,51.32,52.17,50.39,51.41,121076,
2010-03-17 12:03:00,ASAIND,52.17,52.17,50.49,50.82,55244,
2010-03-18 12:03:00,ASAIND,51.05,51.35,50.49,50.59,45400,
2010-03-19 12:03:00,ASAIND,51.58,51.58,50.46,50.66,39103,
2010-03-22 12:03:00,ASAIND,50.59,50.99,50.23,50.36,16074,
2010-03-23 12:03:00,ASAIND,50.16,50.72,49.54,49.67,98419,
2010-03-25 12:03:00,ASAIND,49.28,50.07,48.75,48.85,48434,
2010-03-26 12:03:00,ASAIND,49.64,49.64,48.03,48.39,58898,
2010-03-29 12:03:00,ASAIND,48.09,50.99,48.09,49.38,123163,
2010-03-30 12:03:00,ASAIND,49.74,50.3,49.74,49.8,32558,
2010-03-31 12:03:00,ASAIND,50.07,50.13,48.75,49.24,34357,
2010-04-01 12:04:00,ASAIND,49.7,50.66,49.51,50.26,52361,
2010-04-05 12:04:00,ASAIND,51.12,52.27,50.86,51.81,65492,
2010-04-06 12:04:00,ASAIND,52.04,52.76,51.71,52.27,83568,
2010-04-07 12:04:00,ASAIND,52.43,53.91,51.28,51.84,96825,
2010-04-08 12:04:00,ASAIND,51.91,52.53,51.48,51.68,58330,
2010-04-09 12:04:00,ASAIND,52.2,53.19,51.68,52.47,119102,
