datetime,stock_code,open,high,low,close,volume,open_interest
2010-10-14 12:10:00,ASHBUI,76.0,80.6,68.47,73.5,14586970,
2010-10-15 12:10:00,ASHBUI,72.22,73.43,67.81,70.12,1786738,
2010-10-18 12:10:00,ASHBUI,69.92,71.42,67.39,68.11,244792,
2010-10-19 12:10:00,ASHBUI,68.36,78.02,68.11,70.66,1868320,
2010-10-20 12:10:00,ASHBUI,70.66,74.22,69.13,70.68,602906,
2010-10-21 12:10:00,ASHBUI,80.67,80.67,70.44,70.84,182807,
2010-10-22 12:10:00,ASHBUI,68.89,72.18,68.89,70.17,117613,
2010-10-25 12:10:00,ASHBUI,70.22,71.49,68.9,69.3,92065,
2010-10-26 12:10:00,ASHBUI,69.39,70.39,67.42,68.04,53355,
2010-10-27 12:10:00,ASHBUI,67.11,70.22,66.89,68.99,63026,
2010-10-28 12:10:00,ASHBUI,68.23,69.28,67.56,68.17,47698,
2010-10-29 12:10:00,ASHBUI,67.58,70.33,67.58,69.36,87509,
2010-11-01 12:11:00,ASHBUI,70.06,70.67,68.69,69.27,30333,
2010-11-02 12:11:00,ASHBUI,68.89,69.44,67.33,68.67,30455,
2010-11-03 12:11:00,ASHBUI,69.11,69.36,67.82,68.16,12124,
2010-11-04 12:11:00,ASHBUI,67.13,69.39,67.01,68.93,21593,
2010-11-05 12:11:00,ASHBUI,69.28,69.28,68.06,68.59,2746,
2010-11-08 12:11:00,ASHBUI,68.89,69.78,67.01,68.77,17314,
2010-11-09 12:11:00,ASHBUI,68.07,69.69,68.06,69.36,35828,
2010-11-10 12:11:00,ASHBUI,68.22,69.93,68.11,69.44,14426,
2010-11-11 12:11:00,ASHBUI,68.92,69.73,68.7,69.41,13600,
2010-11-12 12:11:00,ASHBUI,68.89,72.89,68.89,71.13,67519,
2010-11-15 12:11:00,ASHBUI,71.12,71.58,67.56,68.03,16056,
2010-11-16 12:11:00,ASHBUI,68.38,69.33,68.02,68.31,126256,
2010-11-18 12:11:00,ASHBUI,68.22,69.17,67.92,68.58,90223,
2010-11-19 12:11:00,ASHBUI,68.06,68.89,67.62,68.23,8061,
2010-11-22 12:11:00,ASHBUI,67.83,68.79,67.78,68.47,6995,
2010-11-23 12:11:00,ASHBUI,67.8,68.44,67.78,68.09,29155,
2010-11-24 12:11:00,ASHBUI,67.81,68.22,66.89,67.71,61845,
2010-11-25 12:11:00,ASHBUI,67.0,67.56,63.34,67.12,19193,
2010-11-26 12:11:00,ASHBUI,65.56,67.11,65.56,65.6,11611,
2010-11-29 12:11:00,ASHBUI,65.8,67.11,65.13,65.66,8107,
2010-11-30 12:11:00,ASHBUI,64.68,66.16,64.47,65.14,3448,
2010-12-01 12:12:00,ASHBUI,66.61,66.62,64.89,65.07,7432,
2010-12-02 12:12:00,ASHBUI,64.91,68.22,64.91,67.57,3455,
2010-12-03 12:12:00,ASHBUI,66.01,66.42,64.92,65.26,3324,
2010-12-06 12:12:00,ASHBUI,65.56,66.22,64.94,65.56,2857,
2010-12-07 12:12:00,ASHBUI,65.33,66.0,64.22,64.94,42305,
2010-12-08 12:12:00,ASHBUI,65.44,65.78,63.91,64.71,45236,
2010-12-09 12:12:00,ASHBUI,65.78,66.0,64.67,64.68,3666,
2010-12-10 12:12:00,ASHBUI,64.78,65.31,64.5,64.7,2308,
2010-12-13 12:12:00,ASHBUI,65.56,66.44,64.24,64.37,12968,
2010-12-14 12:12:00,ASHBUI,65.33,65.33,64.24,64.44,3541,
2010-12-15 12:12:00,ASHBUI,64.44,65.72,63.8,63.9,2357,
2010-12-16 12:12:00,ASHBUI,64.43,65.09,64.0,64.02,964,
2010-12-20 12:12:00,ASHBUI,64.67,64.67,63.78,63.89,3843,
2010-12-21 12:12:00,ASHBUI,64.67,64.67,63.8,64.12,3263,
2010-12-22 12:12:00,ASHBUI,64.44,64.44,63.96,64.01,2073,
2010-12-23 12:12:00,ASHBUI,64.33,64.67,63.78,63.78,7213,
2010-12-24 12:12:00,ASHBUI,64.18,64.4,63.78,63.92,1393,
2010-12-27 12:12:00,ASHBUI,64.22,65.11,64.0,64.51,3038,
2010-12-28 12:12:00,ASHBUI,64.44,66.02,64.44,65.23,2258,
2010-12-29 12:12:00,ASHBUI,66.22,69.56,66.22,67.71,20476,
2010-12-30 12:12:00,ASHBUI,67.12,68.0,66.47,67.71,15901,
2010-12-31 12:12:00,ASHBUI,67.11,68.89,66.67,68.31,51901,
2011-01-03 12:01:00,ASHBUI,66.52,68.0,65.12,67.56,7521,
2011-01-04 12:01:00,ASHBUI,68.44,68.44,66.47,66.66,3949,
2011-01-05 12:01:00,ASHBUI,66.68,67.56,66.61,66.98,2276,
2011-01-06 12:01:00,ASHBUI,66.69,67.78,66.69,66.77,801,
2011-01-07 12:01:00,ASHBUI,66.77,67.73,66.47,66.58,19084,
2011-01-10 12:01:00,ASHBUI,66.47,66.64,65.34,65.43,1567,
2011-01-11 12:01:00,ASHBUI,66.67,67.78,63.67,63.77,4470,
2011-01-12 12:01:00,ASHBUI,63.78,65.54,63.78,64.59,973,
2011-01-13 12:01:00,ASHBUI,64.11,64.44,63.67,63.83,675,
2011-01-14 12:01:00,ASHBUI,63.11,64.12,63.11,63.81,1891,
2011-01-17 12:01:00,ASHBUI,64.06,64.22,63.03,63.37,760,
2011-01-18 12:01:00,ASHBUI,62.91,64.67,60.22,63.56,3654,
2011-01-19 12:01:00,ASHBUI,62.89,63.67,61.78,62.53,88418,
2011-01-21 12:01:00,ASHBUI,61.11,61.97,60.89,61.03,542,
2011-01-24 12:01:00,ASHBUI,60.03,63.32,59.33,60.78,651,
2011-01-25 12:01:00,ASHBUI,62.43,62.43,60.33,60.99,339,
2011-01-27 12:01:00,ASHBUI,60.89,60.91,58.91,59.72,467,
2011-01-28 12:01:00,ASHBUI,58.92,62.44,58.89,60.11,1755,
2011-01-31 12:01:00,ASHBUI,60.02,60.02,56.98,59.2,2399,
2011-02-01 12:02:00,ASHBUI,58.03,58.31,56.29,56.71,5901,
2011-02-03 12:02:00,ASHBUI,57.56,65.56,56.67,56.79,5668,
2011-02-04 12:02:00,ASHBUI,58.0,58.43,56.69,56.7,857,
2011-02-07 12:02:00,ASHBUI,57.79,58.0,57.13,57.5,883,
2011-02-08 12:02:00,ASHBUI,56.9,57.44,56.69,56.7,1006,
2011-02-09 12:02:00,ASHBUI,56.69,58.43,56.69,56.7,1745,
2011-02-10 12:02:00,ASHBUI,56.69,57.78,56.67,56.76,5422,
2011-02-11 12:02:00,ASHBUI,57.47,62.2,56.69,56.9,2815,
2011-02-14 12:02:00,ASHBUI,57.19,64.44,57.18,61.83,2410,
2011-02-15 12:02:00,ASHBUI,65.32,65.32,59.11,60.69,896,
2011-02-16 12:02:00,ASHBUI,58.91,60.64,58.91,59.06,824,
2011-02-17 12:02:00,ASHBUI,59.98,60.88,58.89,59.28,834,
2011-02-18 12:02:00,ASHBUI,58.89,59.73,58.56,58.58,347,
2011-02-21 12:02:00,ASHBUI,58.9,63.1,58.9,60.82,14695,
2011-02-22 12:02:00,ASHBUI,60.78,64.0,59.11,61.99,4549,
2011-02-23 12:02:00,ASHBUI,63.77,63.77,58.22,61.18,3854,
2011-02-24 12:02:00,ASHBUI,62.0,62.17,58.44,58.89,724,
2011-02-25 12:02:00,ASHBUI,58.02,61.11,51.33,56.79,10370,
2011-02-28 12:02:00,ASHBUI,57.78,57.78,54.51,54.77,8047,
2011-03-01 12:03:00,ASHBUI,55.33,57.11,53.34,55.56,12306,
2011-03-03 12:03:00,ASHBUI,56.66,56.66,54.03,54.93,808,
2011-03-04 12:03:00,ASHBUI,52.47,54.89,52.47,54.43,1584,
2011-03-07 12:03:00,ASHBUI,53.33,56.0,51.59,55.67,2034,
2011-03-08 12:03:00,ASHBUI,53.56,58.78,53.33,56.82,3143,
2011-03-09 12:03:00,ASHBUI,56.22,60.0,54.44,58.81,8534,
2011-03-10 12:03:00,ASHBUI,56.7,59.71,55.56,57.78,3675,
2011-03-11 12:03:00,ASHBUI,56.66,59.33,56.44,59.11,1595,
2011-03-14 12:03:00,ASHBUI,56.44,62.21,55.82,60.79,3342,
2011-03-15 12:03:00,ASHBUI,58.91,61.11,58.02,60.04,2805,
2011-03-16 12:03:00,ASHBUI,60.0,60.67,58.94,60.22,2987,
2011-03-17 12:03:00,ASHBUI,60.44,62.1,60.44,61.31,2219,
2011-03-18 12:03:00,ASHBUI,62.67,63.11,61.11,61.56,2228,
2011-03-21 12:03:00,ASHBUI,59.12,63.11,59.12,62.11,540,
2011-03-22 12:03:00,ASHBUI,62.28,63.33,61.11,63.03,6096,
2011-03-23 12:03:00,ASHBUI,62.72,64.89,62.0,63.74,5741,
2011-03-24 12:03:00,ASHBUI,62.22,66.0,62.22,65.58,28405,
2011-03-25 12:03:00,ASHBUI,65.54,68.0,63.9,67.37,104362,
2011-03-28 12:03:00,ASHBUI,66.67,68.22,64.49,67.92,38631,
2011-03-29 12:03:00,ASHBUI,66.89,67.51,64.47,65.7,5165,
2011-03-30 12:03:00,ASHBUI,64.57,67.07,64.57,66.67,6113,
2011-03-31 12:03:00,ASHBUI,64.9,67.64,64.89,67.08,317777,
2011-04-01 12:04:00,ASHBUI,67.11,67.22,64.48,65.47,541,
2011-04-04 12:04:00,ASHBUI,66.22,66.22,64.67,64.79,606,
