datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,ASHLEY,24.93,26.35,24.93,26.15,11437682,
2010-01-05 12:01:00,ASHLEY,26.58,26.75,25.75,25.83,6470273,
2010-01-06 12:01:00,ASHLEY,25.98,26.08,25.65,25.88,3099833,
2010-01-07 12:01:00,ASHLEY,26.0,26.68,25.73,26.43,7603835,
2010-01-08 12:01:00,ASHLEY,27.4,27.48,26.55,26.73,6038516,
2010-01-11 12:01:00,ASHLEY,26.78,26.98,26.15,26.4,3594844,
2010-01-12 12:01:00,ASHLEY,27.03,27.03,26.1,26.45,4454243,
2010-01-13 12:01:00,ASHLEY,26.45,27.75,26.1,27.25,4631216,
2010-01-14 12:01:00,ASHLEY,27.9,28.43,27.53,28.1,7968857,
2010-01-15 12:01:00,ASHLEY,28.25,28.35,27.4,27.45,3985318,
2010-01-18 12:01:00,ASHLEY,27.25,27.95,27.0,27.85,3411630,
2010-01-19 12:01:00,ASHLEY,27.9,27.98,27.3,27.35,1659389,
2010-01-20 12:01:00,ASHLEY,27.5,28.03,27.03,27.78,3389059,
2010-01-21 12:01:00,ASHLEY,27.58,27.65,26.55,26.83,2350748,
2010-01-22 12:01:00,ASHLEY,25.63,26.73,25.43,26.18,4223346,
2010-01-25 12:01:00,ASHLEY,25.98,26.33,25.75,25.85,867389,
2010-01-27 12:01:00,ASHLEY,25.75,25.9,24.53,24.7,2960054,
2010-01-28 12:01:00,ASHLEY,25.38,25.45,23.43,24.68,6714724,
2010-01-29 12:01:00,ASHLEY,24.63,25.25,23.78,25.13,1550952,
2010-02-01 12:02:00,ASHLEY,25.38,26.48,25.18,25.85,4559437,
2010-02-02 12:02:00,ASHLEY,26.0,26.48,25.05,25.18,2868322,
2010-02-04 12:02:00,ASHLEY,26.5,27.2,26.0,26.25,5391313,
2010-02-05 12:02:00,ASHLEY,25.5,25.6,25.03,25.13,3092514,
2010-02-06 12:02:00,ASHLEY,25.4,25.63,25.25,25.4,582781,
2010-02-08 12:02:00,ASHLEY,25.5,25.78,24.68,25.45,2029320,
2010-02-09 12:02:00,ASHLEY,25.45,25.93,25.2,25.33,1861800,
2010-02-10 12:02:00,ASHLEY,25.65,25.65,24.85,24.93,1516673,
2010-02-11 12:02:00,ASHLEY,25.38,25.43,25.03,25.18,1230621,
2010-02-15 12:02:00,ASHLEY,25.45,25.45,25.05,25.33,1717302,
2010-02-16 12:02:00,ASHLEY,25.38,25.6,25.05,25.38,722739,
2010-02-17 12:02:00,ASHLEY,25.5,25.88,25.33,25.48,873092,
2010-02-18 12:02:00,ASHLEY,25.63,25.7,24.6,24.95,1857385,
2010-02-19 12:02:00,ASHLEY,24.93,24.93,24.13,24.5,1395579,
2010-02-22 12:02:00,ASHLEY,24.75,24.98,24.03,24.25,1495038,
2010-02-23 12:02:00,ASHLEY,24.48,24.48,23.35,23.5,4048278,
2010-02-24 12:02:00,ASHLEY,23.38,23.45,22.88,23.23,2274350,
2010-02-25 12:02:00,ASHLEY,23.5,23.68,23.05,23.45,1884871,
2010-02-26 12:02:00,ASHLEY,23.75,25.13,23.45,24.83,4883484,
2010-03-02 12:03:00,ASHLEY,25.5,26.3,25.18,26.05,3713832,
2010-03-03 12:03:00,ASHLEY,26.45,27.1,26.15,26.38,3077643,
2010-03-04 12:03:00,ASHLEY,26.5,27.5,26.5,27.4,8241960,
2010-03-05 12:03:00,ASHLEY,27.85,28.98,27.15,27.35,7564704,
2010-03-08 12:03:00,ASHLEY,27.9,27.9,26.85,27.0,3167472,
2010-03-09 12:03:00,ASHLEY,27.3,27.3,26.1,26.2,3376575,
2010-03-10 12:03:00,ASHLEY,26.3,26.58,26.23,26.33,2506433,
