datetime,stock_code,open,high,low,close,volume,open_interest
2023-11-15 12:11:00,ASKAUT,303.3,316.7,303.3,310.1,21693577,
2023-11-16 12:11:00,ASKAUT,317.0,319.7,311.0,313.85,4725578,
2023-11-17 12:11:00,ASKAUT,312.0,318.8,306.2,310.15,2579193,
2023-11-20 12:11:00,ASKAUT,310.15,311.45,292.35,300.1,2760212,
2023-11-21 12:11:00,ASKAUT,302.05,307.5,297.7,298.55,1936376,
2023-11-22 12:11:00,ASKAUT,298.7,301.8,290.0,290.9,894399,
2023-11-23 12:11:00,ASKAUT,293.05,302.1,291.3,293.1,1042513,
2023-11-24 12:11:00,ASKAUT,294.65,296.4,293.1,294.5,353653,
2023-11-28 12:11:00,ASKAUT,297.25,302.15,295.05,296.2,728239,
2023-11-29 12:11:00,ASKAUT,298.9,299.65,293.0,293.45,668376,
2023-11-30 12:11:00,ASKAUT,294.6,296.45,290.2,294.8,563831,
2023-12-01 12:12:00,ASKAUT,297.8,298.0,293.45,295.9,421481,
2023-12-04 12:12:00,ASKAUT,292.3,294.45,286.0,289.5,1145440,
2023-12-05 12:12:00,ASKAUT,291.0,292.45,284.55,285.75,574264,
2023-12-06 12:12:00,ASKAUT,287.0,291.45,285.25,286.5,658851,
2023-12-07 12:12:00,ASKAUT,288.9,289.3,285.2,286.4,259131,
2023-12-08 12:12:00,ASKAUT,286.5,287.45,275.5,277.2,618624,
2023-12-11 12:12:00,ASKAUT,279.0,283.9,277.6,279.75,341149,
2023-12-12 12:12:00,ASKAUT,279.75,288.5,277.15,286.4,998633,
2023-12-13 12:12:00,ASKAUT,286.4,294.0,281.55,291.2,605804,
2023-12-14 12:12:00,ASKAUT,295.05,297.85,287.6,289.7,706497,
2023-12-15 12:12:00,ASKAUT,292.4,292.45,285.55,287.15,296354,
2023-12-18 12:12:00,ASKAUT,287.15,289.0,280.0,281.85,303237,
2023-12-19 12:12:00,ASKAUT,284.5,289.05,282.0,286.85,310206,
2023-12-20 12:12:00,ASKAUT,289.25,289.25,275.0,276.35,433476,
2023-12-21 12:12:00,ASKAUT,275.0,282.9,271.4,280.35,668496,
2023-12-22 12:12:00,ASKAUT,281.9,282.2,277.5,279.85,185900,
2023-12-26 12:12:00,ASKAUT,279.95,280.85,276.1,280.0,155437,
2023-12-27 12:12:00,ASKAUT,280.1,286.0,278.0,285.05,485531,
2023-12-28 12:12:00,ASKAUT,288.45,292.4,286.55,288.1,415721,
2023-12-29 12:12:00,ASKAUT,291.3,292.8,286.05,290.5,486018,
2024-01-01 12:01:00,ASKAUT,290.35,290.5,285.15,285.75,133432,
2024-01-02 12:01:00,ASKAUT,289.45,289.5,281.05,284.2,315195,
2024-01-03 12:01:00,ASKAUT,283.6,291.5,282.05,288.7,255648,
2024-01-04 12:01:00,ASKAUT,289.5,291.5,284.2,287.9,215782,
2024-01-05 12:01:00,ASKAUT,285.55,294.9,285.05,288.35,416101,
2024-01-08 12:01:00,ASKAUT,289.9,289.9,284.05,285.1,111353,
2024-01-09 12:01:00,ASKAUT,287.1,288.5,284.0,286.95,161558,
2024-01-10 12:01:00,ASKAUT,285.0,291.3,283.0,289.6,272348,
2024-01-11 12:01:00,ASKAUT,287.25,290.55,284.05,285.45,213788,
2024-01-12 12:01:00,ASKAUT,287.95,288.6,284.5,287.35,142201,
2024-01-15 12:01:00,ASKAUT,288.9,290.5,283.55,285.15,263568,
2024-01-16 12:01:00,ASKAUT,285.2,290.4,284.05,286.35,252550,
2024-01-17 12:01:00,ASKAUT,285.0,288.05,282.6,283.8,176791,
2024-01-18 12:01:00,ASKAUT,284.55,295.95,276.75,292.45,925404,
2024-01-19 12:01:00,ASKAUT,295.0,306.3,293.05,302.65,1233773,
2024-01-20 12:01:00,ASKAUT,303.6,308.8,298.0,300.45,503530,
2024-01-23 12:01:00,ASKAUT,303.0,303.0,286.1,290.15,333652,
2024-01-24 12:01:00,ASKAUT,292.0,292.0,284.0,286.9,307128,
2024-01-25 12:01:00,ASKAUT,286.25,292.7,285.2,289.85,221207,
2024-01-29 12:01:00,ASKAUT,292.35,297.95,287.55,294.25,593878,
2024-01-30 12:01:00,ASKAUT,297.65,297.65,290.6,294.45,350021,
2024-01-31 12:01:00,ASKAUT,300.0,312.0,298.0,301.05,801549,
2024-02-01 12:02:00,ASKAUT,303.65,325.55,301.15,321.15,2449328,
2024-02-02 12:02:00,ASKAUT,329.0,331.0,312.35,315.35,1114022,
2024-02-05 12:02:00,ASKAUT,315.35,323.45,303.0,306.65,617512,
2024-02-06 12:02:00,ASKAUT,322.0,331.0,311.2,317.5,1880448,
2024-02-07 12:02:00,ASKAUT,321.5,329.0,318.8,326.2,1026349,
2024-02-08 12:02:00,ASKAUT,328.0,334.55,314.5,316.85,1077683,
2024-02-09 12:02:00,ASKAUT,319.65,319.7,305.35,314.7,477797,
2024-02-12 12:02:00,ASKAUT,316.85,316.85,297.05,299.75,530527,
2024-02-13 12:02:00,ASKAUT,299.1,301.0,288.45,291.55,391206,
2024-02-14 12:02:00,ASKAUT,288.05,308.7,286.2,305.0,711733,
2024-02-15 12:02:00,ASKAUT,310.0,310.65,301.0,303.05,263945,
2024-02-16 12:02:00,ASKAUT,303.05,306.0,301.0,301.75,161193,
2024-02-19 12:02:00,ASKAUT,301.75,308.0,301.2,305.05,241703,
2024-02-20 12:02:00,ASKAUT,305.05,306.0,301.0,302.55,134361,
2024-02-21 12:02:00,ASKAUT,303.8,303.8,294.3,296.95,211903,
2024-02-22 12:02:00,ASKAUT,297.8,299.0,292.2,297.15,122481,
2024-02-23 12:02:00,ASKAUT,297.15,312.0,295.1,309.75,483910,
2024-02-26 12:02:00,ASKAUT,311.0,313.0,305.35,307.85,401671,
2024-02-27 12:02:00,ASKAUT,309.0,309.0,298.5,301.5,321719,
2024-02-28 12:02:00,ASKAUT,301.0,304.4,293.2,296.1,292144,
2024-02-29 12:02:00,ASKAUT,294.2,296.05,290.1,292.55,187270,
2024-03-01 12:03:00,ASKAUT,294.65,297.3,293.0,294.95,238277,
2024-03-02 12:03:00,ASKAUT,294.8,298.6,292.0,295.75,38763,
2024-03-04 12:03:00,ASKAUT,295.65,299.7,287.25,288.25,243096,
2024-03-05 12:03:00,ASKAUT,288.0,293.5,285.5,286.45,213041,
2024-03-06 12:03:00,ASKAUT,288.0,288.0,275.0,278.0,340359,
2024-03-07 12:03:00,ASKAUT,280.0,283.35,277.0,280.2,125858,
2024-03-11 12:03:00,ASKAUT,280.7,281.0,270.25,272.1,236474,
2024-03-12 12:03:00,ASKAUT,270.95,274.75,259.4,262.65,361034,
2024-03-13 12:03:00,ASKAUT,262.9,267.0,240.1,243.55,396299,
2024-03-14 12:03:00,ASKAUT,243.55,251.9,241.5,246.25,402500,
2024-03-15 12:03:00,ASKAUT,248.5,258.0,244.1,254.35,926542,
2024-03-18 12:03:00,ASKAUT,254.35,254.8,249.0,251.95,284557,
2024-03-19 12:03:00,ASKAUT,252.9,258.8,250.15,253.85,266693,
2024-03-20 12:03:00,ASKAUT,254.85,255.5,251.0,253.9,255157,
2024-03-21 12:03:00,ASKAUT,257.5,262.5,256.05,259.9,192278,
2024-03-22 12:03:00,ASKAUT,259.45,277.5,259.45,274.25,494954,
2024-03-26 12:03:00,ASKAUT,274.85,275.2,266.9,270.1,230699,
2024-03-27 12:03:00,ASKAUT,271.95,279.55,270.0,274.75,306723,
2024-03-28 12:03:00,ASKAUT,278.5,287.6,274.75,284.6,318204,
2024-04-01 12:04:00,ASKAUT,284.65,288.45,276.0,283.05,256785,
2024-04-02 12:04:00,ASKAUT,288.0,288.0,282.0,284.1,88615,
2024-04-03 12:04:00,ASKAUT,284.0,292.0,282.2,289.45,166265,
2024-04-04 12:04:00,ASKAUT,291.45,299.75,283.55,297.4,335311,
2024-04-05 12:04:00,ASKAUT,297.25,300.85,291.55,298.9,219260,
2024-04-08 12:04:00,ASKAUT,299.95,303.2,293.3,298.4,164075,
2024-04-09 12:04:00,ASKAUT,302.8,311.8,298.8,307.15,676083,
2024-04-10 12:04:00,ASKAUT,307.1,314.0,307.1,311.6,328683,
2024-04-12 12:04:00,ASKAUT,311.1,314.0,308.05,312.9,363227,
2024-04-15 12:04:00,ASKAUT,300.7,313.5,295.5,306.25,318924,
2024-04-16 12:04:00,ASKAUT,304.75,311.0,300.15,307.5,161990,
2024-04-18 12:04:00,ASKAUT,308.95,317.9,304.0,306.25,263586,
2024-04-19 12:04:00,ASKAUT,300.0,324.0,296.25,320.4,929663,
2024-04-22 12:04:00,ASKAUT,323.75,327.9,320.4,324.6,518733,
2024-04-23 12:04:00,ASKAUT,326.0,327.0,315.6,318.05,227043,
2024-04-24 12:04:00,ASKAUT,318.05,325.0,315.05,316.3,255887,
2024-04-25 12:04:00,ASKAUT,322.0,326.0,312.7,315.2,172557,
2024-04-26 12:04:00,ASKAUT,319.9,319.9,306.0,307.75,511364,
2024-04-29 12:04:00,ASKAUT,312.5,314.65,306.0,308.1,139145,
2024-04-30 12:04:00,ASKAUT,312.0,314.0,304.95,309.45,201314,
2024-05-02 12:05:00,ASKAUT,314.5,314.5,306.55,309.85,121686,
2024-05-03 12:05:00,ASKAUT,318.95,318.95,307.4,311.1,126852,
2024-05-06 12:05:00,ASKAUT,315.0,315.0,304.95,306.35,65938,
2024-05-07 12:05:00,ASKAUT,306.2,309.8,296.1,301.3,126899,
2024-05-08 12:05:00,ASKAUT,301.0,301.95,298.0,300.65,117313,
2024-05-09 12:05:00,ASKAUT,298.25,303.4,294.05,295.9,70241,
2024-05-10 12:05:00,ASKAUT,296.9,300.8,292.1,296.25,86324,
2024-05-13 12:05:00,ASKAUT,296.0,297.4,289.85,295.8,82742,
2024-05-14 12:05:00,ASKAUT,294.95,305.0,294.55,303.45,77965,
2024-05-15 12:05:00,ASKAUT,305.0,310.0,303.5,307.0,99692,
2024-05-16 12:05:00,ASKAUT,308.0,310.65,303.0,304.5,87234,
2024-05-17 12:05:00,ASKAUT,305.0,320.55,304.65,318.95,554299,
2024-05-18 12:05:00,ASKAUT,320.85,322.95,316.05,319.25,75596,
2024-05-21 12:05:00,ASKAUT,327.7,334.6,312.05,315.8,1406293,
2024-05-22 12:05:00,ASKAUT,315.8,315.8,303.0,304.05,354698,
2024-05-23 12:05:00,ASKAUT,304.9,308.0,296.5,298.0,355538,
2024-05-24 12:05:00,ASKAUT,300.0,311.0,295.95,308.3,1271841,
2024-05-27 12:05:00,ASKAUT,309.0,310.3,301.35,308.0,317680,
2024-05-28 12:05:00,ASKAUT,309.0,311.0,303.15,309.2,156021,
2024-05-29 12:05:00,ASKAUT,308.7,308.7,302.3,304.4,127794,
2024-05-30 12:05:00,ASKAUT,304.9,305.0,297.0,298.2,115694,
2024-05-31 12:05:00,ASKAUT,299.95,302.45,297.7,300.3,90992,
2024-06-03 12:06:00,ASKAUT,308.0,311.7,302.1,308.95,189139,
2024-06-04 12:06:00,ASKAUT,309.65,309.65,284.35,293.3,489122,
2024-06-05 12:06:00,ASKAUT,300.0,311.5,286.35,309.75,230957,
2024-06-06 12:06:00,ASKAUT,308.0,315.0,308.0,313.4,279053,
2024-06-07 12:06:00,ASKAUT,313.35,318.0,310.95,314.15,255159,
2024-06-10 12:06:00,ASKAUT,314.0,317.4,311.2,313.7,112476,
2024-06-11 12:06:00,ASKAUT,313.0,317.95,312.2,313.8,89516,
2024-06-12 12:06:00,ASKAUT,318.0,322.9,315.0,316.5,281504,
2024-06-13 12:06:00,ASKAUT,317.2,346.8,316.5,342.3,2733379,
2024-06-14 12:06:00,ASKAUT,345.0,358.4,339.0,349.2,1323362,
2024-06-18 12:06:00,ASKAUT,351.0,357.0,343.0,354.8,590410,
2024-06-19 12:06:00,ASKAUT,354.8,354.8,345.0,347.25,375839,
2024-06-20 12:06:00,ASKAUT,347.25,371.8,345.0,362.05,1263149,
2024-06-21 12:06:00,ASKAUT,362.95,366.3,356.7,358.3,318071,
2024-06-24 12:06:00,ASKAUT,355.0,358.0,351.0,354.45,253861,
2024-06-25 12:06:00,ASKAUT,354.45,357.4,351.0,352.25,175779,
2024-06-26 12:06:00,ASKAUT,352.3,368.0,350.7,357.55,457829,
2024-06-27 12:06:00,ASKAUT,355.1,366.0,353.0,356.25,319874,
2024-06-28 12:06:00,ASKAUT,356.3,369.25,356.3,362.65,336181,
2024-07-01 12:07:00,ASKAUT,363.95,380.0,363.95,377.65,644833,
2024-07-02 12:07:00,ASKAUT,378.35,391.9,372.1,389.85,676417,
2024-07-03 12:07:00,ASKAUT,389.0,400.1,387.35,393.15,866712,
2024-07-04 12:07:00,ASKAUT,392.0,397.0,385.5,395.25,396929,
2024-07-05 12:07:00,ASKAUT,392.7,399.6,388.2,392.3,245999,
2024-07-08 12:07:00,ASKAUT,392.0,406.5,392.0,396.15,290011,
2024-07-09 12:07:00,ASKAUT,400.7,402.0,390.05,392.9,169202,
2024-07-10 12:07:00,ASKAUT,391.05,400.9,380.2,386.2,397508,
2024-07-11 12:07:00,ASKAUT,387.8,398.7,387.05,389.65,211430,
2024-07-12 12:07:00,ASKAUT,390.4,393.55,380.4,387.35,200843,
2024-07-15 12:07:00,ASKAUT,387.3,389.85,376.4,385.8,175749,
2024-07-16 12:07:00,ASKAUT,385.0,392.0,383.0,387.65,159071,
2024-07-18 12:07:00,ASKAUT,387.65,387.65,375.25,377.4,153571,
2024-07-19 12:07:00,ASKAUT,376.0,377.8,363.9,372.1,283424,
2024-07-22 12:07:00,ASKAUT,366.0,373.5,362.0,367.55,115805,
2024-07-23 12:07:00,ASKAUT,372.2,376.25,354.6,368.7,253779,
2024-07-24 12:07:00,ASKAUT,370.7,397.0,370.7,393.75,270545,
2024-07-25 12:07:00,ASKAUT,387.95,397.15,385.65,394.2,99790,
2024-07-26 12:07:00,ASKAUT,395.0,403.95,393.45,399.4,159325,
2024-07-29 12:07:00,ASKAUT,400.1,433.8,397.15,416.95,1223447,
2024-07-30 12:07:00,ASKAUT,424.9,429.15,412.2,414.9,1098118,
2024-07-31 12:07:00,ASKAUT,414.9,419.25,394.0,396.65,549047,
2024-08-01 12:08:00,ASKAUT,402.0,413.8,393.55,401.65,489554,
2024-08-02 12:08:00,ASKAUT,396.0,404.0,392.95,396.75,261521,
2024-08-05 12:08:00,ASKAUT,390.95,390.95,370.55,374.0,323073,
2024-08-06 12:08:00,ASKAUT,380.2,397.8,374.0,375.65,352951,
2024-08-07 12:08:00,ASKAUT,384.65,404.0,379.2,401.55,1050476,
2024-08-08 12:08:00,ASKAUT,402.8,407.1,399.65,400.7,172115,
2024-08-09 12:08:00,ASKAUT,404.1,409.0,398.0,406.7,168554,
2024-08-12 12:08:00,ASKAUT,401.0,417.8,395.8,409.1,325244,
2024-08-13 12:08:00,ASKAUT,405.2,409.7,398.0,403.35,175677,
2024-08-14 12:08:00,ASKAUT,403.35,407.35,392.05,400.5,198098,
2024-08-16 12:08:00,ASKAUT,405.4,419.5,405.35,417.55,433811,
2024-08-19 12:08:00,ASKAUT,420.85,432.5,417.0,429.2,486640,
2024-08-20 12:08:00,ASKAUT,429.95,432.6,419.0,420.75,188669,
2024-08-21 12:08:00,ASKAUT,420.0,424.15,418.9,420.6,101771,
2024-08-22 12:08:00,ASKAUT,420.0,431.0,416.55,424.95,315232,
2024-08-23 12:08:00,ASKAUT,424.2,445.8,424.2,441.5,643176,
2024-08-26 12:08:00,ASKAUT,446.0,448.8,434.55,437.25,263869,
2024-08-27 12:08:00,ASKAUT,435.0,450.0,434.95,442.9,266674,
2024-08-28 12:08:00,ASKAUT,456.1,474.8,447.8,468.9,896225,
2024-08-29 12:08:00,ASKAUT,468.45,469.75,452.7,458.3,255161,
2024-08-30 12:08:00,ASKAUT,465.0,467.5,453.25,461.6,179128,
2024-09-02 12:09:00,ASKAUT,460.0,467.35,455.05,461.7,154567,
2024-09-03 12:09:00,ASKAUT,460.0,461.0,445.95,448.75,306712,
2024-09-04 12:09:00,ASKAUT,444.95,457.8,442.0,455.7,476467,
2024-09-05 12:09:00,ASKAUT,455.0,463.8,452.0,456.0,207769,
2024-09-06 12:09:00,ASKAUT,458.0,463.0,450.05,453.8,143221,
