datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,ASTMIC,47.93,47.93,47.07,47.53,202371,
2010-01-05 12:01:00,ASTMIC,47.87,49.03,47.57,48.53,369416,
2010-01-06 12:01:00,ASTMIC,49.6,50.87,48.87,49.8,1128673,
2010-01-07 12:01:00,ASTMIC,50.07,50.07,48.1,48.3,290579,
2010-01-08 12:01:00,ASTMIC,48.9,49.27,47.83,48.0,188520,
2010-01-11 12:01:00,ASTMIC,48.67,49.73,48.07,49.1,392715,
2010-01-12 12:01:00,ASTMIC,48.57,49.33,44.87,47.4,294297,
2010-01-13 12:01:00,ASTMIC,47.2,48.17,46.67,47.83,164364,
2010-01-14 12:01:00,ASTMIC,48.07,52.87,48.07,52.37,1503488,
2010-01-15 12:01:00,ASTMIC,52.67,52.83,49.87,50.23,834157,
2010-01-18 12:01:00,ASTMIC,50.23,51.17,49.57,50.1,304691,
2010-01-19 12:01:00,ASTMIC,50.5,53.27,49.87,51.63,1233865,
2010-01-20 12:01:00,ASTMIC,52.4,58.33,51.73,55.5,4283544,
2010-01-21 12:01:00,ASTMIC,55.77,55.83,52.0,52.43,1229804,
2010-01-22 12:01:00,ASTMIC,51.33,55.33,48.67,54.5,1163965,
2010-01-25 12:01:00,ASTMIC,53.67,56.47,53.47,53.97,661330,
2010-01-27 12:01:00,ASTMIC,53.33,55.4,49.47,50.0,788841,
2010-01-28 12:01:00,ASTMIC,51.3,52.47,49.6,50.07,434041,
2010-01-29 12:01:00,ASTMIC,49.8,50.47,48.33,50.0,466106,
2010-02-01 12:02:00,ASTMIC,50.67,52.1,49.93,50.6,323293,
2010-02-02 12:02:00,ASTMIC,51.27,52.17,48.87,49.53,315883,
2010-02-04 12:02:00,ASTMIC,52.83,53.0,49.5,50.1,416814,
2010-02-05 12:02:00,ASTMIC,48.1,49.13,47.43,48.6,287829,
2010-02-06 12:02:00,ASTMIC,49.33,49.93,48.93,49.33,56098,
2010-02-08 12:02:00,ASTMIC,49.9,50.93,49.33,49.8,268615,
2010-02-09 12:02:00,ASTMIC,50.2,51.43,49.33,50.27,206140,
2010-02-10 12:02:00,ASTMIC,51.23,51.63,44.4,49.77,534920,
2010-02-11 12:02:00,ASTMIC,50.17,50.97,49.7,50.07,146997,
2010-02-15 12:02:00,ASTMIC,50.67,51.0,49.53,49.73,137374,
2010-02-16 12:02:00,ASTMIC,50.47,50.47,48.47,48.97,170445,
2010-02-17 12:02:00,ASTMIC,50.0,50.0,48.67,49.0,157461,
2010-02-18 12:02:00,ASTMIC,49.17,52.5,48.73,51.53,1735045,
2010-02-19 12:02:00,ASTMIC,47.87,52.3,47.87,49.9,571468,
2010-02-22 12:02:00,ASTMIC,51.07,51.33,48.87,49.07,215611,
2010-02-23 12:02:00,ASTMIC,49.2,50.3,48.67,48.87,235883,
2010-02-24 12:02:00,ASTMIC,48.13,49.5,47.87,48.33,186831,
2010-02-25 12:02:00,ASTMIC,49.33,49.9,48.4,48.63,348700,
2010-02-26 12:02:00,ASTMIC,49.03,49.9,48.0,48.23,416390,
2010-03-02 12:03:00,ASTMIC,48.9,48.9,48.07,48.47,196405,
2010-03-03 12:03:00,ASTMIC,48.33,49.27,48.33,48.83,142999,
2010-03-04 12:03:00,ASTMIC,49.33,49.33,48.4,48.73,191111,
2010-03-05 12:03:00,ASTMIC,49.0,50.87,48.8,49.7,449538,
2010-03-08 12:03:00,ASTMIC,50.3,50.6,49.0,49.47,231968,
2010-03-09 12:03:00,ASTMIC,49.67,49.83,48.37,48.57,169076,
2010-03-10 12:03:00,ASTMIC,48.6,49.0,47.73,48.07,150998,
2010-03-11 12:03:00,ASTMIC,47.93,48.4,46.9,47.23,143028,
2010-03-12 12:03:00,ASTMIC,47.33,47.83,46.37,46.63,208173,
2010-03-15 12:03:00,ASTMIC,46.67,46.67,45.53,45.87,119856,
2010-03-16 12:03:00,ASTMIC,45.67,47.27,45.6,46.63,142408,
2010-03-17 12:03:00,ASTMIC,47.27,47.27,45.53,45.97,109806,
2010-03-18 12:03:00,ASTMIC,45.8,46.47,45.67,45.93,137052,
2010-03-19 12:03:00,ASTMIC,45.83,46.73,45.57,46.2,117250,
2010-03-22 12:03:00,ASTMIC,46.53,48.13,45.43,46.6,454627,
2010-03-23 12:03:00,ASTMIC,46.8,48.5,46.37,47.8,315605,
2010-03-25 12:03:00,ASTMIC,48.6,48.83,47.0,47.27,321120,
2010-03-26 12:03:00,ASTMIC,47.47,47.8,46.17,46.5,178751,
2010-03-29 12:03:00,ASTMIC,46.67,46.87,44.67,44.8,227583,
2010-03-30 12:03:00,ASTMIC,45.33,45.57,44.03,44.3,171223,
2010-03-31 12:03:00,ASTMIC,44.17,45.07,44.0,44.63,101112,
2010-04-01 12:04:00,ASTMIC,44.7,46.27,44.67,45.33,152994,
2010-04-05 12:04:00,ASTMIC,45.6,47.2,45.5,46.67,296675,
2010-04-06 12:04:00,ASTMIC,47.0,47.07,45.73,46.33,163699,
2010-04-07 12:04:00,ASTMIC,46.13,48.27,45.73,46.83,558648,
2010-04-08 12:04:00,ASTMIC,47.0,47.67,45.6,45.7,220863,
2010-04-09 12:04:00,ASTMIC,46.23,46.9,45.73,45.93,249649,
2010-04-12 12:04:00,ASTMIC,46.33,46.33,44.67,44.97,224030,
2010-04-13 12:04:00,ASTMIC,44.73,46.3,44.73,45.17,239169,
2010-04-16 12:04:00,ASTMIC,45.07,45.33,44.33,44.5,150980,
2010-04-19 12:04:00,ASTMIC,43.67,43.87,43.33,43.37,139536,
2010-04-20 12:04:00,ASTMIC,44.0,44.6,43.43,43.77,121056,
2010-04-21 12:04:00,ASTMIC,44.13,45.27,43.8,44.43,169828,
2010-04-22 12:04:00,ASTMIC,44.27,44.83,43.6,43.87,216196,
2010-04-23 12:04:00,ASTMIC,44.07,44.47,42.73,42.97,261698,
2010-04-26 12:04:00,ASTMIC,43.47,44.13,42.7,43.3,135665,
2010-04-27 12:04:00,ASTMIC,43.97,44.83,43.83,44.1,302109,
2010-04-28 12:04:00,ASTMIC,43.67,44.3,42.53,42.73,159751,
2010-04-29 12:04:00,ASTMIC,43.03,43.77,43.0,43.17,123950,
2010-04-30 12:04:00,ASTMIC,43.67,43.9,42.47,43.0,267344,
2010-05-03 12:05:00,ASTMIC,43.4,43.4,42.33,42.43,121994,
2010-05-04 12:05:00,ASTMIC,42.63,43.0,41.33,41.47,113030,
2010-05-05 12:05:00,ASTMIC,40.67,41.2,40.1,40.43,149245,
2010-05-06 12:05:00,ASTMIC,40.6,41.93,40.2,41.5,146077,
2010-05-07 12:05:00,ASTMIC,40.53,41.3,39.77,39.93,113659,
2010-05-10 12:05:00,ASTMIC,40.6,40.93,40.13,40.53,84078,
2010-05-11 12:05:00,ASTMIC,41.27,41.67,40.53,40.63,91051,
2010-05-12 12:05:00,ASTMIC,40.67,41.17,40.23,40.47,92536,
