datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,ASTPOL,6.81,6.84,6.55,6.58,29945,
2010-01-05 12:01:00,ASTPOL,6.66,6.94,6.42,6.49,9317,
2010-01-06 12:01:00,ASTPOL,6.52,6.56,6.35,6.41,9826,
2010-01-07 12:01:00,ASTPOL,6.49,6.52,6.3,6.35,10057,
2010-01-08 12:01:00,ASTPOL,6.3,6.66,6.3,6.42,12609,
2010-01-11 12:01:00,ASTPOL,6.6,7.11,6.38,6.85,145143,
2010-01-12 12:01:00,ASTPOL,6.9,6.98,6.53,6.58,12978,
2010-01-13 12:01:00,ASTPOL,6.56,6.67,6.45,6.58,6633,
2010-01-14 12:01:00,ASTPOL,6.78,6.86,6.6,6.73,14872,
2010-01-15 12:01:00,ASTPOL,6.79,6.81,6.45,6.52,4418,
2010-01-18 12:01:00,ASTPOL,6.56,6.81,6.46,6.59,6098,
2010-01-19 12:01:00,ASTPOL,6.67,7.03,6.64,6.88,31517,
2010-01-20 12:01:00,ASTPOL,7.01,7.08,6.64,6.68,12728,
2010-01-21 12:01:00,ASTPOL,6.6,7.4,6.58,6.93,247702,
2010-01-22 12:01:00,ASTPOL,6.9,7.2,6.56,6.99,51882,
2010-01-25 12:01:00,ASTPOL,6.72,7.07,6.71,6.74,8108,
2010-01-27 12:01:00,ASTPOL,6.99,7.2,6.38,6.46,16136,
2010-01-28 12:01:00,ASTPOL,6.53,6.68,6.19,6.29,9902,
2010-01-29 12:01:00,ASTPOL,6.19,6.63,5.72,6.51,39192,
2010-02-01 12:02:00,ASTPOL,6.56,7.59,6.34,7.22,95683,
2010-02-02 12:02:00,ASTPOL,7.31,7.41,6.88,6.94,20005,
2010-02-04 12:02:00,ASTPOL,6.89,7.2,6.68,6.82,9130,
2010-02-05 12:02:00,ASTPOL,6.56,6.71,5.97,6.41,12602,
2010-02-06 12:02:00,ASTPOL,6.45,6.71,6.45,6.65,2290,
2010-02-08 12:02:00,ASTPOL,6.54,6.92,6.54,6.79,12576,
2010-02-09 12:02:00,ASTPOL,6.71,6.82,6.68,6.71,5592,
2010-02-10 12:02:00,ASTPOL,6.94,7.22,6.75,6.78,25943,
2010-02-11 12:02:00,ASTPOL,6.89,6.9,6.75,6.77,11856,
2010-02-15 12:02:00,ASTPOL,6.92,6.92,6.61,6.66,8165,
2010-02-16 12:02:00,ASTPOL,6.71,6.77,6.56,6.63,4512,
2010-02-17 12:02:00,ASTPOL,6.66,7.31,6.66,6.82,15872,
2010-02-18 12:02:00,ASTPOL,6.83,7.72,6.76,7.13,732998,
2010-02-19 12:02:00,ASTPOL,7.05,7.05,6.77,6.84,62195,
2010-02-22 12:02:00,ASTPOL,6.87,6.94,6.6,6.69,21109,
2010-02-23 12:02:00,ASTPOL,6.67,6.79,6.51,6.56,22057,
