datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,ATUL,93.0,97.9,91.5,95.55,2355452,
2010-01-05 12:01:00,ATUL,96.4,96.8,92.0,93.65,555322,
2010-01-06 12:01:00,ATUL,93.95,99.25,93.1,96.85,1036961,
2010-01-07 12:01:00,ATUL,97.45,100.2,95.5,98.25,734610,
2010-01-08 12:01:00,ATUL,98.6,100.3,96.55,97.1,395433,
2010-01-11 12:01:00,ATUL,98.0,103.4,97.7,102.6,670229,
2010-01-12 12:01:00,ATUL,103.2,110.9,101.2,109.1,1511013,
2010-01-13 12:01:00,ATUL,108.7,112.35,107.55,109.65,638207,
2010-01-14 12:01:00,ATUL,110.35,111.4,105.4,106.45,234927,
2010-01-15 12:01:00,ATUL,106.55,111.9,106.55,108.15,284120,
2010-01-18 12:01:00,ATUL,108.9,109.7,106.6,107.0,95452,
2010-01-19 12:01:00,ATUL,107.95,109.0,103.8,105.05,123496,
2010-01-20 12:01:00,ATUL,105.5,107.95,102.8,103.65,91597,
2010-01-21 12:01:00,ATUL,104.5,108.7,101.05,102.4,194496,
2010-01-22 12:01:00,ATUL,96.1,102.45,95.55,99.45,139188,
2010-01-25 12:01:00,ATUL,99.0,103.9,98.3,99.3,87746,
2010-01-27 12:01:00,ATUL,96.5,99.7,93.55,94.35,77458,
2010-01-28 12:01:00,ATUL,94.5,95.5,83.55,84.35,355063,
2010-01-29 12:01:00,ATUL,84.5,84.5,78.55,81.55,176654,
2010-02-01 12:02:00,ATUL,76.0,85.0,76.0,83.65,92019,
2010-02-02 12:02:00,ATUL,84.5,87.2,83.0,83.55,152165,
2010-02-04 12:02:00,ATUL,85.0,87.0,82.8,83.1,38831,
2010-02-05 12:02:00,ATUL,81.65,81.65,79.25,79.6,64027,
2010-02-06 12:02:00,ATUL,72.8,83.2,72.8,80.9,6666,
2010-02-08 12:02:00,ATUL,77.8,81.8,77.8,81.05,23427,
2010-02-09 12:02:00,ATUL,81.75,83.1,80.1,80.7,41756,
2010-02-10 12:02:00,ATUL,81.55,83.3,80.05,80.55,33133,
2010-02-11 12:02:00,ATUL,81.5,82.35,80.55,81.05,12175,
2010-02-15 12:02:00,ATUL,79.4,88.0,79.4,83.9,88656,
2010-02-16 12:02:00,ATUL,84.5,86.0,83.5,84.4,48760,
2010-02-17 12:02:00,ATUL,85.7,85.7,83.05,83.5,36891,
2010-02-18 12:02:00,ATUL,90.0,90.0,82.75,83.25,37160,
2010-02-19 12:02:00,ATUL,82.2,83.5,82.0,82.1,25977,
2010-02-22 12:02:00,ATUL,86.0,86.0,81.0,81.0,29325,
2010-02-23 12:02:00,ATUL,82.95,96.85,80.1,94.05,4725528,
2010-02-24 12:02:00,ATUL,93.8,94.35,88.4,92.15,3055856,
2010-02-25 12:02:00,ATUL,92.5,92.5,88.25,89.45,546426,
2010-02-26 12:02:00,ATUL,89.4,89.4,85.05,86.4,230274,
2010-03-02 12:03:00,ATUL,88.9,93.9,86.5,90.2,483029,
2010-03-03 12:03:00,ATUL,90.8,92.9,89.7,90.85,173957,
2010-03-04 12:03:00,ATUL,91.0,91.8,89.4,89.8,97960,
2010-03-05 12:03:00,ATUL,90.05,92.75,90.0,90.65,184798,
2010-03-08 12:03:00,ATUL,91.7,92.3,88.6,89.65,86651,
2010-03-09 12:03:00,ATUL,89.5,90.45,88.05,88.4,65469,
2010-03-10 12:03:00,ATUL,88.45,90.7,88.15,89.55,111334,
2010-03-11 12:03:00,ATUL,89.75,94.5,89.2,92.3,691838,
2010-03-12 12:03:00,ATUL,92.35,92.35,88.55,89.05,74380,
2010-03-15 12:03:00,ATUL,89.05,89.95,85.35,85.75,69716,
2010-03-16 12:03:00,ATUL,85.0,87.65,85.0,86.2,99923,
2010-03-17 12:03:00,ATUL,87.45,87.5,85.25,85.6,42967,
2010-03-18 12:03:00,ATUL,85.15,89.5,85.15,86.55,115695,
2010-03-19 12:03:00,ATUL,86.55,89.0,86.05,86.55,80167,
2010-03-22 12:03:00,ATUL,85.9,86.65,84.25,84.5,42386,
2010-03-23 12:03:00,ATUL,85.0,86.85,85.0,85.65,51836,
2010-03-25 12:03:00,ATUL,86.5,88.8,85.55,86.55,95179,
2010-03-26 12:03:00,ATUL,86.6,87.45,85.5,85.95,47992,
2010-03-29 12:03:00,ATUL,86.0,86.5,84.05,84.4,63748,
2010-03-30 12:03:00,ATUL,88.7,88.7,84.55,86.35,52140,
2010-03-31 12:03:00,ATUL,86.4,88.55,86.4,86.7,53156,
2010-04-01 12:04:00,ATUL,87.95,90.3,87.5,88.85,105725,
2010-04-05 12:04:00,ATUL,88.25,92.5,88.25,91.75,82927,
2010-04-06 12:04:00,ATUL,91.85,92.85,90.0,90.4,44156,
2010-04-07 12:04:00,ATUL,91.0,93.4,90.05,91.55,62783,
2010-04-08 12:04:00,ATUL,91.0,91.8,89.5,89.7,37961,
2010-04-09 12:04:00,ATUL,90.2,92.0,90.15,91.5,34530,
2010-04-12 12:04:00,ATUL,91.95,96.8,91.15,93.75,228222,
2010-04-13 12:04:00,ATUL,93.8,96.8,93.65,94.05,169639,
2010-04-16 12:04:00,ATUL,92.5,92.95,90.75,91.1,28981,
2010-04-19 12:04:00,ATUL,90.2,91.5,88.3,89.8,37801,
2010-04-20 12:04:00,ATUL,89.85,93.6,89.3,92.6,72588,
2010-04-21 12:04:00,ATUL,94.0,94.75,92.65,93.1,27390,
2010-04-22 12:04:00,ATUL,92.3,93.9,92.15,92.55,15425,
2010-04-23 12:04:00,ATUL,92.0,93.0,90.8,91.55,24039,
2010-04-26 12:04:00,ATUL,92.5,93.9,92.15,92.45,32663,
2010-04-27 12:04:00,ATUL,92.0,95.0,91.85,92.45,55767,
2010-04-28 12:04:00,ATUL,90.1,92.4,87.5,88.8,41850,
2010-04-29 12:04:00,ATUL,90.95,92.95,90.25,90.9,40111,
2010-04-30 12:04:00,ATUL,90.05,92.45,90.05,91.55,24300,
2010-05-03 12:05:00,ATUL,90.5,92.5,88.4,89.45,53701,
2010-05-04 12:05:00,ATUL,90.5,91.25,85.0,87.55,52534,
2010-05-05 12:05:00,ATUL,85.65,89.5,85.55,87.95,60754,
2010-05-06 12:05:00,ATUL,90.0,90.0,86.25,88.7,8752,
2010-05-07 12:05:00,ATUL,87.0,87.0,82.0,84.85,59956,
2010-05-10 12:05:00,ATUL,86.15,88.05,86.0,87.3,32414,
2010-05-11 12:05:00,ATUL,92.0,93.0,87.5,88.1,59099,
2010-05-12 12:05:00,ATUL,88.8,89.45,87.25,87.95,30196,
2010-05-13 12:05:00,ATUL,87.95,94.2,87.95,92.2,330027,
2010-05-14 12:05:00,ATUL,93.3,95.7,89.1,90.7,283856,
2010-05-17 12:05:00,ATUL,89.4,89.9,87.4,88.7,68870,
2010-05-18 12:05:00,ATUL,88.3,91.0,88.1,89.1,51434,
2010-05-19 12:05:00,ATUL,88.0,89.9,84.05,85.15,161733,
2010-05-20 12:05:00,ATUL,87.8,89.35,85.25,88.35,68374,
2010-05-24 12:05:00,ATUL,87.0,88.45,86.1,86.55,41544,
2010-05-25 12:05:00,ATUL,86.5,86.55,83.1,84.0,41063,
2010-05-26 12:05:00,ATUL,85.9,86.5,84.05,85.3,21892,
2010-05-27 12:05:00,ATUL,84.8,85.95,84.6,84.95,28923,
2010-05-28 12:05:00,ATUL,86.1,87.45,85.5,85.85,29304,
2010-05-31 12:05:00,ATUL,85.5,86.3,85.5,85.95,26390,
2010-06-01 12:06:00,ATUL,86.9,89.4,85.5,86.25,57666,
2010-06-02 12:06:00,ATUL,87.0,87.5,86.25,86.9,8570,
2010-06-03 12:06:00,ATUL,87.0,93.2,87.0,91.7,350702,
2010-06-04 12:06:00,ATUL,92.9,97.7,90.7,95.45,390153,
2010-06-07 12:06:00,ATUL,95.0,95.9,91.9,93.4,128144,
2010-06-08 12:06:00,ATUL,94.8,99.9,93.55,94.5,352476,
2010-06-09 12:06:00,ATUL,96.0,96.75,94.1,95.25,99903,
2010-06-10 12:06:00,ATUL,95.7,96.95,94.25,94.8,57227,
2010-06-11 12:06:00,ATUL,95.15,97.25,95.15,95.7,77921,
2010-06-14 12:06:00,ATUL,95.5,99.8,95.5,97.5,420366,
2010-06-15 12:06:00,ATUL,97.85,99.4,96.6,97.35,66490,
2010-06-16 12:06:00,ATUL,97.1,98.0,96.25,96.6,51951,
2010-06-17 12:06:00,ATUL,97.45,100.7,95.2,98.35,258530,
2010-06-18 12:06:00,ATUL,99.0,99.5,96.0,96.15,66751,
2010-06-21 12:06:00,ATUL,96.9,100.4,96.9,98.7,148384,
2010-06-22 12:06:00,ATUL,98.9,99.5,97.0,97.25,45050,
2010-06-23 12:06:00,ATUL,97.55,98.9,97.55,98.1,61205,
2010-06-24 12:06:00,ATUL,98.9,104.0,98.55,101.15,244361,
2010-06-25 12:06:00,ATUL,104.9,106.5,100.25,101.05,319748,
2010-06-28 12:06:00,ATUL,101.05,103.0,101.0,102.25,86535,
2010-06-30 12:06:00,ATUL,98.25,102.4,98.25,100.8,105487,
2010-07-01 12:07:00,ATUL,101.0,102.9,100.0,100.6,347294,
2010-07-02 12:07:00,ATUL,100.65,102.0,99.35,99.65,53824,
2010-07-05 12:07:00,ATUL,100.0,100.6,99.0,99.3,28436,
2010-07-06 12:07:00,ATUL,99.1,102.65,99.1,100.2,165953,
2010-07-07 12:07:00,ATUL,100.5,101.4,98.55,98.8,45084,
2010-07-08 12:07:00,ATUL,100.0,101.05,99.1,99.4,48890,
2010-07-09 12:07:00,ATUL,100.0,100.45,99.45,100.0,37967,
2010-07-12 12:07:00,ATUL,99.75,101.75,99.6,100.65,53397,
2010-07-13 12:07:00,ATUL,101.0,101.7,100.15,101.1,22990,
2010-07-14 12:07:00,ATUL,100.2,103.25,100.0,101.35,81865,
2010-07-15 12:07:00,ATUL,101.9,106.2,101.5,104.9,279729,
2010-07-16 12:07:00,ATUL,105.5,113.25,105.5,112.0,912168,
2010-07-19 12:07:00,ATUL,110.8,117.0,110.8,113.2,790774,
2010-07-20 12:07:00,ATUL,113.9,115.5,109.95,111.9,267561,
2010-07-21 12:07:00,ATUL,112.6,117.1,112.25,116.4,353148,
2010-07-22 12:07:00,ATUL,116.9,119.25,116.25,117.25,316086,
2010-07-23 12:07:00,ATUL,118.25,118.25,116.0,116.15,124136,
2010-07-26 12:07:00,ATUL,117.25,120.9,116.0,117.2,331873,
2010-07-27 12:07:00,ATUL,118.0,118.15,114.9,115.3,133533,
2010-07-29 12:07:00,ATUL,113.9,114.0,109.9,110.55,120221,
2010-07-30 12:07:00,ATUL,109.95,111.2,107.55,108.15,59429,
2010-08-02 12:08:00,ATUL,110.0,110.7,107.65,109.3,94226,
2010-08-03 12:08:00,ATUL,109.5,112.5,108.75,109.45,136424,
2010-08-04 12:08:00,ATUL,111.65,115.7,109.0,111.7,98853,
2010-08-05 12:08:00,ATUL,112.15,113.8,109.4,110.3,114646,
2010-08-06 12:08:00,ATUL,110.9,111.3,109.6,109.8,60381,
2010-08-09 12:08:00,ATUL,110.05,112.0,110.0,111.35,72686,
2010-08-10 12:08:00,ATUL,111.5,117.4,110.85,116.2,255498,
2010-08-11 12:08:00,ATUL,116.5,122.5,116.5,118.3,651355,
2010-08-12 12:08:00,ATUL,117.9,119.45,115.25,116.5,133865,
2010-08-13 12:08:00,ATUL,120.0,124.4,118.0,119.25,650084,
2010-08-16 12:08:00,ATUL,120.0,122.95,119.0,120.7,203278,
2010-08-17 12:08:00,ATUL,121.0,122.45,120.0,120.65,113225,
2010-08-18 12:08:00,ATUL,120.0,121.8,116.8,117.8,82188,
2010-08-19 12:08:00,ATUL,118.5,130.9,117.6,126.65,529959,
2010-08-20 12:08:00,ATUL,130.0,138.45,127.1,135.45,952283,
2010-08-23 12:08:00,ATUL,136.25,140.15,133.25,134.35,476841,
2010-08-24 12:08:00,ATUL,135.0,135.0,127.0,128.45,179267,
2010-08-25 12:08:00,ATUL,127.0,137.7,126.15,133.65,556963,
2010-08-26 12:08:00,ATUL,135.7,143.6,134.0,139.75,947450,
2010-08-30 12:08:00,ATUL,137.35,137.95,132.05,133.55,139150,
2010-08-31 12:08:00,ATUL,131.55,136.3,129.1,133.85,151003,
2010-09-01 12:09:00,ATUL,135.3,139.9,133.85,138.5,179034,
2010-09-02 12:09:00,ATUL,139.85,146.35,139.85,141.5,428645,
2010-09-03 12:09:00,ATUL,142.5,145.0,141.15,143.65,162771,
2010-09-06 12:09:00,ATUL,144.9,153.4,144.0,150.25,515754,
2010-09-07 12:09:00,ATUL,148.2,151.75,147.15,148.4,135785,
2010-09-08 12:09:00,ATUL,146.3,148.0,144.5,145.5,75885,
2010-09-09 12:09:00,ATUL,145.0,154.0,144.15,150.25,300595,
2010-09-13 12:09:00,ATUL,151.0,157.0,148.4,149.5,152855,
2010-09-14 12:09:00,ATUL,149.2,151.0,143.55,144.85,123754,
2010-09-15 12:09:00,ATUL,144.85,149.4,142.5,146.5,114403,
2010-09-16 12:09:00,ATUL,146.75,147.0,143.6,144.45,53284,
2010-09-17 12:09:00,ATUL,144.55,147.9,144.15,145.1,61996,
2010-09-20 12:09:00,ATUL,142.1,155.9,142.1,149.8,287538,
2010-09-21 12:09:00,ATUL,151.9,151.9,143.55,144.65,113550,
2010-09-22 12:09:00,ATUL,145.05,147.5,142.3,143.8,62889,
2010-09-23 12:09:00,ATUL,144.1,147.2,142.5,144.35,65282,
2010-09-24 12:09:00,ATUL,142.05,148.9,142.05,146.55,82781,
2010-09-27 12:09:00,ATUL,148.0,151.0,144.0,146.45,106223,
2010-09-28 12:09:00,ATUL,144.1,147.6,144.0,144.2,56153,
2010-09-29 12:09:00,ATUL,144.25,146.9,141.3,142.0,45837,
2010-09-30 12:09:00,ATUL,141.0,144.75,140.5,141.95,53547,
2010-10-01 12:10:00,ATUL,142.1,144.9,142.1,143.5,31327,
