datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-08 12:01:00,AVAFEE,1.69,1.69,1.5,1.63,81,
2010-01-11 12:01:00,AVAFEE,1.78,1.85,1.67,1.75,954,
2010-01-12 12:01:00,AVAFEE,1.76,1.89,1.69,1.71,3072,
2010-01-13 12:01:00,AVAFEE,1.61,1.78,1.61,1.77,951,
2010-01-14 12:01:00,AVAFEE,1.73,1.9,1.73,1.88,1885,
2010-01-15 12:01:00,AVAFEE,1.96,1.96,1.85,1.85,600,
2010-01-18 12:01:00,AVAFEE,2.03,2.03,1.87,1.93,203,
2010-01-19 12:01:00,AVAFEE,2.09,2.09,1.83,2.0,3788,
2010-01-20 12:01:00,AVAFEE,1.91,1.91,1.87,1.87,100,
2010-01-21 12:01:00,AVAFEE,1.8,1.8,1.8,1.8,300,
2010-01-25 12:01:00,AVAFEE,2.01,2.11,1.85,1.99,4861,
2010-01-27 12:01:00,AVAFEE,1.9,1.9,1.74,1.74,305,
2010-01-28 12:01:00,AVAFEE,1.67,1.7,1.67,1.7,2820,
2010-01-29 12:01:00,AVAFEE,1.82,1.83,1.82,1.83,400,
2010-02-01 12:02:00,AVAFEE,1.8,1.8,1.8,1.8,1,
2010-02-02 12:02:00,AVAFEE,1.75,1.92,1.61,1.77,3584,
2010-02-04 12:02:00,AVAFEE,1.68,2.22,1.68,1.96,47469,
2010-02-05 12:02:00,AVAFEE,1.81,2.0,1.68,1.82,10587,
2010-02-06 12:02:00,AVAFEE,2.0,2.0,1.75,1.78,3102,
2010-02-08 12:02:00,AVAFEE,1.93,1.93,1.73,1.77,2034,
2010-02-09 12:02:00,AVAFEE,1.7,1.83,1.7,1.73,996,
2010-02-10 12:02:00,AVAFEE,1.73,1.78,1.68,1.69,3832,
2010-02-11 12:02:00,AVAFEE,1.75,1.75,1.64,1.66,61,
2010-02-15 12:02:00,AVAFEE,1.81,1.89,1.64,1.81,7201,
2010-02-16 12:02:00,AVAFEE,1.74,1.76,1.74,1.76,200,
2010-02-17 12:02:00,AVAFEE,1.73,1.73,1.67,1.72,3027,
2010-02-18 12:02:00,AVAFEE,1.67,1.89,1.67,1.68,2594,
2010-02-19 12:02:00,AVAFEE,1.6,1.77,1.6,1.67,1555,
2010-02-22 12:02:00,AVAFEE,1.61,1.73,1.61,1.73,642,
2010-02-23 12:02:00,AVAFEE,1.68,1.68,1.68,1.68,95,
2010-02-24 12:02:00,AVAFEE,1.6,1.6,1.6,1.6,465,
2010-02-25 12:02:00,AVAFEE,1.59,1.6,1.57,1.57,419,
2010-02-26 12:02:00,AVAFEE,1.53,1.65,1.5,1.65,559,
2010-03-02 12:03:00,AVAFEE,1.73,1.73,1.57,1.71,301,
2010-03-05 12:03:00,AVAFEE,1.73,1.73,1.66,1.73,211,
2010-03-12 12:03:00,AVAFEE,1.79,1.79,1.65,1.67,7712,
2010-03-15 12:03:00,AVAFEE,1.63,1.63,1.58,1.63,559,
2010-03-16 12:03:00,AVAFEE,1.6,1.6,1.6,1.6,79,
2010-03-17 12:03:00,AVAFEE,1.68,1.68,1.6,1.6,150,
2010-03-19 12:03:00,AVAFEE,1.6,1.68,1.6,1.68,110,
2010-03-25 12:03:00,AVAFEE,1.71,1.71,1.6,1.6,85,
2010-03-30 12:03:00,AVAFEE,1.67,1.67,1.6,1.6,3,
2010-03-31 12:03:00,AVAFEE,1.54,1.54,1.52,1.52,100,
2010-04-05 12:04:00,AVAFEE,1.52,1.52,1.52,1.52,100,
2010-04-06 12:04:00,AVAFEE,1.52,1.52,1.52,1.52,612,
2010-04-07 12:04:00,AVAFEE,1.6,1.6,1.6,1.6,182,
2010-04-08 12:04:00,AVAFEE,1.6,1.67,1.6,1.67,600,
2010-04-09 12:04:00,AVAFEE,1.67,1.67,1.67,1.67,50,
2010-04-23 12:04:00,AVAFEE,1.67,1.73,1.67,1.73,203,
2010-04-26 12:04:00,AVAFEE,1.73,1.73,1.65,1.65,7,
2010-04-27 12:04:00,AVAFEE,1.62,1.62,1.62,1.62,200,
2010-04-30 12:04:00,AVAFEE,1.6,1.6,1.6,1.6,50,
2010-05-03 12:05:00,AVAFEE,1.67,1.67,1.67,1.67,478,
2010-05-04 12:05:00,AVAFEE,1.67,1.67,1.67,1.67,200,
2010-05-06 12:05:00,AVAFEE,1.63,1.63,1.63,1.63,400,
