datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,BAJELE,156.28,158.2,153.88,155.5,36100,
2010-01-05 12:01:00,BAJELE,158.74,161.04,155.44,158.62,28856,
2010-01-06 12:01:00,BAJELE,159.73,160.71,157.85,158.87,6555,
2010-01-07 12:01:00,BAJELE,160.7,160.71,155.68,156.78,6243,
2010-01-08 12:01:00,BAJELE,159.28,159.28,155.69,155.86,3882,
2010-01-11 12:01:00,BAJELE,154.87,157.46,154.87,156.61,5336,
2010-01-12 12:01:00,BAJELE,155.21,164.15,155.21,158.6,20640,
2010-01-13 12:01:00,BAJELE,160.18,162.53,158.92,159.86,10744,
2010-01-14 12:01:00,BAJELE,162.86,163.91,160.18,161.03,19746,
2010-01-15 12:01:00,BAJELE,162.52,163.61,160.4,160.98,6500,
2010-01-18 12:01:00,BAJELE,161.92,165.05,160.18,164.37,17496,
2010-01-19 12:01:00,BAJELE,166.3,172.78,164.69,169.06,37716,
2010-01-20 12:01:00,BAJELE,177.1,177.1,169.39,170.26,15713,
2010-01-21 12:01:00,BAJELE,172.79,172.79,162.89,163.77,11969,
2010-01-22 12:01:00,BAJELE,161.98,164.68,160.36,163.47,25797,
2010-01-25 12:01:00,BAJELE,164.15,174.6,163.25,169.53,44847,
2010-01-27 12:01:00,BAJELE,169.88,171.44,160.39,162.3,24636,
2010-01-28 12:01:00,BAJELE,191.01,191.01,182.14,188.13,61608,
2010-01-29 12:01:00,BAJELE,187.86,191.01,181.19,189.93,27293,
2010-02-01 12:02:00,BAJELE,191.05,194.48,189.52,191.95,37076,
2010-02-02 12:02:00,BAJELE,195.42,195.42,186.15,187.0,37285,
2010-02-04 12:02:00,BAJELE,196.32,200.11,189.3,193.08,77582,
2010-02-05 12:02:00,BAJELE,184.21,188.4,182.99,185.11,67165,
2010-02-06 12:02:00,BAJELE,192.9,192.9,182.18,184.21,12589,
2010-02-08 12:02:00,BAJELE,179.39,191.28,179.39,183.4,36961,
2010-02-09 12:02:00,BAJELE,186.15,189.39,182.59,188.53,141179,
2010-02-10 12:02:00,BAJELE,192.77,192.77,185.69,189.34,36836,
2010-02-11 12:02:00,BAJELE,190.24,192.0,188.26,189.12,20625,
2010-02-15 12:02:00,BAJELE,191.05,191.05,186.69,190.06,24194,
2010-02-16 12:02:00,BAJELE,190.06,192.0,186.87,191.64,453005,
2010-02-17 12:02:00,BAJELE,192.0,199.21,191.1,195.29,69530,
2010-02-18 12:02:00,BAJELE,193.35,197.4,193.04,196.32,37092,
2010-02-19 12:02:00,BAJELE,188.53,196.46,188.53,194.57,23922,
2010-02-22 12:02:00,BAJELE,194.61,197.13,191.41,194.21,21387,
2010-02-23 12:02:00,BAJELE,196.5,196.5,182.09,193.62,35340,
2010-02-24 12:02:00,BAJELE,192.9,203.71,192.9,196.55,98203,
2010-02-25 12:02:00,BAJELE,200.06,211.55,198.35,202.31,680370,
2010-02-26 12:02:00,BAJELE,202.27,208.66,201.01,206.05,731188,
2010-03-02 12:03:00,BAJELE,207.94,219.38,207.76,217.4,190472,
2010-03-03 12:03:00,BAJELE,221.09,230.19,199.21,204.12,889216,
2010-03-04 12:03:00,BAJELE,204.16,211.73,197.49,200.74,473177,
2010-03-05 12:03:00,BAJELE,203.62,213.44,201.01,211.73,370518,
2010-03-08 12:03:00,BAJELE,212.63,213.62,206.5,209.38,87901,
2010-03-09 12:03:00,BAJELE,207.49,210.47,206.41,207.99,55722,
2010-03-10 12:03:00,BAJELE,209.97,212.27,207.76,210.69,73182,
2010-03-11 12:03:00,BAJELE,210.02,215.15,209.56,210.38,62167,
2010-03-12 12:03:00,BAJELE,210.78,210.87,207.31,209.29,34363,
2010-03-15 12:03:00,BAJELE,210.92,215.15,208.39,209.25,46410,
2010-03-16 12:03:00,BAJELE,208.21,218.12,207.31,217.04,131947,
2010-03-17 12:03:00,BAJELE,217.04,219.83,214.61,216.32,64078,
2010-03-18 12:03:00,BAJELE,216.32,227.17,216.32,222.13,165519,
2010-03-19 12:03:00,BAJELE,224.34,225.87,217.22,223.48,386355,
2010-03-22 12:03:00,BAJELE,226.68,235.24,219.2,223.57,243087,
2010-03-23 12:03:00,BAJELE,226.23,227.31,217.45,220.01,87320,
2010-03-25 12:03:00,BAJELE,222.45,225.55,218.57,220.19,69754,
2010-03-26 12:03:00,BAJELE,222.63,224.43,217.27,219.56,95732,
2010-03-29 12:03:00,BAJELE,222.54,246.59,220.82,231.95,1116035,
2010-03-30 12:03:00,BAJELE,233.66,237.94,219.92,231.45,268892,
2010-03-31 12:03:00,BAJELE,237.94,237.94,227.13,231.0,112391,
2010-04-01 12:04:00,BAJELE,231.72,234.34,229.07,230.69,58677,
2010-04-05 12:04:00,BAJELE,233.44,235.19,230.73,231.86,108070,
2010-04-06 12:04:00,BAJELE,233.44,233.44,225.78,227.99,122097,
2010-04-07 12:04:00,BAJELE,230.64,230.64,226.68,227.67,44344,
2010-04-08 12:04:00,BAJELE,227.67,228.8,220.82,223.17,91670,
2010-04-09 12:04:00,BAJELE,224.43,227.94,223.84,225.15,65826,
2010-04-12 12:04:00,BAJELE,224.7,226.23,220.46,222.09,97845,
2010-04-13 12:04:00,BAJELE,222.4,225.15,220.82,221.68,142808,
2010-04-16 12:04:00,BAJELE,220.01,224.43,218.17,220.73,56945,
2010-04-19 12:04:00,BAJELE,224.25,232.53,219.92,223.26,236016,
2010-04-20 12:04:00,BAJELE,224.79,228.93,223.53,226.23,96708,
2010-04-21 12:04:00,BAJELE,227.85,228.93,225.51,227.45,61680,
