datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,BAJFI,43.73,44.79,43.73,44.63,45282,
2010-01-05 12:01:00,BAJFI,45.23,45.29,44.02,44.43,30972,
2010-01-06 12:01:00,BAJFI,44.45,45.31,43.95,44.86,18740,
2010-01-07 12:01:00,BAJFI,45.22,45.22,44.28,44.67,13493,
2010-01-08 12:01:00,BAJFI,44.72,46.0,44.58,45.21,30381,
2010-01-11 12:01:00,BAJFI,45.75,46.09,45.36,45.98,38089,
2010-01-12 12:01:00,BAJFI,46.7,47.59,44.04,44.81,215054,
2010-01-13 12:01:00,BAJFI,45.0,45.36,42.98,43.24,46646,
2010-01-14 12:01:00,BAJFI,43.51,44.54,43.51,44.0,24826,
2010-01-15 12:01:00,BAJFI,43.59,44.45,43.59,44.28,11575,
2010-01-18 12:01:00,BAJFI,44.61,45.56,43.93,45.18,31170,
2010-01-19 12:01:00,BAJFI,45.05,45.57,44.02,44.29,6313,
2010-01-20 12:01:00,BAJFI,44.97,44.97,43.94,44.3,7273,
2010-01-21 12:01:00,BAJFI,44.87,44.87,43.24,43.42,13793,
2010-01-22 12:01:00,BAJFI,43.08,44.26,41.43,43.45,19669,
2010-01-25 12:01:00,BAJFI,42.29,43.98,42.29,43.22,6840,
2010-01-27 12:01:00,BAJFI,43.07,43.22,42.2,42.38,9708,
2010-01-28 12:01:00,BAJFI,42.3,43.07,41.34,42.45,17065,
2010-01-29 12:01:00,BAJFI,41.82,42.2,41.25,41.64,29115,
2010-02-01 12:02:00,BAJFI,41.85,41.95,41.62,41.74,8557,
2010-02-02 12:02:00,BAJFI,45.05,45.05,40.91,41.08,22601,
2010-02-04 12:02:00,BAJFI,41.09,41.33,40.74,40.84,11841,
2010-02-05 12:02:00,BAJFI,40.35,41.08,40.22,40.4,11105,
2010-02-06 12:02:00,BAJFI,38.8,40.81,38.8,40.18,2516,
2010-02-08 12:02:00,BAJFI,40.18,40.65,39.88,40.08,8251,
2010-02-09 12:02:00,BAJFI,40.18,41.69,40.05,40.6,9392,
2010-02-10 12:02:00,BAJFI,40.39,41.34,40.25,40.41,6219,
2010-02-11 12:02:00,BAJFI,40.36,40.81,40.05,40.2,5374,
2010-02-15 12:02:00,BAJFI,40.46,40.81,39.62,39.89,4584,
2010-02-16 12:02:00,BAJFI,40.06,40.3,39.64,40.13,6347,
2010-02-17 12:02:00,BAJFI,40.91,44.06,40.57,41.74,223170,
2010-02-18 12:02:00,BAJFI,41.77,42.03,40.75,41.02,28636,
2010-02-19 12:02:00,BAJFI,40.83,41.43,40.49,40.71,28851,
2010-02-22 12:02:00,BAJFI,41.77,41.77,40.43,40.52,12037,
2010-02-23 12:02:00,BAJFI,40.31,40.82,40.31,40.71,6467,
2010-02-24 12:02:00,BAJFI,40.62,40.65,40.05,40.21,5085,
2010-02-25 12:02:00,BAJFI,40.3,40.82,39.45,39.63,24013,
2010-02-26 12:02:00,BAJFI,39.42,42.2,39.42,40.94,129056,
2010-03-02 12:03:00,BAJFI,41.08,42.97,41.08,42.17,63235,
2010-03-03 12:03:00,BAJFI,43.07,43.15,42.2,42.74,32618,
2010-03-04 12:03:00,BAJFI,42.73,43.01,42.46,42.64,14559,
2010-03-05 12:03:00,BAJFI,43.05,43.07,42.22,42.84,11133,
2010-03-08 12:03:00,BAJFI,43.24,43.5,42.64,42.71,9439,
2010-03-09 12:03:00,BAJFI,42.96,43.07,42.25,42.85,16732,
2010-03-10 12:03:00,BAJFI,42.9,43.15,42.47,42.74,6754,
2010-03-11 12:03:00,BAJFI,42.69,42.95,41.77,42.0,13786,
2010-03-12 12:03:00,BAJFI,42.2,42.85,41.95,42.62,12434,
2010-03-15 12:03:00,BAJFI,42.23,42.74,41.77,42.02,4499,
2010-03-16 12:03:00,BAJFI,42.01,42.44,41.65,41.93,3316,
2010-03-17 12:03:00,BAJFI,42.55,42.55,41.8,42.06,2753,
2010-03-18 12:03:00,BAJFI,43.07,43.07,41.86,41.99,3495,
2010-03-19 12:03:00,BAJFI,41.95,42.42,41.86,41.87,4178,
2010-03-22 12:03:00,BAJFI,41.43,42.12,41.43,41.83,11798,
2010-03-23 12:03:00,BAJFI,42.29,42.29,41.35,41.49,9819,
2010-03-25 12:03:00,BAJFI,41.34,41.34,41.17,41.31,9070,
2010-03-26 12:03:00,BAJFI,41.43,42.7,41.29,42.06,42684,
2010-03-29 12:03:00,BAJFI,42.25,43.4,41.95,42.24,24762,
2010-03-30 12:03:00,BAJFI,42.46,43.33,42.35,42.93,16049,
2010-03-31 12:03:00,BAJFI,42.98,43.07,42.34,42.67,5882,
2010-04-01 12:04:00,BAJFI,42.38,43.24,42.38,43.13,12639,
2010-04-05 12:04:00,BAJFI,43.22,43.76,42.87,43.47,13339,
2010-04-06 12:04:00,BAJFI,43.93,44.17,43.12,43.62,7689,
2010-04-07 12:04:00,BAJFI,43.91,44.1,43.58,44.0,12088,
2010-04-08 12:04:00,BAJFI,43.63,44.11,43.63,43.85,26516,
2010-04-09 12:04:00,BAJFI,44.19,44.45,43.51,44.07,16738,
2010-04-12 12:04:00,BAJFI,44.27,45.66,44.11,45.45,43762,
2010-04-13 12:04:00,BAJFI,45.24,46.34,44.63,45.51,37988,
2010-04-16 12:04:00,BAJFI,44.45,47.21,44.45,46.82,112550,
2010-04-19 12:04:00,BAJFI,46.57,47.98,45.23,47.38,59392,
2010-04-20 12:04:00,BAJFI,47.56,49.5,47.56,48.32,204338,
2010-04-21 12:04:00,BAJFI,48.66,49.78,47.99,49.53,71160,
2010-04-22 12:04:00,BAJFI,49.55,49.95,48.77,49.8,50961,
2010-04-23 12:04:00,BAJFI,49.89,50.32,49.22,50.09,20281,
2010-04-26 12:04:00,BAJFI,50.23,50.75,49.64,50.28,19109,
2010-04-27 12:04:00,BAJFI,50.44,51.61,49.93,51.23,35261,
2010-04-28 12:04:00,BAJFI,50.84,51.92,50.32,51.32,54914,
2010-04-29 12:04:00,BAJFI,50.41,51.88,50.41,51.76,29569,
2010-04-30 12:04:00,BAJFI,52.22,53.52,51.29,52.03,33853,
2010-05-03 12:05:00,BAJFI,52.03,52.83,49.18,51.77,83261,
2010-05-04 12:05:00,BAJFI,52.22,52.64,51.36,51.58,22008,
2010-05-05 12:05:00,BAJFI,50.84,57.34,50.5,53.2,457444,
2010-05-06 12:05:00,BAJFI,53.26,53.63,51.99,52.31,63234,
2010-05-07 12:05:00,BAJFI,50.41,52.08,49.63,51.74,26598,
2010-05-10 12:05:00,BAJFI,50.85,54.28,50.85,52.64,89523,
2010-05-11 12:05:00,BAJFI,53.22,53.82,51.54,52.07,88598,
2010-05-12 12:05:00,BAJFI,52.57,53.69,52.32,52.81,64843,
2010-05-13 12:05:00,BAJFI,52.99,56.96,52.57,56.08,490410,
2010-05-14 12:05:00,BAJFI,56.63,58.61,55.69,57.5,447979,
2010-05-17 12:05:00,BAJFI,56.65,59.05,56.02,57.66,127602,
2010-05-18 12:05:00,BAJFI,58.18,58.61,56.45,56.71,44893,
2010-05-19 12:05:00,BAJFI,56.71,56.71,54.46,55.93,211306,
2010-05-20 12:05:00,BAJFI,56.02,56.89,54.81,55.78,33784,
2010-05-24 12:05:00,BAJFI,55.3,56.2,53.04,54.02,19791,
2010-05-25 12:05:00,BAJFI,53.09,53.6,51.29,52.42,20338,
2010-05-26 12:05:00,BAJFI,52.05,54.43,52.05,53.94,32198,
2010-05-27 12:05:00,BAJFI,54.47,55.07,53.21,54.84,13470,
2010-05-28 12:05:00,BAJFI,55.59,55.85,53.7,54.98,9032,
2010-05-31 12:05:00,BAJFI,54.82,54.98,53.44,54.42,11867,
2010-06-01 12:06:00,BAJFI,55.16,55.95,54.64,55.58,22874,
2010-06-02 12:06:00,BAJFI,55.16,56.02,55.16,55.64,14786,
2010-06-03 12:06:00,BAJFI,55.76,56.02,54.74,55.3,16103,
2010-06-04 12:06:00,BAJFI,55.35,56.27,54.74,56.01,38697,
2010-06-07 12:06:00,BAJFI,57.34,57.34,54.72,54.77,10050,
2010-06-08 12:06:00,BAJFI,54.77,56.01,54.3,54.52,11495,
2010-06-09 12:06:00,BAJFI,55.09,56.8,55.09,56.0,122315,
2010-06-10 12:06:00,BAJFI,56.27,56.27,55.52,56.02,29455,
2010-06-11 12:06:00,BAJFI,56.2,56.45,55.07,55.15,11024,
2010-06-14 12:06:00,BAJFI,56.01,56.01,55.01,55.43,9955,
2010-06-15 12:06:00,BAJFI,55.59,56.28,55.33,56.05,35417,
2010-06-16 12:06:00,BAJFI,56.45,56.45,55.68,56.01,44026,
2010-06-17 12:06:00,BAJFI,56.02,56.1,55.25,56.02,120320,
2010-06-18 12:06:00,BAJFI,55.59,56.02,55.5,56.01,105505,
2010-06-21 12:06:00,BAJFI,56.02,56.11,55.85,56.02,78608,
