datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,BAJHIN,99.33,101.1,99.0,100.75,2421035,
2010-01-05 12:01:00,BAJHIN,101.7,102.1,100.73,101.38,3168402,
2010-01-06 12:01:00,BAJHIN,102.0,103.87,101.83,102.93,3111782,
2010-01-07 12:01:00,BAJHIN,103.02,104.92,100.13,101.2,6843843,
2010-01-08 12:01:00,BAJHIN,102.27,102.93,101.03,101.47,3514887,
2010-01-11 12:01:00,BAJHIN,102.6,103.67,100.68,101.6,2809794,
2010-01-12 12:01:00,BAJHIN,102.37,102.37,99.37,99.92,4055437,
2010-01-13 12:01:00,BAJHIN,99.33,99.5,97.37,99.1,3494027,
2010-01-14 12:01:00,BAJHIN,99.0,99.58,97.58,98.58,2534814,
2010-01-15 12:01:00,BAJHIN,98.0,101.35,98.0,100.77,3928669,
2010-01-18 12:01:00,BAJHIN,100.67,100.73,98.47,98.85,2094143,
2010-01-19 12:01:00,BAJHIN,98.67,99.45,93.7,94.3,3207390,
2010-01-20 12:01:00,BAJHIN,94.67,95.83,94.08,94.92,3403571,
2010-01-21 12:01:00,BAJHIN,94.57,95.52,92.38,92.73,3457656,
2010-01-22 12:01:00,BAJHIN,90.67,93.02,88.0,92.25,4120983,
2010-01-25 12:01:00,BAJHIN,91.03,95.8,89.53,95.03,6405499,
2010-01-27 12:01:00,BAJHIN,94.0,96.17,93.25,95.42,6280001,
2010-01-28 12:01:00,BAJHIN,95.97,97.27,91.1,94.52,22709060,
2010-01-29 12:01:00,BAJHIN,92.3,92.93,86.5,91.5,7381257,
2010-02-01 12:02:00,BAJHIN,91.28,94.03,90.22,92.92,2846798,
2010-02-02 12:02:00,BAJHIN,93.97,93.97,89.0,89.5,2838721,
2010-02-04 12:02:00,BAJHIN,89.7,91.82,86.73,87.07,3782255,
2010-02-05 12:02:00,BAJHIN,82.38,85.77,79.0,82.73,5300202,
2010-02-06 12:02:00,BAJHIN,82.92,83.92,82.68,83.55,389547,
2010-02-08 12:02:00,BAJHIN,83.33,85.52,81.4,82.77,4509627,
2010-02-09 12:02:00,BAJHIN,82.85,83.62,81.93,82.32,2473365,
2010-02-10 12:02:00,BAJHIN,82.75,82.95,80.27,80.62,2744795,
2010-02-11 12:02:00,BAJHIN,82.0,83.45,81.17,82.62,3011311,
2010-02-15 12:02:00,BAJHIN,82.68,83.13,80.88,81.33,1923821,
2010-02-16 12:02:00,BAJHIN,81.68,82.97,81.08,82.5,2286525,
2010-02-17 12:02:00,BAJHIN,83.47,85.13,82.75,84.62,2725982,
2010-02-18 12:02:00,BAJHIN,84.7,84.7,81.1,81.42,2760449,
2010-02-19 12:02:00,BAJHIN,80.75,81.33,77.72,78.12,4136937,
2010-02-22 12:02:00,BAJHIN,79.12,79.33,76.17,76.83,5688921,
