datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,BALIND,55.75,57.4,53.2,55.85,112715,
2010-01-05 12:01:00,BALIND,56.52,58.38,55.5,56.96,98998,
2010-01-06 12:01:00,BALIND,55.05,56.95,54.2,54.93,77966,
2010-01-07 12:01:00,BALIND,55.0,56.48,54.4,55.08,24702,
2010-01-08 12:01:00,BALIND,55.49,56.19,53.61,55.12,28620,
2010-01-11 12:01:00,BALIND,54.9,55.85,54.9,55.04,14928,
2010-01-12 12:01:00,BALIND,55.11,55.49,55.0,55.12,7347,
2010-01-13 12:01:00,BALIND,54.0,55.44,53.3,55.2,22449,
2010-01-14 12:01:00,BALIND,54.6,55.96,54.6,55.06,11797,
2010-01-15 12:01:00,BALIND,54.56,58.25,54.56,55.36,25914,
2010-01-18 12:01:00,BALIND,55.0,56.59,54.85,55.91,10814,
2010-01-19 12:01:00,BALIND,55.2,56.98,55.1,55.56,9774,
2010-01-20 12:01:00,BALIND,54.9,56.6,54.9,56.26,8681,
2010-01-21 12:01:00,BALIND,55.2,56.8,55.0,55.95,8658,
2010-01-22 12:01:00,BALIND,53.55,55.89,53.55,55.07,10095,
2010-01-25 12:01:00,BALIND,53.85,56.97,53.85,55.01,5026,
2010-01-27 12:01:00,BALIND,54.5,55.4,50.03,50.61,18601,
2010-01-28 12:01:00,BALIND,52.0,54.4,51.5,52.38,3971,
2010-01-29 12:01:00,BALIND,51.8,52.79,49.8,52.04,1548,
2010-02-01 12:02:00,BALIND,54.12,60.5,53.0,58.42,61714,
2010-02-02 12:02:00,BALIND,59.9,61.5,55.63,56.56,14700,
2010-02-04 12:02:00,BALIND,61.95,65.48,61.15,61.83,162864,
2010-02-05 12:02:00,BALIND,61.0,61.2,56.3,59.66,34522,
2010-02-06 12:02:00,BALIND,59.6,62.4,59.6,61.45,18656,
2010-02-08 12:02:00,BALIND,62.39,63.19,61.0,61.63,17352,
2010-02-09 12:02:00,BALIND,58.7,61.8,58.7,60.23,8281,
2010-02-10 12:02:00,BALIND,60.7,61.35,59.9,60.33,9172,
2010-02-11 12:02:00,BALIND,60.58,61.48,59.01,59.28,4706,
2010-02-15 12:02:00,BALIND,59.2,60.5,59.0,59.02,2801,
2010-02-16 12:02:00,BALIND,57.51,60.48,57.03,58.12,3655,
2010-02-17 12:02:00,BALIND,57.3,60.5,57.3,59.5,4650,
2010-02-18 12:02:00,BALIND,58.1,59.9,57.71,58.28,53207,
2010-02-19 12:02:00,BALIND,56.7,58.56,56.35,58.08,86330,
2010-02-22 12:02:00,BALIND,57.0,59.5,57.0,58.29,4502,
2010-02-23 12:02:00,BALIND,57.11,58.7,57.11,58.2,3189,
2010-02-24 12:02:00,BALIND,56.0,60.19,56.0,59.01,2173,
2010-02-25 12:02:00,BALIND,58.2,59.4,58.0,58.0,5773,
2010-02-26 12:02:00,BALIND,58.0,60.89,57.3,59.23,6852,
2010-03-02 12:03:00,BALIND,58.51,62.4,58.51,61.17,9991,
2010-03-03 12:03:00,BALIND,61.17,61.95,60.11,61.73,4554,
2010-03-04 12:03:00,BALIND,58.6,65.5,58.6,63.18,21590,
2010-03-05 12:03:00,BALIND,63.88,64.49,62.0,62.4,8385,
2010-03-08 12:03:00,BALIND,62.5,63.52,61.41,62.59,5048,
2010-03-09 12:03:00,BALIND,62.02,63.5,61.5,61.68,9834,
2010-03-10 12:03:00,BALIND,61.62,62.45,61.0,61.55,1988,
2010-03-11 12:03:00,BALIND,62.5,63.4,62.0,62.17,8088,
2010-03-12 12:03:00,BALIND,62.5,63.2,61.0,62.05,1135,
2010-03-15 12:03:00,BALIND,63.4,63.4,61.0,62.43,7651,
2010-03-16 12:03:00,BALIND,62.32,63.4,61.5,61.65,5176,
2010-03-17 12:03:00,BALIND,61.98,63.1,61.33,62.08,3201,
2010-03-18 12:03:00,BALIND,61.8,64.7,61.8,62.91,14935,
2010-03-19 12:03:00,BALIND,62.9,63.47,62.5,62.62,1203,
2010-03-22 12:03:00,BALIND,62.62,62.62,61.01,61.6,2910,
2010-03-23 12:03:00,BALIND,62.2,63.5,61.5,61.91,2243,
2010-03-25 12:03:00,BALIND,61.21,62.2,61.2,61.59,724,
2010-03-26 12:03:00,BALIND,62.0,64.0,61.5,61.57,6094,
2010-03-29 12:03:00,BALIND,58.5,62.0,58.5,61.01,4222,
2010-03-30 12:03:00,BALIND,59.0,63.99,59.0,63.2,6744,
2010-03-31 12:03:00,BALIND,61.5,68.9,61.5,63.92,9158,
2010-04-01 12:04:00,BALIND,64.81,65.14,64.02,64.25,2640,
2010-04-05 12:04:00,BALIND,64.25,65.0,63.51,63.7,3074,
2010-04-06 12:04:00,BALIND,62.0,64.7,62.0,63.32,2382,
2010-04-07 12:04:00,BALIND,63.79,63.8,62.0,62.22,22324,
