datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,BALLAW,55.05,56.25,54.85,55.94,19961,
2010-01-05 12:01:00,BALLAW,56.0,56.0,54.79,55.27,8123,
2010-01-06 12:01:00,BALLAW,56.18,56.18,54.3,54.57,6975,
2010-01-07 12:01:00,BALLAW,54.86,54.86,53.33,54.29,6890,
2010-01-08 12:01:00,BALLAW,54.3,55.02,52.63,53.42,13299,
2010-01-11 12:01:00,BALLAW,54.29,57.33,53.55,57.2,42208,
2010-01-12 12:01:00,BALLAW,54.77,59.99,54.77,57.03,93434,
2010-01-13 12:01:00,BALLAW,55.91,61.7,55.91,58.59,73358,
2010-01-14 12:01:00,BALLAW,59.33,59.9,57.91,58.28,13419,
2010-01-15 12:01:00,BALLAW,59.33,64.19,58.4,61.8,316736,
2010-01-18 12:01:00,BALLAW,61.9,71.33,61.71,68.67,573716,
2010-01-19 12:01:00,BALLAW,69.94,71.8,65.41,66.77,263948,
2010-01-20 12:01:00,BALLAW,67.52,67.56,61.42,63.3,117154,
2010-01-21 12:01:00,BALLAW,63.3,64.72,59.43,59.8,112912,
2010-01-22 12:01:00,BALLAW,59.05,63.71,56.77,62.38,162419,
2010-01-25 12:01:00,BALLAW,62.38,63.81,58.66,59.32,57316,
2010-01-27 12:01:00,BALLAW,59.22,59.7,55.25,55.81,52813,
2010-01-28 12:01:00,BALLAW,57.14,58.04,54.76,55.23,42003,
2010-01-29 12:01:00,BALLAW,54.76,57.05,53.9,56.46,44665,
2010-02-01 12:02:00,BALLAW,54.3,61.33,54.3,60.81,75330,
2010-02-02 12:02:00,BALLAW,61.33,62.32,58.1,58.25,28896,
2010-02-04 12:02:00,BALLAW,60.94,61.43,58.57,58.84,22419,
2010-02-05 12:02:00,BALLAW,57.43,58.54,55.43,57.5,31928,
2010-02-06 12:02:00,BALLAW,57.81,58.48,57.33,57.62,2811,
2010-02-08 12:02:00,BALLAW,58.0,58.48,56.31,57.37,11388,
2010-02-09 12:02:00,BALLAW,56.19,60.64,55.72,59.9,50200,
2010-02-10 12:02:00,BALLAW,60.48,60.76,57.91,58.5,30022,
2010-02-11 12:02:00,BALLAW,58.14,59.62,58.14,58.58,20608,
2010-02-15 12:02:00,BALLAW,58.1,59.5,57.81,58.1,5973,
2010-02-16 12:02:00,BALLAW,58.1,58.94,57.43,58.45,12568,
2010-02-17 12:02:00,BALLAW,58.3,59.52,57.81,57.96,8678,
2010-02-18 12:02:00,BALLAW,58.48,58.48,57.62,57.72,4963,
2010-02-19 12:02:00,BALLAW,57.62,58.76,57.14,57.31,9084,
2010-02-22 12:02:00,BALLAW,57.62,58.42,56.0,56.23,7972,
2010-02-23 12:02:00,BALLAW,55.33,56.76,54.95,55.12,8247,
2010-02-24 12:02:00,BALLAW,54.76,55.69,54.76,55.19,7932,
2010-02-25 12:02:00,BALLAW,57.14,57.14,54.3,54.67,8668,
2010-02-26 12:02:00,BALLAW,56.0,57.24,55.38,56.03,11986,
2010-03-02 12:03:00,BALLAW,56.19,57.33,56.19,56.56,10101,
2010-03-03 12:03:00,BALLAW,56.67,58.52,56.47,57.23,13534,
2010-03-04 12:03:00,BALLAW,57.52,58.38,57.02,57.22,14730,
2010-03-05 12:03:00,BALLAW,57.29,59.47,57.29,57.83,27874,
