datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,BANPRO,43.5,45.0,43.08,44.23,179182,
2010-01-05 12:01:00,BANPRO,44.5,46.13,43.88,44.6,364057,
2010-01-06 12:01:00,BANPRO,44.85,45.6,43.48,43.7,123469,
2010-01-07 12:01:00,BANPRO,44.0,44.65,43.3,43.85,77762,
2010-01-08 12:01:00,BANPRO,43.95,45.75,43.95,44.8,135353,
2010-01-11 12:01:00,BANPRO,45.73,48.6,45.0,47.18,339606,
2010-01-12 12:01:00,BANPRO,47.7,47.7,44.5,45.68,127222,
2010-01-13 12:01:00,BANPRO,45.73,49.2,44.25,48.5,361382,
2010-01-14 12:01:00,BANPRO,48.48,49.45,47.63,47.8,170949,
2010-01-15 12:01:00,BANPRO,48.0,49.65,47.05,47.58,210139,
2010-01-18 12:01:00,BANPRO,47.8,48.43,46.6,47.75,103944,
2010-01-19 12:01:00,BANPRO,48.0,48.0,46.53,46.88,74692,
2010-01-20 12:01:00,BANPRO,46.88,47.88,46.05,46.53,141780,
2010-01-21 12:01:00,BANPRO,46.25,46.83,44.05,44.83,80892,
2010-01-22 12:01:00,BANPRO,43.5,44.05,41.58,42.88,87657,
2010-01-25 12:01:00,BANPRO,42.75,43.7,42.0,42.38,66976,
2010-01-27 12:01:00,BANPRO,42.5,45.0,40.5,40.98,59851,
2010-01-28 12:01:00,BANPRO,40.5,41.95,38.85,39.35,75304,
2010-01-29 12:01:00,BANPRO,39.05,39.05,35.88,38.6,180415,
2010-02-01 12:02:00,BANPRO,39.45,44.95,39.45,43.6,191285,
2010-02-02 12:02:00,BANPRO,43.63,45.15,41.08,41.78,112596,
2010-02-04 12:02:00,BANPRO,42.5,44.3,41.6,41.98,123880,
2010-02-05 12:02:00,BANPRO,39.0,41.5,38.75,39.83,99409,
2010-02-06 12:02:00,BANPRO,41.3,41.95,40.58,40.85,16131,
2010-02-08 12:02:00,BANPRO,41.5,41.5,39.3,39.75,75450,
2010-02-09 12:02:00,BANPRO,39.85,41.35,39.5,41.0,73657,
2010-02-10 12:02:00,BANPRO,41.75,43.5,40.5,41.95,254971,
2010-02-11 12:02:00,BANPRO,42.5,43.38,41.55,41.83,34845,
2010-02-15 12:02:00,BANPRO,42.4,42.5,41.58,41.88,30591,
2010-02-16 12:02:00,BANPRO,42.25,42.5,41.8,42.2,22455,
2010-02-17 12:02:00,BANPRO,42.33,43.73,42.25,42.43,71223,
2010-02-18 12:02:00,BANPRO,43.0,43.63,42.15,42.48,76733,
2010-02-19 12:02:00,BANPRO,43.0,43.0,40.85,41.45,33154,
2010-02-22 12:02:00,BANPRO,41.83,43.9,40.75,41.18,92356,
2010-02-23 12:02:00,BANPRO,41.25,41.78,40.03,40.23,50048,
2010-02-24 12:02:00,BANPRO,38.9,40.85,37.5,40.08,217246,
2010-02-25 12:02:00,BANPRO,40.95,41.68,40.3,40.68,67400,
