datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,BERPAI,17.92,18.15,17.8,17.99,115840,
2010-01-05 12:01:00,BERPAI,18.04,18.32,17.9,18.02,183787,
2010-01-06 12:01:00,BERPAI,18.04,18.6,17.92,18.15,162261,
2010-01-07 12:01:00,BERPAI,18.27,18.36,18.04,18.17,68512,
2010-01-08 12:01:00,BERPAI,18.18,18.42,17.93,18.13,108841,
2010-01-11 12:01:00,BERPAI,18.45,19.35,18.24,18.9,664478,
2010-01-12 12:01:00,BERPAI,18.75,19.48,18.48,18.59,355932,
2010-01-13 12:01:00,BERPAI,18.39,18.96,18.21,18.62,155063,
2010-01-14 12:01:00,BERPAI,18.69,19.2,18.6,18.66,169177,
2010-01-15 12:01:00,BERPAI,18.87,19.35,18.62,18.85,442435,
2010-01-18 12:01:00,BERPAI,18.75,19.91,18.75,19.43,1210220,
2010-01-19 12:01:00,BERPAI,19.29,19.63,18.5,18.69,300477,
2010-01-20 12:01:00,BERPAI,18.87,19.02,18.2,18.45,160474,
2010-01-21 12:01:00,BERPAI,18.45,18.53,17.74,17.87,146363,
2010-01-22 12:01:00,BERPAI,17.26,17.81,16.9,17.38,204542,
2010-01-25 12:01:00,BERPAI,17.26,18.15,17.13,17.28,164723,
2010-01-27 12:01:00,BERPAI,17.26,17.44,16.67,16.7,167296,
2010-01-28 12:01:00,BERPAI,16.67,17.11,16.43,16.64,99522,
2010-01-29 12:01:00,BERPAI,16.44,16.82,16.15,16.68,92065,
2010-02-01 12:02:00,BERPAI,16.85,17.63,16.64,17.34,157917,
2010-02-02 12:02:00,BERPAI,17.65,17.65,16.7,16.77,98971,
2010-02-04 12:02:00,BERPAI,17.17,17.44,16.46,16.62,141569,
2010-02-05 12:02:00,BERPAI,16.37,16.37,15.19,16.24,98938,
2010-02-06 12:02:00,BERPAI,16.47,16.62,16.28,16.49,13897,
2010-02-08 12:02:00,BERPAI,16.67,16.85,16.32,16.41,60011,
2010-02-09 12:02:00,BERPAI,16.4,16.82,16.37,16.55,40688,
2010-02-10 12:02:00,BERPAI,16.7,16.96,16.38,16.44,79904,
