datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,BHAELE,19.7,19.94,19.55,19.68,71202,
2010-01-05 12:01:00,BHAELE,19.8,19.89,19.61,19.74,50116,
2010-01-06 12:01:00,BHAELE,19.71,19.77,19.51,19.6,12649,
2010-01-07 12:01:00,BHAELE,19.7,19.75,19.43,19.49,12788,
2010-01-08 12:01:00,BHAELE,19.27,19.58,19.27,19.51,25795,
2010-01-11 12:01:00,BHAELE,19.53,20.78,19.37,20.49,133528,
2010-01-12 12:01:00,BHAELE,20.48,20.81,19.84,19.92,44824,
2010-01-13 12:01:00,BHAELE,19.92,20.62,19.76,20.33,56862,
2010-01-14 12:01:00,BHAELE,20.51,21.2,20.32,20.91,151093,
2010-01-15 12:01:00,BHAELE,21.16,21.88,20.72,20.91,103728,
2010-01-18 12:01:00,BHAELE,20.73,21.61,20.71,21.21,77093,
2010-01-19 12:01:00,BHAELE,21.24,21.62,20.65,20.77,51920,
2010-01-20 12:01:00,BHAELE,20.98,21.21,20.35,20.51,51813,
2010-01-21 12:01:00,BHAELE,20.5,20.78,19.94,20.21,48890,
2010-01-22 12:01:00,BHAELE,19.91,20.29,19.49,20.14,62447,
2010-01-25 12:01:00,BHAELE,20.1,20.1,19.6,19.72,47355,
2010-01-27 12:01:00,BHAELE,19.8,19.85,19.57,19.6,86631,
2010-01-28 12:01:00,BHAELE,19.75,20.0,19.63,19.81,91685,
2010-01-29 12:01:00,BHAELE,19.9,20.02,18.98,19.62,104081,
2010-02-01 12:02:00,BHAELE,20.03,20.4,19.8,20.24,115534,
2010-02-02 12:02:00,BHAELE,20.35,20.55,19.44,19.57,120751,
2010-02-04 12:02:00,BHAELE,20.15,20.45,19.81,20.09,134426,
2010-02-05 12:02:00,BHAELE,19.8,19.87,19.44,19.67,69126,
2010-02-06 12:02:00,BHAELE,19.92,20.38,19.72,20.15,6951,
2010-02-08 12:02:00,BHAELE,20.31,20.31,19.7,19.8,59653,
2010-02-09 12:02:00,BHAELE,19.67,19.87,19.56,19.69,59052,
2010-02-10 12:02:00,BHAELE,20.19,20.19,19.65,19.95,114941,
2010-02-11 12:02:00,BHAELE,20.02,20.13,19.84,19.93,20449,
2010-02-15 12:02:00,BHAELE,20.0,20.27,19.95,20.14,45802,
2010-02-16 12:02:00,BHAELE,20.27,21.01,20.21,20.89,122068,
2010-02-17 12:02:00,BHAELE,20.89,21.16,20.66,20.77,92774,
2010-02-18 12:02:00,BHAELE,21.0,21.09,20.74,20.95,93021,
2010-02-19 12:02:00,BHAELE,20.86,21.04,20.51,20.75,46213,
2010-02-22 12:02:00,BHAELE,20.94,21.13,20.61,20.68,22093,
2010-02-23 12:02:00,BHAELE,20.7,20.7,20.32,20.51,209695,
2010-02-24 12:02:00,BHAELE,20.9,20.9,20.22,20.4,115189,
2010-02-25 12:02:00,BHAELE,20.5,20.5,20.0,20.18,54718,
2010-02-26 12:02:00,BHAELE,20.35,20.58,20.15,20.21,54666,
2010-03-02 12:03:00,BHAELE,20.49,20.61,20.17,20.22,38487,
2010-03-03 12:03:00,BHAELE,20.45,20.85,20.21,20.3,72760,
2010-03-04 12:03:00,BHAELE,20.56,20.56,20.29,20.39,39382,
2010-03-05 12:03:00,BHAELE,20.41,21.66,20.41,20.79,207416,
2010-03-08 12:03:00,BHAELE,21.16,21.34,20.92,21.07,52934,
2010-03-09 12:03:00,BHAELE,21.16,21.46,20.88,21.13,65525,
2010-03-10 12:03:00,BHAELE,21.07,21.31,20.88,20.95,66269,
2010-03-11 12:03:00,BHAELE,20.61,21.11,20.61,20.9,127244,
2010-03-12 12:03:00,BHAELE,21.06,21.11,20.72,21.07,23833,
2010-03-15 12:03:00,BHAELE,21.13,21.14,20.64,20.79,48497,
2010-03-16 12:03:00,BHAELE,20.76,21.11,20.71,20.99,20740,
2010-03-17 12:03:00,BHAELE,21.02,21.68,20.96,21.26,108519,
2010-03-18 12:03:00,BHAELE,21.19,21.55,21.07,21.23,56258,
2010-03-19 12:03:00,BHAELE,21.31,22.58,21.21,22.42,370826,
2010-03-22 12:03:00,BHAELE,22.38,22.75,22.11,22.37,92691,
2010-03-23 12:03:00,BHAELE,22.05,22.71,22.05,22.24,102990,
2010-03-25 12:03:00,BHAELE,22.27,22.42,22.02,22.32,52951,
2010-03-26 12:03:00,BHAELE,22.42,22.52,21.96,22.04,53526,
2010-03-29 12:03:00,BHAELE,21.87,22.22,21.8,21.87,57486,
2010-03-30 12:03:00,BHAELE,21.94,22.42,21.73,22.11,45189,
2010-03-31 12:03:00,BHAELE,21.98,22.42,21.77,22.25,64302,
2010-04-01 12:04:00,BHAELE,22.37,22.37,21.72,22.08,50249,
2010-04-05 12:04:00,BHAELE,22.26,22.26,21.03,21.24,193923,
2010-04-06 12:04:00,BHAELE,21.32,21.32,20.17,20.27,389401,
2010-04-07 12:04:00,BHAELE,20.39,20.53,19.82,20.04,152664,
2010-04-08 12:04:00,BHAELE,20.0,20.34,19.86,20.0,84908,
2010-04-09 12:04:00,BHAELE,20.05,20.19,19.85,19.88,59530,
2010-04-12 12:04:00,BHAELE,20.0,20.1,19.6,19.73,82483,
2010-04-13 12:04:00,BHAELE,19.65,19.95,19.42,19.55,90488,
2010-04-16 12:04:00,BHAELE,19.18,19.33,18.94,19.08,67458,
2010-04-19 12:04:00,BHAELE,19.06,19.09,18.63,18.92,117073,
2010-04-20 12:04:00,BHAELE,19.1,19.34,18.95,19.18,96468,
2010-04-21 12:04:00,BHAELE,19.29,19.35,19.04,19.17,46321,
2010-04-22 12:04:00,BHAELE,19.14,19.24,18.95,19.11,110950,
2010-04-23 12:04:00,BHAELE,19.01,19.3,19.0,19.1,48888,
2010-04-26 12:04:00,BHAELE,19.18,19.28,19.0,19.13,56373,
2010-04-27 12:04:00,BHAELE,19.01,19.24,18.71,18.78,60224,
2010-04-28 12:04:00,BHAELE,18.69,18.73,18.43,18.54,56366,
2010-04-29 12:04:00,BHAELE,18.42,18.73,18.2,18.36,41610,
2010-04-30 12:04:00,BHAELE,18.42,18.82,18.09,18.38,112180,
2010-05-03 12:05:00,BHAELE,18.36,18.67,18.23,18.41,52871,
2010-05-04 12:05:00,BHAELE,18.58,18.59,17.95,18.16,40718,
2010-05-05 12:05:00,BHAELE,17.98,18.36,17.53,18.22,59633,
2010-05-06 12:05:00,BHAELE,18.0,18.53,18.0,18.15,36881,
2010-05-07 12:05:00,BHAELE,17.89,18.27,17.69,18.0,65819,
2010-05-10 12:05:00,BHAELE,18.44,18.44,18.0,18.19,54420,
2010-05-11 12:05:00,BHAELE,18.93,18.93,18.08,18.19,24327,
2010-05-12 12:05:00,BHAELE,18.79,18.79,17.99,18.2,27078,
2010-05-13 12:05:00,BHAELE,18.42,18.49,18.0,18.18,56735,
2010-05-14 12:05:00,BHAELE,18.18,18.46,17.7,18.03,31785,
2010-05-17 12:05:00,BHAELE,17.78,18.03,17.42,17.95,95693,
2010-05-18 12:05:00,BHAELE,18.03,18.64,17.9,18.37,29988,
2010-05-19 12:05:00,BHAELE,18.19,18.39,17.76,18.03,28684,
2010-05-20 12:05:00,BHAELE,18.07,18.23,17.62,17.72,34251,
2010-05-24 12:05:00,BHAELE,17.87,17.87,17.49,17.67,25719,
2010-05-25 12:05:00,BHAELE,17.76,17.78,17.02,17.1,48804,
2010-05-26 12:05:00,BHAELE,17.32,17.37,17.06,17.15,26806,
2010-05-27 12:05:00,BHAELE,17.26,17.35,16.64,16.79,85193,
2010-05-28 12:05:00,BHAELE,17.07,17.36,16.79,17.26,22813,
2010-05-31 12:05:00,BHAELE,17.29,17.6,17.13,17.36,29245,
2010-06-01 12:06:00,BHAELE,17.36,17.36,17.12,17.23,53753,
2010-06-02 12:06:00,BHAELE,17.23,17.53,16.89,17.17,77470,
2010-06-03 12:06:00,BHAELE,17.43,17.45,17.19,17.26,19824,
2010-06-04 12:06:00,BHAELE,17.06,17.37,17.06,17.33,10748,
2010-06-07 12:06:00,BHAELE,17.32,17.32,16.79,17.07,22247,
2010-06-08 12:06:00,BHAELE,16.92,17.17,16.74,16.82,69676,
2010-06-09 12:06:00,BHAELE,17.0,17.11,16.83,16.92,30717,
2010-06-10 12:06:00,BHAELE,16.82,17.21,16.82,17.11,98497,
2010-06-11 12:06:00,BHAELE,17.22,17.74,17.12,17.47,63602,
2010-06-14 12:06:00,BHAELE,17.55,17.9,17.55,17.84,52702,
2010-06-15 12:06:00,BHAELE,17.84,18.15,17.7,18.05,42865,
2010-06-16 12:06:00,BHAELE,18.1,18.68,17.99,18.54,57555,
2010-06-17 12:06:00,BHAELE,18.55,18.63,18.28,18.35,53910,
