datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,BHAENG,13.33,14.0,12.73,13.1,19264,
2010-01-05 12:01:00,BHAENG,13.1,13.73,12.97,13.33,32088,
2010-01-06 12:01:00,BHAENG,13.67,13.67,13.0,13.0,1427,
2010-01-07 12:01:00,BHAENG,12.67,13.6,12.67,12.77,1840,
2010-01-08 12:01:00,BHAENG,13.33,13.43,12.77,13.43,12543,
2010-01-11 12:01:00,BHAENG,13.33,14.13,13.33,14.03,17922,
2010-01-12 12:01:00,BHAENG,14.0,14.0,13.33,13.33,36781,
2010-01-13 12:01:00,BHAENG,13.67,14.0,13.33,13.33,47504,
2010-01-14 12:01:00,BHAENG,14.0,14.0,13.3,13.47,36358,
2010-01-15 12:01:00,BHAENG,13.93,13.93,13.0,13.3,22452,
2010-01-18 12:01:00,BHAENG,13.87,13.97,13.0,13.33,32129,
2010-01-19 12:01:00,BHAENG,12.87,14.0,12.87,13.93,24000,
2010-01-20 12:01:00,BHAENG,14.33,14.33,13.37,14.0,2700,
2010-01-21 12:01:00,BHAENG,13.5,14.0,13.33,13.37,111023,
2010-01-22 12:01:00,BHAENG,13.27,13.8,13.0,13.03,26600,
2010-01-25 12:01:00,BHAENG,12.7,13.63,12.7,13.33,2229,
2010-01-27 12:01:00,BHAENG,13.0,13.87,13.0,13.7,34134,
2010-01-28 12:01:00,BHAENG,13.33,13.33,13.03,13.33,1005,
2010-01-29 12:01:00,BHAENG,12.67,13.0,12.67,12.77,30083,
2010-02-01 12:02:00,BHAENG,12.77,13.27,12.73,12.73,3120,
2010-02-02 12:02:00,BHAENG,13.0,13.1,13.0,13.0,1200,
2010-02-04 12:02:00,BHAENG,12.83,12.83,12.83,12.83,550,
2010-02-05 12:02:00,BHAENG,12.33,13.0,12.33,13.0,550,
2010-02-06 12:02:00,BHAENG,13.3,13.3,13.3,13.3,500,
2010-02-08 12:02:00,BHAENG,12.73,13.0,12.67,12.67,88,
2010-02-09 12:02:00,BHAENG,12.67,13.0,12.67,13.0,295,
2010-02-10 12:02:00,BHAENG,13.0,13.0,13.0,13.0,500,
2010-02-11 12:02:00,BHAENG,13.0,13.0,12.67,12.67,4109,
2010-02-15 12:02:00,BHAENG,12.67,13.23,12.2,13.23,1511,
2010-02-16 12:02:00,BHAENG,13.23,13.23,12.6,12.8,216,
2010-02-17 12:02:00,BHAENG,12.2,13.0,12.2,13.0,200,
2010-02-18 12:02:00,BHAENG,13.0,13.33,12.4,12.4,1436,
2010-02-19 12:02:00,BHAENG,12.03,12.1,12.03,12.1,2,
2010-02-22 12:02:00,BHAENG,12.0,12.0,12.0,12.0,200,
2010-02-23 12:02:00,BHAENG,12.03,12.03,12.0,12.0,1137,
2010-02-26 12:02:00,BHAENG,11.5,12.6,11.47,12.33,6443,
2010-03-02 12:03:00,BHAENG,12.8,12.97,12.33,12.5,2230,
2010-03-03 12:03:00,BHAENG,12.77,12.8,12.67,12.67,1450,
2010-03-04 12:03:00,BHAENG,12.5,12.87,12.13,12.67,5650,
2010-03-05 12:03:00,BHAENG,13.1,13.13,12.1,12.67,5333,
2010-03-08 12:03:00,BHAENG,12.07,12.8,12.07,12.67,6735,
2010-03-09 12:03:00,BHAENG,12.63,12.67,12.63,12.67,4000,
2010-03-10 12:03:00,BHAENG,13.1,13.93,12.43,12.93,2408532,
2010-03-11 12:03:00,BHAENG,12.97,13.0,12.7,12.8,22877,
2010-03-12 12:03:00,BHAENG,13.2,13.2,12.4,12.87,8002,
2010-03-15 12:03:00,BHAENG,12.2,13.27,12.0,12.3,3560,
2010-03-16 12:03:00,BHAENG,13.2,13.2,11.67,12.53,9951,
2010-03-17 12:03:00,BHAENG,12.2,12.67,12.2,12.63,4653,
2010-03-18 12:03:00,BHAENG,12.67,13.8,12.37,13.23,10694,
2010-03-19 12:03:00,BHAENG,12.03,13.63,12.03,12.67,15202,
2010-03-22 12:03:00,BHAENG,12.67,12.87,12.37,12.37,34757,
2010-03-23 12:03:00,BHAENG,12.33,12.63,12.03,12.07,53379,
2010-03-25 12:03:00,BHAENG,13.0,13.0,12.0,12.2,55979,
2010-03-26 12:03:00,BHAENG,13.23,13.27,12.0,12.27,58456,
2010-03-29 12:03:00,BHAENG,12.33,12.33,11.67,12.13,135382,
2010-03-30 12:03:00,BHAENG,11.73,12.43,11.73,11.83,1900,
2010-03-31 12:03:00,BHAENG,12.33,12.33,11.67,11.73,15200,
2010-04-01 12:04:00,BHAENG,12.37,12.9,12.03,12.03,25763,
2010-04-05 12:04:00,BHAENG,12.93,12.93,11.9,11.9,4979,
2010-04-06 12:04:00,BHAENG,11.73,12.33,11.73,11.77,3702,
2010-04-07 12:04:00,BHAENG,12.1,12.27,11.8,12.0,17420,
2010-04-08 12:04:00,BHAENG,11.67,12.03,11.33,12.0,2569,
2010-04-09 12:04:00,BHAENG,12.67,12.67,11.77,12.0,6837,
2010-04-12 12:04:00,BHAENG,12.0,12.67,11.83,11.87,7400,
2010-04-13 12:04:00,BHAENG,12.13,12.13,11.87,11.87,146,
