datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,BIOCON,46.3,46.73,46.0,46.56,305317,
2010-01-05 12:01:00,BIOCON,46.98,47.21,46.11,46.47,485471,
2010-01-06 12:01:00,BIOCON,46.63,48.63,46.34,48.47,1664638,
2010-01-07 12:01:00,BIOCON,48.83,49.33,48.02,48.36,1616674,
2010-01-08 12:01:00,BIOCON,48.67,48.97,48.0,48.18,610697,
2010-01-11 12:01:00,BIOCON,48.0,49.28,48.0,48.51,746817,
2010-01-12 12:01:00,BIOCON,48.75,49.12,47.84,47.98,576381,
2010-01-13 12:01:00,BIOCON,47.92,50.34,47.69,49.76,1686828,
2010-01-14 12:01:00,BIOCON,50.0,50.73,49.43,49.76,1336996,
2010-01-15 12:01:00,BIOCON,50.35,50.67,49.67,49.78,1110409,
2010-01-18 12:01:00,BIOCON,49.99,49.99,48.53,48.76,740743,
2010-01-19 12:01:00,BIOCON,49.0,50.2,48.69,49.0,1045573,
2010-01-20 12:01:00,BIOCON,49.42,49.98,48.53,48.73,1041681,
2010-01-21 12:01:00,BIOCON,49.0,49.48,46.71,46.92,1976581,
2010-01-22 12:01:00,BIOCON,46.65,47.41,45.28,46.83,1350776,
2010-01-25 12:01:00,BIOCON,47.0,47.0,45.7,46.01,498259,
2010-01-27 12:01:00,BIOCON,45.57,46.02,43.25,43.98,806076,
2010-01-28 12:01:00,BIOCON,44.33,45.08,43.12,43.79,2051551,
2010-01-29 12:01:00,BIOCON,43.84,45.16,42.55,44.81,742087,
2010-02-01 12:02:00,BIOCON,45.0,45.42,44.03,45.01,770631,
2010-02-02 12:02:00,BIOCON,45.5,45.99,43.77,44.15,724343,
2010-02-04 12:02:00,BIOCON,45.37,45.43,43.85,44.37,660736,
2010-02-05 12:02:00,BIOCON,44.0,44.64,42.78,44.1,754902,
2010-02-06 12:02:00,BIOCON,44.38,44.62,44.18,44.31,42019,
2010-02-08 12:02:00,BIOCON,45.67,45.67,43.58,44.7,404582,
2010-02-09 12:02:00,BIOCON,44.67,44.81,43.52,43.69,686932,
2010-02-10 12:02:00,BIOCON,44.17,44.17,42.84,43.03,586771,
2010-02-11 12:02:00,BIOCON,43.25,43.93,43.12,43.38,383210,
2010-02-15 12:02:00,BIOCON,43.38,43.75,42.93,43.23,333369,
2010-02-16 12:02:00,BIOCON,43.67,44.13,43.17,43.9,606168,
2010-02-17 12:02:00,BIOCON,44.41,44.71,43.92,44.42,716516,
2010-02-18 12:02:00,BIOCON,44.58,44.83,43.83,44.07,404593,
2010-02-19 12:02:00,BIOCON,43.51,45.05,43.51,44.66,974265,
2010-02-22 12:02:00,BIOCON,45.02,45.42,44.15,44.4,693199,
2010-02-23 12:02:00,BIOCON,44.48,44.92,43.7,43.94,380679,
2010-02-24 12:02:00,BIOCON,44.0,44.0,43.35,43.83,299685,
2010-02-25 12:02:00,BIOCON,43.67,43.99,42.07,42.52,1168633,
2010-02-26 12:02:00,BIOCON,43.0,44.57,42.67,43.78,660158,
2010-03-02 12:03:00,BIOCON,44.15,45.23,44.0,44.98,438708,
2010-03-03 12:03:00,BIOCON,45.3,46.48,45.0,45.95,708896,
2010-03-04 12:03:00,BIOCON,46.33,46.54,45.36,46.25,380170,
2010-03-05 12:03:00,BIOCON,46.38,47.13,46.18,46.52,457785,
2010-03-08 12:03:00,BIOCON,46.71,47.33,46.53,46.73,375070,
2010-03-09 12:03:00,BIOCON,46.67,47.13,46.24,46.65,312772,
2010-03-10 12:03:00,BIOCON,46.67,46.83,45.67,45.92,400953,
2010-03-11 12:03:00,BIOCON,46.15,46.15,45.42,45.78,145111,
2010-03-12 12:03:00,BIOCON,46.0,46.03,45.13,45.28,123061,
2010-03-15 12:03:00,BIOCON,45.33,45.67,44.85,45.13,154223,
2010-03-16 12:03:00,BIOCON,45.32,45.5,44.73,45.29,1033871,
2010-03-17 12:03:00,BIOCON,45.5,47.38,45.5,47.12,1471947,
2010-03-18 12:03:00,BIOCON,47.47,47.92,46.85,47.11,775363,
2010-03-19 12:03:00,BIOCON,47.11,47.62,46.76,46.93,289516,
2010-03-22 12:03:00,BIOCON,46.58,48.17,46.38,47.48,1207764,
2010-03-23 12:03:00,BIOCON,48.08,49.31,47.82,49.02,1942069,
2010-03-25 12:03:00,BIOCON,49.17,49.63,48.61,49.18,1135345,
2010-03-26 12:03:00,BIOCON,49.42,49.78,48.97,49.23,527214,
2010-03-29 12:03:00,BIOCON,49.31,49.4,48.0,48.27,263089,
2010-03-30 12:03:00,BIOCON,48.33,48.63,47.67,47.78,194499,
2010-03-31 12:03:00,BIOCON,47.98,48.24,47.19,47.41,219415,
2010-04-01 12:04:00,BIOCON,48.0,49.79,47.49,49.38,530309,
2010-04-05 12:04:00,BIOCON,50.0,51.33,49.85,50.68,1504585,
2010-04-06 12:04:00,BIOCON,51.05,51.88,50.21,50.94,1470320,
2010-04-07 12:04:00,BIOCON,51.13,51.32,50.28,50.79,403391,
2010-04-08 12:04:00,BIOCON,50.75,51.27,49.89,50.28,460586,
2010-04-09 12:04:00,BIOCON,50.5,51.65,50.5,51.28,504082,
2010-04-12 12:04:00,BIOCON,51.33,51.49,50.58,50.86,251410,
2010-04-13 12:04:00,BIOCON,50.92,51.23,50.24,50.5,249509,
2010-04-16 12:04:00,BIOCON,49.17,50.45,49.17,49.67,403828,
2010-04-19 12:04:00,BIOCON,47.5,50.63,47.5,50.25,430403,
2010-04-20 12:04:00,BIOCON,50.4,50.78,49.65,50.37,404011,
2010-04-21 12:04:00,BIOCON,50.75,50.98,50.0,50.13,313411,
2010-04-22 12:04:00,BIOCON,50.13,50.46,49.68,49.78,332122,
2010-04-23 12:04:00,BIOCON,50.0,50.08,48.87,49.03,635391,
2010-04-26 12:04:00,BIOCON,49.03,49.91,49.03,49.32,403769,
2010-04-27 12:04:00,BIOCON,49.33,49.63,48.88,49.18,202868,
2010-04-28 12:04:00,BIOCON,48.83,49.99,48.43,49.01,602114,
2010-04-29 12:04:00,BIOCON,49.32,50.8,48.95,50.42,1937532,
2010-04-30 12:04:00,BIOCON,50.8,51.4,50.26,50.43,746938,
2010-05-03 12:05:00,BIOCON,50.18,50.38,49.1,49.35,354109,
2010-05-04 12:05:00,BIOCON,49.35,49.57,47.67,48.22,647150,
2010-05-05 12:05:00,BIOCON,47.51,48.5,47.17,48.35,326464,
2010-05-06 12:05:00,BIOCON,48.17,48.76,47.53,48.33,360795,
2010-05-07 12:05:00,BIOCON,47.53,47.91,46.67,47.22,413792,
2010-05-10 12:05:00,BIOCON,47.5,48.71,47.5,48.22,222878,
2010-05-11 12:05:00,BIOCON,48.49,48.65,47.26,47.39,341784,
2010-05-12 12:05:00,BIOCON,47.75,48.17,47.03,47.68,543122,
2010-05-13 12:05:00,BIOCON,47.85,48.48,47.83,48.13,256640,
2010-05-14 12:05:00,BIOCON,48.16,48.16,47.35,47.54,166571,
2010-05-17 12:05:00,BIOCON,47.48,47.48,46.22,47.23,162944,
2010-05-18 12:05:00,BIOCON,47.5,47.82,46.83,47.53,135389,
2010-05-19 12:05:00,BIOCON,47.01,48.28,46.42,46.77,271857,
2010-05-20 12:05:00,BIOCON,46.83,47.4,46.08,46.56,138694,
2010-05-24 12:05:00,BIOCON,47.5,48.17,47.43,47.83,352406,
2010-05-25 12:05:00,BIOCON,48.08,48.33,46.43,46.89,518546,
2010-05-26 12:05:00,BIOCON,47.33,47.75,47.02,47.34,196574,
2010-05-27 12:05:00,BIOCON,47.38,47.71,46.75,47.0,290881,
2010-05-28 12:05:00,BIOCON,47.5,48.83,47.34,48.45,529730,
2010-05-31 12:05:00,BIOCON,48.79,49.54,48.67,49.04,589218,
2010-06-01 12:06:00,BIOCON,49.0,49.31,47.67,48.03,259890,
2010-06-02 12:06:00,BIOCON,48.17,48.49,47.23,47.93,173458,
2010-06-03 12:06:00,BIOCON,48.33,49.16,48.33,48.88,274119,
2010-06-04 12:06:00,BIOCON,49.17,49.18,48.25,48.65,183502,
2010-06-07 12:06:00,BIOCON,47.35,48.38,47.26,48.03,191264,
2010-06-08 12:06:00,BIOCON,48.17,48.58,47.51,47.71,267916,
2010-06-09 12:06:00,BIOCON,47.68,48.0,47.51,47.8,99662,
