datetime,stock_code,open,high,low,close,volume,open_interest
2016-06-15 12:06:00,BLSINT,22.38,23.48,21.28,21.85,6623,
2016-06-20 12:06:00,BLSINT,21.88,22.29,21.75,22.28,6148,
2016-06-21 12:06:00,BLSINT,22.3,22.33,22.22,22.33,10388,
2016-06-22 12:06:00,BLSINT,22.33,23.15,22.33,23.13,10882,
2016-06-23 12:06:00,BLSINT,23.18,23.3,23.18,23.3,10316,
2016-06-24 12:06:00,BLSINT,23.3,23.3,22.87,23.01,8506,
2016-06-27 12:06:00,BLSINT,22.98,23.2,22.97,23.2,10829,
2016-06-28 12:06:00,BLSINT,23.21,23.45,23.21,23.45,6699,
2016-06-29 12:06:00,BLSINT,23.46,23.65,23.46,23.65,10002,
2016-06-30 12:06:00,BLSINT,23.65,24.0,23.65,23.99,13688,
2016-07-01 12:07:00,BLSINT,24.05,24.21,23.84,24.21,12076,
2016-07-04 12:07:00,BLSINT,24.3,24.75,24.19,24.75,9299,
2016-07-05 12:07:00,BLSINT,24.75,24.86,24.4,24.41,10014,
2016-07-07 12:07:00,BLSINT,24.25,24.56,24.2,24.5,12513,
2016-07-11 12:07:00,BLSINT,25.68,25.68,24.7,24.96,8701,
2016-07-12 12:07:00,BLSINT,24.95,25.0,24.7,24.71,9329,
2016-07-13 12:07:00,BLSINT,24.63,24.66,24.53,24.55,3799,
2016-07-15 12:07:00,BLSINT,25.48,25.48,24.5,24.5,2380,
2016-07-18 12:07:00,BLSINT,24.5,24.58,24.28,24.5,2121,
2016-07-19 12:07:00,BLSINT,24.98,24.98,24.05,24.13,3541,
2016-07-20 12:07:00,BLSINT,24.13,24.15,23.75,23.85,4273,
2016-07-22 12:07:00,BLSINT,23.9,23.95,23.84,23.94,6810,
2016-07-25 12:07:00,BLSINT,23.93,24.0,23.9,24.0,7535,
2016-07-27 12:07:00,BLSINT,24.06,24.15,24.05,24.15,8304,
2016-07-28 12:07:00,BLSINT,24.16,24.43,24.15,24.43,9211,
2016-07-29 12:07:00,BLSINT,24.3,24.38,23.2,23.2,7393,
2016-08-01 12:08:00,BLSINT,23.23,24.0,22.05,23.93,7882,
2016-08-02 12:08:00,BLSINT,24.5,24.97,24.38,24.76,10783,
2016-08-03 12:08:00,BLSINT,24.84,24.85,24.58,24.64,7356,
2016-08-04 12:08:00,BLSINT,24.85,25.0,24.83,24.9,13296,
2016-08-05 12:08:00,BLSINT,24.95,24.96,24.75,24.84,8894,
2016-08-08 12:08:00,BLSINT,24.98,24.98,24.5,24.57,8973,
2016-08-09 12:08:00,BLSINT,24.53,24.58,23.6,24.27,7816,
2016-08-10 12:08:00,BLSINT,24.25,24.28,24.08,24.13,6402,
2016-08-11 12:08:00,BLSINT,24.13,24.2,24.13,24.2,3462,
2016-08-12 12:08:00,BLSINT,24.25,24.45,24.25,24.36,7956,
2016-08-16 12:08:00,BLSINT,24.5,24.58,24.4,24.4,3729,
2016-08-17 12:08:00,BLSINT,24.33,24.43,24.33,24.38,5770,
2016-08-18 12:08:00,BLSINT,24.5,24.68,24.5,24.66,7682,
2016-08-19 12:08:00,BLSINT,24.5,24.65,24.47,24.53,6633,
2016-08-22 12:08:00,BLSINT,24.34,24.42,24.29,24.4,6375,
2016-08-23 12:08:00,BLSINT,24.2,24.27,24.17,24.2,5553,
2016-08-24 12:08:00,BLSINT,24.25,24.38,24.19,24.36,6500,
2016-08-25 12:08:00,BLSINT,24.16,24.27,24.04,24.26,7508,
2016-08-26 12:08:00,BLSINT,24.08,24.2,24.05,24.2,7725,
2016-08-29 12:08:00,BLSINT,24.05,24.13,24.01,24.13,8120,
2016-08-30 12:08:00,BLSINT,24.14,24.23,24.14,24.18,5072,
2016-08-31 12:08:00,BLSINT,24.2,24.25,24.19,24.25,5257,
2016-09-01 12:09:00,BLSINT,24.28,24.3,24.23,24.28,2152,
2016-09-02 12:09:00,BLSINT,24.28,24.32,24.28,24.29,4031,
2016-09-06 12:09:00,BLSINT,24.33,24.36,24.23,24.3,5309,
2016-09-07 12:09:00,BLSINT,24.29,24.36,24.23,24.35,5725,
2016-09-08 12:09:00,BLSINT,24.37,24.95,24.36,24.74,5935,
2016-09-09 12:09:00,BLSINT,24.5,25.98,24.38,25.98,12702,
2016-09-12 12:09:00,BLSINT,25.63,27.28,25.63,27.28,1414,
2016-09-14 12:09:00,BLSINT,28.63,28.64,27.5,27.75,2016,
2016-09-15 12:09:00,BLSINT,28.45,29.14,28.45,29.14,2215,
2016-09-16 12:09:00,BLSINT,29.75,30.58,29.5,30.3,1732,
2016-09-19 12:09:00,BLSINT,31.63,31.63,30.75,30.99,220,
2016-09-20 12:09:00,BLSINT,31.38,31.5,29.44,31.48,3137,
2016-09-21 12:09:00,BLSINT,31.51,33.0,31.48,32.5,589,
2016-09-22 12:09:00,BLSINT,33.0,34.13,33.0,33.93,2821,
2016-09-23 12:09:00,BLSINT,35.63,35.63,33.75,34.21,3373,
2016-09-26 12:09:00,BLSINT,34.13,35.38,34.13,35.25,4392,
2016-09-27 12:09:00,BLSINT,35.0,35.75,34.55,35.25,12098,
2016-09-28 12:09:00,BLSINT,35.25,35.25,34.35,34.5,5032,
2016-09-29 12:09:00,BLSINT,34.75,35.38,33.63,35.0,14541,
2016-09-30 12:09:00,BLSINT,35.13,36.25,35.13,35.99,3368,
2016-10-03 12:10:00,BLSINT,36.5,36.58,36.43,36.58,2897,
2016-10-04 12:10:00,BLSINT,38.35,38.4,36.45,38.4,5640,
2016-10-05 12:10:00,BLSINT,39.05,40.32,39.05,40.32,2207,
2016-10-06 12:10:00,BLSINT,42.34,42.34,40.75,41.8,8076,
2016-10-07 12:10:00,BLSINT,42.5,42.5,41.63,41.8,3997,
2016-10-13 12:10:00,BLSINT,42.83,44.88,42.61,42.86,894,
2016-10-14 12:10:00,BLSINT,43.13,44.75,42.75,43.94,3131,
2016-10-17 12:10:00,BLSINT,43.75,45.0,42.5,43.18,4019,
2016-10-18 12:10:00,BLSINT,44.0,45.25,43.0,44.87,6213,
2016-10-19 12:10:00,BLSINT,46.5,46.5,42.63,43.26,6003,
2016-10-20 12:10:00,BLSINT,43.25,45.42,43.13,45.02,4577,
2016-10-21 12:10:00,BLSINT,45.75,47.27,45.5,46.25,2559,
2016-10-24 12:10:00,BLSINT,47.48,47.5,46.25,46.5,3583,
2016-10-25 12:10:00,BLSINT,46.5,46.5,46.0,46.2,3372,
2016-10-26 12:10:00,BLSINT,46.0,47.38,45.95,46.0,186,
2016-10-27 12:10:00,BLSINT,46.05,47.0,45.83,46.24,3240,
2016-10-28 12:10:00,BLSINT,48.0,48.0,45.95,46.0,2109,
2016-10-30 12:10:00,BLSINT,46.75,47.5,46.5,47.43,2547,
2016-11-01 12:11:00,BLSINT,46.5,49.78,45.63,46.31,2374,
2016-11-02 12:11:00,BLSINT,45.9,46.2,45.7,46.1,2366,
2016-11-03 12:11:00,BLSINT,47.25,47.25,46.0,46.6,2483,
2016-11-04 12:11:00,BLSINT,46.0,46.13,45.0,45.09,2284,
2016-11-07 12:11:00,BLSINT,47.25,47.25,45.0,45.76,3746,
2016-11-08 12:11:00,BLSINT,46.0,46.04,43.78,44.86,1384,
2016-11-09 12:11:00,BLSINT,42.62,43.75,42.62,43.71,304,
2016-11-10 12:11:00,BLSINT,44.25,44.25,43.63,43.63,31,
2016-11-11 12:11:00,BLSINT,45.0,45.0,43.75,44.27,384,
2016-11-15 12:11:00,BLSINT,43.75,43.75,42.09,42.09,138,
2016-11-16 12:11:00,BLSINT,40.0,43.0,39.98,42.52,1718,
2016-11-17 12:11:00,BLSINT,44.58,44.58,42.85,42.87,2952,
2016-11-18 12:11:00,BLSINT,43.75,43.75,42.5,43.23,3363,
2016-11-21 12:11:00,BLSINT,44.7,44.7,41.06,42.43,2217,
2016-11-22 12:11:00,BLSINT,43.25,43.38,40.33,41.9,4990,
2016-11-23 12:11:00,BLSINT,43.13,43.13,41.78,41.79,9885,
2016-11-24 12:11:00,BLSINT,42.98,42.98,41.38,41.92,1942,
2016-11-28 12:11:00,BLSINT,41.88,42.5,40.8,41.23,3257,
2016-11-29 12:11:00,BLSINT,40.03,42.43,39.18,41.0,1200,
2016-11-30 12:11:00,BLSINT,39.31,42.11,39.0,40.78,613,
2016-12-01 12:12:00,BLSINT,42.0,42.13,39.0,41.3,5079,
2016-12-02 12:12:00,BLSINT,41.25,42.53,41.25,41.64,15183,
2016-12-05 12:12:00,BLSINT,41.8,43.5,41.13,42.17,24463,
2016-12-06 12:12:00,BLSINT,42.5,43.44,41.83,42.88,29781,
2016-12-07 12:12:00,BLSINT,43.35,44.25,42.98,43.55,30910,
2016-12-08 12:12:00,BLSINT,44.0,45.5,44.0,45.48,40247,
2016-12-09 12:12:00,BLSINT,45.75,46.24,45.4,45.92,31953,
2016-12-12 12:12:00,BLSINT,46.0,46.1,45.0,45.14,20411,
2016-12-13 12:12:00,BLSINT,49.33,49.66,46.25,47.85,73723,
2016-12-14 12:12:00,BLSINT,48.5,51.0,47.75,48.69,59429,
2016-12-15 12:12:00,BLSINT,48.25,48.88,46.03,48.64,46193,
2016-12-16 12:12:00,BLSINT,48.75,48.75,47.0,47.45,37687,
2016-12-19 12:12:00,BLSINT,47.52,47.75,47.25,47.66,38266,
2016-12-20 12:12:00,BLSINT,47.5,47.7,47.0,47.18,30795,
