datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,BOMDYE,81.32,83.3,80.6,82.31,123642,
2010-01-05 12:01:00,BOMDYE,83.76,85.48,82.2,84.61,361019,
2010-01-06 12:01:00,BOMDYE,84.6,85.44,82.7,82.84,135964,
2010-01-07 12:01:00,BOMDYE,83.2,99.41,83.2,98.45,4730234,
2010-01-08 12:01:00,BOMDYE,88.0,107.8,88.0,102.34,8489824,
2010-01-11 12:01:00,BOMDYE,102.94,105.94,99.26,102.46,2233947,
2010-01-12 12:01:00,BOMDYE,102.8,104.56,100.4,101.31,999221,
2010-01-13 12:01:00,BOMDYE,100.56,101.0,97.76,99.02,760275,
2010-01-14 12:01:00,BOMDYE,99.28,107.2,98.22,105.08,1574723,
2010-01-15 12:01:00,BOMDYE,106.2,118.4,106.2,116.25,3757196,
2010-01-18 12:01:00,BOMDYE,114.88,118.6,113.26,114.74,1887386,
2010-01-19 12:01:00,BOMDYE,114.0,121.34,114.0,115.31,2000722,
2010-01-20 12:01:00,BOMDYE,120.4,134.6,110.84,112.4,930441,
2010-01-21 12:01:00,BOMDYE,114.48,123.18,114.0,115.84,4092337,
2010-01-22 12:01:00,BOMDYE,113.25,116.2,108.23,111.97,1817244,
2010-01-25 12:01:00,BOMDYE,111.36,114.96,108.81,110.19,771840,
2010-01-27 12:01:00,BOMDYE,107.98,111.0,99.5,103.15,1184157,
2010-01-28 12:01:00,BOMDYE,106.0,108.96,103.38,105.9,857146,
2010-01-29 12:01:00,BOMDYE,104.0,110.6,101.05,108.39,1422032,
2010-02-01 12:02:00,BOMDYE,108.28,111.0,106.34,109.29,867950,
2010-02-02 12:02:00,BOMDYE,110.88,113.48,107.02,108.09,804015,
2010-02-04 12:02:00,BOMDYE,110.0,112.96,107.9,108.71,1099511,
2010-02-05 12:02:00,BOMDYE,106.21,106.21,99.6,100.4,659225,
2010-02-06 12:02:00,BOMDYE,101.8,104.8,101.02,103.95,313569,
2010-02-08 12:02:00,BOMDYE,104.2,105.46,100.62,103.76,1032047,
2010-02-09 12:02:00,BOMDYE,103.49,107.18,103.49,105.71,859723,
2010-02-10 12:02:00,BOMDYE,107.09,108.4,102.8,103.96,669980,
2010-02-11 12:02:00,BOMDYE,105.2,106.68,102.0,102.8,603584,
2010-02-15 12:02:00,BOMDYE,103.8,104.2,101.11,102.46,557837,
2010-02-16 12:02:00,BOMDYE,103.26,107.89,101.6,106.15,989987,
2010-02-17 12:02:00,BOMDYE,107.68,108.74,105.24,106.11,794822,
2010-02-18 12:02:00,BOMDYE,106.56,112.4,105.0,111.29,2422692,
2010-02-19 12:02:00,BOMDYE,110.48,111.8,107.0,107.65,957489,
2010-02-22 12:02:00,BOMDYE,109.97,110.6,104.65,105.57,536240,
2010-02-23 12:02:00,BOMDYE,105.2,108.5,104.4,105.71,714397,
2010-02-24 12:02:00,BOMDYE,101.34,106.38,101.34,102.86,406899,
2010-02-25 12:02:00,BOMDYE,104.4,105.96,102.9,103.52,421090,
2010-02-26 12:02:00,BOMDYE,103.2,107.8,102.54,104.86,761438,
2010-03-02 12:03:00,BOMDYE,105.6,106.96,104.2,105.82,397473,
2010-03-03 12:03:00,BOMDYE,106.9,109.48,105.61,108.76,635782,
2010-03-04 12:03:00,BOMDYE,108.8,109.6,107.31,108.42,363333,
2010-03-05 12:03:00,BOMDYE,109.0,110.6,108.02,108.69,513582,
2010-03-08 12:03:00,BOMDYE,109.46,116.89,108.83,115.81,2324211,
2010-03-09 12:03:00,BOMDYE,116.4,118.37,113.55,114.65,1230770,
2010-03-10 12:03:00,BOMDYE,115.0,115.54,112.6,113.32,458976,
2010-03-11 12:03:00,BOMDYE,112.6,116.36,112.6,114.03,817379,
2010-03-12 12:03:00,BOMDYE,114.6,114.94,110.4,111.14,331199,
2010-03-15 12:03:00,BOMDYE,111.0,111.18,106.4,107.2,358145,
2010-03-16 12:03:00,BOMDYE,108.11,111.6,107.65,110.49,453642,
2010-03-17 12:03:00,BOMDYE,110.8,113.04,110.25,111.06,494382,
2010-03-18 12:03:00,BOMDYE,111.58,116.8,109.42,114.08,1435193,
2010-03-19 12:03:00,BOMDYE,114.98,117.96,114.42,115.42,1277094,
2010-03-22 12:03:00,BOMDYE,114.14,114.78,110.66,111.2,389991,
2010-03-23 12:03:00,BOMDYE,112.0,114.7,111.99,113.81,544648,
2010-03-25 12:03:00,BOMDYE,112.9,114.36,111.06,112.45,222171,
2010-03-26 12:03:00,BOMDYE,113.93,115.6,112.6,114.47,582253,
2010-03-29 12:03:00,BOMDYE,115.18,115.18,113.0,113.44,287460,
2010-03-30 12:03:00,BOMDYE,113.84,113.98,110.42,111.32,293129,
2010-03-31 12:03:00,BOMDYE,111.96,112.54,109.34,110.14,263589,
2010-04-01 12:04:00,BOMDYE,111.0,111.98,109.8,111.17,389966,
2010-04-05 12:04:00,BOMDYE,112.0,112.6,110.66,111.55,431007,
2010-04-06 12:04:00,BOMDYE,112.2,117.58,111.0,115.88,1573602,
2010-04-07 12:04:00,BOMDYE,117.0,120.56,116.01,118.05,1782093,
2010-04-08 12:04:00,BOMDYE,118.16,121.4,115.33,117.19,1396125,
2010-04-09 12:04:00,BOMDYE,118.18,120.53,116.94,118.67,548814,
2010-04-12 12:04:00,BOMDYE,119.48,126.7,117.04,124.65,1859991,
2010-04-13 12:04:00,BOMDYE,126.2,127.98,125.0,125.53,1430116,
2010-04-16 12:04:00,BOMDYE,122.0,122.0,116.24,117.64,697430,
2010-04-19 12:04:00,BOMDYE,116.0,116.38,113.62,115.27,363445,
2010-04-20 12:04:00,BOMDYE,116.74,123.18,115.02,122.19,1409816,
2010-04-21 12:04:00,BOMDYE,122.6,125.18,121.02,121.66,989447,
2010-04-22 12:04:00,BOMDYE,120.98,122.59,119.06,120.23,643394,
2010-04-23 12:04:00,BOMDYE,119.76,122.0,119.2,119.89,479643,
2010-04-26 12:04:00,BOMDYE,121.93,121.93,116.12,116.8,454568,
2010-04-27 12:04:00,BOMDYE,117.2,119.38,115.26,117.58,687112,
2010-04-28 12:04:00,BOMDYE,116.0,116.94,113.4,113.8,420858,
2010-04-29 12:04:00,BOMDYE,114.6,119.2,114.41,118.44,680077,
2010-04-30 12:04:00,BOMDYE,119.2,119.8,116.2,116.72,775866,
2010-05-03 12:05:00,BOMDYE,115.6,116.2,114.6,115.38,267265,
