datetime,stock_code,open,high,low,close,volume,open_interest
2017-02-03 12:02:00,BSE,361.67,400.0,355.03,356.4,15771762,
2017-02-06 12:02:00,BSE,360.33,362.6,341.03,343.07,2199600,
2017-02-07 12:02:00,BSE,343.33,345.32,333.77,335.6,1294146,
2017-02-08 12:02:00,BSE,337.67,344.95,332.9,340.87,1187116,
2017-02-09 12:02:00,BSE,341.67,342.9,335.72,336.68,466684,
2017-02-10 12:02:00,BSE,338.27,341.33,334.33,335.0,420869,
2017-02-13 12:02:00,BSE,336.33,336.82,332.83,333.93,503861,
2017-02-14 12:02:00,BSE,334.97,339.67,332.67,334.67,512893,
2017-02-15 12:02:00,BSE,334.0,336.63,325.9,327.23,444465,
2017-02-16 12:02:00,BSE,327.67,329.07,320.33,321.3,390176,
2017-02-17 12:02:00,BSE,323.67,326.0,321.33,322.4,253565,
2017-02-20 12:02:00,BSE,322.4,325.47,321.03,323.72,199609,
2017-02-21 12:02:00,BSE,325.0,331.63,323.9,328.08,333947,
2017-02-22 12:02:00,BSE,327.33,328.88,323.77,324.75,136074,
2017-02-23 12:02:00,BSE,324.93,325.58,321.67,321.97,120075,
2017-02-27 12:02:00,BSE,320.67,322.92,317.47,318.03,206918,
2017-02-28 12:02:00,BSE,318.35,321.63,314.0,315.65,211552,
2017-03-01 12:03:00,BSE,315.0,318.0,310.67,311.37,242861,
2017-03-02 12:03:00,BSE,312.87,314.17,305.0,305.73,299819,
2017-03-03 12:03:00,BSE,305.0,305.63,295.5,296.9,838830,
2017-03-06 12:03:00,BSE,296.67,318.25,296.67,315.73,1240425,
2017-03-07 12:03:00,BSE,318.0,321.6,312.03,312.9,470176,
2017-03-08 12:03:00,BSE,313.3,314.5,306.98,307.95,193077,
2017-03-09 12:03:00,BSE,307.95,320.33,305.78,314.98,738561,
2017-03-10 12:03:00,BSE,316.67,318.3,310.87,312.2,193951,
2017-03-14 12:03:00,BSE,318.33,320.0,313.33,314.98,227271,
2017-03-15 12:03:00,BSE,315.45,320.55,313.37,315.12,290746,
2017-03-16 12:03:00,BSE,316.65,317.43,314.33,315.08,127467,
2017-03-17 12:03:00,BSE,315.4,319.53,313.8,314.63,314643,
2017-03-20 12:03:00,BSE,316.67,316.67,311.67,312.78,116056,
2017-03-21 12:03:00,BSE,313.8,315.67,312.0,312.93,211103,
2017-03-22 12:03:00,BSE,313.33,313.33,310.33,311.47,126858,
2017-03-23 12:03:00,BSE,312.73,314.07,310.92,312.53,130766,
2017-03-24 12:03:00,BSE,313.2,317.77,312.0,315.02,303936,
2017-03-27 12:03:00,BSE,315.22,316.0,311.38,311.92,131550,
