datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,CANBAN,74.67,76.45,74.05,76.28,400005,
2010-01-05 12:01:00,CANBAN,76.47,77.76,76.32,77.55,500502,
2010-01-06 12:01:00,CANBAN,77.58,78.62,76.2,77.92,383688,
2010-01-07 12:01:00,CANBAN,77.73,78.67,77.43,78.53,395968,
2010-01-08 12:01:00,CANBAN,78.67,78.85,76.81,77.5,158933,
2010-01-11 12:01:00,CANBAN,76.72,78.31,76.72,77.69,113334,
2010-01-12 12:01:00,CANBAN,77.67,78.47,76.15,76.27,250332,
2010-01-13 12:01:00,CANBAN,75.38,76.82,74.97,75.56,454783,
2010-01-14 12:01:00,CANBAN,75.95,76.61,74.8,75.24,554144,
2010-01-15 12:01:00,CANBAN,75.58,75.75,73.58,73.79,744510,
2010-01-18 12:01:00,CANBAN,73.22,75.4,72.87,75.03,538158,
2010-01-19 12:01:00,CANBAN,75.15,76.49,75.15,75.75,258552,
2010-01-20 12:01:00,CANBAN,75.93,77.31,75.93,76.95,465687,
2010-01-21 12:01:00,CANBAN,76.49,77.02,75.27,75.8,291592,
2010-01-22 12:01:00,CANBAN,74.78,76.4,73.58,74.71,513813,
2010-01-25 12:01:00,CANBAN,73.87,75.4,73.84,74.68,343020,
2010-01-27 12:01:00,CANBAN,74.31,75.5,70.15,71.45,543812,
2010-01-28 12:01:00,CANBAN,71.95,73.38,70.33,71.56,1395800,
2010-01-29 12:01:00,CANBAN,71.76,76.3,69.18,74.75,1374778,
2010-02-01 12:02:00,CANBAN,74.49,77.6,73.92,77.29,558955,
2010-02-02 12:02:00,CANBAN,77.22,78.67,76.58,77.19,736646,
2010-02-04 12:02:00,CANBAN,76.31,76.67,74.95,75.34,285328,
2010-02-05 12:02:00,CANBAN,73.77,74.39,72.51,73.07,230780,
2010-02-06 12:02:00,CANBAN,73.76,74.3,73.05,73.31,38518,
2010-02-08 12:02:00,CANBAN,73.04,74.94,72.65,74.43,319809,
2010-02-09 12:02:00,CANBAN,73.83,74.67,73.75,74.21,211350,
2010-02-10 12:02:00,CANBAN,75.22,75.22,72.91,73.25,295062,
2010-02-11 12:02:00,CANBAN,73.95,74.13,73.26,73.75,184361,
2010-02-15 12:02:00,CANBAN,74.67,75.11,72.87,73.23,140932,
2010-02-16 12:02:00,CANBAN,73.22,74.45,71.67,73.89,284207,
2010-02-17 12:02:00,CANBAN,74.29,74.84,72.78,73.27,289784,
2010-02-18 12:02:00,CANBAN,73.91,73.95,72.35,72.67,252491,
2010-02-19 12:02:00,CANBAN,72.31,73.9,71.61,72.87,282963,
2010-02-22 12:02:00,CANBAN,74.29,74.31,72.36,73.37,205691,
2010-02-23 12:02:00,CANBAN,72.85,73.49,72.33,72.72,145397,
2010-02-24 12:02:00,CANBAN,72.5,73.66,72.01,73.15,435611,
2010-02-25 12:02:00,CANBAN,73.22,75.18,72.76,73.15,307599,
2010-02-26 12:02:00,CANBAN,73.49,75.94,73.4,75.22,372506,
2010-03-02 12:03:00,CANBAN,75.04,78.22,75.04,77.4,549865,
2010-03-03 12:03:00,CANBAN,78.28,79.95,77.58,79.35,645038,
2010-03-04 12:03:00,CANBAN,79.22,82.4,79.06,82.1,964088,
2010-03-05 12:03:00,CANBAN,82.33,84.12,81.58,81.91,819688,
2010-03-08 12:03:00,CANBAN,83.55,83.55,80.95,82.06,605594,
2010-03-09 12:03:00,CANBAN,81.76,81.95,80.5,80.69,371560,
2010-03-10 12:03:00,CANBAN,80.67,81.56,79.42,79.66,572054,
2010-03-11 12:03:00,CANBAN,80.56,80.56,78.01,78.33,562734,
2010-03-12 12:03:00,CANBAN,78.84,79.65,77.95,78.1,230744,
2010-03-15 12:03:00,CANBAN,78.13,78.22,76.14,76.45,301890,
2010-03-16 12:03:00,CANBAN,76.93,77.2,76.15,76.54,328752,
2010-03-17 12:03:00,CANBAN,76.84,77.35,75.58,76.12,257716,
2010-03-18 12:03:00,CANBAN,76.13,77.75,75.65,77.34,577008,
2010-03-19 12:03:00,CANBAN,78.22,78.62,76.95,77.9,843173,
2010-03-22 12:03:00,CANBAN,77.04,77.91,75.8,76.3,502737,
2010-03-23 12:03:00,CANBAN,76.67,77.01,75.31,76.57,426995,
2010-03-25 12:03:00,CANBAN,76.45,79.18,75.69,77.95,699025,
2010-03-26 12:03:00,CANBAN,78.4,79.76,78.4,78.92,371028,
2010-03-29 12:03:00,CANBAN,79.53,80.29,77.98,78.5,387016,
2010-03-30 12:03:00,CANBAN,79.22,80.09,78.58,78.85,270856,
2010-03-31 12:03:00,CANBAN,80.47,80.47,78.0,78.35,262354,
2010-04-01 12:04:00,CANBAN,77.95,79.4,77.95,78.86,233982,
2010-04-05 12:04:00,CANBAN,79.58,80.3,78.85,80.05,310928,
2010-04-06 12:04:00,CANBAN,79.4,81.02,79.4,80.41,309344,
2010-04-07 12:04:00,CANBAN,80.49,82.65,80.49,81.93,1000680,
2010-04-08 12:04:00,CANBAN,81.59,81.93,80.14,80.94,261591,
2010-04-09 12:04:00,CANBAN,77.08,81.31,77.08,80.33,362793,
2010-04-12 12:04:00,CANBAN,80.67,80.67,78.76,79.47,297746,
2010-04-13 12:04:00,CANBAN,79.4,80.04,78.75,79.09,239937,
2010-04-16 12:04:00,CANBAN,77.38,77.58,76.13,76.18,654218,
2010-04-19 12:04:00,CANBAN,75.4,75.49,73.86,74.33,661608,
2010-04-20 12:04:00,CANBAN,74.84,77.74,74.67,76.85,1505955,
2010-04-21 12:04:00,CANBAN,77.2,77.67,75.4,75.79,743334,
2010-04-22 12:04:00,CANBAN,74.31,76.88,74.31,76.38,2050260,
2010-04-23 12:04:00,CANBAN,77.22,79.09,76.72,78.02,1156175,
2010-04-26 12:04:00,CANBAN,78.67,78.85,77.31,78.3,1186777,
2010-04-27 12:04:00,CANBAN,79.31,80.31,78.32,79.93,1808804,
2010-04-28 12:04:00,CANBAN,78.31,79.92,76.39,77.96,2002075,
2010-04-29 12:04:00,CANBAN,78.13,79.16,76.67,77.22,1456154,
2010-04-30 12:04:00,CANBAN,77.95,82.45,77.62,81.88,1871127,
2010-05-03 12:05:00,CANBAN,82.31,82.31,78.25,81.65,626244,
2010-05-04 12:05:00,CANBAN,81.76,83.66,81.05,81.58,964639,
2010-05-05 12:05:00,CANBAN,80.64,83.4,79.33,82.93,650532,
2010-05-06 12:05:00,CANBAN,82.31,84.3,81.05,83.59,477046,
2010-05-07 12:05:00,CANBAN,83.13,83.13,79.88,80.92,484737,
2010-05-10 12:05:00,CANBAN,82.31,83.13,81.39,82.24,503076,
2010-05-11 12:05:00,CANBAN,82.31,82.76,79.69,80.2,449133,
