datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,CANHOM,34.22,34.58,34.17,34.49,18143,
2010-01-05 12:01:00,CANHOM,34.55,34.83,34.41,34.6,16946,
2010-01-06 12:01:00,CANHOM,34.68,34.95,34.47,34.72,29201,
2010-01-07 12:01:00,CANHOM,34.77,34.91,34.62,34.74,17838,
2010-01-08 12:01:00,CANHOM,34.62,34.77,34.62,34.66,9302,
2010-01-11 12:01:00,CANHOM,34.89,34.89,34.54,34.62,22586,
2010-01-12 12:01:00,CANHOM,34.77,34.77,34.48,34.55,4993,
2010-01-13 12:01:00,CANHOM,34.61,34.62,34.4,34.48,4803,
2010-01-14 12:01:00,CANHOM,34.92,34.92,34.52,34.66,8282,
2010-01-15 12:01:00,CANHOM,34.69,34.99,34.62,34.87,20405,
2010-01-18 12:01:00,CANHOM,34.92,35.54,34.8,34.98,54730,
2010-01-19 12:01:00,CANHOM,35.0,35.2,34.65,34.76,34176,
2010-01-20 12:01:00,CANHOM,34.8,35.49,34.69,34.77,142095,
2010-01-21 12:01:00,CANHOM,35.07,35.07,34.46,34.52,16738,
2010-01-22 12:01:00,CANHOM,34.62,34.62,33.88,34.28,10323,
2010-01-25 12:01:00,CANHOM,34.42,34.42,34.11,34.28,12444,
2010-01-27 12:01:00,CANHOM,34.31,34.35,33.78,33.85,22562,
2010-01-28 12:01:00,CANHOM,33.85,34.62,33.85,34.0,12042,
2010-01-29 12:01:00,CANHOM,33.77,33.92,33.38,33.72,10558,
2010-02-01 12:02:00,CANHOM,34.28,34.28,33.78,34.09,27786,
2010-02-02 12:02:00,CANHOM,34.45,34.45,33.72,33.85,8944,
2010-02-04 12:02:00,CANHOM,34.25,34.25,33.73,33.83,9729,
2010-02-05 12:02:00,CANHOM,33.52,33.82,33.28,33.38,11607,
2010-02-06 12:02:00,CANHOM,33.47,33.54,33.46,33.47,271,
2010-02-08 12:02:00,CANHOM,33.54,33.54,33.31,33.35,5476,
2010-02-09 12:02:00,CANHOM,33.46,33.78,33.25,33.35,10941,
2010-02-10 12:02:00,CANHOM,33.46,33.69,33.26,33.35,11420,
