datetime,stock_code,open,high,low,close,volume,open_interest
2010-10-29 12:10:00,CAPGLO,34.76,37.87,31.91,32.28,187361,
2010-11-01 12:11:00,CAPGLO,32.33,33.3,32.2,32.35,41730,
2010-11-02 12:11:00,CAPGLO,32.28,32.71,32.24,32.26,72249,
2010-11-03 12:11:00,CAPGLO,33.14,33.14,32.28,32.3,59006,
2010-11-04 12:11:00,CAPGLO,32.5,32.5,31.9,32.22,142509,
2010-11-05 12:11:00,CAPGLO,32.3,32.5,32.28,32.35,32260,
2010-11-08 12:11:00,CAPGLO,32.29,32.49,32.03,32.03,94509,
2010-11-09 12:11:00,CAPGLO,32.07,32.24,31.98,32.03,123639,
2010-11-10 12:11:00,CAPGLO,32.09,32.15,32.03,32.07,51705,
2010-11-11 12:11:00,CAPGLO,32.28,32.71,32.03,32.44,187779,
2010-11-12 12:11:00,CAPGLO,32.5,32.92,32.29,32.71,63748,
2010-11-15 12:11:00,CAPGLO,33.35,33.86,33.2,33.48,59576,
2010-11-16 12:11:00,CAPGLO,33.78,33.78,33.18,33.5,59437,
2010-11-18 12:11:00,CAPGLO,33.86,33.86,32.5,32.66,31292,
2010-11-19 12:11:00,CAPGLO,33.35,33.35,32.71,32.82,50136,
2010-11-22 12:11:00,CAPGLO,32.41,33.35,32.41,33.08,35231,
2010-11-23 12:11:00,CAPGLO,33.05,33.14,30.41,32.01,43628,
2010-11-24 12:11:00,CAPGLO,31.86,31.86,26.26,26.26,242337,
2010-11-25 12:11:00,CAPGLO,21.7,21.7,21.7,21.7,7625,
2010-11-26 12:11:00,CAPGLO,19.88,19.88,19.88,19.88,564,
2010-11-29 12:11:00,CAPGLO,18.24,18.24,18.24,18.24,377,
2010-11-30 12:11:00,CAPGLO,16.77,16.77,16.77,16.77,2963,
2010-12-01 12:12:00,CAPGLO,16.1,16.1,16.1,16.1,1921,
2010-12-02 12:12:00,CAPGLO,15.47,15.47,15.47,15.47,1440,
2010-12-03 12:12:00,CAPGLO,14.88,14.88,14.88,14.88,1735,
2010-12-06 12:12:00,CAPGLO,14.31,14.31,14.31,14.31,802,
2010-12-07 12:12:00,CAPGLO,13.77,13.77,13.77,13.77,227,
2010-12-08 12:12:00,CAPGLO,13.25,13.25,13.25,13.25,155,
2010-12-09 12:12:00,CAPGLO,12.76,12.76,12.76,12.76,38,
2010-12-10 12:12:00,CAPGLO,12.3,12.3,12.3,12.3,111,
2010-12-13 12:12:00,CAPGLO,11.86,11.86,11.86,11.86,151,
2010-12-14 12:12:00,CAPGLO,11.44,11.44,11.44,11.44,313,
2010-12-15 12:12:00,CAPGLO,11.05,11.05,11.05,11.05,1613,
2010-12-16 12:12:00,CAPGLO,10.67,11.43,10.67,11.43,200550,
2010-12-20 12:12:00,CAPGLO,11.5,11.78,11.03,11.03,18398,
2010-12-21 12:12:00,CAPGLO,10.65,10.95,10.65,10.66,67691,
2010-12-22 12:12:00,CAPGLO,10.31,11.02,10.31,10.31,209802,
2010-12-23 12:12:00,CAPGLO,9.96,10.14,9.96,9.96,25956,
2010-12-24 12:12:00,CAPGLO,9.64,9.97,9.64,9.64,56028,
2010-12-27 12:12:00,CAPGLO,9.33,9.82,9.33,9.33,91234,
2010-12-28 12:12:00,CAPGLO,9.2,9.46,9.04,9.04,52492,
2010-12-29 12:12:00,CAPGLO,8.84,8.86,8.76,8.76,28617,
2010-12-30 12:12:00,CAPGLO,8.5,9.03,8.5,9.0,250773,
2010-12-31 12:12:00,CAPGLO,9.11,9.28,8.9,9.07,270617,
2011-01-03 12:01:00,CAPGLO,9.0,9.2,8.79,8.83,110801,
2011-01-04 12:01:00,CAPGLO,8.73,8.93,8.62,8.69,60619,
2011-01-05 12:01:00,CAPGLO,8.8,8.95,8.43,8.57,232156,
2011-01-06 12:01:00,CAPGLO,8.68,8.73,8.46,8.58,77704,
2011-01-07 12:01:00,CAPGLO,8.6,8.6,8.32,8.32,53131,
2011-01-10 12:01:00,CAPGLO,8.39,8.39,8.08,8.08,19519,
2011-01-11 12:01:00,CAPGLO,7.89,7.96,7.85,7.85,29876,
2011-01-12 12:01:00,CAPGLO,7.67,7.88,7.63,7.81,81464,
2011-01-13 12:01:00,CAPGLO,7.84,8.03,7.75,7.95,151636,
2011-01-14 12:01:00,CAPGLO,8.01,8.07,7.75,7.89,47850,
2011-01-17 12:01:00,CAPGLO,8.09,8.09,7.69,7.74,54203,
2011-01-18 12:01:00,CAPGLO,7.71,7.82,7.67,7.74,28724,
2011-01-19 12:01:00,CAPGLO,7.54,7.9,7.54,7.76,84038,
2011-01-21 12:01:00,CAPGLO,7.75,7.97,7.75,7.97,13894,
2011-01-24 12:01:00,CAPGLO,8.09,8.2,8.09,8.2,2595,
2011-01-25 12:01:00,CAPGLO,8.43,8.43,8.43,8.43,2018,
2011-01-27 12:01:00,CAPGLO,8.68,8.68,8.68,8.68,31940,
2011-01-28 12:01:00,CAPGLO,8.94,8.94,8.82,8.94,60860,
2011-01-31 12:01:00,CAPGLO,9.13,9.13,8.7,8.76,65197,
2011-02-01 12:02:00,CAPGLO,8.82,8.94,8.52,8.79,34521,
2011-02-03 12:02:00,CAPGLO,8.94,9.14,8.86,9.09,19497,
2011-02-04 12:02:00,CAPGLO,9.22,9.22,8.81,8.81,12424,
2011-02-07 12:02:00,CAPGLO,8.82,8.82,8.54,8.55,71559,
2011-02-08 12:02:00,CAPGLO,8.3,8.39,8.3,8.3,5495,
2011-02-09 12:02:00,CAPGLO,8.06,8.13,8.06,8.06,4950,
2011-02-10 12:02:00,CAPGLO,8.01,8.01,7.83,7.83,3754,
2011-02-11 12:02:00,CAPGLO,7.65,8.05,7.62,8.0,10832,
2011-02-14 12:02:00,CAPGLO,7.96,8.23,7.96,8.23,3846,
2011-02-15 12:02:00,CAPGLO,8.36,8.47,8.05,8.33,16885,
2011-02-16 12:02:00,CAPGLO,8.51,8.57,8.35,8.57,13085,
2011-02-17 12:02:00,CAPGLO,8.77,8.83,8.69,8.83,12532,
2011-02-18 12:02:00,CAPGLO,9.03,9.09,8.56,8.56,60300,
2011-02-21 12:02:00,CAPGLO,8.35,8.43,8.31,8.36,15820,
2011-02-22 12:02:00,CAPGLO,8.39,8.39,8.11,8.11,16112,
2011-02-23 12:02:00,CAPGLO,8.22,8.22,7.88,7.88,66224,
2011-02-24 12:02:00,CAPGLO,7.75,7.79,7.66,7.71,52800,
2011-02-25 12:02:00,CAPGLO,7.75,7.88,7.5,7.57,31699,
2011-02-28 12:02:00,CAPGLO,7.5,7.58,7.45,7.53,46151,
2011-03-01 12:03:00,CAPGLO,7.53,7.6,7.41,7.42,179935,
2011-03-03 12:03:00,CAPGLO,7.43,7.61,7.24,7.26,214556,
2011-03-04 12:03:00,CAPGLO,7.26,7.32,7.07,7.1,90680,
2011-03-07 12:03:00,CAPGLO,6.98,7.11,6.96,7.08,39313,
2011-03-08 12:03:00,CAPGLO,7.25,7.27,7.07,7.27,18164,
2011-03-09 12:03:00,CAPGLO,7.38,7.46,7.24,7.45,97077,
2011-03-10 12:03:00,CAPGLO,7.47,7.58,7.37,7.42,12726,
2011-03-11 12:03:00,CAPGLO,7.44,7.53,7.28,7.3,14572,
2011-03-14 12:03:00,CAPGLO,7.3,7.4,7.18,7.32,9028,
2011-03-15 12:03:00,CAPGLO,7.22,7.22,7.13,7.13,10575,
2011-03-16 12:03:00,CAPGLO,7.07,7.24,7.07,7.13,18622,
2011-03-17 12:03:00,CAPGLO,6.98,7.18,6.98,7.08,7001,
2011-03-18 12:03:00,CAPGLO,7.11,7.15,7.02,7.05,30244,
2011-03-21 12:03:00,CAPGLO,6.94,7.05,6.93,6.97,5102,
2011-03-22 12:03:00,CAPGLO,7.01,7.02,6.94,6.98,6081,
2011-03-23 12:03:00,CAPGLO,6.98,7.02,6.88,6.98,14919,
2011-03-24 12:03:00,CAPGLO,6.98,7.06,6.9,7.0,13827,
2011-03-25 12:03:00,CAPGLO,6.94,7.12,6.94,7.07,11944,
2011-03-28 12:03:00,CAPGLO,6.94,7.02,6.89,6.98,183230,
2011-03-29 12:03:00,CAPGLO,6.92,7.08,6.92,6.99,32454,
2011-03-30 12:03:00,CAPGLO,6.92,7.02,6.92,6.94,10387,
2011-03-31 12:03:00,CAPGLO,6.94,6.94,6.8,6.85,13143,
2011-04-01 12:04:00,CAPGLO,6.77,6.87,6.77,6.79,23492,
2011-04-04 12:04:00,CAPGLO,6.81,6.85,6.77,6.82,18959,
2011-04-05 12:04:00,CAPGLO,6.94,6.94,6.77,6.8,18712,
2011-04-06 12:04:00,CAPGLO,6.82,6.96,6.73,6.96,102819,
2011-04-07 12:04:00,CAPGLO,7.1,7.14,6.99,7.04,98600,
2011-04-08 12:04:00,CAPGLO,7.1,7.1,6.86,6.9,25445,
2011-04-11 12:04:00,CAPGLO,6.9,6.9,6.74,6.76,10930,
2011-04-13 12:04:00,CAPGLO,6.77,6.85,6.73,6.76,17244,
2011-04-15 12:04:00,CAPGLO,6.83,6.83,6.68,6.7,47715,
2011-04-18 12:04:00,CAPGLO,6.6,6.79,6.56,6.6,15711,
2011-04-19 12:04:00,CAPGLO,6.54,6.64,6.53,6.6,9920,
2011-04-20 12:04:00,CAPGLO,6.64,6.68,6.53,6.55,13197,
2011-04-21 12:04:00,CAPGLO,6.57,6.59,6.4,6.43,18505,
2011-04-25 12:04:00,CAPGLO,6.47,6.47,6.28,6.28,26974,
2011-04-26 12:04:00,CAPGLO,6.2,6.24,6.14,6.16,21022,
2011-04-27 12:04:00,CAPGLO,6.24,6.24,6.05,6.08,36256,
2011-04-28 12:04:00,CAPGLO,6.13,6.13,6.01,6.05,29369,
2011-04-29 12:04:00,CAPGLO,6.13,6.18,6.05,6.13,72411,
2011-05-02 12:05:00,CAPGLO,6.25,6.25,6.05,6.11,47616,
2011-05-03 12:05:00,CAPGLO,6.17,6.17,5.98,5.99,39809,
2011-05-04 12:05:00,CAPGLO,5.87,5.96,5.86,5.87,18049,
2011-05-05 12:05:00,CAPGLO,5.77,5.83,5.76,5.76,15544,
2011-05-06 12:05:00,CAPGLO,5.76,5.76,5.66,5.69,10464,
2011-05-09 12:05:00,CAPGLO,5.74,5.74,5.62,5.62,49085,
2011-05-10 12:05:00,CAPGLO,5.62,5.67,5.55,5.66,44420,
2011-05-11 12:05:00,CAPGLO,5.7,5.77,5.66,5.76,184247,
2011-05-12 12:05:00,CAPGLO,5.65,5.81,5.65,5.68,56773,
2011-05-13 12:05:00,CAPGLO,5.58,5.74,5.58,5.61,59927,
2011-05-16 12:05:00,CAPGLO,5.51,5.71,5.5,5.58,78362,
2011-05-17 12:05:00,CAPGLO,5.62,5.63,5.53,5.57,33336,
2011-05-18 12:05:00,CAPGLO,5.52,5.56,5.52,5.53,28158,
2011-05-19 12:05:00,CAPGLO,5.53,5.63,5.53,5.63,19691,
2011-05-20 12:05:00,CAPGLO,5.6,5.74,5.58,5.74,34272,
2011-05-23 12:05:00,CAPGLO,5.74,5.86,5.63,5.84,89220,
2011-05-24 12:05:00,CAPGLO,5.75,5.96,5.75,5.96,134759,
2011-05-25 12:05:00,CAPGLO,6.01,6.08,5.92,6.08,164167,
2011-05-26 12:05:00,CAPGLO,6.19,6.21,5.96,6.04,157075,
2011-05-27 12:05:00,CAPGLO,6.06,6.08,5.91,6.04,59192,
2011-05-30 12:05:00,CAPGLO,6.04,6.11,5.97,6.08,14664,
2011-05-31 12:05:00,CAPGLO,6.09,6.11,5.95,5.99,27959,
2011-06-01 12:06:00,CAPGLO,5.99,6.07,5.87,5.88,132884,
2011-06-02 12:06:00,CAPGLO,5.89,5.92,5.79,5.82,161398,
2011-06-03 12:06:00,CAPGLO,5.83,5.88,5.75,5.79,179281,
2011-06-06 12:06:00,CAPGLO,5.7,5.84,5.7,5.8,114475,
2011-06-07 12:06:00,CAPGLO,5.84,5.92,5.75,5.92,86693,
2011-06-08 12:06:00,CAPGLO,5.86,6.03,5.8,5.96,160392,
2011-06-09 12:06:00,CAPGLO,5.9,6.04,5.84,5.94,159289,
2011-06-10 12:06:00,CAPGLO,5.98,6.07,5.95,6.07,182241,
2011-06-13 12:06:00,CAPGLO,6.02,6.2,6.02,6.2,30804,
2011-06-14 12:06:00,CAPGLO,6.33,6.33,6.33,6.33,29594,
2011-06-15 12:06:00,CAPGLO,6.48,6.48,6.35,6.48,393162,
2011-06-16 12:06:00,CAPGLO,6.63,6.63,6.63,6.63,80604,
2011-06-17 12:06:00,CAPGLO,6.79,6.79,6.76,6.79,18567,
2011-06-20 12:06:00,CAPGLO,6.95,6.95,6.81,6.95,287713,
2011-06-21 12:06:00,CAPGLO,7.13,7.13,6.78,6.78,131164,
2011-06-22 12:06:00,CAPGLO,6.62,6.95,6.62,6.95,197449,
2011-06-23 12:06:00,CAPGLO,7.12,7.12,6.77,7.02,391890,
2011-06-24 12:06:00,CAPGLO,7.09,7.12,6.86,6.98,57844,
2011-06-27 12:06:00,CAPGLO,6.98,6.98,6.82,6.83,28527,
2011-06-28 12:06:00,CAPGLO,6.74,6.8,6.66,6.67,29467,
2011-06-29 12:06:00,CAPGLO,6.67,6.77,6.52,6.67,43639,
2011-06-30 12:06:00,CAPGLO,6.73,6.76,6.58,6.69,11712,
2011-07-01 12:07:00,CAPGLO,6.71,6.8,6.69,6.69,17820,
2011-07-04 12:07:00,CAPGLO,6.73,6.73,6.57,6.62,8523,
2011-07-05 12:07:00,CAPGLO,6.67,6.67,6.56,6.58,12461,
2011-07-06 12:07:00,CAPGLO,6.59,6.66,6.53,6.56,8442,
2011-07-07 12:07:00,CAPGLO,6.62,6.87,6.61,6.87,17378,
2011-07-11 12:07:00,CAPGLO,7.39,7.58,7.24,7.58,124132,
2011-07-12 12:07:00,CAPGLO,7.7,7.79,7.47,7.67,266344,
2011-07-13 12:07:00,CAPGLO,7.66,7.76,7.46,7.59,91181,
