datetime,stock_code,open,high,low,close,volume,open_interest
2014-06-23 12:06:00,CAPPOI,34.2,36.2,34.2,35.8,438,
2014-06-24 12:06:00,CAPPOI,35.4,36.4,35.24,35.64,2293,
2014-06-25 12:06:00,CAPPOI,35.64,36.4,35.64,36.25,746,
2014-06-26 12:06:00,CAPPOI,36.6,37.0,34.8,35.95,3192,
2014-06-27 12:06:00,CAPPOI,35.46,39.54,35.41,39.54,4811,
2014-06-30 12:06:00,CAPPOI,43.49,43.49,43.49,43.49,860,
2014-07-01 12:07:00,CAPPOI,47.83,47.83,46.22,47.83,10736,
2014-07-02 12:07:00,CAPPOI,48.41,50.22,48.0,50.22,4224,
2014-07-03 12:07:00,CAPPOI,52.58,52.73,51.5,52.73,6324,
2014-07-04 12:07:00,CAPPOI,55.36,55.36,55.36,55.36,2178,
2014-07-07 12:07:00,CAPPOI,57.2,58.0,52.6,55.87,20868,
2014-07-08 12:07:00,CAPPOI,55.28,55.28,53.08,53.08,7699,
2014-07-09 12:07:00,CAPPOI,52.8,52.8,50.43,50.78,4935,
2014-07-10 12:07:00,CAPPOI,52.39,53.31,49.62,53.07,6735,
2014-07-11 12:07:00,CAPPOI,53.2,55.6,53.0,53.05,4654,
2014-07-14 12:07:00,CAPPOI,54.6,54.6,50.4,50.84,3961,
2014-07-15 12:07:00,CAPPOI,50.84,53.38,50.84,53.38,643,
2014-07-16 12:07:00,CAPPOI,56.04,56.04,56.04,56.04,2429,
2014-07-17 12:07:00,CAPPOI,58.84,58.84,56.0,58.52,16537,
2014-07-18 12:07:00,CAPPOI,60.0,61.44,56.45,61.44,6911,
2014-07-21 12:07:00,CAPPOI,63.8,64.51,63.2,64.51,7547,
2014-07-22 12:07:00,CAPPOI,67.19,67.73,66.21,67.73,3763,
2014-07-23 12:07:00,CAPPOI,71.11,71.11,66.02,67.79,46259,
2014-07-24 12:07:00,CAPPOI,67.79,67.79,64.41,64.41,8456,
2014-07-25 12:07:00,CAPPOI,61.21,64.41,61.21,63.19,9600,
2014-07-28 12:07:00,CAPPOI,63.0,66.34,62.8,66.1,6850,
2014-07-30 12:07:00,CAPPOI,68.2,69.4,64.2,69.4,21871,
2014-07-31 12:07:00,CAPPOI,72.2,72.87,70.85,72.87,11177,
2014-08-01 12:08:00,CAPPOI,76.2,76.51,70.0,73.98,45937,
2014-08-04 12:08:00,CAPPOI,75.2,75.54,70.29,72.67,10549,
2014-08-05 12:08:00,CAPPOI,73.8,74.76,71.05,73.44,8645,
2014-08-06 12:08:00,CAPPOI,73.0,75.7,70.41,70.9,5122,
2014-08-07 12:08:00,CAPPOI,71.0,71.98,68.06,70.16,8943,
2014-08-08 12:08:00,CAPPOI,69.0,69.95,67.1,67.69,5045,
2014-08-11 12:08:00,CAPPOI,71.0,71.0,68.2,69.18,2286,
2014-08-12 12:08:00,CAPPOI,69.2,69.82,68.2,68.63,1480,
2014-08-13 12:08:00,CAPPOI,68.63,72.06,68.63,72.0,15776,
2014-08-14 12:08:00,CAPPOI,74.8,75.6,68.4,74.93,14428,
2014-08-18 12:08:00,CAPPOI,76.8,78.67,72.6,77.44,29270,
2014-08-19 12:08:00,CAPPOI,77.4,80.98,74.0,79.91,27735,
2014-08-20 12:08:00,CAPPOI,80.88,83.9,80.54,83.9,13423,
2014-08-21 12:08:00,CAPPOI,86.8,88.09,85.31,88.09,16481,
2014-08-22 12:08:00,CAPPOI,92.49,92.49,83.69,85.25,36992,
2014-08-25 12:08:00,CAPPOI,88.88,88.88,83.02,84.04,13458,
2014-08-26 12:08:00,CAPPOI,83.2,83.2,79.84,79.84,6767,
2014-08-27 12:08:00,CAPPOI,75.87,83.83,75.85,83.83,42469,
2014-08-28 12:08:00,CAPPOI,87.96,88.02,86.07,88.02,8462,
2014-09-01 12:09:00,CAPPOI,91.8,92.42,86.61,88.79,21586,
2014-09-02 12:09:00,CAPPOI,90.0,91.2,87.6,88.53,12983,
2014-09-03 12:09:00,CAPPOI,90.9,90.9,85.99,86.22,14535,
2014-09-04 12:09:00,CAPPOI,86.8,89.0,86.62,88.14,7863,
2014-09-05 12:09:00,CAPPOI,88.8,92.54,88.08,89.91,11471,
2014-09-08 12:09:00,CAPPOI,93.71,94.4,90.0,94.4,8920,
