datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,CASIND,76.5,76.5,73.89,74.56,55198,
2010-01-05 12:01:00,CASIND,75.0,75.71,74.38,75.02,26690,
2010-01-06 12:01:00,CASIND,76.25,76.25,73.89,74.08,30493,
2010-01-07 12:01:00,CASIND,74.53,75.88,73.79,74.36,110819,
2010-01-08 12:01:00,CASIND,75.63,75.63,73.88,74.52,32599,
2010-01-11 12:01:00,CASIND,74.38,77.19,74.38,77.04,136765,
2010-01-12 12:01:00,CASIND,77.5,78.25,76.38,77.33,117920,
2010-01-13 12:01:00,CASIND,76.63,79.13,76.63,77.95,62016,
2010-01-14 12:01:00,CASIND,78.75,80.13,77.93,78.67,90848,
2010-01-15 12:01:00,CASIND,79.25,79.29,77.06,77.57,23815,
2010-01-18 12:01:00,CASIND,77.5,78.38,77.0,77.53,50760,
2010-01-19 12:01:00,CASIND,77.75,79.38,77.26,77.61,55607,
2010-01-20 12:01:00,CASIND,77.0,78.62,76.25,77.31,88747,
2010-01-21 12:01:00,CASIND,76.5,78.13,76.5,76.89,63892,
2010-01-22 12:01:00,CASIND,76.75,79.0,75.07,77.94,64428,
2010-01-25 12:01:00,CASIND,78.13,78.74,75.63,76.26,32028,
2010-01-27 12:01:00,CASIND,76.13,76.13,74.38,75.29,32909,
2010-01-28 12:01:00,CASIND,76.5,76.94,74.63,75.16,28773,
2010-01-29 12:01:00,CASIND,75.0,76.0,73.75,75.61,25805,
2010-02-01 12:02:00,CASIND,76.0,77.88,75.53,77.64,33032,
2010-02-02 12:02:00,CASIND,79.63,79.63,77.61,77.73,56967,
2010-02-04 12:02:00,CASIND,80.88,84.84,80.38,80.83,168285,
2010-02-05 12:02:00,CASIND,78.0,80.5,77.75,79.43,54193,
2010-02-06 12:02:00,CASIND,79.0,83.94,79.0,82.78,37532,
2010-02-08 12:02:00,CASIND,83.88,84.36,80.64,81.76,46723,
2010-02-09 12:02:00,CASIND,81.88,83.1,80.26,81.48,34849,
2010-02-10 12:02:00,CASIND,82.5,84.75,81.88,82.91,124850,
2010-02-11 12:02:00,CASIND,83.99,86.74,83.01,84.99,205267,
2010-02-15 12:02:00,CASIND,85.8,90.5,84.76,87.91,543483,
2010-02-16 12:02:00,CASIND,90.01,90.01,87.64,88.01,154196,
2010-02-17 12:02:00,CASIND,88.19,90.41,88.14,88.85,195995,
2010-02-18 12:02:00,CASIND,89.86,90.13,81.25,81.83,1265887,
2010-02-19 12:02:00,CASIND,82.97,83.63,81.25,82.49,492157,
2010-02-22 12:02:00,CASIND,83.02,83.63,81.75,81.94,126897,
2010-02-23 12:02:00,CASIND,81.38,82.84,80.56,82.24,95330,
2010-02-24 12:02:00,CASIND,81.56,82.25,80.14,81.05,74424,
2010-02-25 12:02:00,CASIND,81.25,81.88,80.38,80.89,38313,
2010-02-26 12:02:00,CASIND,80.76,82.12,80.17,81.11,57053,
2010-03-02 12:03:00,CASIND,81.86,82.86,80.25,82.44,51075,
2010-03-03 12:03:00,CASIND,82.5,83.54,82.03,83.01,53895,
2010-03-04 12:03:00,CASIND,83.33,83.5,82.5,82.7,25440,
2010-03-05 12:03:00,CASIND,83.13,85.0,82.5,84.68,108270,
2010-03-08 12:03:00,CASIND,85.25,87.3,85.25,87.08,109541,
2010-03-09 12:03:00,CASIND,87.43,88.23,85.26,86.72,176514,
2010-03-10 12:03:00,CASIND,86.86,88.37,86.14,87.13,209632,
2010-03-11 12:03:00,CASIND,77.21,88.0,77.21,86.83,51678,
2010-03-12 12:03:00,CASIND,87.36,87.36,85.25,85.51,28084,
2010-03-15 12:03:00,CASIND,86.25,86.25,84.38,85.31,32970,
2010-03-16 12:03:00,CASIND,85.84,86.25,84.88,85.86,28765,
