datetime,stock_code,open,high,low,close,volume,open_interest
2017-06-30 12:06:00,CDSL,125.0,134.98,125.0,130.8,50326065,
2017-07-03 12:07:00,CDSL,131.0,132.35,121.58,131.08,14445613,
2017-07-04 12:07:00,CDSL,131.75,135.45,131.5,132.65,4484530,
2017-07-05 12:07:00,CDSL,132.95,133.25,131.08,131.98,1877748,
2017-07-06 12:07:00,CDSL,132.2,149.2,131.2,146.95,17400331,
2017-07-07 12:07:00,CDSL,145.05,172.4,145.0,165.58,38221190,
2017-07-10 12:07:00,CDSL,177.5,183.0,167.45,177.08,8928724,
2017-07-11 12:07:00,CDSL,178.85,193.2,178.85,190.85,23411261,
2017-07-12 12:07:00,CDSL,196.58,204.5,195.3,201.98,17877965,
2017-07-13 12:07:00,CDSL,208.5,222.15,204.2,222.15,15896817,
2017-07-14 12:07:00,CDSL,235.58,243.0,199.95,199.95,31052454,
2017-07-17 12:07:00,CDSL,194.25,198.4,185.0,190.78,15705997,
2017-07-18 12:07:00,CDSL,187.5,196.0,185.5,191.18,5308410,
2017-07-19 12:07:00,CDSL,192.9,194.85,188.2,189.5,2577313,
2017-07-20 12:07:00,CDSL,190.95,192.35,181.7,186.8,6222337,
2017-07-24 12:07:00,CDSL,185.9,188.0,181.25,181.93,2293565,
2017-07-25 12:07:00,CDSL,182.88,187.25,181.55,181.85,2760857,
2017-07-26 12:07:00,CDSL,182.6,183.5,177.5,177.85,1931369,
2017-07-27 12:07:00,CDSL,178.15,179.9,171.5,172.08,2850106,
2017-07-28 12:07:00,CDSL,170.0,189.28,168.75,186.78,10446183,
2017-07-31 12:07:00,CDSL,185.0,185.0,169.0,169.8,7912135,
2017-08-01 12:08:00,CDSL,171.25,174.0,167.83,168.65,2889107,
2017-08-02 12:08:00,CDSL,168.5,173.93,168.1,168.73,3677085,
2017-08-03 12:08:00,CDSL,168.7,171.35,162.55,163.55,2552070,
2017-08-04 12:08:00,CDSL,163.9,164.18,154.7,155.85,3544659,
2017-08-07 12:08:00,CDSL,156.35,169.3,154.03,166.68,7715813,
2017-08-08 12:08:00,CDSL,167.75,168.13,161.05,162.88,2688517,
2017-08-09 12:08:00,CDSL,161.45,163.48,158.75,159.73,1582568,
2017-08-10 12:08:00,CDSL,158.38,160.5,149.0,150.63,2718480,
2017-08-11 12:08:00,CDSL,148.45,155.5,145.55,152.28,2949441,
2017-08-14 12:08:00,CDSL,156.0,159.9,155.3,158.0,1513613,
2017-08-16 12:08:00,CDSL,159.83,165.5,157.6,163.13,2758656,
2017-08-17 12:08:00,CDSL,163.93,166.4,162.5,163.8,1480926,
2017-08-21 12:08:00,CDSL,161.5,171.73,160.8,165.43,4886628,
2017-08-22 12:08:00,CDSL,167.0,168.35,163.25,164.3,1285706,
2017-08-23 12:08:00,CDSL,165.5,168.23,164.3,166.38,1383990,
2017-08-28 12:08:00,CDSL,166.3,172.3,165.8,170.58,2584839,
2017-08-29 12:08:00,CDSL,169.2,172.95,166.83,167.23,2262605,
2017-08-30 12:08:00,CDSL,168.98,171.4,168.8,170.05,1247379,
2017-08-31 12:08:00,CDSL,170.3,171.2,168.75,169.18,998538,
2017-09-01 12:09:00,CDSL,169.85,172.75,168.5,169.0,1640095,
2017-09-04 12:09:00,CDSL,168.75,169.1,163.5,165.53,1001248,
2017-09-05 12:09:00,CDSL,166.25,172.4,166.25,171.03,1989703,
2017-09-06 12:09:00,CDSL,168.75,171.5,168.5,169.23,1590487,
2017-09-07 12:09:00,CDSL,170.0,178.28,170.0,172.48,3535951,
2017-09-08 12:09:00,CDSL,174.0,180.9,174.0,179.28,5191666,
2017-09-11 12:09:00,CDSL,181.03,181.23,177.05,178.25,1893319,
2017-09-12 12:09:00,CDSL,179.2,180.43,176.5,177.33,1123451,
2017-09-13 12:09:00,CDSL,177.5,178.68,172.88,174.03,956237,
2017-09-14 12:09:00,CDSL,174.5,176.53,173.2,174.15,801888,
2017-09-15 12:09:00,CDSL,173.5,175.9,172.6,173.9,986627,
2017-09-18 12:09:00,CDSL,174.53,184.5,174.53,180.78,3691628,
2017-09-19 12:09:00,CDSL,182.18,189.3,180.0,185.3,3955335,
2017-09-20 12:09:00,CDSL,186.45,199.23,185.5,193.28,7712216,
2017-09-21 12:09:00,CDSL,194.45,198.08,188.05,191.63,3238070,
2017-09-22 12:09:00,CDSL,190.8,190.8,181.55,182.2,2254366,
2017-09-25 12:09:00,CDSL,181.13,181.93,172.08,175.08,1864577,
2017-09-26 12:09:00,CDSL,175.0,178.65,175.0,176.58,1477624,
2017-09-27 12:09:00,CDSL,178.0,178.33,169.5,170.5,1410608,
2017-09-28 12:09:00,CDSL,171.88,172.75,170.0,170.33,932160,
2017-09-29 12:09:00,CDSL,171.13,175.95,170.15,170.88,2360656,
2017-10-03 12:10:00,CDSL,173.0,175.7,171.8,173.7,1056289,
2017-10-04 12:10:00,CDSL,174.9,178.4,173.23,176.68,1408665,
2017-10-05 12:10:00,CDSL,177.5,180.0,175.75,178.13,1239998,
2017-10-06 12:10:00,CDSL,179.1,189.7,178.0,187.93,3695629,
2017-10-09 12:10:00,CDSL,189.48,190.3,186.13,187.23,1408850,
2017-10-10 12:10:00,CDSL,187.9,196.63,186.53,192.55,3541245,
2017-10-11 12:10:00,CDSL,193.4,196.2,184.5,186.53,2164548,
2017-10-12 12:10:00,CDSL,188.15,190.63,184.6,189.35,1093643,
2017-10-13 12:10:00,CDSL,189.5,192.23,187.1,187.9,1010152,
2017-10-16 12:10:00,CDSL,189.75,192.83,187.55,191.9,1443634,
2017-10-17 12:10:00,CDSL,191.5,196.93,190.0,195.03,2490964,
2017-10-18 12:10:00,CDSL,194.0,198.45,192.55,194.45,1644667,
2017-10-19 12:10:00,CDSL,194.35,195.3,189.0,190.83,643791,
2017-10-23 12:10:00,CDSL,190.9,193.35,188.0,188.9,950509,
2017-10-24 12:10:00,CDSL,189.03,191.5,187.05,187.65,636433,
2017-10-25 12:10:00,CDSL,189.48,190.2,183.5,184.55,830715,
2017-10-26 12:10:00,CDSL,184.5,188.0,183.0,185.35,660126,
2017-10-27 12:10:00,CDSL,186.6,190.0,185.53,188.15,1047022,
2017-10-30 12:10:00,CDSL,189.63,191.6,186.03,186.95,1572689,
2017-10-31 12:10:00,CDSL,187.0,187.9,185.5,185.98,544303,
2017-11-01 12:11:00,CDSL,186.25,186.88,184.45,184.88,597305,
2017-11-02 12:11:00,CDSL,185.05,188.75,185.05,185.7,1411704,
2017-11-03 12:11:00,CDSL,185.95,186.9,183.15,183.55,495213,
2017-11-06 12:11:00,CDSL,183.4,183.45,179.63,180.18,601066,
2017-11-07 12:11:00,CDSL,180.5,182.5,177.5,178.88,566094,
2017-11-08 12:11:00,CDSL,180.5,185.88,178.1,179.48,1071287,
2017-11-09 12:11:00,CDSL,180.95,181.7,177.1,178.93,431581,
2017-11-10 12:11:00,CDSL,178.0,180.9,177.05,178.95,514443,
2017-11-13 12:11:00,CDSL,179.95,179.95,176.5,178.23,366476,
2017-11-14 12:11:00,CDSL,178.48,179.95,177.05,177.4,295921,
2017-11-15 12:11:00,CDSL,176.9,178.03,176.0,176.98,374613,
2017-11-16 12:11:00,CDSL,177.25,178.45,176.25,176.58,278864,
2017-11-17 12:11:00,CDSL,177.98,182.58,177.5,177.83,568666,
2017-11-20 12:11:00,CDSL,178.0,183.85,177.6,180.65,615603,
2017-11-21 12:11:00,CDSL,181.08,183.5,180.75,181.23,378106,
2017-11-22 12:11:00,CDSL,181.9,182.23,177.75,178.9,592176,
2017-11-23 12:11:00,CDSL,179.5,180.48,176.25,177.68,436484,
2017-11-24 12:11:00,CDSL,178.4,179.85,176.73,177.3,385090,
2017-11-27 12:11:00,CDSL,176.5,178.23,175.5,177.53,453814,
2017-11-28 12:11:00,CDSL,177.6,178.9,175.68,176.2,370413,
2017-11-29 12:11:00,CDSL,176.8,183.45,175.5,180.55,1004650,
2017-11-30 12:11:00,CDSL,179.25,187.5,179.05,181.85,2471309,
2017-12-01 12:12:00,CDSL,182.45,183.85,177.5,178.23,568125,
2017-12-04 12:12:00,CDSL,179.0,180.0,176.0,176.25,412598,
2017-12-05 12:12:00,CDSL,176.0,176.33,172.88,174.45,575852,
2017-12-06 12:12:00,CDSL,173.98,176.98,172.53,172.78,375441,
2017-12-07 12:12:00,CDSL,173.15,175.88,172.5,174.28,458162,
2017-12-08 12:12:00,CDSL,174.53,175.48,173.5,173.65,421152,
2017-12-11 12:12:00,CDSL,174.03,175.95,173.25,173.68,410991,
2017-12-12 12:12:00,CDSL,173.83,173.9,171.3,171.58,308145,
2017-12-13 12:12:00,CDSL,171.75,173.7,169.05,169.65,310240,
2017-12-14 12:12:00,CDSL,170.03,170.5,167.53,168.8,272435,
2017-12-15 12:12:00,CDSL,169.85,170.38,167.38,168.08,356585,
2017-12-18 12:12:00,CDSL,166.95,177.2,163.53,174.63,1199049,
2017-12-19 12:12:00,CDSL,175.48,183.5,175.3,180.6,1649903,
2017-12-20 12:12:00,CDSL,180.5,182.45,178.25,178.88,616426,
2017-12-21 12:12:00,CDSL,179.35,181.75,178.0,179.28,460745,
2017-12-22 12:12:00,CDSL,179.45,183.85,178.63,182.85,983715,
2017-12-26 12:12:00,CDSL,183.0,187.0,182.63,183.8,783864,
2017-12-27 12:12:00,CDSL,184.0,184.2,176.33,178.08,713911,
2017-12-28 12:12:00,CDSL,178.0,178.68,175.28,175.95,424184,
2017-12-29 12:12:00,CDSL,176.48,180.48,176.23,178.8,540947,
2018-01-01 12:01:00,CDSL,178.5,182.4,176.63,178.05,682248,
2018-01-02 12:01:00,CDSL,179.9,179.9,175.53,176.0,447897,
2018-01-03 12:01:00,CDSL,176.5,177.75,174.5,175.3,628390,
2018-01-04 12:01:00,CDSL,175.38,176.45,174.0,174.58,462254,
2018-01-05 12:01:00,CDSL,174.8,179.35,174.8,177.65,874792,
2018-01-08 12:01:00,CDSL,178.93,179.25,176.1,176.9,521109,
2018-01-09 12:01:00,CDSL,177.23,178.25,175.55,176.1,358330,
2018-01-10 12:01:00,CDSL,176.7,182.2,176.65,180.7,1410341,
2018-01-11 12:01:00,CDSL,180.98,189.33,179.0,187.4,3471245,
2018-01-12 12:01:00,CDSL,189.5,191.0,182.0,185.1,2062450,
2018-01-15 12:01:00,CDSL,186.23,188.85,183.1,186.23,725609,
2018-01-16 12:01:00,CDSL,186.4,187.1,178.5,179.23,776698,
2018-01-17 12:01:00,CDSL,179.0,179.2,174.68,177.93,679281,
2018-01-18 12:01:00,CDSL,179.5,180.35,174.25,175.1,513030,
2018-01-19 12:01:00,CDSL,175.0,177.45,173.5,175.9,405558,
2018-01-22 12:01:00,CDSL,176.5,179.35,175.0,178.03,575959,
2018-01-23 12:01:00,CDSL,180.0,183.45,178.0,179.75,1380892,
2018-01-24 12:01:00,CDSL,179.98,180.0,174.0,174.6,575622,
2018-01-25 12:01:00,CDSL,175.1,176.73,173.55,174.15,319958,
2018-01-29 12:01:00,CDSL,174.48,175.9,169.25,169.85,568926,
2018-01-30 12:01:00,CDSL,170.0,170.0,166.5,167.13,502342,
2018-01-31 12:01:00,CDSL,167.0,167.73,164.05,166.8,518984,
2018-02-01 12:02:00,CDSL,166.9,170.45,164.85,166.45,577961,
2018-02-02 12:02:00,CDSL,164.38,165.0,157.5,159.13,847411,
2018-02-05 12:02:00,CDSL,155.1,163.98,154.15,162.8,549277,
2018-02-06 12:02:00,CDSL,154.15,159.0,154.15,155.88,1004891,
2018-02-07 12:02:00,CDSL,157.78,161.0,157.78,159.25,601127,
2018-02-08 12:02:00,CDSL,159.9,165.0,159.5,163.03,484591,
2018-02-09 12:02:00,CDSL,159.5,164.0,157.63,161.3,344597,
2018-02-12 12:02:00,CDSL,162.5,165.0,161.98,162.23,347006,
2018-02-14 12:02:00,CDSL,163.25,166.5,162.75,164.0,398982,
2018-02-15 12:02:00,CDSL,164.48,166.05,160.05,161.35,335883,
2018-02-16 12:02:00,CDSL,161.6,162.5,158.05,159.78,278627,
2018-02-19 12:02:00,CDSL,160.35,160.35,156.0,159.5,269304,
2018-02-20 12:02:00,CDSL,159.6,160.0,157.5,158.68,136925,
2018-02-21 12:02:00,CDSL,159.0,159.88,154.4,155.33,389539,
2018-02-22 12:02:00,CDSL,154.7,157.4,154.15,156.45,237630,
2018-02-23 12:02:00,CDSL,156.75,160.25,156.75,159.3,318091,
2018-02-26 12:02:00,CDSL,159.73,162.8,159.5,162.13,409783,
2018-02-27 12:02:00,CDSL,162.25,162.73,159.05,160.8,205789,
2018-02-28 12:02:00,CDSL,159.5,160.28,157.55,159.7,432157,
2018-03-01 12:03:00,CDSL,159.45,160.0,156.03,156.55,240278,
2018-03-05 12:03:00,CDSL,156.43,156.7,155.0,155.4,179487,
2018-03-06 12:03:00,CDSL,156.7,157.0,154.0,154.48,257679,
2018-03-07 12:03:00,CDSL,154.0,154.45,150.0,150.58,392221,
2018-03-08 12:03:00,CDSL,150.93,153.38,147.15,149.73,404472,
2018-03-09 12:03:00,CDSL,150.15,152.5,147.5,147.65,368599,
2018-03-12 12:03:00,CDSL,148.75,150.95,147.95,149.55,302306,
2018-03-13 12:03:00,CDSL,149.05,152.5,147.6,149.5,428694,
2018-03-14 12:03:00,CDSL,149.2,152.25,148.73,150.13,717192,
2018-03-15 12:03:00,CDSL,150.43,154.98,149.0,149.83,698947,
2018-03-16 12:03:00,CDSL,150.0,151.25,148.0,148.9,531448,
2018-03-19 12:03:00,CDSL,148.1,148.9,143.53,144.35,357178,
2018-03-20 12:03:00,CDSL,144.43,145.0,141.25,141.7,324988,
2018-03-21 12:03:00,CDSL,143.5,146.93,139.75,140.33,676604,
2018-03-22 12:03:00,CDSL,141.03,142.9,140.5,142.43,354520,
2018-03-23 12:03:00,CDSL,139.95,143.9,139.13,141.98,496415,
2018-03-26 12:03:00,CDSL,142.0,142.48,136.63,139.65,1106314,
2018-03-27 12:03:00,CDSL,141.2,145.0,141.2,144.05,520197,
2018-03-28 12:03:00,CDSL,143.45,144.9,140.5,141.33,312013,
2018-04-02 12:04:00,CDSL,142.83,150.0,142.5,149.45,701180,
2018-04-03 12:04:00,CDSL,148.5,153.93,147.58,152.23,840448,
2018-04-04 12:04:00,CDSL,152.73,153.65,147.3,148.63,440590,
2018-04-05 12:04:00,CDSL,150.2,155.45,150.2,154.18,443428,
2018-04-06 12:04:00,CDSL,154.13,156.38,151.28,152.3,518792,
2018-04-09 12:04:00,CDSL,152.33,155.0,151.5,151.85,614299,
2018-04-10 12:04:00,CDSL,152.28,154.25,150.13,150.8,521096,
2018-04-11 12:04:00,CDSL,151.23,151.25,148.5,149.05,245641,
2018-04-12 12:04:00,CDSL,149.5,150.98,147.0,147.5,301092,
2018-04-13 12:04:00,CDSL,148.0,148.9,145.5,145.7,292255,
2018-04-16 12:04:00,CDSL,144.95,146.95,144.0,144.75,322579,
2018-04-17 12:04:00,CDSL,145.23,148.18,141.5,142.53,622979,
2018-04-18 12:04:00,CDSL,143.5,145.23,142.0,143.03,381396,
2018-04-19 12:04:00,CDSL,143.38,144.4,142.48,143.7,295842,
2018-04-20 12:04:00,CDSL,143.7,147.75,142.45,146.7,686978,
2018-04-23 12:04:00,CDSL,148.0,149.73,146.08,147.83,908812,
2018-04-24 12:04:00,CDSL,147.9,147.9,143.88,145.28,330119,
2018-04-25 12:04:00,CDSL,145.63,147.25,143.0,143.43,436457,
2018-04-26 12:04:00,CDSL,143.55,144.45,142.0,143.8,260666,
2018-04-27 12:04:00,CDSL,144.9,147.75,143.85,146.93,457347,
2018-04-30 12:04:00,CDSL,147.63,148.25,142.75,143.23,651014,
2018-05-02 12:05:00,CDSL,144.0,147.5,142.0,142.48,973705,
2018-05-03 12:05:00,CDSL,142.9,142.9,139.8,141.45,381514,
2018-05-04 12:05:00,CDSL,141.75,141.75,139.5,140.2,250909,
2018-05-07 12:05:00,CDSL,142.5,143.75,140.0,140.6,381405,
2018-05-08 12:05:00,CDSL,140.83,141.45,139.6,140.2,273479,
2018-05-09 12:05:00,CDSL,140.05,144.55,140.05,142.9,416009,
2018-05-10 12:05:00,CDSL,142.6,144.43,141.88,142.45,283560,
2018-05-11 12:05:00,CDSL,142.48,143.0,140.0,140.78,255746,
2018-05-14 12:05:00,CDSL,140.98,141.43,139.05,140.08,222003,
2018-05-15 12:05:00,CDSL,140.48,141.28,139.25,140.15,334695,
2018-05-16 12:05:00,CDSL,139.28,140.45,135.63,139.6,268257,
2018-05-17 12:05:00,CDSL,140.5,144.55,140.25,143.85,410664,
2018-05-18 12:05:00,CDSL,142.63,144.95,142.0,142.9,322976,
2018-05-21 12:05:00,CDSL,143.4,143.4,135.5,136.35,422925,
2018-05-22 12:05:00,CDSL,136.45,137.0,134.03,134.38,250599,
2018-05-23 12:05:00,CDSL,134.2,136.25,132.63,133.05,216656,
2018-05-24 12:05:00,CDSL,133.95,135.0,131.28,132.38,178478,
2018-05-25 12:05:00,CDSL,132.9,134.83,131.5,133.4,273871,
2018-05-28 12:05:00,CDSL,134.0,138.15,133.68,136.3,325812,
2018-05-29 12:05:00,CDSL,136.0,136.95,135.0,135.5,144481,
2018-05-30 12:05:00,CDSL,134.83,150.83,134.43,147.18,2931516,
2018-05-31 12:05:00,CDSL,148.5,148.5,143.75,145.6,431687,
2018-06-01 12:06:00,CDSL,145.25,145.75,140.23,141.4,309967,
2018-06-04 12:06:00,CDSL,141.75,141.78,136.88,137.93,237749,
2018-06-05 12:06:00,CDSL,138.5,139.18,134.63,136.03,247287,
2018-06-06 12:06:00,CDSL,135.58,140.85,134.28,139.18,266007,
2018-06-07 12:06:00,CDSL,139.38,145.0,139.33,141.95,401730,
2018-06-08 12:06:00,CDSL,140.6,142.43,139.58,141.1,188546,
2018-06-11 12:06:00,CDSL,141.25,143.13,140.0,140.85,198533,
2018-06-12 12:06:00,CDSL,141.25,144.85,140.85,143.65,349478,
2018-06-13 12:06:00,CDSL,143.8,145.43,141.8,142.15,252090,
2018-06-14 12:06:00,CDSL,142.2,144.45,140.5,142.98,174593,
2018-06-15 12:06:00,CDSL,143.7,150.6,143.7,147.18,1579294,
2018-06-18 12:06:00,CDSL,147.3,149.9,145.05,147.53,420860,
2018-06-19 12:06:00,CDSL,146.75,147.4,145.1,146.65,285080,
2018-06-20 12:06:00,CDSL,147.2,148.25,144.53,145.53,228996,
2018-06-21 12:06:00,CDSL,145.7,146.0,142.35,143.35,199159,
2018-06-22 12:06:00,CDSL,142.98,143.43,141.28,142.25,136109,
2018-06-25 12:06:00,CDSL,142.0,144.4,141.38,143.8,175147,
2018-06-26 12:06:00,CDSL,143.2,146.0,142.1,142.98,272494,
2018-06-27 12:06:00,CDSL,142.88,143.58,138.0,139.08,276464,
2018-06-28 12:06:00,CDSL,138.63,138.8,135.7,136.48,182652,
2018-06-29 12:06:00,CDSL,136.53,141.0,136.5,140.13,153995,
2018-07-02 12:07:00,CDSL,140.48,140.5,131.15,134.68,602999,
2018-07-03 12:07:00,CDSL,134.95,136.43,134.13,134.75,257487,
2018-07-04 12:07:00,CDSL,134.8,138.33,134.48,136.7,368893,
2018-07-05 12:07:00,CDSL,136.48,136.48,133.05,133.55,334303,
2018-07-06 12:07:00,CDSL,133.73,134.85,132.53,133.58,298391,
2018-07-09 12:07:00,CDSL,134.53,138.43,134.5,135.9,735490,
2018-07-10 12:07:00,CDSL,136.0,136.8,134.95,135.4,246134,
2018-07-11 12:07:00,CDSL,135.25,137.75,134.65,135.38,452256,
2018-07-12 12:07:00,CDSL,135.55,136.25,135.0,135.35,243485,
2018-07-13 12:07:00,CDSL,135.5,135.9,133.0,133.68,163457,
2018-07-16 12:07:00,CDSL,133.75,134.15,130.53,131.08,170110,
2018-07-17 12:07:00,CDSL,131.2,133.43,130.2,132.75,146689,
2018-07-18 12:07:00,CDSL,133.15,133.73,128.53,129.18,224318,
2018-07-19 12:07:00,CDSL,129.5,129.95,126.05,127.18,231388,
2018-07-20 12:07:00,CDSL,127.5,128.73,125.5,127.85,241183,
2018-07-23 12:07:00,CDSL,128.75,132.23,128.65,130.88,272676,
2018-07-24 12:07:00,CDSL,131.9,133.75,130.75,132.4,247824,
2018-07-25 12:07:00,CDSL,132.5,132.95,130.95,131.6,224494,
2018-07-26 12:07:00,CDSL,132.38,135.85,131.3,132.43,360599,
2018-07-27 12:07:00,CDSL,133.1,137.2,133.0,136.38,608048,
2018-07-30 12:07:00,CDSL,134.28,136.13,132.9,133.38,455525,
2018-07-31 12:07:00,CDSL,133.9,134.03,131.25,131.58,248175,
2018-08-01 12:08:00,CDSL,131.83,134.38,131.78,132.78,273516,
2018-08-02 12:08:00,CDSL,134.1,135.0,132.13,133.48,254992,
2018-08-03 12:08:00,CDSL,134.0,135.0,132.78,133.75,222578,
2018-08-06 12:08:00,CDSL,133.98,138.43,133.98,136.05,779268,
2018-08-07 12:08:00,CDSL,136.95,137.35,134.5,134.95,295670,
2018-08-08 12:08:00,CDSL,134.85,136.25,133.95,134.53,268103,
2018-08-09 12:08:00,CDSL,135.2,136.15,133.5,134.28,252316,
2018-08-10 12:08:00,CDSL,134.1,135.75,133.13,134.6,356913,
2018-08-13 12:08:00,CDSL,134.0,134.13,132.03,132.88,177182,
2018-08-14 12:08:00,CDSL,133.4,133.7,132.05,132.78,170216,
2018-08-16 12:08:00,CDSL,132.3,134.25,132.0,133.23,206814,
2018-08-17 12:08:00,CDSL,133.73,134.5,133.18,133.68,130583,
2018-08-20 12:08:00,CDSL,134.0,137.9,133.5,133.95,372532,
2018-08-21 12:08:00,CDSL,134.2,134.85,133.53,134.05,141093,
