datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,CESC,39.28,40.25,39.16,39.81,448546,
2010-01-05 12:01:00,CESC,40.0,42.9,39.91,42.51,1073939,
2010-01-06 12:01:00,CESC,42.51,43.42,41.51,43.18,879359,
2010-01-07 12:01:00,CESC,42.8,43.7,42.56,43.0,222695,
2010-01-08 12:01:00,CESC,42.7,43.38,41.4,42.13,160570,
2010-01-11 12:01:00,CESC,42.77,43.43,41.83,42.01,277154,
2010-01-12 12:01:00,CESC,42.38,42.95,41.54,42.16,423042,
2010-01-13 12:01:00,CESC,41.66,43.58,41.66,43.46,505132,
2010-01-14 12:01:00,CESC,43.8,44.6,43.21,44.33,548167,
2010-01-15 12:01:00,CESC,44.68,45.0,44.15,44.3,199596,
2010-01-18 12:01:00,CESC,44.6,45.1,44.23,44.46,119308,
2010-01-19 12:01:00,CESC,44.7,44.79,42.91,43.16,134300,
2010-01-20 12:01:00,CESC,43.4,44.07,43.16,43.62,48157,
2010-01-21 12:01:00,CESC,43.62,44.0,42.4,42.8,170468,
2010-01-22 12:01:00,CESC,42.1,42.5,40.65,42.17,307587,
2010-01-25 12:01:00,CESC,42.2,42.65,40.81,40.98,82294,
2010-01-27 12:01:00,CESC,40.31,40.72,38.91,39.54,282801,
2010-01-28 12:01:00,CESC,39.85,40.68,37.9,38.41,278291,
2010-01-29 12:01:00,CESC,38.1,39.3,37.56,38.99,111198,
2010-02-01 12:02:00,CESC,39.41,40.95,39.05,40.41,91729,
2010-02-02 12:02:00,CESC,40.5,41.8,39.12,39.6,109625,
2010-02-04 12:02:00,CESC,39.1,39.4,38.51,38.69,98902,
2010-02-05 12:02:00,CESC,38.2,39.65,37.2,39.09,215127,
2010-02-06 12:02:00,CESC,39.4,39.88,39.2,39.47,10806,
2010-02-08 12:02:00,CESC,39.25,40.7,39.25,40.09,139180,
2010-02-09 12:02:00,CESC,39.72,40.13,39.31,39.52,140003,
2010-02-10 12:02:00,CESC,39.99,40.1,39.2,39.41,62719,
2010-02-11 12:02:00,CESC,39.75,39.84,38.83,39.5,80729,
2010-02-15 12:02:00,CESC,39.3,39.93,39.24,39.45,37585,
2010-02-16 12:02:00,CESC,39.55,39.6,39.1,39.41,19366,
2010-02-17 12:02:00,CESC,39.8,39.9,38.57,38.68,173653,
2010-02-18 12:02:00,CESC,38.68,38.77,37.45,37.8,519306,
2010-02-19 12:02:00,CESC,37.6,38.09,37.41,37.8,59955,
2010-02-22 12:02:00,CESC,38.4,38.8,37.7,37.92,43084,
2010-02-23 12:02:00,CESC,37.7,38.0,37.1,37.46,29559,
2010-02-24 12:02:00,CESC,37.03,37.58,37.03,37.43,55471,
2010-02-25 12:02:00,CESC,37.9,37.9,36.76,37.19,62580,
2010-02-26 12:02:00,CESC,37.3,38.81,37.3,38.34,125327,
2010-03-02 12:03:00,CESC,38.89,39.15,38.04,38.66,55789,
2010-03-03 12:03:00,CESC,39.2,39.33,38.61,39.02,55705,
2010-03-04 12:03:00,CESC,38.75,39.3,38.42,38.99,78434,
2010-03-05 12:03:00,CESC,39.0,39.39,38.8,38.9,67954,
2010-03-08 12:03:00,CESC,39.1,40.76,39.1,40.17,314403,
2010-03-09 12:03:00,CESC,40.5,40.55,39.6,39.81,43173,
2010-03-10 12:03:00,CESC,39.5,40.1,39.31,39.68,39085,
2010-03-11 12:03:00,CESC,40.49,40.7,39.72,39.96,147233,
2010-03-12 12:03:00,CESC,40.48,40.68,39.71,40.28,41957,
2010-03-15 12:03:00,CESC,40.4,41.4,39.91,41.18,540156,
2010-03-16 12:03:00,CESC,41.58,41.89,40.81,41.34,248868,
2010-03-17 12:03:00,CESC,41.5,41.69,40.6,40.73,62511,
2010-03-18 12:03:00,CESC,40.98,41.48,40.31,40.49,73574,
2010-03-19 12:03:00,CESC,40.56,40.79,39.4,39.58,110611,
2010-03-22 12:03:00,CESC,39.8,39.99,39.06,39.46,85980,
2010-03-23 12:03:00,CESC,39.6,40.3,38.7,38.79,184847,
2010-03-25 12:03:00,CESC,39.3,39.3,38.41,38.57,222279,
2010-03-26 12:03:00,CESC,38.7,39.33,38.2,38.38,420401,
2010-03-29 12:03:00,CESC,38.5,38.87,37.91,38.1,385504,
2010-03-30 12:03:00,CESC,38.37,38.6,37.65,37.81,89732,
2010-03-31 12:03:00,CESC,37.94,38.85,37.87,38.27,334031,
2010-04-01 12:04:00,CESC,38.5,38.87,38.42,38.76,216280,
2010-04-05 12:04:00,CESC,38.99,40.16,38.9,39.79,384290,
2010-04-06 12:04:00,CESC,40.1,40.27,39.31,39.47,92197,
2010-04-07 12:04:00,CESC,39.4,39.68,38.53,38.94,279249,
2010-04-08 12:04:00,CESC,39.0,40.24,38.6,39.26,372631,
2010-04-09 12:04:00,CESC,39.5,40.9,39.45,40.75,589626,
2010-04-12 12:04:00,CESC,40.94,41.41,40.2,41.23,548922,
2010-04-13 12:04:00,CESC,41.5,41.5,40.73,40.9,265475,
2010-04-16 12:04:00,CESC,39.64,39.89,39.13,39.31,99672,
2010-04-19 12:04:00,CESC,37.94,39.05,37.61,38.88,204688,
2010-04-20 12:04:00,CESC,38.9,39.7,38.9,39.47,49292,
2010-04-21 12:04:00,CESC,39.5,40.0,39.0,39.76,117933,
2010-04-22 12:04:00,CESC,39.7,40.37,38.58,39.11,231781,
2010-04-23 12:04:00,CESC,39.0,39.85,38.84,39.49,71908,
2010-04-26 12:04:00,CESC,40.28,41.47,39.85,41.19,386787,
2010-04-27 12:04:00,CESC,41.3,41.69,40.91,41.0,176601,
2010-04-28 12:04:00,CESC,40.2,41.02,39.81,40.01,188365,
2010-04-29 12:04:00,CESC,40.45,40.7,39.05,39.2,205209,
2010-04-30 12:04:00,CESC,39.51,40.88,39.51,40.64,202906,
2010-05-03 12:05:00,CESC,40.7,41.01,40.01,40.15,56234,
2010-05-04 12:05:00,CESC,40.51,40.64,39.8,39.99,90262,
2010-05-05 12:05:00,CESC,39.2,39.67,38.86,39.3,177235,
2010-05-06 12:05:00,CESC,39.2,39.95,39.05,39.63,58327,
2010-05-07 12:05:00,CESC,39.0,39.2,38.21,38.32,54824,
2010-05-10 12:05:00,CESC,38.6,39.29,38.5,39.1,116971,
2010-05-11 12:05:00,CESC,39.4,39.44,38.76,39.0,245375,
2010-05-12 12:05:00,CESC,39.0,39.98,38.89,39.57,256796,
2010-05-13 12:05:00,CESC,39.95,40.8,39.91,40.04,381872,
2010-05-14 12:05:00,CESC,40.0,40.44,39.51,39.98,85267,
2010-05-17 12:05:00,CESC,39.13,39.97,38.81,39.25,367793,
2010-05-18 12:05:00,CESC,39.4,39.6,38.8,38.93,195933,
2010-05-19 12:05:00,CESC,38.6,39.2,37.15,37.51,494319,
2010-05-20 12:05:00,CESC,37.6,38.12,37.0,37.47,189587,
2010-05-24 12:05:00,CESC,37.6,39.87,36.51,36.61,96069,
2010-05-25 12:05:00,CESC,37.0,38.24,36.01,36.27,195147,
2010-05-26 12:05:00,CESC,36.21,36.9,35.03,35.93,199837,
2010-05-27 12:05:00,CESC,36.5,36.6,35.7,36.01,274309,
2010-05-28 12:05:00,CESC,36.5,37.2,36.48,36.96,60481,
2010-05-31 12:05:00,CESC,36.6,38.35,36.5,38.13,214623,
2010-06-01 12:06:00,CESC,38.1,38.3,37.22,37.93,247272,
2010-06-02 12:06:00,CESC,37.55,38.2,36.83,36.99,632981,
2010-06-03 12:06:00,CESC,37.13,38.2,37.13,37.49,95291,
2010-06-04 12:06:00,CESC,37.9,38.0,37.41,37.64,85812,
2010-06-07 12:06:00,CESC,37.44,37.8,36.5,37.32,188208,
2010-06-08 12:06:00,CESC,37.3,37.8,37.0,37.13,41686,
2010-06-09 12:06:00,CESC,37.2,38.45,36.91,38.07,160152,
2010-06-10 12:06:00,CESC,35.0,38.69,35.0,37.99,108359,
2010-06-11 12:06:00,CESC,38.0,38.57,37.93,38.2,119634,
2010-06-14 12:06:00,CESC,37.1,38.8,37.1,38.6,37245,
2010-06-15 12:06:00,CESC,38.85,39.55,38.4,39.35,90234,
2010-06-16 12:06:00,CESC,39.54,39.78,38.7,38.84,76972,
2010-06-17 12:06:00,CESC,38.01,39.49,38.01,38.7,128100,
2010-06-18 12:06:00,CESC,39.1,39.1,38.4,38.48,41729,
2010-06-21 12:06:00,CESC,38.8,38.95,38.4,38.63,287784,
2010-06-22 12:06:00,CESC,38.4,38.8,38.2,38.64,143692,
2010-06-23 12:06:00,CESC,38.11,38.65,38.01,38.25,147287,
2010-06-24 12:06:00,CESC,38.0,38.16,37.71,37.82,199901,
2010-06-25 12:06:00,CESC,37.75,38.14,35.22,37.4,150067,
2010-06-28 12:06:00,CESC,37.5,37.85,37.01,37.4,148960,
2010-06-30 12:06:00,CESC,37.21,37.89,37.21,37.59,125948,
2010-07-01 12:07:00,CESC,37.4,37.8,37.37,37.56,53151,
2010-07-02 12:07:00,CESC,37.6,37.97,37.37,37.47,144265,
2010-07-05 12:07:00,CESC,37.11,37.7,37.1,37.47,102555,
2010-07-06 12:07:00,CESC,37.3,38.16,37.2,37.9,352720,
2010-07-07 12:07:00,CESC,37.5,38.45,37.5,38.04,202302,
2010-07-08 12:07:00,CESC,38.32,39.49,38.23,39.25,855998,
2010-07-09 12:07:00,CESC,39.3,40.7,39.3,40.4,614849,
2010-07-12 12:07:00,CESC,40.2,41.9,40.2,41.48,624395,
2010-07-13 12:07:00,CESC,41.6,42.17,40.81,41.98,301451,
2010-07-14 12:07:00,CESC,42.15,42.35,41.01,41.13,57819,
2010-07-15 12:07:00,CESC,40.7,42.06,40.61,41.01,144125,
2010-07-16 12:07:00,CESC,41.01,41.35,40.72,41.13,57763,
2010-07-19 12:07:00,CESC,41.05,42.09,40.6,41.7,93694,
2010-07-20 12:07:00,CESC,41.7,42.09,40.7,40.76,259359,
2010-07-21 12:07:00,CESC,41.0,41.5,40.85,41.01,123355,
2010-07-22 12:07:00,CESC,41.13,41.2,39.71,40.31,229640,
2010-07-23 12:07:00,CESC,40.8,40.8,39.61,39.79,498026,
2010-07-26 12:07:00,CESC,40.3,40.3,38.7,38.79,76273,
2010-07-27 12:07:00,CESC,38.8,39.35,38.61,39.11,230025,
2010-07-29 12:07:00,CESC,38.79,38.99,38.25,38.53,175500,
2010-07-30 12:07:00,CESC,38.6,39.7,38.53,39.44,223799,
2010-08-02 12:08:00,CESC,39.7,40.29,39.57,39.84,232706,
2010-08-03 12:08:00,CESC,40.1,40.3,39.5,39.83,104853,
2010-08-04 12:08:00,CESC,40.03,40.08,39.14,39.6,38786,
2010-08-05 12:08:00,CESC,39.51,40.03,39.51,39.73,95105,
2010-08-06 12:08:00,CESC,39.87,40.38,39.41,40.03,250842,
2010-08-09 12:08:00,CESC,40.1,40.28,39.81,39.93,210894,
2010-08-10 12:08:00,CESC,39.99,40.0,39.1,39.18,133881,
2010-08-11 12:08:00,CESC,38.71,39.4,38.71,38.94,27508,
2010-08-12 12:08:00,CESC,38.61,38.99,38.3,38.65,92667,
2010-08-13 12:08:00,CESC,38.51,39.89,38.43,39.59,135888,
2010-08-16 12:08:00,CESC,39.97,39.97,38.64,38.85,41786,
2010-08-17 12:08:00,CESC,38.7,39.61,38.7,39.38,62191,
2010-08-18 12:08:00,CESC,39.22,40.4,39.22,39.74,191851,
2010-08-19 12:08:00,CESC,40.1,40.28,39.41,39.59,118161,
2010-08-20 12:08:00,CESC,39.88,40.85,39.12,40.42,344299,
2010-08-23 12:08:00,CESC,40.6,40.94,39.91,40.13,314201,
2010-08-24 12:08:00,CESC,40.0,40.29,39.21,39.6,170820,
2010-08-25 12:08:00,CESC,39.75,39.95,38.81,38.98,120528,
2010-08-26 12:08:00,CESC,39.28,39.3,38.36,38.53,222834,
2010-08-30 12:08:00,CESC,38.4,38.45,37.45,37.67,212568,
2010-08-31 12:08:00,CESC,37.45,38.44,36.86,37.76,166577,
2010-09-01 12:09:00,CESC,38.25,38.48,37.82,38.27,122025,
2010-09-02 12:09:00,CESC,38.5,38.92,38.3,38.7,179616,
2010-09-03 12:09:00,CESC,39.0,40.1,39.0,39.52,274805,
2010-09-06 12:09:00,CESC,39.7,40.1,39.57,39.97,142298,
2010-09-07 12:09:00,CESC,40.1,40.3,39.63,39.96,174193,
2010-09-08 12:09:00,CESC,39.83,40.59,39.35,39.8,194630,
2010-09-09 12:09:00,CESC,39.92,40.27,39.52,39.94,98320,
2010-09-13 12:09:00,CESC,40.1,41.2,40.1,40.79,438431,
2010-09-14 12:09:00,CESC,40.89,43.3,40.89,41.96,1610352,
2010-09-15 12:09:00,CESC,42.3,42.89,41.5,41.65,416709,
2010-09-16 12:09:00,CESC,42.0,42.34,41.0,41.13,266207,
2010-09-17 12:09:00,CESC,41.4,41.69,41.14,41.28,172258,
2010-09-20 12:09:00,CESC,41.57,42.2,41.38,41.75,178711,
2010-09-21 12:09:00,CESC,41.8,42.1,40.62,40.86,151196,
2010-09-22 12:09:00,CESC,40.95,41.37,40.15,40.59,148124,
2010-09-23 12:09:00,CESC,40.59,40.64,39.82,39.98,176685,
2010-09-24 12:09:00,CESC,33.5,40.55,33.5,40.11,91032,
2010-09-27 12:09:00,CESC,40.3,40.5,39.21,39.44,374545,
2010-09-28 12:09:00,CESC,39.57,40.17,39.36,39.49,192870,
2010-09-29 12:09:00,CESC,39.62,39.9,38.8,38.9,181552,
2010-09-30 12:09:00,CESC,38.97,39.1,38.4,38.48,290270,
2010-10-01 12:10:00,CESC,38.71,39.83,38.62,39.33,512624,
2010-10-06 12:10:00,CESC,39.7,41.4,39.5,41.06,651564,
2010-10-07 12:10:00,CESC,41.15,41.26,39.61,39.74,281615,
2010-10-08 12:10:00,CESC,41.1,41.1,39.23,39.64,153808,
2010-10-11 12:10:00,CESC,39.75,40.08,39.55,39.7,68535,
2010-10-12 12:10:00,CESC,39.59,39.65,39.1,39.31,64323,
2010-10-13 12:10:00,CESC,39.4,39.8,39.21,39.32,334608,
2010-10-14 12:10:00,CESC,39.49,39.73,38.81,39.0,403729,
2010-10-15 12:10:00,CESC,39.11,39.4,38.23,38.38,440459,
2010-10-18 12:10:00,CESC,38.5,38.59,37.63,38.48,206866,
2010-10-19 12:10:00,CESC,38.6,39.07,37.71,37.88,261410,
2010-10-20 12:10:00,CESC,37.8,38.09,37.45,37.62,170747,
2010-10-21 12:10:00,CESC,37.51,38.39,37.51,38.28,118607,
2010-10-22 12:10:00,CESC,38.08,38.59,37.71,38.02,170830,
2010-10-25 12:10:00,CESC,38.5,38.5,38.1,38.23,51017,
2010-10-26 12:10:00,CESC,38.5,38.5,38.1,38.32,294346,
2010-10-27 12:10:00,CESC,38.35,38.44,38.0,38.05,134025,
2010-10-28 12:10:00,CESC,38.1,38.1,36.72,37.06,389144,
2010-10-29 12:10:00,CESC,37.55,37.77,36.51,37.13,147077,
2010-11-01 12:11:00,CESC,37.8,37.8,37.4,37.52,32770,
2010-11-02 12:11:00,CESC,37.7,37.7,37.11,37.37,49731,
2010-11-03 12:11:00,CESC,37.5,39.33,37.25,37.95,672730,
2010-11-04 12:11:00,CESC,38.57,38.88,38.23,38.69,227575,
2010-11-05 12:11:00,CESC,39.0,39.0,38.62,38.79,33143,
2010-11-08 12:11:00,CESC,39.15,39.37,38.7,39.2,183391,
2010-11-09 12:11:00,CESC,39.4,39.55,38.51,38.75,103805,
2010-11-10 12:11:00,CESC,38.8,39.5,38.73,39.21,127098,
2010-11-11 12:11:00,CESC,39.5,40.09,38.68,38.91,282297,
2010-11-12 12:11:00,CESC,38.9,39.15,38.2,38.38,133811,
2010-11-15 12:11:00,CESC,38.05,38.7,37.51,38.26,85537,
2010-11-16 12:11:00,CESC,38.65,38.65,37.03,37.16,87519,
2010-11-18 12:11:00,CESC,37.3,37.59,36.41,37.13,194539,
2010-11-19 12:11:00,CESC,37.19,37.69,36.7,36.87,119685,
2010-11-22 12:11:00,CESC,37.2,37.2,36.05,36.9,345866,
2010-11-23 12:11:00,CESC,36.91,37.0,36.05,36.67,105970,
2010-11-24 12:11:00,CESC,36.7,37.1,36.42,36.65,85891,
2010-11-25 12:11:00,CESC,36.6,36.75,35.3,35.69,619887,
2010-11-26 12:11:00,CESC,35.7,35.9,33.3,35.0,165408,
2010-11-29 12:11:00,CESC,34.92,35.59,34.5,35.4,105833,
2010-11-30 12:11:00,CESC,35.3,36.1,34.82,35.96,113810,
2010-12-01 12:12:00,CESC,36.0,37.1,35.63,36.84,66222,
2010-12-02 12:12:00,CESC,37.48,37.48,36.76,37.08,70563,
2010-12-03 12:12:00,CESC,37.0,37.1,35.95,36.03,41562,
2010-12-06 12:12:00,CESC,37.0,43.0,36.6,37.1,133850,
2010-12-07 12:12:00,CESC,37.1,37.4,36.81,37.0,109767,
2010-12-08 12:12:00,CESC,37.1,37.86,36.73,37.3,222512,
2010-12-09 12:12:00,CESC,37.59,37.59,35.5,36.01,155187,
2010-12-10 12:12:00,CESC,36.2,36.88,35.02,36.03,206637,
2010-12-13 12:12:00,CESC,36.3,36.5,35.85,36.25,71844,
2010-12-14 12:12:00,CESC,36.26,37.4,36.13,37.18,180564,
2010-12-15 12:12:00,CESC,37.2,37.6,36.61,37.19,124068,
2010-12-16 12:12:00,CESC,37.27,37.33,36.62,37.12,226673,
2010-12-20 12:12:00,CESC,37.15,37.49,36.5,36.67,217873,
2010-12-21 12:12:00,CESC,36.65,37.3,36.65,37.11,70330,
2010-12-22 12:12:00,CESC,37.1,37.3,37.0,37.01,27049,
2010-12-23 12:12:00,CESC,37.0,37.28,36.9,37.0,37935,
2010-12-24 12:12:00,CESC,36.6,37.4,36.6,37.21,55558,
2010-12-27 12:12:00,CESC,37.5,37.7,36.72,36.89,134483,
2010-12-28 12:12:00,CESC,36.87,37.0,36.62,36.66,34056,
2010-12-29 12:12:00,CESC,36.73,37.08,36.25,36.5,140027,
2010-12-30 12:12:00,CESC,36.79,36.88,35.93,36.15,180469,
2010-12-31 12:12:00,CESC,36.49,36.9,36.26,36.51,77564,
2011-01-03 12:01:00,CESC,36.58,37.1,36.58,36.85,53382,
2011-01-04 12:01:00,CESC,36.92,37.9,36.72,37.72,184394,
2011-01-05 12:01:00,CESC,37.64,38.15,37.36,37.85,229470,
2011-01-06 12:01:00,CESC,37.8,38.07,37.2,37.67,107817,
