datetime,stock_code,open,high,low,close,volume,open_interest
2022-04-08 12:04:00,CHOINT,75.25,78.21,74.25,75.31,349517,
2022-04-11 12:04:00,CHOINT,76.96,79.75,75.25,76.46,170231,
2022-04-12 12:04:00,CHOINT,76.73,77.24,75.25,76.15,87302,
2022-04-13 12:04:00,CHOINT,77.49,79.46,76.28,76.89,99169,
2022-04-18 12:04:00,CHOINT,76.71,77.45,76.13,76.94,76385,
2022-04-19 12:04:00,CHOINT,77.5,77.5,75.5,75.74,121602,
2022-04-20 12:04:00,CHOINT,76.0,76.34,75.38,75.83,78221,
2022-04-21 12:04:00,CHOINT,77.25,77.25,75.43,75.83,67636,
2022-04-22 12:04:00,CHOINT,75.75,76.75,75.13,75.34,72092,
2022-04-25 12:04:00,CHOINT,75.35,76.25,74.3,75.09,87570,
2022-04-26 12:04:00,CHOINT,75.39,76.29,75.01,75.65,95157,
2022-04-27 12:04:00,CHOINT,75.73,77.45,75.19,76.26,87058,
2022-04-28 12:04:00,CHOINT,76.9,79.89,76.25,77.95,83378,
2022-04-29 12:04:00,CHOINT,77.95,79.7,77.5,78.54,56067,
2022-05-02 12:05:00,CHOINT,80.26,80.28,78.25,78.73,50831,
2022-05-04 12:05:00,CHOINT,80.45,80.45,78.66,79.04,46141,
2022-05-05 12:05:00,CHOINT,79.68,82.89,79.23,81.1,77314,
2022-05-06 12:05:00,CHOINT,80.0,81.25,75.49,80.26,57186,
2022-05-09 12:05:00,CHOINT,80.94,80.94,79.03,79.83,32735,
2022-05-10 12:05:00,CHOINT,79.75,81.75,78.79,80.49,48054,
2022-05-11 12:05:00,CHOINT,80.53,80.88,76.71,77.54,62322,
2022-05-12 12:05:00,CHOINT,77.25,78.51,76.2,76.48,53386,
2022-05-13 12:05:00,CHOINT,77.5,78.75,77.25,78.11,38634,
2022-05-16 12:05:00,CHOINT,78.11,79.5,78.0,78.56,44949,
2022-05-17 12:05:00,CHOINT,78.74,79.5,78.0,79.08,35291,
2022-05-18 12:05:00,CHOINT,80.0,80.63,78.75,79.95,49911,
2022-05-19 12:05:00,CHOINT,79.39,79.6,78.0,79.0,39041,
2022-05-20 12:05:00,CHOINT,79.5,81.85,79.0,81.3,48102,
2022-05-23 12:05:00,CHOINT,82.21,96.25,81.65,85.09,74471,
2022-05-24 12:05:00,CHOINT,85.0,85.15,81.28,83.79,53291,
