datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,CHOINV,13.69,13.7,13.2,13.56,19103,
2010-01-05 12:01:00,CHOINV,13.7,13.86,13.55,13.64,22478,
2010-01-06 12:01:00,CHOINV,13.76,13.89,13.63,13.64,6274,
2010-01-07 12:01:00,CHOINV,13.65,13.68,13.53,13.61,10872,
2010-01-08 12:01:00,CHOINV,13.6,14.76,13.57,14.49,86174,
2010-01-11 12:01:00,CHOINV,14.38,15.94,14.32,15.22,151272,
2010-01-12 12:01:00,CHOINV,15.39,15.56,14.0,14.13,62724,
2010-01-13 12:01:00,CHOINV,14.2,14.6,14.12,14.48,33016,
2010-01-14 12:01:00,CHOINV,14.6,15.76,14.58,15.16,90313,
2010-01-15 12:01:00,CHOINV,15.38,15.69,14.41,14.65,39113,
2010-01-18 12:01:00,CHOINV,14.8,15.0,14.44,14.92,20004,
2010-01-19 12:01:00,CHOINV,14.71,14.98,14.2,14.3,27651,
2010-01-20 12:01:00,CHOINV,14.43,14.77,14.24,14.31,17708,
2010-01-21 12:01:00,CHOINV,14.11,14.39,13.44,13.62,23107,
2010-01-22 12:01:00,CHOINV,13.6,14.09,12.97,13.81,22672,
2010-01-25 12:01:00,CHOINV,13.6,13.68,13.31,13.39,7696,
2010-01-27 12:01:00,CHOINV,13.2,13.58,12.19,12.27,24846,
2010-01-28 12:01:00,CHOINV,12.79,13.2,12.25,12.39,36586,
2010-01-29 12:01:00,CHOINV,12.56,12.69,11.4,12.47,49042,
2010-02-01 12:02:00,CHOINV,12.02,12.83,12.02,12.63,12672,
2010-02-02 12:02:00,CHOINV,12.85,13.0,12.42,12.48,12651,
2010-02-04 12:02:00,CHOINV,13.0,13.0,12.51,12.59,10559,
2010-02-05 12:02:00,CHOINV,12.4,12.59,12.02,12.51,12410,
2010-02-06 12:02:00,CHOINV,12.41,12.48,12.21,12.34,3593,
2010-02-08 12:02:00,CHOINV,12.5,12.58,12.26,12.54,4539,
2010-02-09 12:02:00,CHOINV,12.32,12.61,12.03,12.21,31169,
2010-02-10 12:02:00,CHOINV,12.39,12.58,12.11,12.14,7844,
2010-02-11 12:02:00,CHOINV,12.38,12.38,12.12,12.28,4681,
2010-02-15 12:02:00,CHOINV,12.39,13.09,12.12,12.93,21029,
2010-02-16 12:02:00,CHOINV,13.09,14.23,13.09,14.16,144396,
2010-02-17 12:02:00,CHOINV,14.4,14.7,13.22,13.44,78296,
2010-02-18 12:02:00,CHOINV,13.31,13.54,13.02,13.16,12134,
2010-02-19 12:02:00,CHOINV,13.01,13.5,12.95,13.15,30620,
2010-02-22 12:02:00,CHOINV,13.37,13.39,12.64,12.73,60149,
2010-02-23 12:02:00,CHOINV,12.8,13.79,12.52,13.66,124345,
2010-02-24 12:02:00,CHOINV,13.31,13.77,13.2,13.52,14819,
2010-02-25 12:02:00,CHOINV,13.6,13.99,13.45,13.6,21054,
2010-02-26 12:02:00,CHOINV,13.41,14.73,13.24,14.19,84165,
2010-03-02 12:03:00,CHOINV,14.4,15.39,14.4,15.22,69421,
2010-03-03 12:03:00,CHOINV,15.19,15.42,14.64,15.27,41541,
2010-03-04 12:03:00,CHOINV,15.28,16.44,15.12,16.13,194096,
2010-03-05 12:03:00,CHOINV,16.0,17.0,16.0,16.37,157374,
2010-03-08 12:03:00,CHOINV,16.67,19.36,16.6,18.41,405586,
2010-03-09 12:03:00,CHOINV,18.63,18.79,17.58,17.71,81555,
2010-03-10 12:03:00,CHOINV,17.8,18.37,17.12,17.24,43898,
2010-03-11 12:03:00,CHOINV,17.79,17.79,16.98,17.27,47370,
2010-03-12 12:03:00,CHOINV,17.59,17.9,17.04,17.39,70029,
2010-03-15 12:03:00,CHOINV,17.1,17.29,16.3,16.67,39338,
2010-03-16 12:03:00,CHOINV,16.6,19.47,16.4,18.74,525557,
2010-03-17 12:03:00,CHOINV,18.85,19.59,18.0,18.4,388423,
2010-03-18 12:03:00,CHOINV,18.45,18.72,18.2,18.36,145234,
2010-03-19 12:03:00,CHOINV,18.4,18.79,17.97,18.07,80593,
2010-03-22 12:03:00,CHOINV,17.44,18.56,17.32,17.54,54171,
2010-03-23 12:03:00,CHOINV,18.18,18.39,16.85,17.1,57418,
2010-03-25 12:03:00,CHOINV,17.0,19.99,17.0,19.01,1388462,
2010-03-26 12:03:00,CHOINV,19.2,20.46,18.64,19.14,1021403,
2010-03-29 12:03:00,CHOINV,19.2,19.28,17.8,17.98,208623,
2010-03-30 12:03:00,CHOINV,17.41,18.73,17.34,18.11,229340,
2010-03-31 12:03:00,CHOINV,18.4,19.48,18.38,18.74,853742,
2010-04-01 12:04:00,CHOINV,18.89,19.08,18.15,18.24,183868,
2010-04-05 12:04:00,CHOINV,18.78,20.67,18.78,20.14,862376,
2010-04-06 12:04:00,CHOINV,20.14,21.18,19.4,20.8,536344,
2010-04-07 12:04:00,CHOINV,20.97,21.19,20.0,20.11,301002,
2010-04-08 12:04:00,CHOINV,20.11,20.4,19.5,19.57,163044,
2010-04-09 12:04:00,CHOINV,19.6,20.36,19.51,20.29,133241,
2010-04-12 12:04:00,CHOINV,20.49,21.09,20.0,20.38,273079,
2010-04-13 12:04:00,CHOINV,20.27,20.88,20.1,20.28,167667,
2010-04-16 12:04:00,CHOINV,19.45,19.88,19.33,19.69,65209,
2010-04-19 12:04:00,CHOINV,19.44,19.44,19.1,19.22,54996,
2010-04-20 12:04:00,CHOINV,19.35,20.25,19.11,20.08,121740,
2010-04-21 12:04:00,CHOINV,20.3,20.38,19.8,20.2,99997,
2010-04-22 12:04:00,CHOINV,20.58,20.58,19.6,19.82,65099,
2010-04-23 12:04:00,CHOINV,20.34,20.34,19.6,19.66,40380,
2010-04-26 12:04:00,CHOINV,20.1,20.32,19.44,19.56,49773,
2010-04-27 12:04:00,CHOINV,19.9,21.37,19.52,19.68,340677,
2010-04-28 12:04:00,CHOINV,19.2,20.6,19.2,20.35,318909,
2010-04-29 12:04:00,CHOINV,20.65,24.36,20.6,23.92,2362117,
2010-04-30 12:04:00,CHOINV,24.12,26.72,24.0,25.13,4377551,
2010-05-03 12:05:00,CHOINV,25.39,25.49,24.18,24.73,879771,
2010-05-04 12:05:00,CHOINV,25.01,25.38,23.52,23.85,377073,
2010-05-05 12:05:00,CHOINV,23.0,24.6,22.49,24.13,434241,
2010-05-06 12:05:00,CHOINV,24.02,25.05,23.7,24.79,358737,
2010-05-07 12:05:00,CHOINV,23.64,24.75,22.44,22.7,273430,
2010-05-10 12:05:00,CHOINV,23.39,23.9,22.82,23.11,185058,
2010-05-11 12:05:00,CHOINV,23.59,26.65,22.93,26.31,2725720,
2010-05-12 12:05:00,CHOINV,26.46,26.91,25.46,25.87,1080850,
2010-05-13 12:05:00,CHOINV,26.4,27.46,25.93,27.19,1177565,
2010-05-14 12:05:00,CHOINV,27.38,27.38,25.7,26.05,408457,
2010-05-17 12:05:00,CHOINV,25.22,25.6,24.62,25.27,306792,
2010-05-18 12:05:00,CHOINV,25.4,27.16,24.8,26.72,601133,
2010-05-19 12:05:00,CHOINV,26.52,27.68,25.2,25.41,676577,
2010-05-20 12:05:00,CHOINV,25.79,26.36,25.0,25.41,170993,
2010-05-24 12:05:00,CHOINV,26.3,27.99,26.03,27.41,623965,
2010-05-25 12:05:00,CHOINV,27.6,27.88,25.26,25.64,406764,
2010-05-26 12:05:00,CHOINV,26.1,27.2,25.83,26.46,301666,
2010-05-27 12:05:00,CHOINV,26.44,26.94,26.2,26.55,146106,
2010-05-28 12:05:00,CHOINV,26.9,26.9,25.92,26.19,129398,
2010-05-31 12:05:00,CHOINV,26.36,26.6,25.1,25.77,164361,
