datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,CONCOR,280.09,285.65,273.4,273.97,26853,
2010-01-05 12:01:00,CONCOR,277.33,277.33,269.44,270.74,10798,
2010-01-06 12:01:00,CONCOR,271.15,281.39,269.44,280.15,23392,
2010-01-07 12:01:00,CONCOR,280.77,282.67,271.22,272.19,30635,
2010-01-08 12:01:00,CONCOR,273.17,277.33,273.07,276.07,344803,
2010-01-11 12:01:00,CONCOR,277.33,279.47,273.92,276.38,12602,
2010-01-12 12:01:00,CONCOR,276.27,278.18,272.0,275.01,9726,
2010-01-13 12:01:00,CONCOR,274.77,279.46,273.07,277.19,7092,
2010-01-14 12:01:00,CONCOR,278.4,280.32,274.19,277.07,33341,
2010-01-15 12:01:00,CONCOR,277.33,317.4,275.41,282.17,530602,
2010-01-18 12:01:00,CONCOR,281.81,286.93,277.57,279.96,188110,
2010-01-19 12:01:00,CONCOR,279.94,294.19,277.38,278.46,134353,
2010-01-20 12:01:00,CONCOR,283.52,283.73,274.13,275.61,33171,
2010-01-21 12:01:00,CONCOR,275.47,284.35,269.87,273.99,66727,
2010-01-22 12:01:00,CONCOR,269.01,272.43,265.6,268.82,29098,
2010-01-25 12:01:00,CONCOR,267.73,269.44,261.76,262.91,132034,
2010-01-27 12:01:00,CONCOR,261.76,268.79,250.67,259.79,101176,
2010-01-28 12:01:00,CONCOR,258.06,261.38,254.12,258.06,47297,
2010-01-29 12:01:00,CONCOR,257.07,265.39,249.81,260.64,44247,
2010-02-01 12:02:00,CONCOR,259.2,265.58,256.65,262.34,9451,
2010-02-02 12:02:00,CONCOR,263.47,265.99,252.18,253.55,15196,
2010-02-04 12:02:00,CONCOR,258.76,260.66,257.3,258.31,13917,
2010-02-05 12:02:00,CONCOR,253.87,263.45,251.73,260.22,85775,
2010-02-06 12:02:00,CONCOR,258.59,264.53,258.59,260.47,647,
2010-02-08 12:02:00,CONCOR,262.4,269.44,260.27,265.91,89909,
2010-02-09 12:02:00,CONCOR,268.59,268.59,262.65,264.84,12016,
2010-02-10 12:02:00,CONCOR,266.67,268.78,262.51,265.3,17312,
2010-02-11 12:02:00,CONCOR,266.24,276.46,263.56,269.01,84335,
2010-02-15 12:02:00,CONCOR,271.57,273.92,263.47,266.58,269122,
2010-02-16 12:02:00,CONCOR,268.8,271.04,263.47,264.45,35930,
2010-02-17 12:02:00,CONCOR,268.1,268.59,262.85,263.99,22221,
2010-02-18 12:02:00,CONCOR,265.3,266.35,258.61,259.69,50633,
2010-02-19 12:02:00,CONCOR,258.6,263.45,257.71,259.65,16626,
2010-02-22 12:02:00,CONCOR,262.38,265.6,254.1,258.3,35395,
2010-02-23 12:02:00,CONCOR,255.57,261.33,251.09,252.54,150033,
2010-02-24 12:02:00,CONCOR,256.0,260.09,251.88,255.85,85881,
2010-02-25 12:02:00,CONCOR,253.02,256.85,248.32,251.23,67400,
2010-02-26 12:02:00,CONCOR,249.6,259.2,249.6,257.26,24611,
2010-03-02 12:03:00,CONCOR,253.87,260.12,252.8,253.8,11481,
2010-03-03 12:03:00,CONCOR,254.93,262.21,254.08,255.86,51431,
2010-03-04 12:03:00,CONCOR,254.93,259.2,254.08,255.14,10754,
2010-03-05 12:03:00,CONCOR,256.0,263.99,255.36,256.55,139949,
2010-03-08 12:03:00,CONCOR,259.84,261.49,257.07,259.52,99940,
2010-03-09 12:03:00,CONCOR,260.27,262.12,258.13,259.1,52161,
2010-03-10 12:03:00,CONCOR,259.33,263.45,258.39,262.47,23139,
2010-03-11 12:03:00,CONCOR,263.47,266.24,258.13,261.25,68477,
2010-03-12 12:03:00,CONCOR,259.63,263.34,259.63,261.98,140001,
2010-03-15 12:03:00,CONCOR,261.76,264.3,259.0,262.65,92820,
2010-03-16 12:03:00,CONCOR,262.4,264.5,259.3,262.45,18870,
2010-03-17 12:03:00,CONCOR,262.4,275.09,262.4,270.1,107935,
2010-03-18 12:03:00,CONCOR,270.93,275.17,268.29,270.77,21008,
2010-03-19 12:03:00,CONCOR,269.87,280.53,269.87,272.13,31377,
2010-03-22 12:03:00,CONCOR,273.49,281.37,269.87,270.12,43988,
2010-03-23 12:03:00,CONCOR,272.0,274.13,269.87,271.77,38692,
2010-03-25 12:03:00,CONCOR,273.0,273.07,267.78,270.17,54303,
2010-03-26 12:03:00,CONCOR,269.89,277.07,269.87,273.51,46108,
2010-03-29 12:03:00,CONCOR,270.95,284.57,270.95,282.14,36240,
2010-03-30 12:03:00,CONCOR,282.24,286.93,279.47,281.34,22473,
2010-03-31 12:03:00,CONCOR,282.67,286.92,274.13,281.18,86418,
2010-04-01 12:04:00,CONCOR,283.05,288.0,278.84,287.52,19483,
2010-04-05 12:04:00,CONCOR,288.0,297.16,284.39,295.9,22896,
2010-04-06 12:04:00,CONCOR,289.11,300.8,288.61,297.31,19996,
2010-04-07 12:04:00,CONCOR,298.05,304.85,295.04,301.61,23051,
2010-04-08 12:04:00,CONCOR,296.96,303.78,291.67,299.85,40099,
2010-04-09 12:04:00,CONCOR,302.24,304.62,298.67,300.62,11507,
2010-04-12 12:04:00,CONCOR,296.53,298.67,294.4,295.15,7784,
2010-04-13 12:04:00,CONCOR,297.15,302.93,295.85,298.71,41623,
2010-04-16 12:04:00,CONCOR,300.59,300.59,293.53,296.1,3894,
2010-04-19 12:04:00,CONCOR,293.97,298.39,284.38,287.35,11200,
2010-04-20 12:04:00,CONCOR,287.15,301.85,283.73,299.08,24755,
2010-04-21 12:04:00,CONCOR,298.66,313.6,298.66,309.96,53959,
2010-04-22 12:04:00,CONCOR,311.47,320.0,303.8,306.68,52899,
2010-04-23 12:04:00,CONCOR,308.27,312.75,306.78,308.21,24337,
2010-04-26 12:04:00,CONCOR,309.33,311.4,306.7,306.87,5847,
2010-04-27 12:04:00,CONCOR,306.38,311.25,292.54,297.45,267695,
2010-04-28 12:04:00,CONCOR,283.01,290.13,263.54,279.38,179198,
2010-04-29 12:04:00,CONCOR,279.47,283.63,275.2,277.31,161561,
2010-04-30 12:04:00,CONCOR,281.39,281.39,273.11,276.54,20467,
2010-05-03 12:05:00,CONCOR,274.99,285.44,272.23,282.19,17356,
2010-05-04 12:05:00,CONCOR,280.61,289.05,275.54,280.42,123245,
2010-05-05 12:05:00,CONCOR,275.2,282.67,275.2,282.2,356569,
2010-05-06 12:05:00,CONCOR,281.6,282.03,276.76,277.57,5430,
2010-05-07 12:05:00,CONCOR,281.6,281.6,273.72,276.48,31862,
2010-05-10 12:05:00,CONCOR,276.69,287.53,276.27,279.58,29803,
2010-05-11 12:05:00,CONCOR,277.33,280.53,277.01,277.43,51053,
2010-05-12 12:05:00,CONCOR,283.52,287.79,276.5,277.72,8253,
2010-05-13 12:05:00,CONCOR,283.73,290.05,278.4,285.85,16355,
2010-05-14 12:05:00,CONCOR,287.51,287.51,277.33,277.53,30445,
2010-05-17 12:05:00,CONCOR,282.67,282.67,274.13,278.18,6193,
2010-05-18 12:05:00,CONCOR,278.18,283.71,275.2,282.35,5161,
2010-05-19 12:05:00,CONCOR,273.6,283.67,273.6,282.15,59760,
2010-05-20 12:05:00,CONCOR,282.24,286.92,275.24,279.37,12371,
2010-05-24 12:05:00,CONCOR,275.65,280.53,270.99,272.86,14564,
2010-05-25 12:05:00,CONCOR,274.99,275.19,266.67,269.55,25932,
2010-05-26 12:05:00,CONCOR,262.53,264.96,256.43,259.24,31859,
2010-05-27 12:05:00,CONCOR,259.51,262.29,256.59,258.06,18106,
2010-05-28 12:05:00,CONCOR,263.45,263.47,258.35,261.93,2055,
2010-05-31 12:05:00,CONCOR,256.55,277.33,256.55,274.66,20255,
2010-06-01 12:06:00,CONCOR,273.07,285.85,273.07,282.65,20670,
2010-06-02 12:06:00,CONCOR,283.73,289.0,279.47,283.11,26686,
2010-06-03 12:06:00,CONCOR,283.73,287.49,277.97,281.5,36295,
2010-06-04 12:06:00,CONCOR,282.62,282.62,275.42,277.24,8170,
2010-06-07 12:06:00,CONCOR,276.9,276.9,256.78,261.93,70872,
2010-06-08 12:06:00,CONCOR,263.47,265.6,257.1,260.05,51162,
2010-06-09 12:06:00,CONCOR,264.49,265.39,259.2,262.05,26336,
2010-06-10 12:06:00,CONCOR,261.76,263.88,258.14,261.48,254196,
2010-06-11 12:06:00,CONCOR,265.8,266.28,261.33,264.5,6139,
2010-06-14 12:06:00,CONCOR,265.17,266.6,259.33,261.94,6764,
2010-06-15 12:06:00,CONCOR,257.71,272.64,257.71,267.33,23978,
2010-06-16 12:06:00,CONCOR,272.0,281.39,264.76,278.24,14169,
2010-06-17 12:06:00,CONCOR,280.51,280.96,270.08,270.59,11205,
2010-06-18 12:06:00,CONCOR,273.82,275.18,266.67,272.18,7366,
2010-06-21 12:06:00,CONCOR,273.06,279.45,273.06,276.61,13311,
2010-06-22 12:06:00,CONCOR,276.61,289.92,273.71,281.63,74567,
2010-06-23 12:06:00,CONCOR,278.43,287.79,277.39,280.03,23710,
2010-06-24 12:06:00,CONCOR,287.72,287.72,275.52,278.36,55600,
2010-06-25 12:06:00,CONCOR,281.58,281.58,273.55,276.97,8081,
2010-06-28 12:06:00,CONCOR,282.6,283.26,276.27,281.8,37083,
