datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,CROGRE,245.69,250.57,242.97,248.46,586430,
2010-01-05 12:01:00,CROGRE,250.34,250.34,244.91,248.66,429776,
2010-01-06 12:01:00,CROGRE,249.71,253.83,246.86,250.14,408448,
2010-01-07 12:01:00,CROGRE,251.43,251.43,240.29,241.71,754839,
2010-01-08 12:01:00,CROGRE,242.57,245.14,237.17,238.06,769916,
2010-01-11 12:01:00,CROGRE,240.0,242.26,235.63,236.11,392617,
2010-01-12 12:01:00,CROGRE,239.29,250.29,237.2,246.97,1676515,
2010-01-13 12:01:00,CROGRE,246.43,246.91,237.26,241.4,1071741,
2010-01-14 12:01:00,CROGRE,243.89,250.8,241.37,243.43,949170,
2010-01-15 12:01:00,CROGRE,245.71,245.71,239.23,239.91,358425,
2010-01-18 12:01:00,CROGRE,242.86,242.86,236.57,237.91,322632,
2010-01-19 12:01:00,CROGRE,238.46,241.94,236.57,237.69,335590,
2010-01-20 12:01:00,CROGRE,241.26,243.43,238.86,242.37,302064,
2010-01-21 12:01:00,CROGRE,245.14,245.14,233.14,234.26,423767,
2010-01-22 12:01:00,CROGRE,230.29,242.29,225.8,235.46,933643,
2010-01-25 12:01:00,CROGRE,241.29,260.23,239.0,239.86,870905,
2010-01-27 12:01:00,CROGRE,243.43,243.43,221.71,226.91,581638,
2010-01-28 12:01:00,CROGRE,234.29,245.14,225.86,243.66,1611070,
2010-01-29 12:01:00,CROGRE,243.43,250.0,234.57,247.97,1399289,
2010-02-01 12:02:00,CROGRE,246.69,254.66,241.83,251.8,844726,
2010-02-02 12:02:00,CROGRE,252.57,256.29,244.31,246.51,471934,
2010-02-04 12:02:00,CROGRE,245.14,247.66,237.17,239.4,554869,
2010-02-05 12:02:00,CROGRE,236.4,238.57,229.71,237.37,499471,
2010-02-06 12:02:00,CROGRE,241.71,242.29,237.71,238.94,33818,
2010-02-08 12:02:00,CROGRE,237.71,241.71,233.86,237.57,361552,
2010-02-09 12:02:00,CROGRE,238.11,244.0,234.91,243.11,445901,
2010-02-10 12:02:00,CROGRE,244.57,247.34,238.0,239.09,856517,
2010-02-11 12:02:00,CROGRE,240.29,243.4,236.29,237.34,264688,
2010-02-15 12:02:00,CROGRE,239.91,243.14,237.89,239.86,685026,
2010-02-16 12:02:00,CROGRE,242.29,242.29,236.29,237.03,278957,
2010-02-17 12:02:00,CROGRE,239.31,241.14,234.89,236.86,623483,
2010-02-18 12:02:00,CROGRE,239.74,239.74,231.2,232.17,592568,
2010-02-19 12:02:00,CROGRE,232.0,233.6,227.71,230.49,423179,
2010-02-22 12:02:00,CROGRE,232.14,233.71,225.66,227.06,562266,
2010-02-23 12:02:00,CROGRE,228.86,228.86,225.77,226.46,319344,
2010-02-24 12:02:00,CROGRE,225.14,229.37,225.14,228.26,453461,
2010-02-25 12:02:00,CROGRE,228.57,237.97,228.57,235.2,805288,
2010-02-26 12:02:00,CROGRE,235.43,239.43,232.89,237.94,286345,
2010-03-02 12:03:00,CROGRE,239.14,258.14,239.14,254.89,1724353,
2010-03-03 12:03:00,CROGRE,256.0,256.97,251.43,253.09,828385,
2010-03-04 12:03:00,CROGRE,254.11,262.14,253.09,256.94,1707300,
2010-03-05 12:03:00,CROGRE,258.43,259.69,250.0,252.97,1971507,
2010-03-08 12:03:00,CROGRE,259.9,259.9,240.35,249.85,2275904,
2010-03-09 12:03:00,CROGRE,250.8,253.0,242.25,246.05,800480,
2010-03-10 12:03:00,CROGRE,244.05,247.85,240.0,244.25,2028315,
2010-03-11 12:03:00,CROGRE,246.0,246.0,240.7,242.2,1129930,
2010-03-12 12:03:00,CROGRE,245.4,248.55,242.5,245.7,1535236,
2010-03-15 12:03:00,CROGRE,247.0,247.0,237.65,240.85,968877,
2010-03-16 12:03:00,CROGRE,241.0,246.4,240.5,244.9,1130917,
2010-03-17 12:03:00,CROGRE,247.55,253.95,245.5,250.0,1616222,
2010-03-18 12:03:00,CROGRE,251.2,254.7,247.15,249.9,1096854,
2010-03-19 12:03:00,CROGRE,250.0,252.0,243.0,244.55,1181665,
2010-03-22 12:03:00,CROGRE,242.0,250.6,241.0,249.45,1288371,
2010-03-23 12:03:00,CROGRE,252.0,255.0,249.5,252.05,1013915,
2010-03-25 12:03:00,CROGRE,253.0,253.0,244.6,248.0,1490970,
2010-03-26 12:03:00,CROGRE,249.0,257.0,247.3,255.55,2308107,
2010-03-29 12:03:00,CROGRE,258.0,258.0,249.1,253.95,851500,
2010-03-30 12:03:00,CROGRE,256.95,261.0,255.2,258.3,1384009,
2010-03-31 12:03:00,CROGRE,261.9,263.45,257.0,260.95,887118,
2010-04-01 12:04:00,CROGRE,262.2,274.0,261.8,272.5,1771777,
2010-04-05 12:04:00,CROGRE,274.5,278.9,268.4,270.0,967430,
2010-04-06 12:04:00,CROGRE,271.85,273.95,268.15,269.75,550301,
2010-04-07 12:04:00,CROGRE,272.0,274.9,269.8,271.2,774242,
2010-04-08 12:04:00,CROGRE,271.0,273.45,266.7,268.15,1001915,
2010-04-09 12:04:00,CROGRE,266.4,272.8,266.4,270.5,523595,
