datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,CYILIM,153.5,157.5,153.0,156.55,262125,
2010-01-05 12:01:00,CYILIM,157.5,157.5,153.25,154.2,21177,
2010-01-06 12:01:00,CYILIM,155.0,156.5,151.5,152.15,17738,
2010-01-07 12:01:00,CYILIM,139.2,154.43,139.2,146.13,49474,
2010-01-08 12:01:00,CYILIM,146.75,148.35,141.5,142.33,250114,
2010-01-11 12:01:00,CYILIM,142.33,145.93,140.5,141.88,56065,
2010-01-12 12:01:00,CYILIM,143.73,146.0,140.58,141.93,69605,
2010-01-13 12:01:00,CYILIM,141.25,148.0,140.75,146.58,60306,
2010-01-14 12:01:00,CYILIM,148.0,150.0,145.58,146.65,29256,
2010-01-15 12:01:00,CYILIM,147.5,150.0,146.5,148.43,33855,
2010-01-18 12:01:00,CYILIM,150.0,156.0,150.0,152.9,118997,
2010-01-19 12:01:00,CYILIM,153.5,162.0,153.5,158.53,236035,
2010-01-20 12:01:00,CYILIM,160.0,162.5,159.98,161.2,196201,
2010-01-21 12:01:00,CYILIM,159.5,170.0,159.5,162.63,147077,
2010-01-22 12:01:00,CYILIM,162.63,166.5,157.5,161.6,71733,
2010-01-25 12:01:00,CYILIM,160.03,176.15,159.7,174.3,380245,
2010-01-27 12:01:00,CYILIM,177.4,181.15,167.65,178.03,776626,
2010-01-28 12:01:00,CYILIM,178.5,186.0,168.53,182.8,311329,
2010-01-29 12:01:00,CYILIM,179.5,179.5,170.75,174.1,86438,
2010-02-01 12:02:00,CYILIM,170.0,172.98,165.5,167.05,35862,
2010-02-02 12:02:00,CYILIM,168.5,170.0,157.03,159.08,60501,
2010-02-04 12:02:00,CYILIM,162.0,166.45,157.6,163.88,33748,
2010-02-05 12:02:00,CYILIM,155.08,169.95,150.65,165.38,45194,
2010-02-06 12:02:00,CYILIM,169.45,169.45,161.5,164.18,2220,
2010-02-08 12:02:00,CYILIM,165.0,167.08,158.5,161.65,32084,
2010-02-09 12:02:00,CYILIM,161.0,170.0,159.25,165.0,98933,
2010-02-10 12:02:00,CYILIM,167.68,170.0,160.15,162.0,10255,
2010-02-11 12:02:00,CYILIM,161.5,171.65,161.5,167.3,31570,
2010-02-15 12:02:00,CYILIM,166.0,170.0,164.33,166.5,11419,
2010-02-16 12:02:00,CYILIM,165.0,171.5,165.0,168.03,32685,
2010-02-17 12:02:00,CYILIM,168.5,170.0,166.5,166.75,8089,
2010-02-18 12:02:00,CYILIM,167.38,174.0,165.0,165.7,23043,
2010-02-19 12:02:00,CYILIM,165.0,167.45,160.58,165.28,12302,
2010-02-22 12:02:00,CYILIM,163.05,182.2,163.05,175.25,260856,
2010-02-23 12:02:00,CYILIM,171.0,179.5,165.9,167.5,116090,
2010-02-24 12:02:00,CYILIM,166.6,178.4,164.05,173.48,85736,
2010-02-25 12:02:00,CYILIM,176.4,176.4,168.63,170.5,67663,
2010-02-26 12:02:00,CYILIM,170.05,177.5,167.8,173.08,23390,
2010-03-02 12:03:00,CYILIM,174.9,174.9,170.8,172.75,6426,
2010-03-03 12:03:00,CYILIM,173.18,179.95,169.18,176.9,39404,
2010-03-04 12:03:00,CYILIM,173.05,181.0,171.0,179.9,154145,
2010-03-05 12:03:00,CYILIM,180.5,182.0,175.5,176.35,14506,
2010-03-08 12:03:00,CYILIM,175.75,184.45,175.75,179.48,20856,
2010-03-09 12:03:00,CYILIM,175.5,179.98,172.8,173.5,32540,
2010-03-10 12:03:00,CYILIM,173.75,176.0,171.5,172.1,9089,
2010-03-11 12:03:00,CYILIM,173.95,176.0,171.63,174.25,11298,
2010-03-12 12:03:00,CYILIM,176.55,180.75,173.6,180.15,34013,
2010-03-15 12:03:00,CYILIM,179.45,182.5,175.08,175.7,33079,
2010-03-16 12:03:00,CYILIM,175.7,180.0,173.58,177.98,13082,
2010-03-17 12:03:00,CYILIM,180.85,183.0,175.5,177.53,41869,
2010-03-18 12:03:00,CYILIM,178.08,181.25,176.58,180.4,20369,
2010-03-19 12:03:00,CYILIM,179.58,182.4,177.78,181.18,10973,
2010-03-22 12:03:00,CYILIM,180.45,185.95,176.2,177.45,41223,
2010-03-23 12:03:00,CYILIM,180.5,186.75,178.5,181.6,32371,
2010-03-25 12:03:00,CYILIM,181.6,183.95,180.75,181.98,5073,
2010-03-26 12:03:00,CYILIM,185.0,190.0,182.5,189.33,124646,
2010-03-29 12:03:00,CYILIM,192.5,200.0,182.63,183.5,51657,
2010-03-30 12:03:00,CYILIM,184.5,192.48,179.0,180.18,109489,
2010-03-31 12:03:00,CYILIM,180.55,185.0,177.8,184.43,56790,
2010-04-01 12:04:00,CYILIM,184.35,187.5,183.15,187.03,38867,
2010-04-05 12:04:00,CYILIM,189.0,191.0,185.53,188.98,93935,
2010-04-06 12:04:00,CYILIM,192.0,192.0,184.05,186.13,16095,
2010-04-07 12:04:00,CYILIM,188.85,188.85,178.03,179.73,536893,
2010-04-08 12:04:00,CYILIM,177.5,183.43,175.5,180.35,189370,
2010-04-09 12:04:00,CYILIM,184.4,184.4,178.28,179.6,83187,
2010-04-12 12:04:00,CYILIM,180.08,182.93,175.63,176.63,36409,
2010-04-13 12:04:00,CYILIM,177.53,182.15,175.85,178.05,23583,
2010-04-16 12:04:00,CYILIM,179.5,184.25,178.75,182.3,61880,
2010-04-19 12:04:00,CYILIM,183.25,184.25,179.5,181.53,17508,
2010-04-20 12:04:00,CYILIM,183.9,188.4,182.0,185.45,34777,
2010-04-21 12:04:00,CYILIM,185.6,204.9,183.3,197.48,327686,
2010-04-22 12:04:00,CYILIM,202.5,206.4,190.5,192.55,566505,
2010-04-23 12:04:00,CYILIM,193.0,196.88,190.5,192.43,148082,
2010-04-26 12:04:00,CYILIM,194.0,196.25,192.0,193.43,27149,
2010-04-27 12:04:00,CYILIM,193.0,199.0,190.68,193.13,86966,
2010-04-28 12:04:00,CYILIM,191.5,199.0,191.0,191.98,71710,
2010-04-29 12:04:00,CYILIM,193.5,195.85,192.05,192.78,20242,
2010-04-30 12:04:00,CYILIM,193.05,199.5,192.0,195.8,41530,
2010-05-03 12:05:00,CYILIM,193.85,195.98,193.03,194.08,9774,
2010-05-04 12:05:00,CYILIM,194.7,196.15,193.5,194.83,18948,
2010-05-05 12:05:00,CYILIM,192.5,196.0,189.0,195.3,64182,
2010-05-06 12:05:00,CYILIM,196.5,198.48,193.28,194.53,16336,
2010-05-07 12:05:00,CYILIM,191.55,194.5,191.55,192.48,16140,
2010-05-10 12:05:00,CYILIM,198.0,198.0,192.5,192.8,14714,
2010-05-11 12:05:00,CYILIM,193.55,195.0,192.5,192.5,5688,
2010-05-12 12:05:00,CYILIM,191.55,195.95,191.55,192.55,18409,
