datetime,stock_code,open,high,low,close,volume,open_interest
2022-09-06 12:09:00,DRESER,508.7,549.0,448.0,462.4,26837695,
2022-09-07 12:09:00,DRESER,459.8,474.9,438.05,451.65,6692726,
2022-09-08 12:09:00,DRESER,457.0,462.85,446.5,453.05,1777443,
2022-09-09 12:09:00,DRESER,458.0,458.0,423.75,430.4,1488527,
2022-09-12 12:09:00,DRESER,429.0,429.05,404.8,407.75,1848396,
2022-09-13 12:09:00,DRESER,410.0,436.9,407.05,424.65,2725630,
2022-09-14 12:09:00,DRESER,414.9,421.7,410.2,411.8,873939,
2022-09-15 12:09:00,DRESER,413.9,423.0,407.85,409.15,681335,
2022-09-16 12:09:00,DRESER,410.0,414.15,388.0,395.55,642712,
2022-09-19 12:09:00,DRESER,396.0,402.95,386.15,389.45,509436,
2022-09-20 12:09:00,DRESER,398.0,417.95,393.35,402.9,974664,
2022-09-21 12:09:00,DRESER,400.3,410.65,390.5,392.25,426519,
2022-09-22 12:09:00,DRESER,390.1,399.45,389.05,391.95,307885,
2022-09-23 12:09:00,DRESER,394.95,394.95,385.6,388.35,297626,
2022-09-26 12:09:00,DRESER,387.9,387.9,365.0,366.9,367723,
2022-09-27 12:09:00,DRESER,370.1,383.45,370.1,375.25,228650,
2022-09-28 12:09:00,DRESER,371.0,374.9,364.55,366.7,151683,
2022-09-29 12:09:00,DRESER,374.85,381.8,368.0,369.4,314609,
2022-09-30 12:09:00,DRESER,370.0,380.85,366.2,372.6,253218,
2022-10-03 12:10:00,DRESER,372.6,378.0,367.0,368.8,409371,
2022-10-04 12:10:00,DRESER,374.0,376.0,364.0,365.3,205203,
2022-10-06 12:10:00,DRESER,367.3,379.1,365.0,375.15,447338,
2022-10-07 12:10:00,DRESER,374.0,378.4,370.3,374.75,184405,
2022-10-10 12:10:00,DRESER,370.55,373.95,366.3,368.5,176765,
2022-10-11 12:10:00,DRESER,370.0,394.5,368.9,391.85,648458,
2022-10-12 12:10:00,DRESER,388.1,394.75,378.0,390.25,295696,
2022-10-13 12:10:00,DRESER,389.95,393.7,381.25,386.8,148129,
