datetime,stock_code,open,high,low,close,volume,open_interest
2021-03-19 12:03:00,EASTRI,6.63,7.31,5.85,6.51,42658002,
2021-03-22 12:03:00,EASTRI,6.44,6.48,6.07,6.18,6635749,
2021-03-23 12:03:00,EASTRI,6.12,6.22,5.67,5.78,6035000,
2021-03-24 12:03:00,EASTRI,5.65,5.75,5.58,5.64,2584232,
2021-03-25 12:03:00,EASTRI,5.64,5.74,5.22,5.61,3022287,
2021-03-26 12:03:00,EASTRI,5.72,6.73,5.64,6.53,6377056,
2021-03-30 12:03:00,EASTRI,6.78,6.97,6.1,6.59,9872412,
2021-03-31 12:03:00,EASTRI,6.45,6.68,6.31,6.47,3134003,
2021-04-01 12:04:00,EASTRI,6.56,6.77,6.45,6.69,2334164,
2021-04-05 12:04:00,EASTRI,6.5,6.62,6.19,6.2,2630500,
2021-04-06 12:04:00,EASTRI,6.3,6.32,5.94,6.03,960303,
2021-04-07 12:04:00,EASTRI,6.01,6.43,6.01,6.3,1903279,
2021-04-08 12:04:00,EASTRI,6.31,6.38,6.21,6.29,1435477,
2021-04-09 12:04:00,EASTRI,6.26,6.38,6.19,6.29,683249,
2021-04-12 12:04:00,EASTRI,6.0,6.21,5.81,5.87,1463547,
2021-04-13 12:04:00,EASTRI,5.97,6.15,5.82,6.0,722007,
2021-04-15 12:04:00,EASTRI,5.97,5.97,5.34,5.42,3059604,
2021-04-16 12:04:00,EASTRI,5.47,5.56,5.38,5.42,1464154,
2021-04-19 12:04:00,EASTRI,5.28,5.45,5.05,5.38,1851422,
2021-04-20 12:04:00,EASTRI,5.38,5.54,5.31,5.35,928923,
2021-04-22 12:04:00,EASTRI,5.44,5.51,5.03,5.39,1266627,
2021-04-23 12:04:00,EASTRI,5.41,5.77,5.37,5.55,2817316,
2021-04-26 12:04:00,EASTRI,5.62,5.92,5.59,5.79,1741872,
2021-04-27 12:04:00,EASTRI,5.76,5.84,5.66,5.7,778443,
2021-04-28 12:04:00,EASTRI,5.76,6.08,5.72,6.0,1619034,
2021-04-29 12:04:00,EASTRI,6.04,6.08,5.84,5.87,613827,
2021-04-30 12:04:00,EASTRI,5.78,6.02,5.75,5.86,785980,
2021-05-03 12:05:00,EASTRI,5.78,5.95,5.72,5.76,635350,
2021-05-04 12:05:00,EASTRI,5.81,5.99,5.7,5.9,724296,
2021-05-05 12:05:00,EASTRI,5.95,6.24,5.91,6.15,1475156,
2021-05-06 12:05:00,EASTRI,6.21,6.38,5.92,5.97,1030393,
2021-05-07 12:05:00,EASTRI,6.06,6.06,5.85,5.86,861777,
2021-05-10 12:05:00,EASTRI,5.93,5.94,5.85,5.88,838726,
2021-05-11 12:05:00,EASTRI,5.84,5.96,5.81,5.92,914035,
2021-05-12 12:05:00,EASTRI,5.94,6.38,5.88,6.1,2092959,
2021-05-14 12:05:00,EASTRI,6.23,6.3,5.9,5.92,1029960,
2021-05-17 12:05:00,EASTRI,5.94,6.09,5.94,5.99,729203,
2021-05-18 12:05:00,EASTRI,6.0,7.18,6.0,7.18,6359148,
2021-05-19 12:05:00,EASTRI,7.41,7.9,7.16,7.27,9676055,
2021-05-20 12:05:00,EASTRI,7.36,7.45,6.97,7.06,1975805,
2021-05-21 12:05:00,EASTRI,7.11,7.71,7.1,7.52,3262417,
2021-05-24 12:05:00,EASTRI,7.62,8.43,7.3,8.27,6463990,
2021-05-25 12:05:00,EASTRI,8.38,9.2,8.38,8.55,7406948,
2021-05-26 12:05:00,EASTRI,8.7,9.31,8.56,9.15,3719398,
2021-05-27 12:05:00,EASTRI,9.09,9.26,8.75,9.11,1967749,
2021-05-28 12:05:00,EASTRI,9.13,9.29,8.6,8.7,1299970,
2021-05-31 12:05:00,EASTRI,8.78,10.45,8.52,10.25,8361190,
2021-06-01 12:06:00,EASTRI,10.38,10.75,9.79,10.39,5420610,
2021-06-02 12:06:00,EASTRI,10.36,11.43,10.26,11.33,4801915,
2021-06-03 12:06:00,EASTRI,11.5,12.43,11.41,11.7,7098414,
2021-06-04 12:06:00,EASTRI,11.68,12.19,11.42,11.66,3238548,
2021-06-07 12:06:00,EASTRI,11.77,11.92,11.47,11.66,1614769,
2021-06-08 12:06:00,EASTRI,11.74,12.0,11.29,11.81,1818467,
2021-06-09 12:06:00,EASTRI,11.94,12.97,11.81,12.25,4739596,
2021-06-10 12:06:00,EASTRI,12.47,13.47,12.47,13.47,4530411,
2021-06-11 12:06:00,EASTRI,14.0,14.2,13.38,13.86,3643363,
2021-06-14 12:06:00,EASTRI,13.75,13.75,12.47,13.12,3553526,
2021-06-15 12:06:00,EASTRI,13.28,14.13,13.01,13.17,5087372,
2021-06-16 12:06:00,EASTRI,13.35,13.8,12.94,13.13,2251563,
2021-06-17 12:06:00,EASTRI,13.0,13.37,11.95,12.18,2285448,
2021-06-18 12:06:00,EASTRI,12.36,12.66,11.11,11.99,2868548,
2021-06-21 12:06:00,EASTRI,11.78,12.54,11.43,12.23,1658717,
2021-06-22 12:06:00,EASTRI,12.65,12.9,12.43,12.51,1530219,
2021-06-23 12:06:00,EASTRI,12.66,12.76,12.19,12.3,870224,
2021-06-24 12:06:00,EASTRI,12.38,12.55,11.99,12.17,1108686,
2021-06-25 12:06:00,EASTRI,12.27,12.34,11.97,12.03,571435,
2021-06-28 12:06:00,EASTRI,12.1,12.53,11.97,12.3,905064,
2021-06-29 12:06:00,EASTRI,12.47,12.84,12.35,12.44,1859786,
2021-06-30 12:06:00,EASTRI,12.58,12.65,12.25,12.31,707372,
2021-07-01 12:07:00,EASTRI,12.35,12.45,12.16,12.2,606626,
2021-07-02 12:07:00,EASTRI,12.28,12.38,12.15,12.21,435054,
2021-07-05 12:07:00,EASTRI,12.22,13.43,12.19,13.43,3570835,
2021-07-06 12:07:00,EASTRI,13.59,14.59,13.36,13.52,6668614,
2021-07-07 12:07:00,EASTRI,13.65,13.96,13.38,13.6,1512060,
2021-07-08 12:07:00,EASTRI,13.71,13.71,13.03,13.27,1107400,
2021-07-09 12:07:00,EASTRI,13.27,13.83,13.13,13.49,1255540,
2021-07-12 12:07:00,EASTRI,13.59,14.41,13.59,14.09,2619768,
2021-07-13 12:07:00,EASTRI,14.25,14.4,13.95,14.05,1185767,
2021-07-14 12:07:00,EASTRI,14.09,14.14,13.66,13.73,595609,
2021-07-15 12:07:00,EASTRI,13.8,14.24,13.63,13.79,1520590,
2021-07-16 12:07:00,EASTRI,13.89,13.96,13.51,13.59,853984,
2021-07-19 12:07:00,EASTRI,13.37,13.62,13.06,13.27,1150092,
2021-07-20 12:07:00,EASTRI,13.33,13.42,12.6,12.85,1040744,
2021-07-22 12:07:00,EASTRI,12.95,13.3,12.95,13.22,610759,
2021-07-23 12:07:00,EASTRI,13.29,13.51,13.13,13.22,1183639,
2021-07-26 12:07:00,EASTRI,13.13,13.23,12.89,12.97,1140055,
2021-07-27 12:07:00,EASTRI,13.03,13.23,12.81,12.92,807423,
2021-07-28 12:07:00,EASTRI,12.98,13.03,12.6,12.94,539816,
2021-07-29 12:07:00,EASTRI,12.99,13.17,12.82,12.91,572348,
2021-07-30 12:07:00,EASTRI,12.94,12.98,12.75,12.78,568874,
2021-08-02 12:08:00,EASTRI,13.13,14.06,13.13,14.04,4498121,
2021-08-03 12:08:00,EASTRI,14.21,14.87,13.76,14.72,5454494,
2021-08-04 12:08:00,EASTRI,14.78,15.24,14.08,14.32,3604527,
2021-08-05 12:08:00,EASTRI,14.36,14.44,13.67,13.81,1529782,
2021-08-06 12:08:00,EASTRI,13.86,15.59,13.86,14.83,5720841,
2021-08-09 12:08:00,EASTRI,15.06,15.85,15.04,15.38,3757803,
2021-08-10 12:08:00,EASTRI,15.43,15.52,13.56,14.24,2359097,
2021-08-11 12:08:00,EASTRI,14.24,14.39,13.33,14.05,2176582,
2021-08-12 12:08:00,EASTRI,14.13,15.28,13.91,15.14,2117075,
2021-08-13 12:08:00,EASTRI,15.19,15.53,14.55,14.75,1596575,
2021-08-16 12:08:00,EASTRI,15.0,15.41,14.52,14.66,1269704,
2021-08-17 12:08:00,EASTRI,14.7,15.15,14.41,14.86,1008617,
2021-08-18 12:08:00,EASTRI,14.94,15.02,14.38,14.49,676182,
2021-08-20 12:08:00,EASTRI,14.08,14.46,13.62,13.78,683241,
2021-08-23 12:08:00,EASTRI,14.05,14.28,12.78,12.94,1119623,
2021-08-24 12:08:00,EASTRI,13.12,13.64,12.91,13.42,754878,
2021-08-25 12:08:00,EASTRI,13.5,13.9,13.28,13.36,744329,
2021-08-26 12:08:00,EASTRI,13.38,13.7,13.38,13.63,593212,
2021-08-27 12:08:00,EASTRI,13.56,13.95,13.44,13.87,726958,
2021-08-30 12:08:00,EASTRI,13.96,14.68,13.82,14.19,1255755,
2021-08-31 12:08:00,EASTRI,14.26,14.6,13.88,14.06,967181,
2021-09-01 12:09:00,EASTRI,14.12,14.2,13.8,13.86,711566,
2021-09-02 12:09:00,EASTRI,13.9,15.22,13.9,15.07,2842152,
2021-09-03 12:09:00,EASTRI,15.22,15.47,14.78,14.87,1928449,
2021-09-06 12:09:00,EASTRI,14.95,15.05,14.63,14.83,1476277,
