datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,ECLSER,137.12,142.47,137.05,141.5,4768,
2010-01-05 12:01:00,ECLSER,142.97,160.0,140.67,148.98,48596,
2010-01-06 12:01:00,ECLSER,151.43,155.3,147.2,149.12,11255,
2010-01-07 12:01:00,ECLSER,148.67,151.0,148.33,149.12,4622,
2010-01-08 12:01:00,ECLSER,149.97,158.0,148.67,157.03,24901,
2010-01-11 12:01:00,ECLSER,157.03,159.93,152.35,153.3,6840,
2010-01-12 12:01:00,ECLSER,159.87,159.87,150.0,150.33,3392,
2010-01-13 12:01:00,ECLSER,156.5,156.5,148.67,150.58,4165,
2010-01-14 12:01:00,ECLSER,152.97,157.33,151.0,153.5,15282,
2010-01-15 12:01:00,ECLSER,152.0,156.67,152.0,155.7,9057,
2010-01-18 12:01:00,ECLSER,156.67,159.33,153.7,158.3,11139,
2010-01-19 12:01:00,ECLSER,160.0,170.0,156.72,163.03,51021,
2010-01-20 12:01:00,ECLSER,166.33,169.67,163.42,165.32,14061,
2010-01-21 12:01:00,ECLSER,159.33,167.77,157.0,159.2,5841,
2010-01-22 12:01:00,ECLSER,155.0,159.95,147.05,156.35,37692,
2010-01-25 12:01:00,ECLSER,156.67,157.63,153.33,154.97,8683,
2010-01-27 12:01:00,ECLSER,156.3,156.3,140.18,144.95,13579,
2010-01-28 12:01:00,ECLSER,152.0,168.33,138.33,146.05,10925,
2010-01-29 12:01:00,ECLSER,146.0,152.67,140.0,150.45,12187,
2010-02-01 12:02:00,ECLSER,151.33,160.67,148.33,159.53,20596,
2010-02-02 12:02:00,ECLSER,160.67,162.67,154.0,156.57,9334,
2010-02-04 12:02:00,ECLSER,153.33,158.0,153.33,156.27,3626,
2010-02-05 12:02:00,ECLSER,155.0,156.0,147.37,151.98,5387,
2010-02-06 12:02:00,ECLSER,153.33,153.33,148.55,151.67,863,
2010-02-08 12:02:00,ECLSER,151.67,153.3,148.33,152.3,2298,
2010-02-09 12:02:00,ECLSER,153.3,153.3,150.0,152.67,1398,
2010-02-10 12:02:00,ECLSER,151.75,152.9,148.03,149.9,1081,
2010-02-11 12:02:00,ECLSER,149.33,153.27,148.03,150.7,1533,
2010-02-15 12:02:00,ECLSER,151.67,152.5,141.67,148.28,1447,
2010-02-16 12:02:00,ECLSER,146.67,149.67,146.67,148.58,3190,
2010-02-17 12:02:00,ECLSER,149.07,151.67,149.0,151.15,1344,
2010-02-18 12:02:00,ECLSER,151.5,151.67,146.67,151.3,1313,
2010-02-19 12:02:00,ECLSER,150.0,150.0,147.03,147.67,1220,
2010-02-22 12:02:00,ECLSER,152.67,152.67,146.67,147.55,3232,
2010-02-23 12:02:00,ECLSER,148.33,148.33,144.33,145.02,3748,
2010-02-24 12:02:00,ECLSER,145.0,147.0,145.0,146.03,759,
2010-02-25 12:02:00,ECLSER,144.13,150.5,144.13,147.27,5432,
2010-02-26 12:02:00,ECLSER,145.42,149.6,142.68,143.88,3349,
2010-03-02 12:03:00,ECLSER,145.33,157.0,142.67,152.27,3795,
2010-03-03 12:03:00,ECLSER,150.08,155.0,150.08,151.98,1807,
2010-03-04 12:03:00,ECLSER,149.67,153.33,149.67,150.45,1383,
2010-03-05 12:03:00,ECLSER,156.0,175.33,154.67,166.17,179736,
2010-03-08 12:03:00,ECLSER,168.33,171.67,163.35,164.83,28969,
2010-03-09 12:03:00,ECLSER,165.0,167.67,159.67,161.28,6711,
2010-03-10 12:03:00,ECLSER,161.72,164.8,157.32,157.9,6412,
2010-03-11 12:03:00,ECLSER,158.0,161.0,156.7,158.48,3818,
2010-03-12 12:03:00,ECLSER,155.0,160.0,155.0,158.45,2527,
2010-03-15 12:03:00,ECLSER,160.5,161.7,153.42,158.28,58300,
