datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,EICMOT,65.8,69.0,64.62,67.57,41006,
2010-01-05 12:01:00,EICMOT,66.63,68.5,65.01,65.31,23517,
2010-01-06 12:01:00,EICMOT,65.7,66.5,64.23,64.77,12871,
2010-01-07 12:01:00,EICMOT,65.5,65.5,63.6,63.86,8583,
2010-01-08 12:01:00,EICMOT,66.05,68.5,63.8,64.72,98800,
2010-01-11 12:01:00,EICMOT,65.0,65.9,63.68,64.32,114746,
2010-01-12 12:01:00,EICMOT,63.02,64.39,61.06,61.53,21310,
2010-01-13 12:01:00,EICMOT,62.0,62.17,60.31,60.77,12666,
2010-01-14 12:01:00,EICMOT,62.84,62.84,60.5,60.8,17299,
2010-01-15 12:01:00,EICMOT,61.9,64.4,61.5,62.85,45464,
2010-01-18 12:01:00,EICMOT,62.9,66.0,62.5,64.14,130697,
2010-01-19 12:01:00,EICMOT,64.2,65.0,62.61,63.21,17752,
2010-01-20 12:01:00,EICMOT,63.71,63.98,61.53,61.86,7347,
2010-01-21 12:01:00,EICMOT,61.7,63.39,60.61,60.98,10150,
2010-01-22 12:01:00,EICMOT,61.2,61.2,59.13,60.3,9966,
2010-01-25 12:01:00,EICMOT,60.7,61.39,59.11,59.56,8317,
2010-01-27 12:01:00,EICMOT,55.37,60.0,55.37,56.86,7206,
2010-01-28 12:01:00,EICMOT,57.0,59.0,53.27,57.61,61829,
2010-01-29 12:01:00,EICMOT,59.05,59.05,55.8,56.79,5347,
2010-02-01 12:02:00,EICMOT,57.5,60.05,56.5,58.89,6219,
2010-02-02 12:02:00,EICMOT,61.6,61.6,56.61,57.19,6294,
2010-02-04 12:02:00,EICMOT,57.0,58.0,55.1,55.37,6452,
2010-02-05 12:02:00,EICMOT,54.2,55.1,51.0,52.62,39379,
2010-02-06 12:02:00,EICMOT,52.5,57.5,52.31,56.15,24638,
2010-02-08 12:02:00,EICMOT,58.0,59.0,54.02,54.48,15638,
2010-02-09 12:02:00,EICMOT,55.0,56.0,54.3,54.82,7899,
2010-02-10 12:02:00,EICMOT,55.69,55.69,53.52,54.13,5293,
2010-02-11 12:02:00,EICMOT,54.0,56.4,53.5,53.88,7859,
2010-02-15 12:02:00,EICMOT,54.99,55.86,51.45,51.85,28660,
2010-02-16 12:02:00,EICMOT,52.39,53.7,52.3,52.75,116500,
2010-02-17 12:02:00,EICMOT,53.49,61.97,52.6,59.12,385461,
2010-02-18 12:02:00,EICMOT,58.82,60.7,57.23,57.86,190142,
2010-02-19 12:02:00,EICMOT,57.4,57.95,56.3,57.03,26458,
2010-02-22 12:02:00,EICMOT,58.99,59.5,57.2,58.2,37573,
2010-02-23 12:02:00,EICMOT,57.2,58.5,57.13,57.85,12630,
2010-02-24 12:02:00,EICMOT,57.33,58.37,57.33,57.6,5618,
2010-02-25 12:02:00,EICMOT,57.98,58.3,55.5,57.11,8827,
2010-02-26 12:02:00,EICMOT,56.52,59.59,56.43,58.4,22221,
2010-03-02 12:03:00,EICMOT,60.0,63.8,60.0,62.99,72360,
2010-03-03 12:03:00,EICMOT,67.1,67.79,63.0,66.98,113119,
2010-03-04 12:03:00,EICMOT,66.8,66.8,65.2,65.51,23102,
2010-03-05 12:03:00,EICMOT,65.8,66.6,63.06,63.6,16584,
2010-03-08 12:03:00,EICMOT,67.89,67.89,63.0,63.15,15232,
2010-03-09 12:03:00,EICMOT,64.6,64.84,62.28,62.66,22051,
2010-03-10 12:03:00,EICMOT,62.8,63.8,61.57,62.46,7813,
2010-03-11 12:03:00,EICMOT,63.2,63.8,61.85,62.7,7281,
2010-03-12 12:03:00,EICMOT,63.0,63.4,61.5,62.74,8050,
2010-03-15 12:03:00,EICMOT,63.44,63.44,61.05,62.21,4490,
2010-03-16 12:03:00,EICMOT,62.3,63.5,61.4,62.87,7444,
2010-03-17 12:03:00,EICMOT,63.68,63.68,62.4,62.54,3005,
2010-03-18 12:03:00,EICMOT,62.2,63.5,62.2,62.61,5982,
2010-03-19 12:03:00,EICMOT,62.5,63.0,62.01,62.46,5877,
2010-03-22 12:03:00,EICMOT,63.5,63.5,60.5,61.51,12859,
2010-03-23 12:03:00,EICMOT,60.0,63.19,60.0,62.04,9108,
2010-03-25 12:03:00,EICMOT,61.4,62.5,60.83,61.78,5478,
2010-03-26 12:03:00,EICMOT,60.1,62.8,60.1,62.0,5089,
2010-03-29 12:03:00,EICMOT,61.63,62.5,61.11,62.21,4395,
2010-03-30 12:03:00,EICMOT,61.8,65.5,61.8,64.51,16327,
2010-03-31 12:03:00,EICMOT,63.23,66.2,63.23,65.14,12973,
2010-04-01 12:04:00,EICMOT,65.14,66.49,64.5,66.07,20453,
2010-04-05 12:04:00,EICMOT,67.35,69.3,66.0,68.07,31648,
2010-04-06 12:04:00,EICMOT,68.47,68.47,66.6,68.05,20858,
2010-04-07 12:04:00,EICMOT,69.0,69.0,67.8,68.06,3758,
2010-04-08 12:04:00,EICMOT,68.4,68.45,66.8,68.32,6338,
2010-04-09 12:04:00,EICMOT,68.44,68.49,67.1,67.66,37615,
2010-04-12 12:04:00,EICMOT,68.49,68.49,67.11,67.65,2377,
2010-04-13 12:04:00,EICMOT,67.5,67.9,66.7,66.87,3134,
2010-04-16 12:04:00,EICMOT,67.75,68.7,67.22,68.15,3757,
2010-04-19 12:04:00,EICMOT,67.9,69.3,66.66,68.51,6741,
2010-04-20 12:04:00,EICMOT,69.0,69.0,67.53,68.07,2740,
2010-04-21 12:04:00,EICMOT,68.3,69.8,67.72,68.22,5930,
2010-04-22 12:04:00,EICMOT,69.9,70.0,67.63,69.22,16787,
2010-04-23 12:04:00,EICMOT,69.4,69.9,68.8,68.95,14520,
2010-04-26 12:04:00,EICMOT,69.8,70.0,69.1,69.8,6584,
2010-04-27 12:04:00,EICMOT,69.14,70.0,68.03,69.76,28976,
2010-04-28 12:04:00,EICMOT,68.0,69.8,67.5,68.66,7331,
2010-04-29 12:04:00,EICMOT,70.03,82.1,70.03,80.28,965525,
2010-04-30 12:04:00,EICMOT,80.28,82.99,77.56,80.09,480518,
2010-05-03 12:05:00,EICMOT,78.98,81.48,78.16,80.03,120298,
2010-05-04 12:05:00,EICMOT,80.42,82.0,78.63,79.65,196869,
2010-05-05 12:05:00,EICMOT,78.85,81.99,77.01,81.59,74535,
2010-05-06 12:05:00,EICMOT,81.3,88.37,81.21,84.65,317606,
2010-05-07 12:05:00,EICMOT,82.8,87.0,81.5,84.75,192425,
2010-05-10 12:05:00,EICMOT,85.3,87.0,84.23,84.95,81115,
2010-05-11 12:05:00,EICMOT,85.11,86.6,81.8,82.71,31181,
2010-05-12 12:05:00,EICMOT,82.2,84.5,81.9,82.54,33064,
2010-05-13 12:05:00,EICMOT,83.5,83.88,82.5,83.06,14158,
2010-05-14 12:05:00,EICMOT,82.2,83.38,80.0,81.01,12688,
2010-05-17 12:05:00,EICMOT,80.21,84.0,77.9,82.57,22960,
2010-05-18 12:05:00,EICMOT,81.7,84.99,81.01,81.4,9963,
2010-05-19 12:05:00,EICMOT,82.2,83.5,78.65,82.64,20970,
2010-05-20 12:05:00,EICMOT,82.02,84.2,81.0,82.52,20486,
2010-05-24 12:05:00,EICMOT,81.5,84.5,80.0,80.89,9713,
2010-05-25 12:05:00,EICMOT,82.0,82.0,79.0,80.37,83334,
2010-05-26 12:05:00,EICMOT,81.4,82.0,80.01,80.94,5348,
2010-05-27 12:05:00,EICMOT,80.01,82.89,80.01,82.02,5161,
2010-05-28 12:05:00,EICMOT,83.0,83.0,82.0,82.64,5851,
2010-05-31 12:05:00,EICMOT,83.2,85.49,82.2,84.87,21107,
2010-06-01 12:06:00,EICMOT,85.03,86.0,83.7,85.5,8115,
2010-06-02 12:06:00,EICMOT,85.5,86.49,84.3,84.89,20075,
2010-06-03 12:06:00,EICMOT,86.0,86.0,84.01,84.6,11395,
2010-06-04 12:06:00,EICMOT,84.68,84.68,82.33,83.48,7904,
2010-06-07 12:06:00,EICMOT,82.49,82.8,81.4,82.3,11276,
2010-06-08 12:06:00,EICMOT,82.2,83.0,78.65,79.67,7108,
2010-06-09 12:06:00,EICMOT,80.5,82.5,78.69,79.44,17365,
2010-06-10 12:06:00,EICMOT,80.3,80.7,79.7,80.09,5242,
2010-06-11 12:06:00,EICMOT,80.2,96.11,80.2,92.28,1307210,
2010-06-14 12:06:00,EICMOT,84.4,93.05,84.4,90.44,461796,
2010-06-15 12:06:00,EICMOT,90.9,97.7,90.14,93.94,825692,
2010-06-16 12:06:00,EICMOT,94.0,97.4,93.03,94.07,191224,
2010-06-17 12:06:00,EICMOT,94.5,95.74,93.2,93.77,72808,
2010-06-18 12:06:00,EICMOT,94.58,95.6,91.33,92.22,61818,
2010-06-21 12:06:00,EICMOT,92.22,94.3,91.8,92.32,40233,
2010-06-22 12:06:00,EICMOT,92.32,93.69,91.12,92.16,20376,
2010-06-23 12:06:00,EICMOT,91.2,92.85,90.4,90.99,12612,
2010-06-24 12:06:00,EICMOT,91.3,92.8,90.0,90.9,31914,
2010-06-25 12:06:00,EICMOT,91.2,91.5,89.0,89.68,20612,
2010-06-28 12:06:00,EICMOT,90.0,90.5,88.9,90.05,11569,
2010-06-30 12:06:00,EICMOT,90.5,94.48,90.5,91.7,22340,
2010-07-01 12:07:00,EICMOT,92.5,93.1,90.5,91.1,8814,
2010-07-02 12:07:00,EICMOT,90.7,92.71,89.6,90.19,11526,
2010-07-05 12:07:00,EICMOT,90.3,97.13,90.1,93.34,189648,
2010-07-06 12:07:00,EICMOT,95.0,98.2,92.23,93.46,276916,
2010-07-07 12:07:00,EICMOT,93.46,95.5,92.42,93.98,115457,
2010-07-08 12:07:00,EICMOT,94.53,96.98,94.0,95.53,110463,
2010-07-09 12:07:00,EICMOT,95.66,96.0,93.17,93.78,29050,
2010-07-12 12:07:00,EICMOT,94.41,95.0,93.43,93.88,16602,
2010-07-13 12:07:00,EICMOT,94.5,95.99,93.5,93.8,24705,
2010-07-14 12:07:00,EICMOT,94.9,95.8,94.1,94.54,23694,
2010-07-15 12:07:00,EICMOT,94.1,95.69,94.1,94.49,13648,
2010-07-16 12:07:00,EICMOT,94.49,96.0,94.0,94.52,125784,
2010-07-19 12:07:00,EICMOT,94.0,98.5,94.0,96.31,112346,
2010-07-20 12:07:00,EICMOT,96.51,97.68,95.5,96.55,25063,
2010-07-21 12:07:00,EICMOT,97.0,97.58,95.27,95.89,59913,
2010-07-22 12:07:00,EICMOT,95.8,99.97,91.27,98.44,145399,
2010-07-23 12:07:00,EICMOT,99.5,100.7,96.0,96.87,77685,
2010-07-26 12:07:00,EICMOT,99.0,101.4,97.4,98.82,127882,
2010-07-27 12:07:00,EICMOT,99.0,100.01,96.51,96.98,24414,
2010-07-29 12:07:00,EICMOT,99.2,99.9,98.15,99.37,15204,
2010-07-30 12:07:00,EICMOT,99.9,100.5,98.1,98.41,9685,
2010-08-02 12:08:00,EICMOT,98.6,99.6,98.6,99.16,12823,
2010-08-03 12:08:00,EICMOT,98.81,103.9,98.75,102.96,73239,
2010-08-04 12:08:00,EICMOT,103.0,104.49,101.7,103.83,23686,
2010-08-05 12:08:00,EICMOT,104.1,104.79,100.23,100.87,15581,
2010-08-06 12:08:00,EICMOT,101.2,103.89,98.56,99.68,23073,
2010-08-09 12:08:00,EICMOT,100.8,102.5,99.91,101.49,14323,
2010-08-10 12:08:00,EICMOT,102.48,102.48,100.2,101.16,3981,
2010-08-11 12:08:00,EICMOT,102.15,102.15,100.0,100.91,5219,
2010-08-12 12:08:00,EICMOT,100.45,115.0,98.23,109.84,305925,
2010-08-13 12:08:00,EICMOT,110.0,112.87,106.51,109.22,68985,
2010-08-16 12:08:00,EICMOT,110.36,112.0,106.0,108.57,113194,
2010-08-17 12:08:00,EICMOT,108.7,112.0,108.5,110.5,18501,
2010-08-18 12:08:00,EICMOT,109.5,111.5,108.01,109.88,14235,
2010-08-19 12:08:00,EICMOT,109.8,112.85,109.1,109.85,18151,
2010-08-20 12:08:00,EICMOT,109.8,112.5,107.05,109.27,10764,
2010-08-23 12:08:00,EICMOT,108.2,111.4,105.23,107.17,13799,
2010-08-24 12:08:00,EICMOT,107.7,109.0,105.52,108.13,13633,
2010-08-25 12:08:00,EICMOT,107.0,109.2,105.4,105.95,35733,
2010-08-26 12:08:00,EICMOT,106.5,122.4,106.34,119.93,579900,
2010-08-30 12:08:00,EICMOT,126.5,126.95,121.36,122.96,92275,
2010-08-31 12:08:00,EICMOT,123.0,134.03,122.35,125.57,268913,
2010-09-01 12:09:00,EICMOT,126.73,128.89,125.42,126.52,67254,
2010-09-02 12:09:00,EICMOT,125.0,131.5,125.0,127.65,61947,
2010-09-03 12:09:00,EICMOT,129.38,130.94,126.5,127.01,69645,
2010-09-06 12:09:00,EICMOT,128.2,130.2,126.63,127.34,31414,
2010-09-07 12:09:00,EICMOT,127.0,129.0,126.5,126.8,15636,
2010-09-08 12:09:00,EICMOT,127.0,128.78,125.87,126.58,39612,
2010-09-09 12:09:00,EICMOT,127.3,127.5,124.21,126.12,15274,
2010-09-13 12:09:00,EICMOT,126.9,127.0,122.51,123.18,10437,
2010-09-14 12:09:00,EICMOT,123.2,125.0,123.0,123.9,20608,
2010-09-15 12:09:00,EICMOT,123.21,127.4,117.27,121.08,23152,
2010-09-16 12:09:00,EICMOT,121.79,124.7,120.61,123.44,18799,
2010-09-17 12:09:00,EICMOT,120.61,124.58,120.61,122.19,17726,
2010-09-20 12:09:00,EICMOT,121.5,122.99,118.52,121.94,51211,
2010-09-21 12:09:00,EICMOT,122.5,123.0,118.03,120.4,31344,
2010-09-22 12:09:00,EICMOT,122.5,122.5,117.0,117.34,9936,
2010-09-23 12:09:00,EICMOT,119.9,119.9,112.11,116.75,39520,
2010-09-24 12:09:00,EICMOT,118.0,119.5,116.11,117.66,15485,
2010-09-27 12:09:00,EICMOT,118.2,122.4,117.0,121.2,23073,
2010-09-28 12:09:00,EICMOT,121.2,122.2,116.5,120.8,26658,
2010-09-29 12:09:00,EICMOT,123.0,125.8,120.51,124.8,25708,
