datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,ELEENG,44.4,45.23,43.8,44.78,460476,
2010-01-05 12:01:00,ELEENG,44.8,45.2,44.25,44.53,281340,
2010-01-06 12:01:00,ELEENG,44.95,45.45,43.85,44.5,283296,
2010-01-07 12:01:00,ELEENG,44.9,45.75,44.25,44.8,344095,
2010-01-08 12:01:00,ELEENG,45.1,45.88,44.75,45.25,380648,
2010-01-11 12:01:00,ELEENG,45.5,46.25,45.33,45.83,299109,
2010-01-12 12:01:00,ELEENG,46.05,47.1,45.5,46.03,587856,
2010-01-13 12:01:00,ELEENG,46.0,46.0,45.0,45.45,215873,
2010-01-14 12:01:00,ELEENG,45.6,46.13,44.55,45.3,214751,
2010-01-15 12:01:00,ELEENG,45.65,46.5,45.0,45.15,397991,
2010-01-18 12:01:00,ELEENG,45.25,45.65,44.63,44.8,124755,
2010-01-19 12:01:00,ELEENG,45.0,45.85,44.35,45.18,255373,
2010-01-20 12:01:00,ELEENG,45.43,48.7,45.25,48.0,2115750,
2010-01-21 12:01:00,ELEENG,47.98,48.9,45.08,45.53,1508613,
2010-01-22 12:01:00,ELEENG,44.25,45.15,42.6,43.98,666186,
2010-01-25 12:01:00,ELEENG,43.85,44.2,42.55,42.85,219869,
2010-01-27 12:01:00,ELEENG,42.5,42.7,39.5,39.85,255752,
2010-01-28 12:01:00,ELEENG,40.05,41.0,39.6,39.8,232937,
2010-01-29 12:01:00,ELEENG,39.5,41.48,38.28,41.28,428824,
2010-02-01 12:02:00,ELEENG,40.33,42.15,40.33,41.45,177827,
2010-02-02 12:02:00,ELEENG,41.75,42.45,40.1,40.38,138949,
2010-02-04 12:02:00,ELEENG,40.0,41.73,39.85,40.15,281188,
2010-02-05 12:02:00,ELEENG,39.0,41.0,38.6,40.6,249961,
2010-02-06 12:02:00,ELEENG,40.63,41.18,39.8,40.0,54302,
2010-02-08 12:02:00,ELEENG,41.5,41.5,39.33,40.33,295141,
2010-02-09 12:02:00,ELEENG,40.98,41.5,40.03,40.28,201655,
2010-02-10 12:02:00,ELEENG,41.0,41.0,39.53,39.83,107165,
2010-02-11 12:02:00,ELEENG,40.28,44.0,40.28,40.63,239654,
2010-02-15 12:02:00,ELEENG,40.78,41.2,40.05,40.2,97034,
2010-02-16 12:02:00,ELEENG,40.38,40.7,39.68,40.05,129038,
2010-02-17 12:02:00,ELEENG,40.63,40.9,39.6,39.88,139956,
2010-02-18 12:02:00,ELEENG,40.2,40.43,39.43,39.6,114821,
2010-02-19 12:02:00,ELEENG,39.5,39.65,38.55,38.83,110580,
2010-02-22 12:02:00,ELEENG,39.75,39.83,38.5,38.6,70127,
