datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,ELGEQU,21.78,22.31,21.75,22.03,47264,
2010-01-05 12:01:00,ELGEQU,22.34,22.98,22.08,22.59,91285,
2010-01-06 12:01:00,ELGEQU,22.69,23.0,22.4,22.58,47275,
2010-01-07 12:01:00,ELGEQU,22.15,24.58,22.15,23.35,554294,
2010-01-08 12:01:00,ELGEQU,23.45,23.71,22.63,22.85,77042,
2010-01-11 12:01:00,ELGEQU,23.45,23.53,23.0,23.2,58981,
2010-01-12 12:01:00,ELGEQU,23.2,23.53,22.78,22.9,49512,
2010-01-13 12:01:00,ELGEQU,22.5,22.95,22.15,22.24,45134,
2010-01-14 12:01:00,ELGEQU,22.49,22.98,22.15,22.5,69981,
2010-01-15 12:01:00,ELGEQU,22.75,23.0,22.18,22.8,42622,
2010-01-18 12:01:00,ELGEQU,23.63,23.63,22.46,22.65,40698,
2010-01-19 12:01:00,ELGEQU,22.5,22.86,22.19,22.31,26495,
2010-01-20 12:01:00,ELGEQU,22.25,23.25,22.04,22.14,43737,
2010-01-21 12:01:00,ELGEQU,21.53,22.39,21.41,21.54,36379,
2010-01-22 12:01:00,ELGEQU,20.53,21.63,20.5,21.5,47737,
2010-01-25 12:01:00,ELGEQU,21.35,22.1,21.03,21.2,27342,
2010-01-27 12:01:00,ELGEQU,21.2,21.34,20.5,20.59,51217,
2010-01-28 12:01:00,ELGEQU,20.5,21.0,20.5,20.61,48955,
2010-01-29 12:01:00,ELGEQU,20.05,20.74,19.64,20.39,50556,
2010-02-01 12:02:00,ELGEQU,20.46,23.35,20.46,23.08,196780,
2010-02-02 12:02:00,ELGEQU,23.34,23.84,21.78,21.96,75132,
2010-02-04 12:02:00,ELGEQU,22.05,22.13,21.26,21.3,31312,
2010-02-05 12:02:00,ELGEQU,20.83,21.49,20.29,21.24,29651,
2010-02-06 12:02:00,ELGEQU,21.25,21.63,21.05,21.18,8116,
2010-02-08 12:02:00,ELGEQU,21.25,21.98,21.03,21.3,11284,
2010-02-09 12:02:00,ELGEQU,21.44,21.65,21.25,21.43,15424,
2010-02-10 12:02:00,ELGEQU,22.19,22.19,21.25,21.3,14583,
2010-02-11 12:02:00,ELGEQU,21.25,21.63,21.25,21.34,12926,
2010-02-15 12:02:00,ELGEQU,21.26,21.7,20.95,21.01,31572,
2010-02-16 12:02:00,ELGEQU,20.75,21.48,20.5,21.25,29346,
2010-02-17 12:02:00,ELGEQU,21.28,21.73,21.0,21.0,40278,
2010-02-18 12:02:00,ELGEQU,21.36,21.63,20.78,20.88,20634,
2010-02-19 12:02:00,ELGEQU,20.79,21.13,20.29,20.38,16286,
2010-02-22 12:02:00,ELGEQU,21.48,22.0,19.63,20.46,26742,
2010-02-23 12:02:00,ELGEQU,20.25,20.75,20.0,20.05,26780,
2010-02-24 12:02:00,ELGEQU,20.23,20.23,19.75,20.11,13170,
2010-02-25 12:02:00,ELGEQU,20.81,20.98,19.78,19.84,29101,
2010-02-26 12:02:00,ELGEQU,20.13,20.25,19.14,20.01,36498,
2010-03-02 12:03:00,ELGEQU,21.23,21.23,20.39,20.63,52447,
2010-03-03 12:03:00,ELGEQU,21.0,21.25,20.88,21.13,35340,
2010-03-04 12:03:00,ELGEQU,21.13,22.0,21.13,21.76,45484,
2010-03-05 12:03:00,ELGEQU,22.13,22.2,21.33,21.53,66004,
2010-03-08 12:03:00,ELGEQU,22.08,22.08,21.63,21.83,44568,
2010-03-09 12:03:00,ELGEQU,21.99,22.88,21.5,22.49,509768,
2010-03-10 12:03:00,ELGEQU,22.75,23.25,21.53,21.74,34811,
2010-03-11 12:03:00,ELGEQU,21.5,22.05,21.5,21.61,21226,
2010-03-12 12:03:00,ELGEQU,22.0,22.0,21.5,21.69,57906,
2010-03-15 12:03:00,ELGEQU,21.8,21.9,21.44,21.64,39316,
2010-03-16 12:03:00,ELGEQU,21.31,21.98,21.31,21.63,15403,
2010-03-17 12:03:00,ELGEQU,22.96,22.96,21.75,22.31,69555,
2010-03-18 12:03:00,ELGEQU,22.49,22.49,21.75,22.15,25636,
2010-03-19 12:03:00,ELGEQU,21.8,22.38,21.8,22.19,12536,
2010-03-22 12:03:00,ELGEQU,21.53,22.25,21.53,21.86,13216,
2010-03-23 12:03:00,ELGEQU,21.81,22.18,21.76,22.0,20547,
2010-03-25 12:03:00,ELGEQU,22.5,23.05,21.75,22.53,163276,
2010-03-26 12:03:00,ELGEQU,22.63,22.63,22.19,22.24,26694,
2010-03-29 12:03:00,ELGEQU,22.25,22.25,21.88,22.0,22736,
2010-03-30 12:03:00,ELGEQU,22.45,22.98,21.8,22.7,24948,
2010-03-31 12:03:00,ELGEQU,22.83,23.6,22.33,22.81,63815,
2010-04-01 12:04:00,ELGEQU,23.2,23.93,22.93,23.36,43641,
2010-04-05 12:04:00,ELGEQU,23.5,25.23,23.38,24.89,283471,
2010-04-06 12:04:00,ELGEQU,25.13,25.28,24.63,24.93,82745,
2010-04-07 12:04:00,ELGEQU,25.35,26.4,24.74,25.91,150397,
2010-04-08 12:04:00,ELGEQU,26.1,26.2,25.55,25.94,55477,
2010-04-09 12:04:00,ELGEQU,26.05,26.75,26.0,26.55,58775,
2010-04-12 12:04:00,ELGEQU,26.68,27.0,26.06,26.66,47276,
2010-04-13 12:04:00,ELGEQU,26.66,27.48,26.63,27.03,38947,
2010-04-16 12:04:00,ELGEQU,26.75,26.75,25.14,25.58,14323,
2010-04-19 12:04:00,ELGEQU,25.56,26.0,24.5,25.79,45235,
2010-04-20 12:04:00,ELGEQU,26.2,26.88,25.71,25.84,25003,
2010-04-21 12:04:00,ELGEQU,26.75,26.75,25.9,26.28,25135,
2010-04-22 12:04:00,ELGEQU,26.53,26.75,26.01,26.51,65550,
2010-04-23 12:04:00,ELGEQU,26.83,28.0,26.5,27.04,155759,
2010-04-26 12:04:00,ELGEQU,27.28,27.6,26.25,26.96,43567,
2010-04-27 12:04:00,ELGEQU,26.5,27.13,26.5,26.88,21304,
2010-04-28 12:04:00,ELGEQU,26.39,26.73,26.03,26.35,21350,
2010-04-29 12:04:00,ELGEQU,26.5,27.55,26.25,26.43,21479,
2010-04-30 12:04:00,ELGEQU,27.25,27.25,25.64,25.88,57193,
2010-05-03 12:05:00,ELGEQU,26.75,27.13,25.75,26.16,43559,
