datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,ESSPRO,24.88,26.25,24.25,26.13,1222866,
2010-01-05 12:01:00,ESSPRO,26.15,26.68,25.13,25.73,661444,
2010-01-06 12:01:00,ESSPRO,26.0,26.0,25.0,25.08,280338,
2010-01-07 12:01:00,ESSPRO,25.35,26.2,25.08,25.33,250150,
2010-01-08 12:01:00,ESSPRO,25.5,25.95,24.5,25.33,299059,
2010-01-11 12:01:00,ESSPRO,25.1,26.95,25.1,25.95,815867,
2010-01-12 12:01:00,ESSPRO,26.13,26.9,25.83,26.13,889134,
2010-01-13 12:01:00,ESSPRO,25.9,27.85,25.9,27.43,898155,
2010-01-14 12:01:00,ESSPRO,27.7,28.75,27.2,28.18,615236,
2010-01-15 12:01:00,ESSPRO,28.48,28.73,27.45,27.58,299955,
2010-01-18 12:01:00,ESSPRO,27.75,29.15,27.73,28.28,508107,
2010-01-19 12:01:00,ESSPRO,28.5,29.13,27.28,27.6,315450,
2010-01-20 12:01:00,ESSPRO,27.88,28.43,27.2,27.55,173847,
2010-01-21 12:01:00,ESSPRO,27.48,27.73,25.75,25.95,118829,
2010-01-22 12:01:00,ESSPRO,24.13,25.63,22.75,25.23,131707,
2010-01-25 12:01:00,ESSPRO,25.23,25.85,24.88,25.23,79380,
2010-01-27 12:01:00,ESSPRO,25.23,25.58,23.0,23.15,204099,
2010-01-28 12:01:00,ESSPRO,23.75,24.5,23.63,23.7,195161,
2010-01-29 12:01:00,ESSPRO,23.55,23.63,22.6,23.08,158544,
2010-02-01 12:02:00,ESSPRO,23.0,24.75,22.58,24.2,97470,
2010-02-02 12:02:00,ESSPRO,24.9,25.4,23.25,23.63,129618,
2010-02-04 12:02:00,ESSPRO,23.5,24.08,22.3,22.45,112224,
2010-02-05 12:02:00,ESSPRO,21.25,22.38,21.25,21.83,52689,
2010-02-06 12:02:00,ESSPRO,22.2,22.6,22.0,22.5,17294,
2010-02-08 12:02:00,ESSPRO,22.85,22.85,22.23,22.4,47358,
2010-02-09 12:02:00,ESSPRO,22.25,23.0,22.25,22.75,29741,
2010-02-10 12:02:00,ESSPRO,23.0,23.25,22.28,22.5,23425,
2010-02-11 12:02:00,ESSPRO,23.45,23.45,22.28,22.43,23306,
2010-02-15 12:02:00,ESSPRO,22.5,22.95,22.1,22.3,30767,
2010-02-16 12:02:00,ESSPRO,22.5,22.5,22.05,22.2,11741,
2010-02-17 12:02:00,ESSPRO,22.25,23.95,22.25,22.7,72118,
2010-02-18 12:02:00,ESSPRO,22.58,23.5,22.58,22.75,53168,
2010-02-19 12:02:00,ESSPRO,22.55,22.83,22.0,22.2,34768,
2010-02-22 12:02:00,ESSPRO,22.5,22.95,21.38,21.5,32247,
2010-02-23 12:02:00,ESSPRO,21.75,22.0,21.08,21.55,53968,
2010-02-24 12:02:00,ESSPRO,21.5,21.68,20.5,20.65,26436,
2010-02-25 12:02:00,ESSPRO,20.75,21.38,20.63,21.15,31183,
2010-02-26 12:02:00,ESSPRO,20.88,21.95,20.88,21.53,43396,
2010-03-02 12:03:00,ESSPRO,21.95,22.1,21.5,21.6,37194,
2010-03-03 12:03:00,ESSPRO,21.75,22.6,21.53,22.25,75705,
2010-03-04 12:03:00,ESSPRO,22.3,22.6,22.03,22.2,22499,
2010-03-05 12:03:00,ESSPRO,22.5,22.75,22.13,22.2,29081,
2010-03-08 12:03:00,ESSPRO,22.7,23.2,22.7,22.95,77652,
2010-03-09 12:03:00,ESSPRO,23.15,23.25,22.75,22.8,31716,
2010-03-10 12:03:00,ESSPRO,22.75,22.95,22.25,22.35,70939,
