datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,FIEIND,54.85,55.3,54.28,54.5,32382,
2010-01-05 12:01:00,FIEIND,55.4,62.0,54.5,57.23,1016631,
2010-01-06 12:01:00,FIEIND,57.5,57.5,55.83,56.13,74325,
2010-01-07 12:01:00,FIEIND,55.15,59.95,55.13,58.48,171427,
2010-01-08 12:01:00,FIEIND,58.5,60.48,57.65,58.15,119860,
2010-01-11 12:01:00,FIEIND,59.0,59.0,57.08,57.38,38063,
2010-01-12 12:01:00,FIEIND,58.35,60.28,57.0,57.38,88269,
2010-01-13 12:01:00,FIEIND,56.75,58.0,56.5,56.93,38679,
2010-01-14 12:01:00,FIEIND,57.68,58.45,56.5,56.6,33059,
2010-01-15 12:01:00,FIEIND,56.05,58.05,55.58,55.98,49317,
2010-01-18 12:01:00,FIEIND,55.5,56.95,55.0,55.68,31335,
2010-01-19 12:01:00,FIEIND,55.95,58.45,55.05,56.03,235961,
2010-01-20 12:01:00,FIEIND,56.38,56.88,53.7,54.58,57183,
2010-01-21 12:01:00,FIEIND,54.98,55.38,53.23,53.5,27013,
2010-01-22 12:01:00,FIEIND,52.5,53.5,51.75,52.45,35519,
2010-01-25 12:01:00,FIEIND,52.33,53.5,51.25,52.33,17587,
2010-01-27 12:01:00,FIEIND,51.95,53.23,50.0,50.1,32177,
2010-01-28 12:01:00,FIEIND,52.95,52.95,49.05,49.2,28036,
2010-01-29 12:01:00,FIEIND,48.5,51.63,46.5,50.78,47192,
2010-02-01 12:02:00,FIEIND,51.0,51.0,48.5,48.95,25267,
2010-02-02 12:02:00,FIEIND,49.95,51.0,48.25,48.88,24181,
2010-02-04 12:02:00,FIEIND,50.5,51.2,49.23,49.78,35973,
2010-02-05 12:02:00,FIEIND,47.95,50.5,47.25,49.35,111062,
2010-02-06 12:02:00,FIEIND,49.45,50.45,48.5,49.3,13080,
2010-02-08 12:02:00,FIEIND,49.58,49.58,47.4,47.53,30044,
2010-02-09 12:02:00,FIEIND,48.48,49.38,47.43,47.68,23412,
2010-02-10 12:02:00,FIEIND,48.7,49.2,46.75,47.38,15937,
2010-02-11 12:02:00,FIEIND,48.33,49.5,47.25,48.65,59937,
2010-02-15 12:02:00,FIEIND,48.25,49.0,47.25,47.53,18479,
2010-02-16 12:02:00,FIEIND,47.6,48.5,46.95,47.03,21294,
2010-02-17 12:02:00,FIEIND,48.5,48.9,47.25,47.45,22242,
2010-02-18 12:02:00,FIEIND,47.6,48.15,46.75,46.85,25420,
2010-02-19 12:02:00,FIEIND,47.1,47.43,45.15,45.65,14426,
2010-02-22 12:02:00,FIEIND,46.55,46.95,44.98,45.03,12864,
2010-02-23 12:02:00,FIEIND,45.0,46.25,44.98,45.03,9983,
2010-02-24 12:02:00,FIEIND,44.98,47.25,44.03,44.6,47667,
2010-02-25 12:02:00,FIEIND,44.88,45.25,44.5,44.58,11880,
2010-02-26 12:02:00,FIEIND,44.75,49.1,44.53,47.43,72668,
2010-03-02 12:03:00,FIEIND,47.0,50.93,46.35,49.23,43127,
2010-03-03 12:03:00,FIEIND,49.1,51.75,48.5,50.95,33787,
2010-03-04 12:03:00,FIEIND,51.0,51.13,48.0,48.78,26012,
2010-03-05 12:03:00,FIEIND,48.55,54.95,48.55,53.08,172954,
2010-03-08 12:03:00,FIEIND,53.98,54.85,52.5,53.28,21142,
2010-03-09 12:03:00,FIEIND,53.0,53.05,51.13,51.65,10870,
2010-03-10 12:03:00,FIEIND,52.5,53.5,49.55,50.08,36280,
2010-03-11 12:03:00,FIEIND,51.23,51.23,48.08,48.85,49086,
2010-03-12 12:03:00,FIEIND,48.55,52.45,47.58,50.15,142141,
2010-03-15 12:03:00,FIEIND,50.18,50.5,48.6,48.88,27013,
2010-03-16 12:03:00,FIEIND,49.75,49.95,48.5,48.95,10179,
2010-03-17 12:03:00,FIEIND,49.85,54.48,48.68,49.05,286415,
2010-03-18 12:03:00,FIEIND,49.1,51.45,49.08,49.8,68578,
2010-03-19 12:03:00,FIEIND,49.53,51.0,49.08,49.58,19960,
2010-03-22 12:03:00,FIEIND,49.83,50.8,48.78,49.55,114491,
2010-03-23 12:03:00,FIEIND,50.25,50.48,48.8,49.1,19016,
2010-03-25 12:03:00,FIEIND,48.68,54.1,48.68,53.48,189702,
2010-03-26 12:03:00,FIEIND,53.8,54.43,52.15,52.9,176483,
2010-03-29 12:03:00,FIEIND,52.53,54.9,52.0,52.5,120890,
2010-03-30 12:03:00,FIEIND,53.0,54.5,53.0,53.68,28332,
2010-03-31 12:03:00,FIEIND,53.5,54.48,53.5,53.65,22625,
2010-04-01 12:04:00,FIEIND,53.65,55.75,53.6,54.2,35587,
2010-04-05 12:04:00,FIEIND,54.73,58.1,53.78,55.2,172906,
2010-04-06 12:04:00,FIEIND,54.98,54.98,53.0,53.48,101344,
2010-04-07 12:04:00,FIEIND,53.75,54.0,53.03,53.25,70410,
2010-04-08 12:04:00,FIEIND,53.88,53.95,52.68,53.48,39939,
2010-04-09 12:04:00,FIEIND,53.75,54.0,53.48,53.55,124829,
2010-04-12 12:04:00,FIEIND,53.75,55.5,53.6,54.25,84911,
2010-04-13 12:04:00,FIEIND,54.75,54.98,53.6,53.8,58113,
2010-04-16 12:04:00,FIEIND,54.35,54.48,53.5,53.63,38597,
2010-04-19 12:04:00,FIEIND,53.35,54.5,52.25,52.48,80679,
2010-04-20 12:04:00,FIEIND,53.35,54.75,52.78,53.98,78882,
2010-04-21 12:04:00,FIEIND,54.43,58.5,53.0,57.83,196948,
2010-04-22 12:04:00,FIEIND,58.0,61.7,55.6,56.1,1019893,
2010-04-23 12:04:00,FIEIND,56.13,57.23,55.3,56.0,34572,
2010-04-26 12:04:00,FIEIND,56.33,56.5,55.5,55.98,19613,
2010-04-27 12:04:00,FIEIND,55.63,56.45,55.13,55.38,16011,
2010-04-28 12:04:00,FIEIND,55.0,57.85,54.95,55.63,62403,
2010-04-29 12:04:00,FIEIND,56.7,57.7,56.0,57.4,36992,
2010-04-30 12:04:00,FIEIND,57.48,58.4,57.45,57.55,34881,
2010-05-03 12:05:00,FIEIND,56.75,59.7,56.75,57.88,75395,
2010-05-04 12:05:00,FIEIND,57.88,60.5,57.88,59.9,172709,
2010-05-05 12:05:00,FIEIND,57.5,59.75,57.5,59.25,36919,
2010-05-06 12:05:00,FIEIND,58.1,62.0,58.1,60.88,49996,
2010-05-07 12:05:00,FIEIND,58.28,61.83,56.1,59.28,78367,
2010-05-10 12:05:00,FIEIND,58.43,67.78,58.43,66.8,500574,
2010-05-11 12:05:00,FIEIND,67.0,68.9,65.03,66.48,238579,
2010-05-12 12:05:00,FIEIND,66.6,67.0,64.25,64.58,17683,
2010-05-13 12:05:00,FIEIND,62.58,68.4,62.58,67.03,117478,
2010-05-14 12:05:00,FIEIND,66.5,68.48,66.0,66.48,61836,
2010-05-17 12:05:00,FIEIND,65.03,65.5,63.53,64.7,13696,
2010-05-18 12:05:00,FIEIND,63.25,65.73,63.25,64.58,11544,
2010-05-19 12:05:00,FIEIND,63.25,64.98,59.78,61.33,18996,
2010-05-20 12:05:00,FIEIND,59.25,62.5,59.25,60.95,28551,
2010-05-24 12:05:00,FIEIND,61.73,63.0,60.75,61.08,13959,
2010-05-25 12:05:00,FIEIND,63.95,63.95,56.53,57.73,14994,
2010-05-26 12:05:00,FIEIND,56.53,59.98,56.53,59.0,6362,
2010-05-27 12:05:00,FIEIND,57.53,60.5,57.53,58.8,7067,
2010-05-28 12:05:00,FIEIND,56.85,63.25,56.85,60.38,45341,
2010-05-31 12:05:00,FIEIND,60.38,62.23,60.0,61.98,7276,
2010-06-01 12:06:00,FIEIND,60.05,61.93,60.05,60.5,8836,
2010-06-02 12:06:00,FIEIND,60.1,61.75,60.1,60.3,3947,
2010-06-03 12:06:00,FIEIND,60.5,72.38,60.5,68.58,1151425,
2010-06-04 12:06:00,FIEIND,69.2,69.2,66.6,67.73,266937,
2010-06-07 12:06:00,FIEIND,63.63,66.13,63.25,64.08,28863,
2010-06-08 12:06:00,FIEIND,62.75,66.75,62.75,63.7,68212,
2010-06-09 12:06:00,FIEIND,63.8,65.0,62.75,63.68,70849,
2010-06-10 12:06:00,FIEIND,64.25,68.35,64.1,65.78,99116,
2010-06-11 12:06:00,FIEIND,66.25,68.35,65.0,65.65,36589,
2010-06-14 12:06:00,FIEIND,66.45,78.8,65.0,78.8,1199090,
2010-06-15 12:06:00,FIEIND,79.1,82.4,74.05,75.25,1176238,
2010-06-16 12:06:00,FIEIND,75.5,77.9,74.85,75.75,195124,
2010-06-17 12:06:00,FIEIND,76.7,77.88,74.75,75.2,147903,
2010-06-18 12:06:00,FIEIND,75.55,78.48,74.68,76.25,163074,
2010-06-21 12:06:00,FIEIND,76.5,85.0,76.5,80.95,843090,
2010-06-22 12:06:00,FIEIND,78.5,82.15,77.35,78.73,263307,
2010-06-23 12:06:00,FIEIND,77.55,80.95,77.55,79.08,70247,
2010-06-24 12:06:00,FIEIND,78.53,81.75,77.28,77.68,111139,
2010-06-25 12:06:00,FIEIND,76.8,79.95,74.8,75.73,146296,
2010-06-28 12:06:00,FIEIND,76.0,78.75,75.8,76.08,65253,
2010-06-30 12:06:00,FIEIND,75.55,77.08,75.3,75.9,52632,
2010-07-01 12:07:00,FIEIND,75.9,76.75,75.35,75.7,39481,
2010-07-02 12:07:00,FIEIND,75.55,76.5,74.3,75.2,47966,
2010-07-05 12:07:00,FIEIND,75.58,89.73,75.58,87.73,1929346,
2010-07-06 12:07:00,FIEIND,87.55,89.4,86.55,87.33,972964,
2010-07-07 12:07:00,FIEIND,87.75,88.3,84.5,85.75,341931,
2010-07-08 12:07:00,FIEIND,86.33,87.55,83.5,84.48,101761,
2010-07-09 12:07:00,FIEIND,85.0,85.95,83.75,84.43,72054,
2010-07-12 12:07:00,FIEIND,85.13,86.95,84.5,85.2,44842,
2010-07-13 12:07:00,FIEIND,86.2,91.13,85.05,85.73,694048,
2010-07-14 12:07:00,FIEIND,86.75,87.63,84.4,85.05,150617,
2010-07-15 12:07:00,FIEIND,85.0,85.95,84.15,84.55,39025,
2010-07-16 12:07:00,FIEIND,84.3,87.5,84.3,84.9,110826,
2010-07-19 12:07:00,FIEIND,85.5,87.23,85.5,86.4,102349,
2010-07-20 12:07:00,FIEIND,87.0,87.5,84.08,84.75,32875,
2010-07-21 12:07:00,FIEIND,85.03,86.83,84.25,85.65,50565,
2010-07-22 12:07:00,FIEIND,85.0,88.25,85.0,87.55,157549,
2010-07-23 12:07:00,FIEIND,86.55,91.0,86.55,87.38,265215,
2010-07-26 12:07:00,FIEIND,87.5,90.1,86.3,86.53,75193,
2010-07-27 12:07:00,FIEIND,84.0,89.6,84.0,88.03,70802,
2010-07-29 12:07:00,FIEIND,86.5,89.0,86.25,86.58,67497,
2010-07-30 12:07:00,FIEIND,86.25,91.85,86.25,88.95,694386,
2010-08-02 12:08:00,FIEIND,89.5,92.4,88.0,88.4,354880,
2010-08-03 12:08:00,FIEIND,89.48,89.48,87.25,87.68,52150,
2010-08-04 12:08:00,FIEIND,88.0,88.15,86.88,87.2,36838,
