datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,FININD,11.3,11.48,11.08,11.39,106229,
2010-01-05 12:01:00,FININD,11.44,11.7,11.35,11.38,163816,
2010-01-06 12:01:00,FININD,11.6,11.6,11.22,11.27,86127,
2010-01-07 12:01:00,FININD,11.4,11.48,11.25,11.4,93201,
2010-01-08 12:01:00,FININD,11.65,13.0,11.65,12.33,1576855,
2010-01-11 12:01:00,FININD,12.44,13.64,12.4,13.32,1550882,
2010-01-12 12:01:00,FININD,13.4,13.75,12.88,13.34,726855,
2010-01-13 12:01:00,FININD,13.23,13.59,12.9,13.5,455078,
2010-01-14 12:01:00,FININD,11.94,14.27,11.94,13.73,1308549,
2010-01-15 12:01:00,FININD,14.0,14.0,13.05,13.15,568199,
2010-01-18 12:01:00,FININD,13.0,13.04,12.6,12.78,196479,
2010-01-19 12:01:00,FININD,12.83,13.12,12.64,12.75,184266,
2010-01-20 12:01:00,FININD,12.84,12.87,12.5,12.56,101669,
2010-01-21 12:01:00,FININD,12.4,13.2,12.22,12.4,349163,
2010-01-22 12:01:00,FININD,12.2,12.3,11.62,12.13,210425,
2010-01-25 12:01:00,FININD,12.12,12.46,12.01,12.31,119524,
2010-01-27 12:01:00,FININD,12.3,12.36,11.35,11.7,187178,
2010-01-28 12:01:00,FININD,11.78,11.98,11.23,11.35,109167,
2010-01-29 12:01:00,FININD,11.1,11.58,10.9,11.43,107647,
2010-02-01 12:02:00,FININD,11.4,11.65,11.27,11.52,177640,
2010-02-02 12:02:00,FININD,11.76,12.06,11.31,11.4,147839,
2010-02-04 12:02:00,FININD,11.3,11.58,11.14,11.19,66172,
2010-02-05 12:02:00,FININD,10.45,11.09,10.45,10.87,82034,
2010-02-06 12:02:00,FININD,10.64,11.0,10.64,10.95,10818,
2010-02-08 12:02:00,FININD,10.94,11.04,10.7,10.78,41273,
2010-02-09 12:02:00,FININD,10.7,11.09,10.7,10.94,46593,
2010-02-10 12:02:00,FININD,10.98,11.72,10.98,11.46,211922,
2010-02-11 12:02:00,FININD,11.5,11.72,11.28,11.56,71251,
2010-02-15 12:02:00,FININD,11.44,11.58,11.1,11.25,49971,
2010-02-16 12:02:00,FININD,11.25,11.38,10.93,11.01,79965,
2010-02-17 12:02:00,FININD,11.08,11.14,10.95,10.99,125500,
2010-02-18 12:02:00,FININD,10.95,11.18,10.84,11.04,104627,
2010-02-19 12:02:00,FININD,11.3,11.37,10.7,10.82,257599,
2010-02-22 12:02:00,FININD,11.0,11.19,10.8,10.83,77800,
2010-02-23 12:02:00,FININD,10.8,10.86,10.62,10.69,54670,
2010-02-24 12:02:00,FININD,10.46,10.7,10.46,10.63,46838,
2010-02-25 12:02:00,FININD,10.62,10.78,10.61,10.65,53377,
2010-02-26 12:02:00,FININD,10.68,10.96,10.52,10.66,81965,
2010-03-02 12:03:00,FININD,10.68,11.09,10.68,10.98,102002,
2010-03-03 12:03:00,FININD,10.84,11.09,10.84,11.04,46401,
2010-03-04 12:03:00,FININD,10.82,11.15,10.82,11.07,47890,
2010-03-05 12:03:00,FININD,11.16,11.3,11.08,11.11,52022,
2010-03-08 12:03:00,FININD,11.03,11.4,11.03,11.16,58167,
2010-03-09 12:03:00,FININD,11.05,11.17,10.94,10.99,40493,
2010-03-10 12:03:00,FININD,10.98,11.43,10.86,11.32,161415,
2010-03-11 12:03:00,FININD,11.32,11.53,11.11,11.31,108901,
2010-03-12 12:03:00,FININD,11.22,11.49,11.04,11.06,37687,
2010-03-15 12:03:00,FININD,11.08,11.11,10.88,11.01,35169,
2010-03-16 12:03:00,FININD,10.4,11.11,10.4,11.04,36255,
2010-03-17 12:03:00,FININD,10.91,11.2,10.91,11.0,32099,
2010-03-18 12:03:00,FININD,10.82,11.16,10.8,10.9,29306,
2010-03-19 12:03:00,FININD,10.91,11.09,10.84,10.9,57106,
2010-03-22 12:03:00,FININD,10.8,10.98,10.76,10.79,49231,
2010-03-23 12:03:00,FININD,10.9,10.98,10.67,10.84,106616,
2010-03-25 12:03:00,FININD,10.8,10.9,10.73,10.77,48743,
2010-03-26 12:03:00,FININD,10.87,12.56,10.75,12.27,805866,
2010-03-29 12:03:00,FININD,12.4,12.75,11.82,11.97,872403,
2010-03-30 12:03:00,FININD,12.39,12.39,11.65,11.76,148876,
