datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,FIRSOU,34.2,35.4,34.2,35.1,4840504,
2010-01-05 12:01:00,FIRSOU,35.6,36.2,34.9,35.75,7135982,
2010-01-06 12:01:00,FIRSOU,36.15,36.55,35.6,36.1,7312888,
2010-01-07 12:01:00,FIRSOU,36.15,36.25,35.25,35.45,2716173,
2010-01-08 12:01:00,FIRSOU,35.8,36.05,35.15,35.3,2437801,
2010-01-11 12:01:00,FIRSOU,35.9,36.1,35.5,35.85,2682837,
2010-01-12 12:01:00,FIRSOU,36.05,36.9,35.3,35.55,6419690,
2010-01-13 12:01:00,FIRSOU,35.5,37.6,35.15,37.45,13603223,
2010-01-14 12:01:00,FIRSOU,37.85,37.95,36.8,37.1,8268180,
2010-01-15 12:01:00,FIRSOU,37.25,37.75,36.7,36.85,4626139,
2010-01-18 12:01:00,FIRSOU,36.8,37.2,36.5,36.85,3424454,
2010-01-19 12:01:00,FIRSOU,37.0,37.75,36.3,36.65,5817509,
2010-01-20 12:01:00,FIRSOU,36.75,37.45,35.7,35.9,3232793,
2010-01-21 12:01:00,FIRSOU,35.75,36.15,33.7,34.1,4138122,
2010-01-22 12:01:00,FIRSOU,33.65,33.95,32.7,33.65,3710547,
2010-01-25 12:01:00,FIRSOU,33.8,34.15,33.0,33.2,1675334,
2010-01-27 12:01:00,FIRSOU,33.0,33.9,31.0,31.5,4634999,
2010-01-28 12:01:00,FIRSOU,31.7,32.45,30.3,30.5,10437700,
2010-01-29 12:01:00,FIRSOU,29.9,31.6,29.55,31.35,5341622,
2010-02-01 12:02:00,FIRSOU,31.15,32.3,30.8,31.9,4074913,
2010-02-02 12:02:00,FIRSOU,32.6,32.65,31.05,31.25,4134330,
2010-02-04 12:02:00,FIRSOU,32.15,32.2,30.6,31.05,2623219,
2010-02-05 12:02:00,FIRSOU,30.3,31.0,29.95,30.4,2694507,
2010-02-06 12:02:00,FIRSOU,31.2,31.2,30.5,30.95,929876,
