datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,GABIND,17.18,17.9,17.03,17.75,298703,
2010-01-05 12:01:00,GABIND,18.0,18.5,17.7,17.95,561717,
2010-01-06 12:01:00,GABIND,18.0,18.5,17.63,18.45,441437,
2010-01-07 12:01:00,GABIND,18.95,20.3,18.78,20.08,1682555,
2010-01-08 12:01:00,GABIND,20.65,21.25,20.18,20.45,911928,
2010-01-11 12:01:00,GABIND,20.93,21.88,20.25,21.08,598445,
2010-01-12 12:01:00,GABIND,21.0,21.25,19.6,19.8,203707,
2010-01-13 12:01:00,GABIND,19.08,20.9,19.08,20.25,353764,
2010-01-14 12:01:00,GABIND,20.5,20.93,19.75,19.85,143425,
2010-01-15 12:01:00,GABIND,20.05,20.9,19.65,20.38,366407,
2010-01-18 12:01:00,GABIND,20.08,20.7,19.68,19.8,101601,
2010-01-19 12:01:00,GABIND,20.0,20.0,18.75,18.98,206003,
2010-01-20 12:01:00,GABIND,18.58,19.75,18.2,18.3,194621,
2010-01-21 12:01:00,GABIND,18.0,18.7,17.75,17.83,138728,
2010-01-22 12:01:00,GABIND,16.3,17.88,16.28,17.65,146545,
2010-01-25 12:01:00,GABIND,17.03,18.38,17.03,17.23,129677,
2010-01-27 12:01:00,GABIND,17.0,18.25,15.33,15.78,199828,
2010-01-28 12:01:00,GABIND,15.3,16.43,15.3,15.7,117564,
2010-01-29 12:01:00,GABIND,15.55,17.05,15.38,16.48,146235,
2010-02-01 12:02:00,GABIND,17.43,18.1,17.25,17.5,277743,
2010-02-02 12:02:00,GABIND,17.3,18.25,17.3,17.68,172992,
2010-02-04 12:02:00,GABIND,16.75,17.73,16.75,17.5,119620,
2010-02-05 12:02:00,GABIND,15.35,16.98,14.3,16.65,94728,
2010-02-06 12:02:00,GABIND,16.18,17.33,16.18,16.98,19053,
2010-02-08 12:02:00,GABIND,16.75,17.25,16.35,16.63,47752,
2010-02-09 12:02:00,GABIND,16.28,17.45,16.28,17.03,71306,
2010-02-10 12:02:00,GABIND,17.03,17.7,16.88,17.13,173436,
2010-02-11 12:02:00,GABIND,16.65,17.4,16.65,16.78,59435,
2010-02-15 12:02:00,GABIND,15.0,17.45,15.0,16.83,54001,
2010-02-16 12:02:00,GABIND,16.55,16.95,16.55,16.63,38282,
2010-02-17 12:02:00,GABIND,16.78,17.0,16.58,16.85,50213,
2010-02-18 12:02:00,GABIND,15.5,17.4,15.5,16.6,114667,
2010-02-19 12:02:00,GABIND,15.9,16.78,15.9,16.15,39474,
2010-02-22 12:02:00,GABIND,16.25,16.93,15.3,15.55,59664,
2010-02-23 12:02:00,GABIND,15.0,16.15,15.0,16.0,60178,
2010-02-24 12:02:00,GABIND,15.9,15.93,15.5,15.8,20782,
2010-02-25 12:02:00,GABIND,15.58,15.95,14.9,15.1,305986,
2010-02-26 12:02:00,GABIND,15.0,16.38,14.88,15.95,103894,
2010-03-02 12:03:00,GABIND,15.85,17.95,15.85,17.65,270947,
2010-03-03 12:03:00,GABIND,18.13,18.63,17.85,18.03,294559,
2010-03-04 12:03:00,GABIND,18.2,18.2,17.08,17.38,57026,
2010-03-05 12:03:00,GABIND,17.15,17.88,16.75,17.28,76052,
2010-03-08 12:03:00,GABIND,17.53,17.75,17.25,17.35,68029,
2010-03-09 12:03:00,GABIND,17.28,17.65,17.05,17.25,56390,
2010-03-10 12:03:00,GABIND,17.28,17.45,17.05,17.15,25534,
2010-03-11 12:03:00,GABIND,16.68,17.48,16.68,16.78,23307,
2010-03-12 12:03:00,GABIND,16.68,17.0,16.35,16.43,39328,
2010-03-15 12:03:00,GABIND,16.13,16.9,16.13,16.35,31460,
2010-03-16 12:03:00,GABIND,16.05,17.1,16.05,16.78,74251,
2010-03-17 12:03:00,GABIND,17.08,17.08,16.25,16.38,83479,
2010-03-18 12:03:00,GABIND,16.6,16.75,15.95,16.25,136312,
2010-03-19 12:03:00,GABIND,16.55,16.98,16.35,16.83,109491,
2010-03-22 12:03:00,GABIND,16.45,17.0,16.45,16.83,66414,
2010-03-23 12:03:00,GABIND,16.15,17.15,16.15,16.95,65383,
2010-03-25 12:03:00,GABIND,16.55,17.0,16.55,16.75,46366,
2010-03-26 12:03:00,GABIND,16.75,16.93,16.2,16.33,52843,
2010-03-29 12:03:00,GABIND,16.73,19.08,16.0,17.5,1265272,
2010-03-30 12:03:00,GABIND,19.0,19.0,17.75,17.95,353685,
2010-03-31 12:03:00,GABIND,18.23,18.4,18.0,18.1,113982,
2010-04-01 12:04:00,GABIND,17.63,19.23,17.63,19.0,290915,
2010-04-05 12:04:00,GABIND,19.1,20.75,19.05,20.23,535020,
2010-04-06 12:04:00,GABIND,19.75,20.88,19.4,20.15,374252,
2010-04-07 12:04:00,GABIND,19.55,21.05,19.55,20.5,479263,
2010-04-08 12:04:00,GABIND,20.6,20.83,19.9,20.0,151827,
2010-04-09 12:04:00,GABIND,19.55,21.23,19.55,20.78,414723,
2010-04-12 12:04:00,GABIND,20.83,21.23,20.25,20.48,194395,
2010-04-13 12:04:00,GABIND,20.3,21.95,20.13,21.73,536061,
2010-04-16 12:04:00,GABIND,20.13,21.23,20.13,20.55,71131,
2010-04-19 12:04:00,GABIND,20.05,20.4,19.5,19.73,148111,
2010-04-20 12:04:00,GABIND,19.85,23.6,19.85,22.98,1821429,
2010-04-21 12:04:00,GABIND,23.5,23.9,22.7,23.2,832776,
2010-04-22 12:04:00,GABIND,22.55,25.45,22.55,25.03,1256402,
