datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,GAIL,77.44,78.75,77.13,77.82,821671,
2010-01-05 12:01:00,GAIL,75.61,78.84,75.61,78.51,2173100,
2010-01-06 12:01:00,GAIL,79.03,79.03,77.27,77.98,1107279,
2010-01-07 12:01:00,GAIL,78.49,80.18,78.01,79.94,1579239,
2010-01-08 12:01:00,GAIL,79.59,81.62,79.59,80.39,1971781,
2010-01-11 12:01:00,GAIL,80.81,81.45,79.69,81.08,1976357,
2010-01-12 12:01:00,GAIL,80.16,81.34,79.88,80.18,968909,
2010-01-13 12:01:00,GAIL,80.06,80.06,78.96,79.78,941359,
2010-01-14 12:01:00,GAIL,80.06,81.19,79.74,80.62,1796902,
2010-01-15 12:01:00,GAIL,80.54,80.81,79.63,79.78,809546,
2010-01-18 12:01:00,GAIL,79.97,83.21,79.33,82.22,2496120,
2010-01-19 12:01:00,GAIL,82.59,83.44,79.35,79.88,2256712,
2010-01-20 12:01:00,GAIL,80.06,81.19,77.25,79.01,2792017,
2010-01-21 12:01:00,GAIL,79.29,79.91,76.59,77.11,1202490,
2010-01-22 12:01:00,GAIL,76.67,76.88,74.11,74.95,3097879,
2010-01-25 12:01:00,GAIL,75.1,75.68,74.17,75.01,1151809,
2010-01-27 12:01:00,GAIL,74.06,75.26,71.72,73.29,2221455,
2010-01-28 12:01:00,GAIL,74.06,75.38,72.77,74.42,2468238,
2010-01-29 12:01:00,GAIL,74.34,74.63,72.98,73.88,1273320,
2010-02-01 12:02:00,GAIL,74.25,77.85,73.5,77.36,1469335,
2010-02-02 12:02:00,GAIL,77.81,78.32,74.08,74.7,1195238,
2010-02-04 12:02:00,GAIL,77.21,79.59,77.21,78.51,3211576,
2010-02-05 12:02:00,GAIL,77.72,79.31,76.17,77.98,3272102,
2010-02-06 12:02:00,GAIL,78.56,79.22,77.44,78.61,298409,
2010-02-08 12:02:00,GAIL,78.76,79.69,76.13,76.89,2630775,
2010-02-09 12:02:00,GAIL,76.92,77.63,76.33,76.63,1150514,
2010-02-10 12:02:00,GAIL,77.24,77.91,76.05,76.5,1685828,
2010-02-11 12:02:00,GAIL,77.03,77.67,76.9,77.3,735351,
2010-02-15 12:02:00,GAIL,75.19,78.26,75.19,76.28,875485,
2010-02-16 12:02:00,GAIL,76.58,77.19,75.81,76.89,1234857,
2010-02-17 12:02:00,GAIL,77.25,77.71,76.53,77.04,1400048,
2010-02-18 12:02:00,GAIL,76.88,76.88,75.51,75.77,1431080,
2010-02-19 12:02:00,GAIL,75.77,76.11,74.7,75.84,989284,
2010-02-22 12:02:00,GAIL,76.5,76.88,75.56,75.83,742390,
2010-02-23 12:02:00,GAIL,75.83,77.03,75.57,76.63,984322,
2010-02-24 12:02:00,GAIL,75.81,76.87,75.56,76.15,1097082,
2010-02-25 12:02:00,GAIL,76.13,76.15,74.39,74.84,1414000,
2010-02-26 12:02:00,GAIL,75.9,77.25,74.27,74.78,2359740,
2010-03-02 12:03:00,GAIL,75.57,75.67,73.29,73.61,1674473,
2010-03-03 12:03:00,GAIL,74.06,75.43,73.72,75.02,1185049,
2010-03-04 12:03:00,GAIL,75.38,75.42,74.17,75.02,1417461,
2010-03-05 12:03:00,GAIL,75.94,77.04,75.47,76.66,1233143,
2010-03-08 12:03:00,GAIL,77.56,78.23,76.88,77.1,1713442,
2010-03-09 12:03:00,GAIL,77.24,77.53,75.85,76.43,612036,
2010-03-10 12:03:00,GAIL,76.69,77.01,75.97,76.39,888884,
2010-03-11 12:03:00,GAIL,76.69,78.56,76.24,78.23,1505117,
2010-03-12 12:03:00,GAIL,78.42,79.61,78.22,78.6,1577814,
2010-03-15 12:03:00,GAIL,78.09,78.37,76.71,77.09,685887,
2010-03-16 12:03:00,GAIL,76.69,78.19,75.2,77.63,589998,
2010-03-17 12:03:00,GAIL,77.79,79.64,77.79,78.93,555126,
2010-03-18 12:03:00,GAIL,79.13,79.58,78.08,78.46,422679,
2010-03-19 12:03:00,GAIL,78.22,79.41,77.31,77.64,750790,
2010-03-22 12:03:00,GAIL,77.81,78.71,76.06,76.43,905319,
2010-03-23 12:03:00,GAIL,76.73,77.44,75.94,76.47,972006,
2010-03-25 12:03:00,GAIL,76.5,76.5,75.0,75.32,4042232,
2010-03-26 12:03:00,GAIL,75.38,76.09,75.06,75.29,2903844,
2010-03-29 12:03:00,GAIL,75.38,75.52,74.29,75.11,1899434,
2010-03-30 12:03:00,GAIL,75.38,75.55,74.81,75.08,2828428,
2010-03-31 12:03:00,GAIL,76.88,77.23,75.08,76.99,2074631,
2010-04-01 12:04:00,GAIL,76.69,77.52,76.33,76.97,927047,
2010-04-05 12:04:00,GAIL,77.25,78.75,77.08,78.23,1562481,
2010-04-06 12:04:00,GAIL,78.47,78.53,76.71,78.2,982761,
2010-04-07 12:04:00,GAIL,77.13,81.24,77.13,80.93,2604943,
2010-04-08 12:04:00,GAIL,81.0,81.69,79.52,80.03,1328810,
2010-04-09 12:04:00,GAIL,79.69,81.69,79.36,79.61,3363140,
2010-04-12 12:04:00,GAIL,79.88,79.88,76.78,77.1,3353216,
2010-04-13 12:04:00,GAIL,77.25,77.69,76.31,76.9,2540054,
2010-04-16 12:04:00,GAIL,76.13,77.06,75.44,76.81,2892230,
2010-04-19 12:04:00,GAIL,75.66,76.69,75.47,75.82,1362275,
2010-04-20 12:04:00,GAIL,76.69,81.54,76.69,79.77,7987830,
2010-04-21 12:04:00,GAIL,80.25,80.67,78.73,79.98,2131501,
2010-04-22 12:04:00,GAIL,79.37,80.61,78.94,79.25,1530674,
2010-04-23 12:04:00,GAIL,80.01,80.04,78.76,79.14,469259,
2010-04-26 12:04:00,GAIL,79.68,80.03,78.94,79.33,899580,
2010-04-27 12:04:00,GAIL,81.0,81.0,78.98,79.64,997953,
2010-04-28 12:04:00,GAIL,78.62,79.88,78.0,79.02,1643989,
2010-04-29 12:04:00,GAIL,79.35,79.69,77.68,78.03,2317621,
2010-04-30 12:04:00,GAIL,78.56,80.78,78.21,80.46,1624363,
2010-05-03 12:05:00,GAIL,79.5,80.63,79.5,80.26,1101898,
2010-05-04 12:05:00,GAIL,80.72,81.26,79.72,80.02,1872981,
2010-05-05 12:05:00,GAIL,78.94,79.69,78.07,78.68,1057358,
2010-05-06 12:05:00,GAIL,78.38,80.31,77.77,79.98,1572540,
2010-05-07 12:05:00,GAIL,79.88,79.88,78.21,78.72,1384930,
2010-05-10 12:05:00,GAIL,78.94,80.87,78.94,80.2,917589,
2010-05-11 12:05:00,GAIL,80.25,82.69,79.17,79.73,2628408,
2010-05-12 12:05:00,GAIL,79.88,81.17,79.42,80.94,1226764,
2010-05-13 12:05:00,GAIL,81.34,81.56,79.95,80.41,1070384,
2010-05-14 12:05:00,GAIL,79.88,81.26,79.88,80.2,673318,
2010-05-17 12:05:00,GAIL,78.76,81.56,78.47,81.19,1265258,
2010-05-18 12:05:00,GAIL,82.69,83.33,80.85,82.68,1686242,
2010-05-19 12:05:00,GAIL,81.75,82.91,80.3,81.04,1226291,
2010-05-20 12:05:00,GAIL,82.5,85.0,81.79,82.85,3665001,
2010-05-24 12:05:00,GAIL,85.86,85.86,83.97,84.7,1423041,
2010-05-25 12:05:00,GAIL,83.61,84.46,82.01,83.7,996282,
2010-05-26 12:05:00,GAIL,84.74,85.41,83.15,84.01,1442518,
2010-05-27 12:05:00,GAIL,83.44,85.3,82.8,84.78,2236853,
2010-05-28 12:05:00,GAIL,86.06,86.24,83.68,84.06,967215,
2010-05-31 12:05:00,GAIL,84.77,85.58,84.04,85.06,1200376,
2010-06-01 12:06:00,GAIL,85.31,86.06,83.83,84.37,832446,
2010-06-02 12:06:00,GAIL,84.56,85.59,84.38,85.19,1377042,
2010-06-03 12:06:00,GAIL,86.04,87.47,85.51,86.56,1801229,
2010-06-04 12:06:00,GAIL,87.19,88.3,85.88,86.39,2462823,
2010-06-07 12:06:00,GAIL,85.69,86.98,83.85,84.92,1543416,
2010-06-08 12:06:00,GAIL,84.75,86.39,83.88,84.37,2213462,
2010-06-09 12:06:00,GAIL,84.56,86.01,84.19,85.43,928144,
2010-06-10 12:06:00,GAIL,85.85,86.11,85.13,85.52,575359,
2010-06-11 12:06:00,GAIL,85.88,86.76,85.63,86.23,1330380,
2010-06-14 12:06:00,GAIL,86.81,87.05,85.77,86.61,829596,
2010-06-15 12:06:00,GAIL,86.28,87.0,86.11,86.66,728401,
2010-06-16 12:06:00,GAIL,86.63,87.46,85.99,86.93,940478,
2010-06-17 12:06:00,GAIL,87.3,89.4,86.63,89.09,914240,
2010-06-18 12:06:00,GAIL,88.98,89.72,87.95,88.58,922933,
2010-06-21 12:06:00,GAIL,88.88,89.62,88.23,88.75,1187356,
2010-06-22 12:06:00,GAIL,88.69,89.05,87.94,88.23,706844,
2010-06-23 12:06:00,GAIL,88.43,89.7,88.13,89.25,537826,
2010-06-24 12:06:00,GAIL,89.46,90.0,87.64,89.39,1306040,
2010-06-25 12:06:00,GAIL,88.69,96.88,88.53,90.78,3586981,
2010-06-28 12:06:00,GAIL,91.54,92.37,88.03,88.84,4630833,
2010-06-30 12:06:00,GAIL,88.13,89.15,86.86,87.62,1890100,
2010-07-01 12:07:00,GAIL,87.34,90.56,86.34,87.42,1634976,
2010-07-02 12:07:00,GAIL,87.66,88.95,86.16,86.59,1382510,
2010-07-05 12:07:00,GAIL,86.63,87.93,85.33,87.19,1130652,
