datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,GHCLIM,54.4,54.4,52.8,52.95,302177,
2010-01-05 12:01:00,GHCLIM,52.0,53.75,52.0,52.9,321579,
2010-01-06 12:01:00,GHCLIM,53.0,53.45,52.2,52.35,226202,
2010-01-07 12:01:00,GHCLIM,52.85,53.25,52.25,52.6,226855,
2010-01-08 12:01:00,GHCLIM,52.7,53.15,51.7,52.05,194503,
2010-01-11 12:01:00,GHCLIM,53.0,53.5,52.55,53.0,337557,
2010-01-12 12:01:00,GHCLIM,53.4,55.15,52.55,53.0,630090,
2010-01-13 12:01:00,GHCLIM,52.75,53.25,52.45,52.75,213240,
2010-01-14 12:01:00,GHCLIM,53.2,54.85,52.9,53.85,693536,
2010-01-15 12:01:00,GHCLIM,54.1,54.6,52.3,52.65,350569,
2010-01-18 12:01:00,GHCLIM,52.85,53.45,52.4,52.7,206975,
2010-01-19 12:01:00,GHCLIM,53.0,54.6,52.7,53.7,1613290,
2010-01-20 12:01:00,GHCLIM,54.2,54.5,52.4,52.75,430150,
2010-01-21 12:01:00,GHCLIM,52.5,52.9,50.5,50.7,286392,
2010-01-22 12:01:00,GHCLIM,49.55,50.0,48.5,49.3,344547,
2010-01-25 12:01:00,GHCLIM,48.5,49.2,47.4,48.45,165169,
2010-01-27 12:01:00,GHCLIM,48.45,49.2,45.9,46.3,149908,
2010-01-28 12:01:00,GHCLIM,47.1,47.8,44.75,45.05,201258,
2010-01-29 12:01:00,GHCLIM,44.0,45.2,43.25,44.8,180039,
2010-02-01 12:02:00,GHCLIM,45.5,47.45,44.2,46.75,159038,
2010-02-02 12:02:00,GHCLIM,48.0,48.7,46.25,46.6,1209402,
2010-02-04 12:02:00,GHCLIM,47.0,47.4,45.1,45.7,110649,
2010-02-05 12:02:00,GHCLIM,44.2,44.5,43.25,44.15,144094,
2010-02-06 12:02:00,GHCLIM,44.3,45.35,44.3,44.75,31658,
2010-02-08 12:02:00,GHCLIM,45.4,45.4,43.75,44.5,90705,
2010-02-09 12:02:00,GHCLIM,45.0,46.75,44.4,45.9,105928,
2010-02-10 12:02:00,GHCLIM,46.1,46.85,44.0,44.8,216475,
2010-02-11 12:02:00,GHCLIM,45.2,46.35,44.9,45.35,112758,
2010-02-15 12:02:00,GHCLIM,45.75,45.85,44.3,44.5,100544,
2010-02-16 12:02:00,GHCLIM,45.0,45.3,44.05,44.7,65741,
2010-02-17 12:02:00,GHCLIM,45.3,45.45,44.75,45.0,178201,
2010-02-18 12:02:00,GHCLIM,45.15,45.15,43.95,44.15,116871,
2010-02-19 12:02:00,GHCLIM,44.0,44.8,43.25,44.35,129272,
2010-02-22 12:02:00,GHCLIM,44.75,45.9,44.2,44.3,151723,
2010-02-23 12:02:00,GHCLIM,44.1,44.75,43.4,44.35,75161,
2010-02-24 12:02:00,GHCLIM,44.0,44.75,43.65,44.25,85613,
2010-02-25 12:02:00,GHCLIM,44.05,44.45,43.45,43.7,42386,
2010-02-26 12:02:00,GHCLIM,43.65,44.7,43.65,44.05,65176,
2010-03-02 12:03:00,GHCLIM,44.1,44.85,44.05,44.65,129020,
2010-03-03 12:03:00,GHCLIM,44.9,45.45,44.55,45.35,143287,
2010-03-04 12:03:00,GHCLIM,45.5,47.2,45.0,47.0,295348,
2010-03-05 12:03:00,GHCLIM,47.95,47.95,45.65,46.1,96187,
2010-03-08 12:03:00,GHCLIM,47.2,47.65,46.6,47.0,171993,
2010-03-09 12:03:00,GHCLIM,47.05,47.9,46.55,46.8,266339,
2010-03-10 12:03:00,GHCLIM,47.25,47.25,45.45,45.55,54461,
