datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,GODCON,99.43,99.43,89.48,90.35,97980,
2010-01-05 12:01:00,GODCON,90.67,92.88,90.15,90.48,53802,
2010-01-06 12:01:00,GODCON,92.0,92.0,86.02,88.0,62115,
2010-01-07 12:01:00,GODCON,88.0,88.0,86.0,87.3,52411,
2010-01-08 12:01:00,GODCON,88.18,89.93,87.02,89.43,53207,
2010-01-11 12:01:00,GODCON,90.67,92.67,88.67,89.03,62017,
2010-01-12 12:01:00,GODCON,89.03,89.98,88.67,89.0,22444,
2010-01-13 12:01:00,GODCON,89.13,89.6,87.35,89.03,46281,
2010-01-14 12:01:00,GODCON,91.3,91.3,88.33,89.62,43803,
2010-01-15 12:01:00,GODCON,89.67,90.07,88.67,89.07,15320,
2010-01-18 12:01:00,GODCON,88.33,90.0,87.17,88.02,27464,
2010-01-19 12:01:00,GODCON,90.0,90.0,87.0,87.22,49632,
2010-01-20 12:01:00,GODCON,87.0,88.55,86.0,86.22,73171,
2010-01-21 12:01:00,GODCON,85.5,87.3,85.0,85.92,18144,
2010-01-22 12:01:00,GODCON,84.67,85.33,81.35,83.48,69638,
2010-01-25 12:01:00,GODCON,84.17,88.0,80.67,82.33,170932,
2010-01-27 12:01:00,GODCON,80.03,84.15,80.03,81.68,155616,
2010-01-28 12:01:00,GODCON,83.33,83.67,78.73,79.23,33848,
2010-01-29 12:01:00,GODCON,80.0,80.0,75.87,78.27,57906,
2010-02-01 12:02:00,GODCON,79.0,80.97,78.33,79.35,34690,
2010-02-02 12:02:00,GODCON,82.33,82.33,78.63,79.18,38111,
2010-02-04 12:02:00,GODCON,79.33,81.32,79.0,80.32,43381,
2010-02-05 12:02:00,GODCON,79.33,83.67,78.0,82.95,87247,
2010-02-06 12:02:00,GODCON,83.95,85.33,83.33,83.72,16183,
2010-02-08 12:02:00,GODCON,84.15,87.63,82.67,83.53,54313,
2010-02-09 12:02:00,GODCON,83.7,85.3,83.42,84.58,26309,
2010-02-10 12:02:00,GODCON,85.65,87.5,84.1,86.33,39105,
2010-02-11 12:02:00,GODCON,87.57,87.57,84.43,85.7,14113,
2010-02-15 12:02:00,GODCON,85.7,88.7,82.68,85.08,2140206,
2010-02-16 12:02:00,GODCON,86.67,86.67,83.37,83.52,34777,
2010-02-17 12:02:00,GODCON,85.98,86.0,83.67,84.33,163888,
2010-02-18 12:02:00,GODCON,84.7,87.13,84.7,85.42,123109,
2010-02-19 12:02:00,GODCON,86.33,87.67,85.63,87.18,44148,
2010-02-22 12:02:00,GODCON,88.33,89.5,85.67,87.38,47909,
2010-02-23 12:02:00,GODCON,86.67,86.67,84.68,85.35,59763,
2010-02-24 12:02:00,GODCON,84.0,85.72,83.72,84.85,107916,
2010-02-25 12:02:00,GODCON,85.07,86.5,78.4,79.68,194692,
2010-02-26 12:02:00,GODCON,80.57,84.83,79.1,82.17,135848,
