datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,GODPOW,10.48,11.3,10.47,11.22,622952,
2010-01-05 12:01:00,GODPOW,11.47,11.65,11.22,11.35,547446,
2010-01-06 12:01:00,GODPOW,11.55,12.42,11.4,11.6,770161,
2010-01-07 12:01:00,GODPOW,11.63,11.95,11.5,11.75,462793,
2010-01-08 12:01:00,GODPOW,11.75,11.87,11.45,11.54,140340,
2010-01-11 12:01:00,GODPOW,11.73,11.99,11.66,11.73,153157,
2010-01-12 12:01:00,GODPOW,11.75,11.8,11.15,11.22,164629,
2010-01-13 12:01:00,GODPOW,11.0,11.4,10.95,11.2,135891,
2010-01-14 12:01:00,GODPOW,11.25,12.19,11.25,11.83,303214,
2010-01-15 12:01:00,GODPOW,12.0,12.0,11.58,11.69,152622,
2010-01-18 12:01:00,GODPOW,11.69,11.87,11.5,11.64,122354,
2010-01-19 12:01:00,GODPOW,11.5,11.77,11.5,11.67,73127,
2010-01-20 12:01:00,GODPOW,11.79,12.0,11.26,11.55,139426,
2010-01-21 12:01:00,GODPOW,11.55,12.12,11.26,11.32,302786,
2010-01-22 12:01:00,GODPOW,11.05,11.53,10.8,11.4,150521,
2010-01-25 12:01:00,GODPOW,11.35,11.59,11.15,11.34,73676,
2010-01-27 12:01:00,GODPOW,11.12,11.32,10.25,10.39,109302,
2010-01-28 12:01:00,GODPOW,10.64,10.9,10.03,10.15,124668,
2010-01-29 12:01:00,GODPOW,10.1,10.1,9.38,9.93,157748,
2010-02-01 12:02:00,GODPOW,9.75,10.84,9.68,10.76,168543,
2010-02-02 12:02:00,GODPOW,10.8,11.6,10.76,11.08,249698,
2010-02-04 12:02:00,GODPOW,11.15,11.35,10.6,10.83,92293,
2010-02-05 12:02:00,GODPOW,10.07,10.55,10.07,10.28,83618,
2010-02-06 12:02:00,GODPOW,10.35,10.65,10.26,10.41,30895,
2010-02-08 12:02:00,GODPOW,10.25,10.75,10.25,10.4,73140,
2010-02-09 12:02:00,GODPOW,10.4,10.69,10.28,10.35,38467,
2010-02-10 12:02:00,GODPOW,10.5,10.9,10.46,10.56,155073,
2010-02-11 12:02:00,GODPOW,10.7,10.78,10.46,10.56,71933,
2010-02-15 12:02:00,GODPOW,10.4,10.67,10.25,10.34,65507,
2010-02-16 12:02:00,GODPOW,10.77,10.77,10.22,10.33,66810,
2010-02-17 12:02:00,GODPOW,10.33,10.7,10.29,10.35,80498,
2010-02-18 12:02:00,GODPOW,10.41,10.45,10.25,10.3,53947,
2010-02-19 12:02:00,GODPOW,10.35,10.35,9.9,10.0,44311,
2010-02-22 12:02:00,GODPOW,10.3,10.3,9.77,9.84,47065,
2010-02-23 12:02:00,GODPOW,9.52,9.94,9.52,9.79,33317,
2010-02-24 12:02:00,GODPOW,9.77,9.78,9.41,9.45,36990,
2010-02-25 12:02:00,GODPOW,9.18,9.6,9.18,9.46,28710,
2010-02-26 12:02:00,GODPOW,9.5,10.18,9.48,10.03,75101,
2010-03-02 12:03:00,GODPOW,10.06,10.37,9.95,10.24,74708,
2010-03-03 12:03:00,GODPOW,10.28,11.22,10.28,11.07,259891,
2010-03-04 12:03:00,GODPOW,11.1,11.48,10.86,11.39,160682,
2010-03-05 12:03:00,GODPOW,11.51,11.6,11.0,11.12,147760,
2010-03-08 12:03:00,GODPOW,10.9,11.4,10.9,11.2,67288,
2010-03-09 12:03:00,GODPOW,11.2,11.37,10.71,10.82,58335,
2010-03-10 12:03:00,GODPOW,10.7,10.95,10.52,10.6,74469,
2010-03-11 12:03:00,GODPOW,10.6,11.07,10.6,10.8,184922,
2010-03-12 12:03:00,GODPOW,10.8,10.93,10.6,10.66,47507,
2010-03-15 12:03:00,GODPOW,10.6,10.9,10.6,10.65,49330,
2010-03-16 12:03:00,GODPOW,10.71,10.85,10.41,10.79,70316,
2010-03-17 12:03:00,GODPOW,10.56,11.5,10.56,11.38,318791,
2010-03-18 12:03:00,GODPOW,11.3,11.84,11.25,11.73,442466,
2010-03-19 12:03:00,GODPOW,11.48,11.94,11.48,11.67,208915,
2010-03-22 12:03:00,GODPOW,11.25,11.56,11.2,11.32,107151,
2010-03-23 12:03:00,GODPOW,11.33,11.94,11.3,11.82,154927,
2010-03-25 12:03:00,GODPOW,11.58,11.88,11.55,11.65,113520,
2010-03-26 12:03:00,GODPOW,11.3,12.25,11.3,12.15,255035,
2010-03-29 12:03:00,GODPOW,12.16,13.05,12.16,12.81,430342,
2010-03-30 12:03:00,GODPOW,12.97,13.4,12.91,13.14,268972,
2010-03-31 12:03:00,GODPOW,12.86,13.55,12.86,13.13,204176,
2010-04-01 12:04:00,GODPOW,13.1,13.39,12.85,13.04,141733,
2010-04-05 12:04:00,GODPOW,13.06,13.96,13.06,13.83,270164,
2010-04-06 12:04:00,GODPOW,13.61,13.93,13.48,13.55,96816,
2010-04-07 12:04:00,GODPOW,13.55,13.83,13.5,13.65,85287,
2010-04-08 12:04:00,GODPOW,13.35,13.6,13.25,13.29,79462,
2010-04-09 12:04:00,GODPOW,13.26,13.54,13.25,13.26,60134,
2010-04-12 12:04:00,GODPOW,12.86,13.43,12.86,13.0,73799,
2010-04-13 12:04:00,GODPOW,13.1,13.35,12.92,12.98,58577,
2010-04-16 12:04:00,GODPOW,13.26,13.73,13.26,13.6,100430,
2010-04-19 12:04:00,GODPOW,13.08,13.39,13.01,13.14,91161,
2010-04-20 12:04:00,GODPOW,13.1,13.6,13.1,13.54,128724,
2010-04-21 12:04:00,GODPOW,13.75,13.92,13.43,13.52,95333,
2010-04-22 12:04:00,GODPOW,13.2,14.67,13.2,14.38,585991,
2010-04-23 12:04:00,GODPOW,14.55,15.64,14.11,15.44,1033003,
