datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,GOKEXP,146.25,152.0,146.25,150.1,3106,
2010-01-05 12:01:00,GOKEXP,157.0,160.0,150.15,151.6,5671,
2010-01-06 12:01:00,GOKEXP,153.0,154.0,151.05,153.5,3827,
2010-01-07 12:01:00,GOKEXP,153.0,164.8,152.6,158.75,18189,
2010-01-08 12:01:00,GOKEXP,158.95,163.9,158.15,159.25,8008,
2010-01-11 12:01:00,GOKEXP,161.9,164.45,160.0,163.05,8120,
2010-01-12 12:01:00,GOKEXP,165.0,167.7,158.8,160.95,10409,
2010-01-13 12:01:00,GOKEXP,150.25,173.0,150.25,168.4,14350,
2010-01-14 12:01:00,GOKEXP,170.0,190.15,167.5,186.2,48894,
2010-01-15 12:01:00,GOKEXP,188.0,192.85,179.2,182.05,30039,
2010-01-18 12:01:00,GOKEXP,181.8,191.7,173.0,185.35,36227,
2010-01-19 12:01:00,GOKEXP,185.0,190.0,178.5,181.9,22070,
2010-01-20 12:01:00,GOKEXP,183.0,192.95,179.0,180.25,42927,
2010-01-21 12:01:00,GOKEXP,182.8,183.0,170.25,175.2,9724,
2010-01-22 12:01:00,GOKEXP,163.25,178.95,163.1,170.65,8903,
2010-01-25 12:01:00,GOKEXP,178.95,178.95,168.5,170.65,3641,
2010-01-27 12:01:00,GOKEXP,173.15,173.15,161.05,162.3,5010,
2010-01-28 12:01:00,GOKEXP,157.75,171.0,154.0,155.65,2459,
2010-01-29 12:01:00,GOKEXP,154.0,161.8,147.2,156.85,2741,
2010-02-01 12:02:00,GOKEXP,156.0,169.0,156.0,164.65,1858,
2010-02-02 12:02:00,GOKEXP,172.8,172.8,160.0,160.45,1911,
2010-02-04 12:02:00,GOKEXP,158.2,165.0,156.2,157.2,1612,
2010-02-05 12:02:00,GOKEXP,148.15,155.5,148.15,153.95,1424,
2010-02-06 12:02:00,GOKEXP,143.0,157.75,143.0,157.05,314,
2010-02-08 12:02:00,GOKEXP,161.0,161.0,154.2,154.4,753,
2010-02-09 12:02:00,GOKEXP,156.05,159.0,151.0,155.1,1381,
2010-02-10 12:02:00,GOKEXP,154.0,167.0,154.0,157.05,11897,
2010-02-11 12:02:00,GOKEXP,160.65,162.5,157.05,158.8,1950,
2010-02-15 12:02:00,GOKEXP,160.0,160.0,156.4,157.15,1320,
2010-02-16 12:02:00,GOKEXP,156.0,160.8,156.0,157.55,520,
2010-02-17 12:02:00,GOKEXP,159.95,161.8,157.5,158.2,1770,
2010-02-18 12:02:00,GOKEXP,154.0,161.95,154.0,159.25,6185,
2010-02-19 12:02:00,GOKEXP,158.0,158.7,156.1,156.65,688,
2010-02-22 12:02:00,GOKEXP,156.0,156.95,154.05,154.5,956,
2010-02-23 12:02:00,GOKEXP,154.1,154.1,151.2,152.2,420,
2010-02-24 12:02:00,GOKEXP,150.5,151.65,146.0,149.85,1407,
2010-02-25 12:02:00,GOKEXP,150.9,163.45,149.0,152.1,47427,
2010-02-26 12:02:00,GOKEXP,157.9,160.0,155.0,156.05,6672,
2010-03-02 12:03:00,GOKEXP,155.0,156.85,152.05,153.05,4742,
2010-03-03 12:03:00,GOKEXP,162.0,162.0,152.05,153.85,3120,
2010-03-04 12:03:00,GOKEXP,155.0,155.0,152.3,154.4,1635,
2010-03-05 12:03:00,GOKEXP,152.05,159.7,145.0,157.1,3608,
2010-03-08 12:03:00,GOKEXP,157.0,157.5,153.0,155.2,5150,
2010-03-09 12:03:00,GOKEXP,154.0,159.5,154.0,155.75,3139,
2010-03-10 12:03:00,GOKEXP,155.0,158.1,153.05,153.95,7409,
2010-03-11 12:03:00,GOKEXP,158.0,158.0,150.65,151.45,12725,
2010-03-12 12:03:00,GOKEXP,151.0,153.95,150.0,150.2,1181,
2010-03-15 12:03:00,GOKEXP,151.0,155.0,147.0,148.45,6854,
2010-03-16 12:03:00,GOKEXP,147.0,153.5,142.55,150.05,8145,
2010-03-17 12:03:00,GOKEXP,154.0,154.0,148.9,149.2,1401,
2010-03-18 12:03:00,GOKEXP,153.0,153.0,147.8,150.65,8828,
2010-03-19 12:03:00,GOKEXP,154.7,158.5,150.1,153.1,16787,
2010-03-22 12:03:00,GOKEXP,154.1,156.9,148.3,150.25,2029,
2010-03-23 12:03:00,GOKEXP,150.85,152.0,145.0,146.55,4248,
2010-03-25 12:03:00,GOKEXP,148.0,148.0,142.5,143.7,2299,
2010-03-26 12:03:00,GOKEXP,143.0,146.0,141.15,144.0,2312,
2010-03-29 12:03:00,GOKEXP,143.6,143.6,140.1,141.35,1429,
2010-03-30 12:03:00,GOKEXP,144.95,145.55,140.0,140.35,2489,
2010-03-31 12:03:00,GOKEXP,151.0,152.0,143.0,144.25,13109,
2010-04-01 12:04:00,GOKEXP,148.0,149.0,145.3,147.45,5049,
2010-04-05 12:04:00,GOKEXP,150.0,150.5,148.2,150.1,2514,
2010-04-06 12:04:00,GOKEXP,158.0,166.0,148.1,160.1,35513,
2010-04-07 12:04:00,GOKEXP,162.3,165.0,154.1,155.4,6679,
2010-04-08 12:04:00,GOKEXP,157.5,160.0,155.05,155.55,5617,
2010-04-09 12:04:00,GOKEXP,159.3,168.0,157.75,163.9,35519,
2010-04-12 12:04:00,GOKEXP,164.8,175.0,163.0,169.45,18825,
2010-04-13 12:04:00,GOKEXP,173.45,174.85,166.75,168.05,6995,
2010-04-16 12:04:00,GOKEXP,160.1,174.85,156.2,165.5,15564,
2010-04-19 12:04:00,GOKEXP,152.6,161.0,152.6,159.3,5146,
2010-04-20 12:04:00,GOKEXP,158.3,161.0,158.3,160.15,1517,
2010-04-21 12:04:00,GOKEXP,164.0,164.0,157.0,159.6,2912,
2010-04-22 12:04:00,GOKEXP,161.0,163.9,157.25,159.7,516,
2010-04-23 12:04:00,GOKEXP,160.0,160.0,156.6,157.0,1044,
2010-04-26 12:04:00,GOKEXP,158.0,162.8,156.0,157.85,942,
2010-04-27 12:04:00,GOKEXP,163.0,163.0,158.0,159.3,1617,
2010-04-28 12:04:00,GOKEXP,158.0,158.0,155.55,155.7,1060,
2010-04-29 12:04:00,GOKEXP,157.0,157.0,154.1,155.05,2087,
2010-04-30 12:04:00,GOKEXP,156.0,159.0,155.0,155.2,763,
2010-05-03 12:05:00,GOKEXP,155.0,157.2,154.15,154.5,1174,
2010-05-04 12:05:00,GOKEXP,154.6,157.5,147.25,150.1,2762,
2010-05-05 12:05:00,GOKEXP,152.8,152.8,146.0,148.0,1130,
2010-05-06 12:05:00,GOKEXP,151.0,152.0,146.7,147.35,2143,
