datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,GRANUL,9.03,9.18,9.03,9.09,24300,
2010-01-05 12:01:00,GRANUL,9.18,9.18,9.01,9.09,33555,
2010-01-06 12:01:00,GRANUL,9.08,9.44,9.08,9.19,78667,
2010-01-07 12:01:00,GRANUL,9.11,9.4,9.11,9.27,32381,
2010-01-08 12:01:00,GRANUL,9.3,9.39,9.04,9.1,21750,
2010-01-11 12:01:00,GRANUL,9.2,9.31,9.12,9.25,25153,
2010-01-12 12:01:00,GRANUL,9.28,10.05,9.28,9.57,654508,
2010-01-13 12:01:00,GRANUL,9.63,9.63,9.3,9.39,45071,
2010-01-14 12:01:00,GRANUL,9.5,9.75,9.4,9.61,92431,
2010-01-15 12:01:00,GRANUL,9.73,9.76,9.5,9.57,43331,
2010-01-18 12:01:00,GRANUL,9.64,9.8,9.46,9.63,70824,
2010-01-19 12:01:00,GRANUL,9.13,10.3,9.13,9.87,394376,
2010-01-20 12:01:00,GRANUL,9.99,10.44,9.7,9.93,575037,
2010-01-21 12:01:00,GRANUL,10.1,10.5,9.72,9.8,322513,
2010-01-22 12:01:00,GRANUL,9.6,10.04,9.1,9.62,297131,
2010-01-25 12:01:00,GRANUL,9.79,10.05,9.36,9.47,127105,
2010-01-27 12:01:00,GRANUL,9.42,9.66,8.92,9.1,101209,
2010-01-28 12:01:00,GRANUL,9.2,9.4,8.82,8.92,67451,
2010-01-29 12:01:00,GRANUL,9.25,9.25,8.63,8.97,106781,
2010-02-01 12:02:00,GRANUL,8.9,9.25,8.9,9.04,31085,
2010-02-02 12:02:00,GRANUL,9.1,9.33,8.91,8.93,64824,
2010-02-04 12:02:00,GRANUL,8.95,9.15,8.81,8.92,17084,
2010-02-05 12:02:00,GRANUL,8.3,8.91,8.3,8.81,56980,
2010-02-06 12:02:00,GRANUL,8.8,8.9,8.72,8.84,5668,
2010-02-08 12:02:00,GRANUL,8.95,9.18,8.8,8.89,15590,
2010-02-09 12:02:00,GRANUL,8.7,8.96,8.65,8.88,30528,
2010-02-10 12:02:00,GRANUL,8.95,9.18,8.84,9.05,20797,
2010-02-11 12:02:00,GRANUL,9.05,9.15,8.91,9.06,39029,
2010-02-15 12:02:00,GRANUL,9.01,9.05,8.73,8.95,11373,
2010-02-16 12:02:00,GRANUL,8.95,9.0,8.9,8.95,8226,
2010-02-17 12:02:00,GRANUL,8.92,9.1,8.92,8.99,4529,
2010-02-18 12:02:00,GRANUL,9.0,9.05,8.97,8.98,11677,
2010-02-19 12:02:00,GRANUL,8.9,9.0,8.88,8.88,9730,
2010-02-22 12:02:00,GRANUL,8.86,8.99,8.85,8.94,67846,
2010-02-23 12:02:00,GRANUL,8.85,8.99,8.85,8.85,6248,
2010-02-24 12:02:00,GRANUL,8.9,9.03,8.8,8.96,5149,
2010-02-25 12:02:00,GRANUL,9.0,9.09,8.9,8.96,5771,
2010-02-26 12:02:00,GRANUL,8.9,9.12,8.9,9.0,6932,
2010-03-02 12:03:00,GRANUL,9.0,9.77,9.0,9.47,334804,
2010-03-03 12:03:00,GRANUL,9.6,9.69,9.4,9.5,58484,
2010-03-04 12:03:00,GRANUL,9.45,9.55,9.25,9.39,11621,
2010-03-05 12:03:00,GRANUL,9.33,9.45,9.33,9.42,12196,
2010-03-08 12:03:00,GRANUL,9.5,9.6,9.24,9.32,13223,
2010-03-09 12:03:00,GRANUL,9.23,9.38,9.23,9.27,7248,
2010-03-10 12:03:00,GRANUL,9.3,9.34,9.2,9.26,14125,
2010-03-11 12:03:00,GRANUL,9.2,9.78,9.2,9.6,80208,
2010-03-12 12:03:00,GRANUL,9.55,9.73,9.55,9.65,38855,
2010-03-15 12:03:00,GRANUL,9.61,10.25,9.61,9.74,208389,
2010-03-16 12:03:00,GRANUL,9.67,9.95,9.67,9.8,30059,
2010-03-17 12:03:00,GRANUL,9.8,9.9,9.7,9.71,29034,
2010-03-18 12:03:00,GRANUL,9.72,9.8,9.54,9.65,20485,
2010-03-19 12:03:00,GRANUL,9.6,9.82,9.59,9.6,17180,
2010-03-22 12:03:00,GRANUL,9.5,9.69,9.48,9.49,10511,
2010-03-23 12:03:00,GRANUL,9.5,9.65,9.48,9.49,7775,
2010-03-25 12:03:00,GRANUL,9.14,10.14,9.14,9.69,145754,
2010-03-26 12:03:00,GRANUL,9.78,9.84,9.53,9.59,31554,
2010-03-29 12:03:00,GRANUL,9.59,9.67,9.4,9.56,41792,
2010-03-30 12:03:00,GRANUL,9.5,9.58,9.42,9.43,12241,
2010-03-31 12:03:00,GRANUL,9.3,9.5,9.3,9.36,19784,
2010-04-01 12:04:00,GRANUL,9.4,9.7,9.4,9.48,24235,
2010-04-05 12:04:00,GRANUL,9.55,9.75,9.55,9.65,22990,
2010-04-06 12:04:00,GRANUL,9.6,9.79,9.46,9.66,18765,
2010-04-07 12:04:00,GRANUL,9.7,9.94,9.6,9.68,40687,
2010-04-08 12:04:00,GRANUL,9.7,9.77,9.64,9.68,12392,
2010-04-09 12:04:00,GRANUL,9.68,9.86,9.68,9.71,15572,
2010-04-12 12:04:00,GRANUL,9.8,10.1,9.75,9.82,50393,
2010-04-13 12:04:00,GRANUL,9.8,10.73,9.8,10.63,383246,
2010-04-16 12:04:00,GRANUL,10.27,11.04,10.05,10.64,260402,
2010-04-19 12:04:00,GRANUL,10.42,10.56,10.21,10.35,74256,
2010-04-20 12:04:00,GRANUL,10.54,11.28,10.46,10.85,743566,
2010-04-21 12:04:00,GRANUL,10.97,11.0,10.6,10.64,84761,
2010-04-22 12:04:00,GRANUL,10.7,11.09,10.64,10.71,118660,
2010-04-23 12:04:00,GRANUL,10.8,11.15,10.62,10.82,207791,
2010-04-26 12:04:00,GRANUL,10.97,11.15,10.68,10.77,142419,
2010-04-27 12:04:00,GRANUL,10.85,11.1,10.7,10.77,254112,
2010-04-28 12:04:00,GRANUL,10.76,10.76,10.35,10.39,58222,
2010-04-29 12:04:00,GRANUL,10.5,10.68,10.45,10.49,26417,
2010-04-30 12:04:00,GRANUL,10.7,11.2,10.7,10.76,143136,
2010-05-03 12:05:00,GRANUL,10.75,11.37,10.75,11.15,349780,
2010-05-04 12:05:00,GRANUL,11.25,11.49,10.75,10.82,248611,
2010-05-05 12:05:00,GRANUL,10.1,10.77,10.04,10.7,86405,
2010-05-06 12:05:00,GRANUL,10.79,11.21,10.76,10.88,185060,
2010-05-07 12:05:00,GRANUL,10.7,10.8,10.45,10.51,49566,
2010-05-10 12:05:00,GRANUL,10.88,10.88,10.59,10.69,44152,
2010-05-11 12:05:00,GRANUL,10.75,10.8,10.23,10.34,53450,
2010-05-12 12:05:00,GRANUL,10.6,10.7,10.35,10.43,45934,
2010-05-13 12:05:00,GRANUL,10.54,10.57,10.35,10.38,24987,
2010-05-14 12:05:00,GRANUL,10.3,10.48,10.05,10.17,28486,
2010-05-17 12:05:00,GRANUL,10.0,10.1,9.83,10.03,19542,
2010-05-18 12:05:00,GRANUL,10.0,10.61,9.9,10.05,98997,
2010-05-19 12:05:00,GRANUL,10.15,10.2,9.73,9.79,16681,
2010-05-20 12:05:00,GRANUL,10.0,10.2,9.67,9.74,17209,
2010-05-24 12:05:00,GRANUL,9.58,9.8,9.5,9.53,18146,
2010-05-25 12:05:00,GRANUL,9.4,9.5,9.08,9.31,16348,
2010-05-26 12:05:00,GRANUL,9.4,9.64,9.3,9.38,6525,
2010-05-27 12:05:00,GRANUL,9.4,9.55,9.31,9.45,10378,
2010-05-28 12:05:00,GRANUL,9.5,9.59,9.37,9.42,23385,
2010-05-31 12:05:00,GRANUL,9.5,9.62,9.31,9.4,15835,
2010-06-01 12:06:00,GRANUL,9.33,9.7,9.33,9.53,13295,
2010-06-02 12:06:00,GRANUL,9.51,9.8,9.5,9.67,9868,
2010-06-03 12:06:00,GRANUL,9.72,9.85,9.7,9.78,10517,
2010-06-04 12:06:00,GRANUL,9.84,9.95,9.7,9.76,9058,
2010-06-07 12:06:00,GRANUL,9.52,10.73,9.52,10.4,666206,
2010-06-08 12:06:00,GRANUL,10.5,10.57,9.83,9.95,59479,
2010-06-09 12:06:00,GRANUL,9.81,10.4,9.8,10.09,40305,
2010-06-10 12:06:00,GRANUL,10.08,10.2,9.65,9.71,45593,
2010-06-11 12:06:00,GRANUL,9.99,9.99,9.66,9.7,34760,
2010-06-14 12:06:00,GRANUL,9.7,9.85,9.7,9.77,15190,
2010-06-15 12:06:00,GRANUL,9.75,9.82,9.71,9.75,7154,
2010-06-16 12:06:00,GRANUL,9.64,9.95,9.56,9.62,23538,
2010-06-17 12:06:00,GRANUL,9.75,9.8,9.65,9.69,10916,
2010-06-18 12:06:00,GRANUL,9.67,9.77,9.52,9.59,8919,
2010-06-21 12:06:00,GRANUL,9.51,9.77,9.5,9.63,16025,
2010-06-22 12:06:00,GRANUL,9.54,9.75,9.54,9.69,9424,
2010-06-23 12:06:00,GRANUL,9.6,9.81,9.6,9.78,13842,
2010-06-24 12:06:00,GRANUL,9.8,9.94,9.7,9.74,22023,
2010-06-25 12:06:00,GRANUL,9.75,10.05,9.59,9.8,63352,
2010-06-28 12:06:00,GRANUL,9.81,9.97,9.72,9.84,37206,
2010-06-30 12:06:00,GRANUL,9.76,9.79,9.7,9.71,13811,
2010-07-01 12:07:00,GRANUL,9.71,9.98,9.63,9.79,42060,
2010-07-02 12:07:00,GRANUL,9.8,9.88,9.74,9.77,37284,
2010-07-05 12:07:00,GRANUL,9.7,9.83,9.7,9.77,6556,
2010-07-06 12:07:00,GRANUL,9.85,9.85,9.72,9.83,34092,
2010-07-07 12:07:00,GRANUL,9.85,9.85,9.67,9.72,10393,
2010-07-08 12:07:00,GRANUL,9.79,9.87,9.67,9.72,16170,
2010-07-09 12:07:00,GRANUL,9.8,9.88,9.55,9.65,57714,
2010-07-12 12:07:00,GRANUL,9.7,9.84,9.67,9.71,24658,
2010-07-13 12:07:00,GRANUL,9.78,10.0,9.74,9.9,205804,
2010-07-14 12:07:00,GRANUL,9.97,10.25,9.83,9.94,120778,
2010-07-15 12:07:00,GRANUL,9.98,10.08,9.81,9.91,37232,
2010-07-16 12:07:00,GRANUL,10.0,10.03,9.86,9.89,10577,
2010-07-19 12:07:00,GRANUL,9.99,9.99,9.74,9.8,34188,
2010-07-20 12:07:00,GRANUL,9.89,9.9,9.62,9.69,17759,
2010-07-21 12:07:00,GRANUL,9.7,10.47,9.7,10.17,454090,
2010-07-22 12:07:00,GRANUL,10.2,10.34,10.0,10.11,82828,
2010-07-23 12:07:00,GRANUL,10.2,10.2,9.87,9.97,69722,
2010-07-26 12:07:00,GRANUL,10.2,10.3,9.45,9.59,341944,
2010-07-27 12:07:00,GRANUL,9.67,9.67,9.13,9.17,157272,
2010-07-29 12:07:00,GRANUL,9.16,9.35,9.16,9.28,38554,
2010-07-30 12:07:00,GRANUL,9.3,9.3,9.06,9.1,45967,
2010-08-02 12:08:00,GRANUL,9.14,9.29,9.05,9.08,29419,
2010-08-03 12:08:00,GRANUL,9.08,9.3,9.05,9.07,32133,
2010-08-04 12:08:00,GRANUL,9.07,9.3,9.07,9.2,42168,
2010-08-05 12:08:00,GRANUL,9.2,9.3,9.13,9.19,23347,
2010-08-06 12:08:00,GRANUL,9.1,9.28,9.1,9.19,44203,
2010-08-09 12:08:00,GRANUL,9.28,9.28,9.13,9.19,28715,
2010-08-10 12:08:00,GRANUL,9.38,9.6,9.18,9.38,96030,
2010-08-11 12:08:00,GRANUL,9.4,9.49,9.2,9.26,24351,
2010-08-12 12:08:00,GRANUL,9.12,9.3,9.12,9.21,17661,
2010-08-13 12:08:00,GRANUL,9.2,9.27,9.13,9.15,50547,
2010-08-16 12:08:00,GRANUL,9.1,9.29,9.0,9.21,27738,
2010-08-17 12:08:00,GRANUL,9.21,9.27,9.2,9.21,19450,
2010-08-18 12:08:00,GRANUL,9.28,9.28,9.2,9.23,21961,
2010-08-19 12:08:00,GRANUL,9.21,9.6,9.2,9.39,48789,
2010-08-20 12:08:00,GRANUL,9.48,9.5,9.33,9.43,26976,
2010-08-23 12:08:00,GRANUL,9.3,9.5,9.3,9.44,21230,
2010-08-24 12:08:00,GRANUL,9.49,9.49,9.4,9.45,38216,
