datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,GRASIM,493.03,505.41,490.89,504.07,242897,
2010-01-05 12:01:00,GRASIM,506.18,522.44,505.21,520.34,296799,
2010-01-06 12:01:00,GRASIM,520.67,545.15,517.81,541.39,423946,
2010-01-07 12:01:00,GRASIM,541.4,543.51,527.53,529.31,229856,
2010-01-08 12:01:00,GRASIM,532.5,549.08,528.46,545.33,352687,
2010-01-11 12:01:00,GRASIM,546.24,560.32,536.37,556.03,258989,
2010-01-12 12:01:00,GRASIM,556.48,559.93,547.98,552.91,215476,
2010-01-13 12:01:00,GRASIM,550.69,565.43,546.04,559.7,192870,
2010-01-14 12:01:00,GRASIM,561.31,570.81,559.42,561.76,176588,
2010-01-15 12:01:00,GRASIM,560.38,567.89,558.43,562.76,197834,
2010-01-18 12:01:00,GRASIM,560.36,561.04,548.99,551.16,127656,
2010-01-19 12:01:00,GRASIM,553.2,555.33,536.98,538.19,113109,
2010-01-20 12:01:00,GRASIM,543.92,544.77,530.59,533.13,104129,
2010-01-21 12:01:00,GRASIM,530.37,540.34,524.95,526.66,115108,
2010-01-22 12:01:00,GRASIM,519.73,524.56,509.07,518.72,177517,
2010-01-25 12:01:00,GRASIM,520.69,525.53,511.03,519.37,131649,
2010-01-27 12:01:00,GRASIM,522.44,522.44,505.21,508.93,133842,
2010-01-28 12:01:00,GRASIM,512.95,519.65,502.6,513.22,208412,
2010-01-29 12:01:00,GRASIM,522.6,522.6,501.57,514.73,134667,
2010-02-01 12:02:00,GRASIM,514.89,530.37,508.31,526.76,146073,
2010-02-02 12:02:00,GRASIM,530.39,537.14,511.02,516.76,121267,
2010-02-04 12:02:00,GRASIM,531.63,535.98,515.57,521.69,129664,
2010-02-05 12:02:00,GRASIM,512.7,516.4,508.12,510.22,77338,
2010-02-06 12:02:00,GRASIM,514.7,514.7,508.13,512.15,14554,
2010-02-08 12:02:00,GRASIM,509.1,513.3,502.52,506.73,118701,
2010-02-09 12:02:00,GRASIM,507.12,534.03,504.2,530.09,179580,
2010-02-10 12:02:00,GRASIM,531.34,541.01,524.22,534.57,274148,
2010-02-11 12:02:00,GRASIM,537.92,544.69,534.43,536.26,276142,
2010-02-15 12:02:00,GRASIM,535.21,543.82,527.69,532.33,139831,
2010-02-16 12:02:00,GRASIM,534.24,540.03,530.83,538.45,224072,
2010-02-17 12:02:00,GRASIM,542.0,547.59,540.24,543.16,222506,
2010-02-18 12:02:00,GRASIM,541.98,545.08,532.93,535.68,116683,
2010-02-19 12:02:00,GRASIM,532.3,537.72,527.28,530.75,108640,
2010-02-22 12:02:00,GRASIM,538.09,545.85,518.76,522.8,98733,
2010-02-23 12:02:00,GRASIM,522.63,530.32,519.93,527.35,102277,
2010-02-24 12:02:00,GRASIM,525.53,529.4,522.07,524.56,86284,
2010-02-25 12:02:00,GRASIM,525.53,535.21,515.1,526.65,178042,
2010-02-26 12:02:00,GRASIM,527.47,538.69,525.75,533.55,326512,
2010-03-02 12:03:00,GRASIM,536.18,541.59,530.37,537.56,385509,
2010-03-03 12:03:00,GRASIM,537.52,546.32,537.52,544.87,331844,
2010-03-04 12:03:00,GRASIM,545.85,553.39,540.24,551.77,210865,
2010-03-05 12:03:00,GRASIM,553.59,560.36,553.59,556.25,164782,
2010-03-08 12:03:00,GRASIM,557.46,561.33,556.14,557.95,185444,
2010-03-09 12:03:00,GRASIM,558.24,562.08,555.95,558.82,85155,
2010-03-10 12:03:00,GRASIM,558.43,564.33,557.48,562.58,143068,
2010-03-11 12:03:00,GRASIM,562.58,572.36,562.58,569.8,155685,
2010-03-12 12:03:00,GRASIM,571.01,575.85,569.07,571.19,172165,
2010-03-15 12:03:00,GRASIM,565.2,571.01,556.3,568.78,92988,
2010-03-16 12:03:00,GRASIM,567.14,575.85,566.56,573.17,104907,
2010-03-17 12:03:00,GRASIM,573.91,583.78,572.2,576.63,237693,
2010-03-18 12:03:00,GRASIM,577.78,579.72,571.22,573.99,191940,
2010-03-19 12:03:00,GRASIM,589.97,589.97,571.39,575.57,89553,
2010-03-22 12:03:00,GRASIM,572.94,581.46,566.94,571.39,90754,
2010-03-23 12:03:00,GRASIM,571.01,576.68,561.91,563.83,105301,
2010-03-25 12:03:00,GRASIM,563.27,568.09,559.11,562.09,126479,
2010-03-26 12:03:00,GRASIM,563.27,570.79,563.27,567.93,85415,
2010-03-29 12:03:00,GRASIM,571.01,572.36,564.85,567.4,128525,
2010-03-30 12:03:00,GRASIM,566.17,569.46,553.78,555.54,81163,
2010-03-31 12:03:00,GRASIM,556.69,557.27,551.85,556.47,93970,
