datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,GRINOR,75.1,81.5,73.55,78.48,317451,
2010-01-05 12:01:00,GRINOR,79.48,79.5,76.78,77.38,37620,
2010-01-06 12:01:00,GRINOR,76.55,80.0,76.55,78.18,41935,
2010-01-07 12:01:00,GRINOR,79.0,81.3,78.05,78.4,84042,
2010-01-08 12:01:00,GRINOR,79.5,80.0,77.6,78.35,40133,
2010-01-11 12:01:00,GRINOR,79.65,79.65,78.25,78.65,15799,
2010-01-12 12:01:00,GRINOR,79.0,79.0,71.35,76.58,21336,
2010-01-13 12:01:00,GRINOR,76.75,77.75,75.05,77.13,7204,
2010-01-14 12:01:00,GRINOR,78.48,79.5,77.05,77.48,15934,
2010-01-15 12:01:00,GRINOR,78.9,78.9,76.0,76.45,23303,
2010-01-18 12:01:00,GRINOR,77.48,78.23,76.5,77.08,10080,
2010-01-19 12:01:00,GRINOR,77.98,79.45,76.63,77.2,48339,
2010-01-20 12:01:00,GRINOR,78.4,78.4,75.53,75.85,28634,
2010-01-21 12:01:00,GRINOR,76.4,79.18,75.33,76.0,83693,
2010-01-22 12:01:00,GRINOR,74.0,76.0,73.53,74.85,21070,
2010-01-25 12:01:00,GRINOR,73.0,78.45,73.0,76.43,49605,
2010-01-27 12:01:00,GRINOR,75.4,77.13,72.5,72.85,38260,
2010-01-28 12:01:00,GRINOR,72.0,75.53,72.0,73.68,15953,
2010-01-29 12:01:00,GRINOR,72.5,73.13,70.0,73.0,23906,
2010-02-01 12:02:00,GRINOR,72.5,74.83,72.5,73.78,12004,
2010-02-02 12:02:00,GRINOR,77.33,77.33,73.2,73.55,16968,
2010-02-04 12:02:00,GRINOR,71.68,74.4,71.63,73.05,6779,
2010-02-05 12:02:00,GRINOR,72.0,72.35,70.33,70.53,7144,
2010-02-06 12:02:00,GRINOR,71.8,72.6,70.13,72.25,2677,
2010-02-08 12:02:00,GRINOR,75.0,76.85,72.05,74.73,167628,
