datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,GUJAE,5.98,6.28,5.93,6.24,85534,
2010-01-05 12:01:00,GUJAE,6.61,6.61,5.94,6.18,58225,
2010-01-06 12:01:00,GUJAE,6.05,6.6,6.01,6.31,126943,
2010-01-07 12:01:00,GUJAE,6.38,6.48,6.26,6.4,73637,
2010-01-08 12:01:00,GUJAE,6.51,6.65,6.39,6.45,105897,
2010-01-11 12:01:00,GUJAE,6.6,6.94,6.56,6.79,145425,
2010-01-12 12:01:00,GUJAE,6.88,7.23,6.75,6.79,161331,
2010-01-13 12:01:00,GUJAE,6.63,7.0,6.63,6.78,50824,
2010-01-14 12:01:00,GUJAE,6.98,8.1,6.75,7.46,1000022,
2010-01-15 12:01:00,GUJAE,7.24,7.74,7.03,7.11,250127,
2010-01-18 12:01:00,GUJAE,7.18,7.36,6.66,7.01,113456,
2010-01-19 12:01:00,GUJAE,7.06,7.25,6.78,6.9,97077,
2010-01-20 12:01:00,GUJAE,6.93,6.94,6.56,6.66,133301,
2010-01-21 12:01:00,GUJAE,6.61,6.68,6.06,6.11,137964,
2010-01-22 12:01:00,GUJAE,5.78,6.19,5.78,5.94,79475,
2010-01-25 12:01:00,GUJAE,6.0,6.08,5.73,5.79,91243,
2010-01-27 12:01:00,GUJAE,5.73,5.86,5.3,5.39,64058,
2010-01-28 12:01:00,GUJAE,5.43,5.59,5.25,5.36,73847,
2010-01-29 12:01:00,GUJAE,5.36,5.36,5.06,5.15,116684,
2010-02-01 12:02:00,GUJAE,5.21,5.35,5.2,5.24,207842,
2010-02-02 12:02:00,GUJAE,5.43,5.43,5.13,5.16,172552,
2010-02-04 12:02:00,GUJAE,5.13,5.31,5.03,5.1,100909,
2010-02-05 12:02:00,GUJAE,5.0,5.0,4.73,4.78,168152,
2010-02-06 12:02:00,GUJAE,4.98,5.03,4.86,4.96,28396,
2010-02-08 12:02:00,GUJAE,4.94,5.04,4.81,4.91,112372,
2010-02-09 12:02:00,GUJAE,4.9,4.9,4.7,4.75,77783,
2010-02-10 12:02:00,GUJAE,4.85,4.88,4.78,4.81,34162,
2010-02-11 12:02:00,GUJAE,4.89,5.08,4.83,5.03,115532,
2010-02-15 12:02:00,GUJAE,5.0,5.03,4.73,4.79,81522,
2010-02-16 12:02:00,GUJAE,4.86,4.93,4.75,4.88,28614,
2010-02-17 12:02:00,GUJAE,4.98,4.98,4.8,4.83,29279,
2010-02-18 12:02:00,GUJAE,4.9,4.93,4.73,4.75,66303,
2010-02-19 12:02:00,GUJAE,4.7,4.79,4.55,4.58,88129,
2010-02-22 12:02:00,GUJAE,4.69,4.69,4.53,4.56,37548,
2010-02-23 12:02:00,GUJAE,4.53,4.7,4.53,4.61,41721,
